[00000.00-00003.58] 那我们就正式进入到人的历史厂时的一个学习当中来
[02470.00-02470.60] 我们来看一下
[02470.60-02472.40] 除了山城洞人都是
[02472.40-02473.72] 那叫替选择的是
[02473.72-02474.72] ACD
[02474.72-02475.52] 选得ACD
[02475.52-02476.44] 当然大家知道
[02476.44-02477.76] 蓝天人是最早
[02477.76-02478.84] 職利行走的
[02478.84-02480.84] 原洞人是我国以之境内
[02480.84-02481.56] 最早的
[02481.56-02482.00] 对吧
[02482.00-02485.68] 而北京人使用活种是天然火
[02485.68-02487.56] 所以第二体选ACD
[02487.56-02488.68] 第二体选ACD
[02489.80-02490.84] 第三体来看一下
[02490.84-02493.40] 下令不属于人类精化的色归成
[02493.40-02495.58] 想要是人類的計劃受手形的事人
[02495.58-02496.84] 人們說了
[02496.84-02498.30] 手形就是原人
[02498.30-02499.68] 然後是制人
[02499.68-02500.84] 然後原人和制人
[02500.84-02502.60] 每個都分中期
[02502.60-02503.84] 還有我們早期
[02503.84-02505.48] 以及我們所說的晚期
[02505.48-02505.98] 對吧
[02505.98-02507.80] 所以有早期原人
[02507.80-02509.88] 晚期的早期制人晚期制人
[02509.88-02510.76] 有沒有中期
[02510.76-02511.48] 沒有中期
[02511.48-02514.12] 所以不屬於人類計劃的四個階段
[02514.12-02515.52] 那就屬於司帝
[02515.52-02516.96] 就做中期制人
[02516.96-02518.00] 然後中期制
[02518.00-02519.36] 所以第三體選
[02519.36-02520.12] 第四個
[02520.12-02521.36] 第三體第四個
[02521.36-02522.12] 第四體
[02522.12-02523.68] 来看一下靠黄核文化
[02523.68-02526.80] 说黄核是中法民族的母亲核
[02526.80-02529.04] 说运律了哪些黄核文明
[02529.04-02529.80] 那我说了
[02529.80-02531.56] 能和黄核文明占妙的
[02531.56-02532.84] 那就是我们所说的
[02533.60-02535.60] 和黄核地区相关的
[02535.60-02537.24] 和黄文化属于吧
[02537.24-02537.80] 对吧
[02537.80-02538.76] 黄核
[02539.00-02541.12] 黄是它的一个
[02541.12-02543.28] 我们所说的之流这是黄水
[02543.48-02544.68] 所以黄核文化是
[02544.68-02545.84] 第二核落文化
[02545.84-02547.68] 黄核以及洛阳
[02547.68-02548.28] 对吧
[02548.28-02549.40] 关中文化
[02549.40-02550.08] 我们经常说
[02550.08-02551.76] 八百里秦川
[02551.76-02553.24] 关注文化数据
[02553.24-02554.00] 提入文化
[02554.00-02555.00] 那就是山东了
[02555.00-02555.32] 对吧
[02555.32-02556.36] 所以在这里面
[02556.36-02558.84] 属于黄河文化的是司帝
[02558.84-02560.36] 是黄河文化的是司帝
[02560.36-02561.28] 大家注意一下
[02561.28-02562.80] 所以这个点就是刚才
[02562.80-02564.84] 在大家考点演身当中
[02564.84-02566.68] 去给大家去提到的
[02566.68-02567.36] 我们所说的
[02567.36-02568.88] 黄河文币和长江文币
[02568.88-02571.48] 黄河文币没有办法全部都立聚
[02571.48-02572.08] 所以我说了
[02572.08-02573.60] 除了那几个点形的之外
[02573.60-02575.04] 只要是和黄河
[02575.04-02575.96] 沾标的
[02575.96-02577.72] 就已经玩多数据黄河文币
[02577.72-02578.60] 而长江文币
[02578.60-02580.16] 通常主要去实际
[02580.16-02583.88] 我们所说的80文化 金处文化以及5月文化
[02583.88-02586.26] 它的代表的我们所说的
[02586.26-02589.16] 移植以及它能够和新闻对用上的
[02590.16-02591.56] 这是我们所说的
[02591.56-02593.28] 人类的门命的起源
[02593.28-02594.76] 以及中国门命起源当中
[02594.76-02596.56] 我们所提到的叫做历史
[02596.56-02597.36] 叫历史
[02597.36-02598.96] 但使钱的这个时代
[02598.96-02601.36] 我们说了不仅有历史还有神话
[02601.36-02602.76] 所以我们在开天的时候才说了
[02602.76-02604.96] 它是历史于神话并存的
[02604.96-02606.16] 浪漫 对吧
[02606.16-02607.56] 我们就来看一看
[02607.56-02611.10] 在我们整个从自然发展之后
[02611.10-02613.40] 产生了视阻产生的文化之后
[02613.40-02616.64] 在文化记录之上又逐渐形成了我们所说的
[02616.64-02619.82] 布洛以及帮阻移据到了后面的国家
[02619.82-02621.92] 我们就接着来往下看第三个点
[02621.92-02623.18] 就是我们所说的
[02623.18-02625.74] 在视阻发展之后所形成的布洛
[02625.74-02628.68] 我们所提到的黄地延地以及我们所说的
[02628.68-02629.58] 摇顺女
[02629.58-02631.76] 这个就到了我们所说的上午的
[02631.76-02632.78] 神话时期
[02632.78-02635.28] 那提到上古神话是7的这个时候呢
[02635.28-02638.58] 就不得不提一下我们所说的叫做上古武士
[02638.58-02641.18] 这上古武士首先第一个同样知道
[02641.18-02643.98] 他在考察的过程当中如何去考察呢
[02643.98-02646.48] 就是考察这五大事组
[02646.48-02648.68] 或者是我们经常说的叫五大性事
[02648.68-02652.98] 他的一个具体内容的具体内容的队应
[02652.98-02655.58] 那么首先来看一下上古大事组当中
[02655.58-02656.88] 第一个叫做有朝市
[02656.88-02658.38] 你光听名字
[02659.08-02661.78] 就知道有朝有朝朝纯的是什么
[02661.78-02665.50] 所以在这里来看一下有朝市第一个
[02665.50-02669.34] 叫做数价叫做数上价木做朝鲸
[02669.34-02672.98] 朝鲸所以坐在数价就可以免受我们所说的
[02672.98-02674.50] 采论普报的亲戚
[02674.50-02676.86] 所以有朝市第一个大家注意一下
[02676.86-02679.14] 就是朝鲸就是朝鲸
[02679.14-02680.98] 第二个就是在这里
[02680.98-02684.70] 有朝市因为有朝鲸的这种形式
[02684.70-02686.70] 推动了中华文明向前卖布
[02686.70-02688.14] 所以在这里它被称为
[02688.14-02691.22] 華夏第一人文十組
[02691.22-02692.74] 華夏第一人文十組
[02692.74-02694.02] 這是我們所說的叫做
[02694.02-02695.06] 有朝視
[02695.06-02696.06] 有朝視
[02697.10-02698.90] 這個華夏第一人文十組
[02698.90-02702.22] 一會我們要把它和黃地去給它去分開
[02702.22-02704.02] 大家要注意一下這是有朝視
[02704.02-02705.82] 而有朝視發展的後面
[02705.82-02706.38] 當然了
[02706.38-02710.66] 在中國歷史大西表當中提到這五大信社是有權
[02710.66-02712.46] 前後的這樣一個順序
[02712.46-02713.58] 不同的神話
[02713.58-02715.78] 怕我不同的這樣一個版本的產事
[02715.78-02717.58] 其中有一個版本說的是啥呢
[02717.58-02721.62] 说明有朝市的后人就是我们所说的碎人士
[02721.62-02722.62] 就是我们所说碎人士
[02722.62-02723.22] 这个碎人士
[02723.22-02724.22] 应该是火子跑
[02724.22-02725.26] 叫碎人士
[02725.26-02727.26] 当时在碎人士的地方
[02727.26-02730.66] 他们其实是住在我们所说的碎名古国当中
[02730.66-02734.22] 然后他们当时有在国家当中有一个数
[02734.22-02735.42] 就叫做碎木
[02735.42-02737.46] 有一天碎人士
[02737.46-02738.82] 他就看了有一个小女
[02738.82-02739.98] 在木头上卷
[02739.98-02741.22] 一边卷大大大
[02741.22-02742.98] 然后那个火花就擦擦擦擦擦
[02742.98-02744.26] 然后他一边卷
[02744.26-02745.50] 他就看到那个火中梦
[02745.50-02746.50] 那个数就冒火
[02746.50-02748.30] 于是他就有了这个灵感
[02748.30-02751.88] 就了我们所说的叫做专目娶火一闭群害
[02751.88-02754.50] 所以在这里面岁人士
[02755.30-02757.00] 他的一个最主要的
[02757.00-02759.98] 第一个我们所说的共献就叫做专目娶火
[02759.98-02763.32] 有了人工娶火之后人类的文明开始进步
[02763.32-02765.12] 在不用吃生的东西了
[02765.12-02765.46] 对吧
[02765.46-02767.22] 第二个专目娶火
[02767.22-02770.54] 所以在这里他也被称为叫做活祖部
[02770.54-02772.06] 被称为叫做活祖
[02772.06-02774.40] 这个就是我们所说的叫做岁人士
[02774.40-02775.50] 所以人士
[02775.50-02782.16] 而虽然是往后出现了,我们所说的叫做福西市
[02782.16-02784.14] 在这里面我们来看一下
[02784.14-02788.88] 我们所说的福西大助一下,这里面有集中说法
[02788.88-02791.40] 因为我们有三皇武帝的传说
[02791.40-02795.98] 如果三皇武帝按照岁人福西以及神弄来排的话
[02795.98-02798.66] 这里面的岁人士就被称为叫做天皇
[02798.66-02802.18] 福西就被称为叫做人黄
[02802.18-02804.42] 服新也是上古神化当中
[02804.42-02805.82] 我们的一个神
[02805.82-02806.18] 对吧
[02806.18-02806.82] 我们的一个神
[02806.82-02809.42] 那传说服新和女娃一样
[02809.42-02811.10] 是人手蛇神
[02811.10-02812.62] 但是也有另外一种说法
[02812.62-02813.54] 说服新
[02813.54-02817.10] 他其实是我们所说的雷神的儿子
[02817.10-02819.98] 也说有人说他是人手农神
[02819.98-02822.34] 但是无论怎么样的都是办人
[02822.34-02823.54] 办使得这种
[02823.54-02825.54] 或者办人办龙的这种情况
[02825.54-02827.26] 而服新它的主要的
[02827.26-02828.86] 我们所说的这样的一个
[02829.38-02830.98] 考试过程中长好的点
[02830.98-02831.94] 就是两个
[02831.94-02833.94] 第一個就是福西娛列
[02833.94-02836.14] 福西就大家怎麼去打魚
[02836.14-02838.78] 福西製造了我們所說的王古
[02838.78-02839.98] 就是娛網
[02839.98-02843.82] 因為當時看到大家去進行這樣的生活的時候
[02843.82-02846.62] 發現他們怎麼打烈這麼飛進
[02846.62-02848.06] 對吧如果是一直這樣
[02848.06-02850.90] 其實就沒有辦法有一個很好的這樣一個生活
[02850.90-02852.90] 所以在這裡就交代人之網
[02852.90-02853.66] 如果去打魚
[02853.66-02855.54] 所以就叫福西娛列
[02855.54-02859.70] 第二個就是我們要知道福西創造了八卦圖
[02859.70-02862.66] 就考試的時候大家注意一下比較討厭的點
[02862.66-02865.34] 就在福西八卦上福西八卦上
[02865.34-02866.54] 福西八卦圖
[02866.54-02868.58] 大家注意一下福西搞這個八卦
[02868.58-02870.10] 最開始使用來幹嘛呢
[02870.10-02871.38] 說來記載的
[02871.38-02872.62] 就是為了技術
[02872.62-02874.54] 比如說以前的人沒有文字
[02874.54-02875.94] 我說今天要下雨了
[02875.94-02876.54] 怎麼辦呢
[02876.54-02878.90] 我就畫相當的特殊的符號
[02878.90-02880.58] 來表示我們所說的
[02880.58-02882.30] 它的一個事情的變化
[02882.30-02883.30] 氣象的變化
[02883.30-02885.06] 所以在這裡就創了我們所說的
[02885.06-02886.70] 叫做福西八卦
[02886.70-02887.58] 就福西八卦
[02887.58-02889.66] 福西通過這八卦的推演
[02889.66-02893.24] 来亏测到15万万5个这样的一种变化
[02893.24-02894.66] 所以这是我们所说的
[02895.16-02896.82] 叫做福西八卦
[02896.82-02897.60] 福一八卦
[02897.60-02899.64] 福西深圳的两个点
[02899.64-02900.16] 大家注意一下
[02900.16-02901.68] 第一个就是福西雨列
[02901.68-02902.98] 第二就是福西八卦
[02902.98-02905.28] 而这福西八卦当中经常会考的
[02905.28-02906.48] 就是我们所说的
[02906.48-02908.08] 这个八卦的内容
[02908.08-02909.62] 它分别对于的是什么
[02909.62-02911.42] 在个别的考试过程当中
[02911.42-02913.50] 就考察到了八卦的具体的
[02913.50-02914.24] 内容
[02914.24-02915.52] 考量到八卦具体的内容
[02915.52-02917.82] 那考察这个八卦具的内容当中
[02917.82-02919.10] 那我们怎么去记呢
[02919.10-02923.20] 我们就给它相对来说简化去记忆就可以了
[02923.44-02927.30] 大家都知道我们所说的就我们到得进来看了
[02927.30-02929.60] 或者是我们所说的这个八卦来看
[02929.80-02934.20] 我们认为万十万物的变化其实都是由阴阳二汽来变化的
[02934.20-02938.30] 对吧 那我们这阴阳我们就出现了两关
[02938.30-02939.90] 其实阴阳就出现了两关
[02940.10-02941.70] 一关呢就是我们所说的
[02942.60-02943.30] 前关
[02944.50-02947.00] 还有一关呢就是我们所说的叫做昆暂关
[02947.00-02952.56] 那前掛的代表的是杨,一如代表的是天,昆掛的代表的是地
[02952.56-02960.80] 而我们所说的银杨,大家注意一下,我们所说的银岳气,其实呢,因他是这样的形状,杨是这样的形状
[02960.80-02964.56] 而我们所说的掛像就是在银杨记录上变化的
[02964.56-02974.12] 所以我们所说的就说,两一生四象,两一只就是银杨四象的就是银杨的组合,银杨的组合
[02974.12-02977.34] 然后四项生 把罐 四项生 把罐
[02977.34-02980.22] 所以就有了钱和困 钱和困
[02980.22-02982.32] 钱代表的是扬 那就都扬败
[02982.32-02984.28] 因为我们说一个罐上是三勇
[02984.28-02986.28] 所以就是三个 土象
[02986.28-02988.66] 而困罐也是三勇
[02988.66-02991.96] 那我们说说了 就是三个 阴勇 三个阴勇
[02991.96-02993.32] 那这是我们所说的钱
[02993.32-02997.48] 这是困 钱代表的是天 困代表的就是地
[02997.48-03001.04] 而我们说了 服习化 八华 目的是为了什么
[03001.04-03007.04] 服稀化这个八卦目的就是为了记录事务的变化记录事务的变化
[03007.04-03009.24] 所以在这个过程中就服稀来看
[03009.24-03012.84] 前何宽有着天核地没有不变的情况
[03012.84-03016.44] 没有不变平况都是在发生变化的
[03016.44-03017.64] 那它具体怎么变呢
[03017.64-03021.84] 我们来看前一共就一共是三行对吧三个好
[03021.84-03024.64] 那它变化的时候无论怎么变
[03024.64-03026.64] 要么就是最上面这个变
[03026.64-03028.84] 要么就是中间变 要么就是下面变
[03028.84-03032.24] 而他不同的变化形式就出现了我们所说的什么
[03033.04-03035.44] 不同的惯相就出现了不同的惯相
[03035.64-03037.24] 同时不用去画这个惯相了
[03037.24-03039.24] 你需要对应的是什么呢
[03039.24-03042.64] 就是你要能够去对应他分别代表是哪一罐
[03042.64-03046.28] 他代表的是我们所说的具体的哪一种现象啊
[03046.28-03047.04] 哪一种现象
[03047.04-03049.44] 比如说前代表是天困代的有事地
[03049.44-03051.04] 那我就进一步去分析
[03051.04-03053.44] 如果现在是天发生变化了
[03053.44-03055.24] 如果在这里天发生变化
[03055.24-03057.24] 那首先什么变天上变
[03057.24-03058.64] 原来天是三个好了吗
[03058.84-03060.40] 现在天上开始变
[03060.40-03061.84] 这个就是一块
[03061.84-03063.00] 天上变是什么
[03063.00-03063.56] 你想一下
[03063.56-03066.60] 你能看到天最少面发生变化
[03066.60-03068.00] 天上变的这一块
[03068.00-03069.68] 就被称为叫做对观
[03069.68-03070.56] 对观
[03070.56-03071.72] 排代表的是什么
[03071.72-03072.40] 代表的是
[03072.40-03074.44] 你能看到天上变
[03074.44-03075.40] 最少面在变
[03075.40-03076.08] 其实就想
[03076.08-03077.56] 放弗能够看到
[03077.56-03078.08] 我们所说的
[03078.08-03080.00] 它在水中倒影一样
[03080.00-03080.32] 对吧
[03080.32-03081.32] 就用情况之下
[03081.32-03082.12] 对应的就是
[03083.00-03083.76] 责
[03083.76-03084.96] 对应的就是责
[03084.96-03086.48] 那如果这是天上变
[03086.48-03087.36] 除了天上变
[03087.36-03089.00] 是不是还有天中可以变了
[03089.00-03091.28] 那天中便代表的是什么呢
[03092.56-03093.96] 中间发生变化了
[03093.96-03095.60] 那一般情况之下我们看
[03095.60-03098.32] 好像在天上中间发生变化了像找火的样
[03098.32-03100.20] 我们办了看到火烧鱼对吧
[03100.20-03102.16] 那这种情况是在代表的是火
[03102.16-03105.56] 而火在八卦当中被称着为叫做离
[03105.56-03106.12] 叫做离
[03106.12-03107.00] 这是中便
[03107.00-03109.48] 那还有天下也可以变
[03109.48-03110.72] 那天下变
[03110.72-03112.68] 天下变变能感受到什么
[03112.68-03114.40] 我们就生活在天下变
[03114.40-03114.84] 对吧
[03114.84-03115.96] 我们生活在天下变
[03115.96-03118.72] 它一遍,我们是不能感受到风吹过
[03118.72-03122.36] 天下变为风代表的是什么关
[03122.36-03123.88] 风代表的是我们所说的
[03123.88-03124.88] 序管
[03124.88-03127.24] 这是我们所说的有关于钱
[03127.24-03130.08] 发发生天上变,天中变和天下变
[03130.08-03132.48] 和别代表的是则火风
[03132.48-03134.08] 对理训
[03134.08-03137.32] 它考察的就是对应
[03137.32-03139.40] 这个就是我们所说的钱
[03139.40-03142.56] 当然还有昆昆的昆的话其实和钱一样
[03142.56-03144.48] 要么就是昆代表是第1
[03144.48-03146.48] 那就是昆上边
[03147.88-03148.72] 一种情况
[03148.88-03151.28] 要么就是昆中边对吧
[03151.28-03152.68] 中间发生变化
[03152.68-03153.96] 那它的中间发生变化
[03153.96-03155.96] 就把中间换成两摇就行了
[03158.84-03160.80] 最后一个就是我们所说的什么呢
[03160.80-03163.24] 就是这个昆外下变化成变化
[03163.24-03165.76] 那就把最下变化成换成摇摇
[03165.76-03167.52] 那它分别代表的是什么呢
[03167.52-03168.92] 那同学们来想一下
[03168.92-03170.00] 首先第一个
[03170.00-03171.56] 第一上发生变化
[03171.56-03172.80] 你看这不是第一嘛
[03172.80-03174.60] 就是最上面的咬发生变化
[03174.60-03175.80] 那地上变
[03175.80-03177.24] 地上变是什么
[03177.24-03178.36] 地面就是地面
[03178.36-03180.60] 地上是个更多的是山
[03180.60-03181.80] 那地上变
[03181.80-03183.32] 那就是山了
[03183.32-03184.20] 对吧
[03184.20-03186.28] 那在地面之上出现东西
[03186.28-03187.24] 那就是山
[03187.24-03189.00] 山代表的是八卦当中的
[03189.00-03191.56] 跟山代表是八卦当中的跟
[03191.56-03194.28] 而如果说地中发生变化是什么呢
[03194.28-03195.32] 地中发生变化
[03195.32-03196.64] 你看我们生活在地面
[03196.64-03198.72] 那你能够看到地底下
[03198.72-03200.24] 或者是我们所谓的地中间发生变化
[03200.24-03202.04] 听到流水的声音
[03202.04-03203.64] 那第一中便就是水
[03203.64-03207.04] 因为水是在第一中间传说的
[03207.04-03208.64] 对吧,我们开合到等等
[03208.64-03210.04] 这是在第一中
[03210.04-03212.64] 这个叫水水是砍罐
[03212.64-03213.84] 砍你还什么意思
[03213.84-03216.44] 是不是没有土
[03216.44-03219.44] 土是缺失的土一旦缺失水
[03219.44-03220.44] 就会流动
[03220.44-03223.24] 所以在这里,我们所说的砍都用的是水
[03223.24-03225.04] 那还有一个就是地下动
[03225.04-03228.24] 地下动,你是不是能感觉到地震动
[03228.24-03230.40] 那郑洞的话就是轰轰轰的
[03230.40-03231.64] 那这个就是郑洞
[03231.64-03234.44] 那这时候什么情况之下能让地郑洞起来
[03234.44-03237.64] 老实地郑洞那股人也不知道地郑洞现象呢
[03237.64-03241.84] 那这种情况是他认为是声音造成了地下免轰轰轰轰辨
[03241.84-03243.04] 那这就是雷
[03244.32-03245.60] 那这个就是雷
[03245.60-03246.60] 所以在这里面呢
[03246.60-03249.60] 大家要掌握的就是他分别是如何对应的
[03249.60-03251.44] 那这个惯像同行的不用去啊
[03251.44-03253.32] 我只要在这个地方给同们去解释
[03253.32-03254.60] 说他是怎么变的
[03254.60-03258.64] 主要同民去记忆的就是他每个罐对应的是哪一种现象
[03258.64-03264.60] 因为福西做罐 八罐主要的意思就是通过这样的方式来给
[03264.60-03267.80] 他的事不足的人去给他们去说
[03267.80-03271.16] 现在要发生什么事情是不记录这样的一个现象
[03271.16-03273.24] 所以每一罐他对应的现象
[03273.24-03275.96] 大家要注意一下 每一罐对应现象就要注意一下
[03275.96-03280.72] 所以你看八八六四组合在一块就无穷无尽的变化
[03280.72-03281.84] 无穷无尽的变化
[03281.84-03285.00] 所以这是我们所说的福西八卦
[03285.64-03287.48] 这是福西
[03287.48-03288.64] 那上午是当中
[03288.64-03292.18] 还有一个就是我们所说的叫做神龙式
[03292.18-03294.96] 神龙式就是我们所说的严厉
[03294.96-03295.72] 大主一下
[03295.72-03297.56] 那神龙常白草
[03297.56-03299.60] 那它的攻击主要就是在于这
[03299.60-03302.44] 就是致了一次重无鼓长白草
[03302.44-03303.32] 常白草
[03303.32-03304.48] 那大家都知道他
[03304.48-03306.92] 被了交大家去播种长哪些东西
[03306.92-03308.52] 能吃在神话当中说
[03308.52-03310.52] 所以我太有一次常草的时候
[03310.52-03312.52] 我的天的巨毒
[03312.52-03314.52] 然后吃到常穿杜烂
[03314.52-03316.52] 就是被了给大家去嘗試这种
[03316.52-03318.52] 这就是神龙式
[03318.52-03322.52] 神龙式种谷古常白草
[03322.52-03323.52] 所以他也被称之为
[03323.52-03324.52] 叫做农业之神
[03324.52-03326.52] 因为称为叫做农业之神
[03326.52-03328.52] 这是神龙神龙
[03328.52-03329.52] 那上午是当中
[03329.52-03331.52] 还有疑事叫做宣言是
[03331.52-03333.52] 宣言是就是我们所说的皇帝
[03333.52-03335.52] 所以说到宣言是
[03335.52-03365.52] 说到皇帝是一个意思,大家注意一下,这是我们所宣言是,宣言是也称有形式,他被称为中华人文出组,同时注意,刚才咱们在有朝式里面,把它称为叫华下第一人文十组,而皇帝被称为叫人文出组,他两名称不一样,靠试的时候特别喜欢在这,特别喜欢在这儿,所以大家注意一下,是第一个,我们所说的,叫做皇帝叫中华人文出组,
[03365.52-03368.04] 第二个呢 他之所以被称为叫初组
[03368.04-03369.48] 就是因为他做了很多事
[03369.48-03372.12] 什么事呢 在这里 同时简单了解一下
[03372.12-03376.28] 叫制一关建中车后面这个要注意
[03376.28-03381.48] 叫做制音率 这皇帝内经 制音率做皇帝内经
[03381.48-03385.00] 他制音率就是中国细取最开始的源头了
[03385.00-03387.00] 这个点呢我们再讲到
[03387.52-03389.32] 国粹的时候会大家讲到
[03389.32-03391.88] 这是中国细取的源头 那时候呢就说了
[03391.88-03394.44] 说 这样的节日清点的时候呢
[03394.44-03395.84] 這是皇帝就是作弱
[03395.84-03397.80] 然後就要求其他人來
[03397.80-03400.16] 半五 但是半五都上午神秀了
[03400.16-03401.96] 所以從內手就是致音率
[03401.96-03404.60] 做皇帝已經皇帝問題
[03404.60-03405.64] 奇博回答
[03405.64-03406.80] 所以我們再把
[03406.80-03408.04] 在皇帝內經這一塊
[03408.04-03409.80] 我們會在中醫那個地方
[03409.80-03411.52] 那個某塊去給大家去講解
[03411.52-03412.92] 所以我們也有中醫
[03412.92-03414.72] 被稱為叫做奇皇之樹
[03416.52-03418.00] 叫做奇皇之樹
[03418.00-03421.04] 那奇皇之樹帶著我們所說的中醫
[03421.04-03422.08] 那最後情況之下
[03422.08-03424.08] 其實就是來自於皇帝內經
[03424.08-03426.44] 还那间就是以一门一达的显示来的
[03426.68-03428.84] 这是我们所说的外区学有黄地
[03429.04-03430.16] 那从来学有黄地之外
[03430.16-03430.88] 大家注意一下
[03430.88-03433.80] 在黄地身上其实还有很多其他的
[03433.80-03436.08] 一些点顾
[03436.28-03437.88] 这些点顾用那些
[03437.88-03438.52] 大家注意一下
[03438.52-03440.48] 这些点顾首先第一个
[03440.96-03441.96] 我们就要知道
[03441.96-03443.80] 还有一个成余
[03443.80-03445.24] 其实是和它有关的
[03445.24-03447.80] 这个成余叫做龙序顶湖
[03450.52-03452.36] 叫做龙序顶湖
[03452.36-03453.52] 叫龙序顶湖
[03453.52-03455.52] 这龙区顶湖什么意思呢
[03455.52-03457.52] 这龙区顶湖放在今天
[03457.52-03459.52] 其实只得是帝王去世
[03459.52-03462.52] 我们现在回去看他的意思就是帝王去世
[03462.52-03465.12] 其实这龙区顶湖是皇帝当年叫做
[03465.12-03467.12] 财手山童注定
[03467.12-03469.12] 于我们所说的精山之下
[03469.12-03470.72] 这他开始踩山童
[03470.72-03471.92] 然后注成了顶区
[03471.92-03473.36] 因为我们都知道顶
[03473.36-03476.72] 他其实是我们所说的在以前所提到的
[03476.72-03477.92] 这重要的中立器
[03477.92-03479.12] 或机色的这种对吧
[03479.12-03481.92] 他注成了顶叫做长雨精山之下
[03481.92-03486.82] 頂城,這個頂坐完了之後就做有龍垂然下營皇帝
[03486.82-03489.48] 這個頂坐了之後天上就來立了大龍
[03489.48-03491.32] 龍的湖虛子特別的場
[03491.32-03493.92] 然後就下來迎接我們所說的皇帝
[03493.92-03498.00] 最後皇帝修道城鮮了,雄道城鮮了
[03498.00-03500.76] 所以龍徐頂湖一般喜歡一下在這裡面
[03500.76-03505.00] 就是會涉及到地王去世,那他其實是和皇帝有關
[03505.00-03508.60] 有關於說說老實不對,皇帝不就是神仙
[03508.60-03510.92] 搭住一下三皇武帝当中
[03510.92-03512.32] 三皇是神仙
[03512.32-03514.68] 而武帝他是人间的网
[03514.68-03516.88] 武帝去搬前来是人间的网
[03516.88-03518.40] 而那个时候我说了
[03518.40-03522.08] 这些传说和历史放在一块
[03522.08-03524.00] 我们都知道既有历史事实的
[03524.00-03525.68] 也有所说浪漫的手法故事
[03525.68-03526.12] 对吧
[03526.12-03526.72] 而一般情况下
[03526.72-03528.84] 武帝说的是人事间的网
[03528.84-03529.84] 人事间的网
[03529.84-03531.12] 所以龙去顶湖
[03531.84-03532.96] 这这么一个点顾
[03532.96-03534.68] 那除了龙去顶湖之外
[03534.68-03536.04] 大家还要注意一下
[03536.04-03540.68] 還有一個點就是和皇帝有關的有兩個戰役
[03542.84-03545.08] 有兩個戰役 大家要注意一下
[03545.08-03547.68] 這個我也給大家去進行了設置
[03547.68-03549.64] 就放在大家的獎益上面
[03549.64-03551.28] 那這兩個戰役分解是什麼呢
[03551.28-03553.44] 第一個是皇帝和延遞之間的戰役
[03553.44-03555.76] 我把它稱為叫做板權之戰
[03557.48-03558.84] 板權之戰
[03558.84-03560.88] 還有一個就是皇帝和翅油的
[03560.88-03564.08] 這個皇帝和翅油之間的戰爭叫做粥鹿之戰
[03564.08-03565.48] 叫做粥鹿之戰
[03566.04-03570.04] 把揪置站搬起来
[03570.04-03571.04] 把揪置站搬起来
[03571.04-03573.04] 一般我们形容搬起来
[03573.04-03575.04] 它其实是两个部落之间
[03575.04-03577.04] 我们所说的发生的战争
[03577.04-03578.04] 这个是黄地和延避
[03578.04-03580.04] 而黄地有这件打这个战
[03580.04-03581.04] 叫招路之战
[03581.04-03583.04] 它其实是部落集团之间
[03583.04-03585.04] 所进行的战争
[03585.04-03587.04] 这个就是我们所说的叫招路之战
[03587.04-03590.04] 他们两个身上也是有相应的考察点
[03590.04-03591.04] 除了要知道
[03591.04-03593.04] 它是和黄地有关系
[03593.04-03596.28] 反省之战 它和揉入之战的特点是什么
[03596.28-03598.84] 我把它放在后面里同样做了一个种节
[03598.84-03603.24] 全帝和反省之战 我刚才说了是发生在皇帝和延帝两个部落之间的
[03603.24-03607.04] 也就是说部落和部落之间咱们两个单打 读多
[03607.04-03610.64] 那上这种情况之下叫做我们所说的部落之间的战争
[03610.64-03613.24] 反省之战其实在时机当中有记载的
[03613.24-03614.84] 在五滴本季的时候就记载
[03614.84-03617.24] 说为什么皇帝和延帝这两个部落
[03617.24-03620.64] 而有天的要打起来 对完为什么会这个样子
[03620.64-03622.44] 所以在这里面主要是说了
[03622.44-03625.24] 在黄定武帝本席当中说
[03625.24-03626.28] 说宣援支持
[03626.28-03628.84] 神弄是是虽书后相侵法
[03628.84-03630.36] 神弄扶能中
[03630.36-03631.12] 啥意思呢
[03631.12-03632.04] 意思就是说
[03632.04-03633.20] 当宣言皇帝
[03633.20-03634.52] 开始做大作强的时候
[03634.52-03635.44] 这原本的
[03635.44-03637.52] 我们所说的神弄的布录
[03637.52-03639.20] 已经开始走向末落了
[03639.20-03640.04] 而那个时候
[03640.04-03642.28] 这个地区都是打来打去的
[03642.28-03643.44] 而就很情况之下
[03643.44-03644.44] 神弄这个世族
[03644.44-03645.72] 其实也摆受其绕
[03645.72-03646.84] 但是神弄呢
[03646.84-03647.76] 因为我们所说的
[03647.76-03648.48] 相对来说
[03648.48-03649.56] 世族摔落
[03649.56-03650.44] 所以他呢
[03650.64-03652.04] 明白,其中站
[03652.04-03656.10] 所以在这种情况之下,而皇帝又要不断地去扩充
[03656.10-03661.26] 四复争量扩得他的地方,所以两个我们所说的皇帝和严厉
[03661.26-03663.90] 比如神弄和宣示最后就打起来了
[03663.90-03668.66] 打了很长时间,而且这场战争在神话当中的描述相当之帅
[03668.66-03673.38] 也不能说,在神话当中,就是在列子皇帝专当中,就说到了
[03673.38-03675.22] 说打的时候,当时怎么打的呢?
[03675.22-03679.76] 这是我们看到神话当中,那种神租在正前呢?
[03679.76-03686.12] 那当时我们所说的实大上古的实大神秀当中比如说有雄皮、暴、胡、龙
