[00000.00-00007.68] 好,我们接下来看一下第3个问题,就是我们所说的这个犯罪,他在时间上的这样一个状态
[02173.96-02175.56] 不要是想說在
[02175.56-02180.84] 强跟内容说已经开始对女孩实行不轨行为了
[02180.84-02185.40] 这种情况之下他才算做我们所说的这个桌手阶段
[02185.40-02186.16] 其实不是的
[02186.16-02188.28] 他只要能够压制副女反抗
[02188.28-02189.32] 他没有办法反抗
[02189.32-02191.12] 他就已经开始进入到桌手阶段了
[02191.12-02194.12] 你看他把这个女孩产盈到这个八卷机之后
[02194.12-02195.26] 这个女孩能反抗吗
[02195.26-02196.60] 产生到八卷机里
[02196.60-02197.52] 不能反抗了
[02197.52-02197.76] 对吧
[02197.76-02199.80] 因为这个时候你都被产车产作了
[02199.80-02201.48] 所以这个女孩他已经是什么
[02201.48-02202.64] 他已经实施了
[02202.64-02205.28] 压制副女能够反抗的上手段
[02205.28-02208.24] 就以言一位这太减进入到了什么 桌手阶段
[02208.24-02210.88] 派减进入到桌手阶段 他能不能再继续呢
[02211.88-02214.88] 比如说他把这个女孩出发 挖楼机上放下来之后
[02214.88-02217.44] 他能不能继续 他有没有继续犯罪的可能性
[02217.44-02219.24] 他有继续犯罪的可能性
[02219.24-02222.76] 只过这时候他出于什么 主观原因而放弃了
[02222.76-02225.88] 为主主观原因 这是当时的女孩 骂他骂了比较兄
[02225.88-02229.48] 然后他有觉得这个女孩 很从被人看去没有他的这个
[02230.12-02233.08] 被人 他这个正面没有这个被面好看
[02233.08-02234.88] 所以在这时候他是怎么
[02234.88-02235.92] 自动放弃的
[02235.92-02237.84] 有很多同学就在这里会产生一会说
[02237.84-02239.36] 老师他不是被动放弃的吗
[02239.36-02240.88] 因为他不好看的
[02240.88-02242.48] 大致也他好不好看
[02242.48-02245.72] 这不足以成为影响他实施犯这个绝地性因素
[02245.72-02246.48] 明白了吧
[02246.48-02249.32] 因为在这里面他只要是有继续犯这个可能性
[02249.32-02250.68] 就是如果他都不在过这个
[02250.68-02251.96] 他都是一个变态
[02251.96-02252.80] 这种情况之下
[02252.80-02255.04] 他其实从一般人的视角来他
[02255.04-02257.36] 他是有继续实施犯罪可能性的
[02257.36-02258.72] 既然是这样你看
[02258.72-02260.48] 他是能继续而放弃
[02260.48-02264.60] 那他成立的就是终止而并非威水了
[02264.60-02265.32] 明白了吧
[02265.32-02266.80] 所以在这里考试的时候
[02266.80-02268.44] 你去判则还是犯罪终止
[02268.44-02269.80] 还是犯罪未虽
[02269.80-02270.44] 你就看
[02270.44-02271.80] 实在实现阶段是
[02271.80-02273.36] 这种放弃还是被动放弃
[02273.36-02274.24] 明白
[02274.24-02275.60] 所以在这里面大家注意下
[02275.60-02277.44] 就是能继续而放弃的
[02277.44-02280.20] 那就是我们所说的犯罪终止
[02280.80-02281.56] 就是在这
[02281.56-02283.40] 我们需要大家掌握的第一个点
[02283.40-02285.56] 这个地方就会考虑一些形停目
[02285.56-02286.60] 第二点就是
[02286.60-02288.16] 犯罪终止必定主观
[02288.16-02290.08] 恶性相对来说比较小
[02290.08-02291.24] 所以在这里你看
[02291.24-02292.84] 没有造成損害的
[02292.84-02295.40] 怎麼辦 應當免除
[02295.40-02298.92] 已經造成損害的應當簡卿
[02298.92-02299.56] 明白了吧
[02299.56-02301.60] 因為他的主觀熱信相當來說比較小
[02301.60-02305.60] 對不對 他有組織犯罪結果發生的這樣一個意圖
[02305.60-02307.32] 所以我們必須把它考慮在內
[02307.32-02308.60] 所以在這裡面你要知道
[02308.60-02312.52] 沒有造成損害的應當免造成損害的應當簡
[02312.52-02314.04] 這是第一個細節
[02314.04-02315.48] 第二個細節大眾一下
[02315.48-02317.60] 中止犯和前面的預備犯
[02317.60-02319.20] 還有計隨犯的什麼不同
[02319.20-02320.40] 因為這裡面的中止犯
[02320.40-02321.80] 有沒有他說到叫做
[02321.80-02323.80] 比較劑隧結果
[02323.80-02325.20] 應當檢除
[02325.20-02328.00] 或者是比照劑隧血結果
[02328.00-02329.40] 應當檢驚
[02329.40-02331.20] 沒有比照劑隧結果
[02331.20-02332.80] 但是我們前面的什麼
[02332.80-02335.00] 終止發和一輪預備發說的是
[02335.00-02336.60] 比照劑隧結果
[02336.60-02338.40] 從輕或檢驚
[02338.40-02339.40] 在預備範當中
[02339.40-02341.00] 還有一個叫貨面處
[02341.00-02344.20] 這裡可沒有比照劑隧結果
[02344.20-02347.80] 這個點就是靠查前面的三個點的混銷
[02347.80-02349.40] 這個點大概一定要注意一下
[02349.40-02350.88] 这只考不人自由系了
[02350.88-02352.28] 这个地方就在纯存的背住
[02352.28-02353.84] 它没有其他的方法了
[02353.84-02356.12] 所以这个就是我们所说的犯罪终止
[02356.12-02358.56] 那到这儿我们就把整个犯罪的形态
[02359.08-02360.20] 没大家说完了
[02360.20-02361.92] 犯罪的形态在这里面大家注意一下
[02361.92-02364.80] 第一个就是你追求的犯罪结果已经发生了
[02364.80-02366.32] 这个叫犯罪寄罪
[02366.32-02368.72] 那你如果追求的犯罪结果没有发生
[02368.72-02371.36] 那这个时候就会成现在未完成形态
[02371.36-02373.60] 大家注意一下无论是寄罪形态
[02373.60-02375.00] 还是未完成形态
[02375.00-02378.60] 我们都把的称罪的终局形态
[02379.40-02382.98] 无论是哪一个
[02382.98-02385.54] 都被称为叫做犯罪的终级形态
[02385.54-02386.72] 而我们所说的
[02386.72-02387.84] 大家一定要明确
[02387.84-02389.90] 这是我们所提到的一个犯罪
[02389.90-02391.68] 它只能有几个终级形态
[02391.68-02392.96] 一个犯罪
[02392.96-02395.54] 或者是我们所说的这个
[02395.54-02396.56] 统一起
[02396.56-02398.08] 对于统一起犯罪而言
[02398.08-02401.16] 不可能存在两个犯罪形态
[02401.16-02406.80] 现在旁边叫统一起犯罪
[02406.80-02408.84] 不能
[02408.84-02412.04] 存在兩個
[02413.88-02414.72] 犯罪姓胎
[02415.32-02417.04] 就是理論上來說
[02417.04-02418.20] 就是他不能
[02418.20-02419.04] 記憶
[02419.04-02420.16] 未誰
[02420.16-02421.52] 有中止
[02421.52-02422.60] 明白這個意思吧
[02422.60-02424.40] 所以對於同意一個犯罪來說
[02424.40-02425.88] 不能存在兩個犯罪姓胎
[02425.88-02427.20] 還記得我也他講的嗎
[02427.20-02429.60] 這個丈夫小傻傻他的妻子
[02429.60-02431.20] 那丈夫小傻傻他的妻子
[02431.20-02432.52] 就看用酒瓶砸
[02432.52-02433.84] 砸到後來的時候
[02433.84-02434.68] 砸到後面
[02434.68-02436.04] 砸到後面他的妻子
[02436.04-02436.80] 就
[02436.80-02437.96] 实际上全是血
[02437.96-02439.92] 然后他用手一事的时候
[02439.92-02441.36] 他的气子就已经没气了
[02441.36-02442.96] 他就以为他的气子醒了
[02442.96-02444.16] 然后他就在开始
[02444.16-02445.00] 在旁边点眼眼
[02445.00-02446.80] 然后他就想怎么办
[02446.80-02447.88] 我能够回事面记
[02447.88-02448.88] 然后脱离最醒
[02448.88-02451.08] 然后突然这个时候他的气子醒了
[02451.08-02452.48] 然后我给大家说了
[02452.48-02453.76] 他又把他的气子送到医院
[02453.76-02454.88] 然后最后他的医院
[02454.88-02456.00] 在医院被抢救怎么样
[02456.00-02456.80] 抢救活了
[02456.80-02457.56] 那在这里面
[02457.56-02459.52] 我说那他成立未虽还终止呢
[02459.52-02460.64] 在这里大部分同学
[02460.64-02462.08] 其实是想终止的
[02462.08-02462.72] 因为你说了
[02462.72-02464.28] 是他最后送到医院了
[02464.28-02465.12] 都送到医院之后
[02465.12-02466.04] 他又活了
[02466.04-02469.00] 但是同意想一下在這個範圍行為當中
[02469.00-02471.08] 這一期範圍當中是否存在兩種
[02471.08-02472.12] 兩個過程
[02472.12-02473.24] 第六過程是什麼呢
[02473.24-02474.44] 第六過程是以為
[02474.44-02475.80] 他在去實行範圍的時候
[02475.80-02476.76] 他以為
[02476.76-02479.48] 他把他的妻子已經砸死了
[02479.48-02481.16] 他在旁邊已經開始點煙
[02481.16-02482.68] 抽煙小毀失滅劇了
[02482.68-02483.56] 那這個時候
[02483.56-02485.56] 他的故意殺人的範圍行為
[02485.56-02487.08] 事不已經實行中了了
[02487.08-02489.56] 就是他已經這個行為進入到什麼形態了
[02489.56-02492.04] 這個行為已經進入到中局形態了
[02492.04-02494.92] 只過他殺了一殺死他的妻子沒有
[02494.92-02496.86] 他没有杀死他的这个妻子
[02496.86-02500.30] 是因为他的主观上自己想放弃吗
[02500.30-02503.10] 是因为他动了策影自信没有杀死他妻子吗
[02503.10-02503.70] 不是
[02503.70-02505.56] 是因为他一直以外的因素
[02505.56-02507.26] 你别管什么因素可能是
[02508.98-02511.26] 他的妻子品质比较强劲
[02511.26-02512.84] 也有可能是他在下手杂的时候
[02512.84-02514.24] 那玻璃平衡的治量不好
[02514.24-02516.18] 他就是由于他一直以外的因素
[02516.18-02517.58] 没有杀死他的妻子
[02517.58-02520.02] 所以你看当他开始停下来已经抽一样的时候
[02520.02-02522.42] 就意味着他想杀人的这个行为
[02522.42-02524.52] 已经是进入到终剧形态了
[02524.52-02528.32] 但是又由於他一直以外的因素沒有殺死他的妻子
[02528.32-02531.18] 那導致的結果其實應該是犯罪的什麼
[02531.18-02532.66] 魅水沒辦法
[02532.66-02534.60] 這個時候就已經就有到犯罪的意思了
[02534.60-02536.16] 那他後面說老師
[02536.16-02537.58] 他又有兩線發現
[02537.58-02538.46] 開熱車
[02538.46-02540.06] 然後送他的妻子去預約
[02540.06-02541.94] 這個時候不是他主動放棄嗎?
[02541.94-02542.68] 大家注意一下
[02542.68-02544.94] 你想選中指是因為後面這個行為
[02544.94-02545.38] 對不對
[02545.38-02546.22] 但是後面這個行為
[02546.22-02548.66] 意味著是上一個階段
[02548.66-02550.62] 已經進入到中據形態之後
[02550.62-02551.92] 他突然兩線發現說
[02551.92-02553.88] 那接下來殺不死就送去預約嗎?
[02553.88-02555.68] 那这是后面的一个性会了
[02555.68-02558.36] 我们说了前面竟然成立了计随
[02558.36-02560.72] 计随就一定会排斥中止
[02560.72-02563.16] 因为对于同一期犯罪来说
[02563.16-02566.24] 不能存在两个犯罪形态明白吧
[02567.24-02568.88] 在这里说得非常清楚
[02568.88-02571.80] 他如果在上一个阶段已经怎么样
[02571.80-02573.80] 他如果在上一个阶段已经计随了
[02573.80-02575.64] 那他后面在做的就不能说
[02575.64-02577.08] 他不计随有事中止
[02577.08-02578.80] 因为同一个犯罪
[02578.80-02581.00] 他不能存在两个犯罪形态
[02581.00-02582.68] 所有的犯罪形态之间
[02582.68-02584.72] 都是互相排斥的
[02584.72-02587.40] 而终局性形态成立的条件就是
[02587.40-02589.08] 犯罪引人彻底结束
[02589.08-02590.80] 犯疫已经彻底消除了
[02590.80-02593.04] 他在实施杀害他妻子的行为之后
[02593.04-02594.16] 他点下抽烟的时候
[02594.16-02595.72] 他的犯罪行为就结束了
[02595.72-02597.80] 他杀害妻子的行为已经结束
[02597.80-02598.48] 第二个
[02598.48-02599.92] 他的犯疫彻底消除了
[02599.92-02601.24] 因为他没有在想着说
[02601.24-02603.04] 怎么进一步補刀杀死他的妻子
[02603.04-02604.60] 而是想着怎么回事面记
[02604.60-02605.20] 对吧
[02605.20-02606.04] 所以在这里
[02606.04-02608.60] 他的杀人的这个犯疫已经消除了
[02608.60-02609.60] 这种情况之下
[02609.60-02611.72] 我们就认为他已经进入到了什么
[02611.72-02612.92] 中局性形態
[02612.92-02614.92] 既然是進入了中局性形態的話
[02614.92-02617.72] 各種形態之間就會互相派適
[02617.72-02619.04] 你如果成立據隨
[02619.04-02620.36] 就不能成立中止
[02620.36-02622.36] 所以在這裡面大家一定要注意
[02623.56-02625.04] 這是我們所說的
[02625.04-02625.80] 這個點
[02625.80-02628.96] 它往往會在理解性提目當中出現
[02628.96-02631.44] 做一個我們做體的一個侵入點
[02631.44-02632.60] 這個代表明確
[02632.60-02634.80] 這個就叫做微完成形態
[02634.80-02636.16] 微完成形態當中
[02636.16-02637.84] 我們來看一下有著手之前
[02637.84-02640.28] 之後之後我們說了著手的標準是什麼
[02640.28-02646.48] 是否对反疫产生先使简破和直接的危险对不对
[02646.48-02648.92] 如果没有产生先使简破直揉危险
[02648.92-02650.32] 主在预备阶段
[02650.32-02652.82] 预备阶段因为一直以外的因素被迫停止
[02652.82-02653.88] 就要翻阵一位
[02653.88-02654.36] 怎么办
[02654.36-02658.36] 比照记随反从轻松检行或面出处发
[02658.36-02661.48] 如果是在实行阶段因一直以外的因素
[02661.48-02662.88] 而没有办法继续
[02662.88-02664.48] 这时候就要翻阵位随
[02664.48-02667.92] 翻阵位随比照记随反从轻松或者是检行处发
[02667.92-02669.16] 有没有面出啊
[02669.16-02669.72] 没有
[02669.72-02672.20] 那未损他是结果没有发生
[02672.20-02674.12] 那还有一种也是犯罪结果不能发生
[02674.12-02675.64] 就叫做什么不能犯
[02675.64-02676.76] 不能犯无罪
[02676.76-02678.48] 一个叫做对象不能犯
[02678.48-02679.96] 一个叫做手段不能犯
[02679.96-02682.28] 但如果你在犯罪过程当中
[02682.28-02684.68] 出于自己的原因
[02684.68-02686.36] 就是你自动放弃犯罪
[02686.36-02687.68] 你能继续下去
[02687.68-02689.04] 只要你在拥挨一点点
[02689.04-02690.12] 你就能继续下去
[02690.12-02691.84] 但是你出于什么
[02691.84-02694.72] 你出于自身的这种良心发现也好
[02694.72-02696.28] 各种各样的自身的因素也好
[02696.28-02697.16] 你自动放弃
[02697.16-02698.88] 就是能继续而放弃
[02699.72-02701.72] 那我們就稍後做分子中止
[02701.72-02703.80] 分子中止沒有造成損害的
[02703.80-02706.32] 應當免造成損害的應當兼
[02706.32-02707.72] 因為主文一個很小
[02707.72-02710.16] 有沒有比照記隨飯的說法
[02710.16-02712.08] 沒有這個點大注意一下
[02712.08-02713.52] 就是兩大從考點
[02713.52-02715.12] 第一大從考點的就是我說的
[02715.12-02716.44] 你要能過去區分
[02716.44-02717.96] 預備中止和衛水
[02717.96-02718.80] 考按立的時候
[02718.80-02719.64] 能給它分開
[02719.64-02721.24] 第二大從考文字遊戲
[02721.24-02722.88] 它們的處法原則的時候
[02722.88-02723.92] 你要能夠知道
[02723.92-02725.16] 都對應好就可以了
[02725.16-02727.68] 這個時候我們所說的分子行態
[02727.68-02728.92] 那我們來看一下吧
[02728.92-02729.68] 下面
[02729.68-02731.66] 看一下这个题目
[02731.66-02734.42] 说假微道气去商场财点把财点化出来
[02734.42-02735.20] 查看情况
[02735.20-02737.94] 这么给我买头套去强点也行是一样的嘛
[02737.94-02739.70] 说阴形劲可以被玩
[02739.70-02740.26] 抓获
[02740.26-02742.46] 从来看一下财点查看情况
[02742.46-02745.54] 有没有对反应造成现实警破直接的危险
[02745.54-02747.30] 没有什么叫现实警破
[02747.30-02748.32] 你要去道气
[02748.32-02749.98] 道气它左手的标准是什么
[02749.98-02751.98] 你已经要开身手去拿人的东西了
[02751.98-02752.50] 对吧
[02752.50-02754.62] 这个才是现实警破直接
[02754.62-02755.64] 那这里就是
[02755.64-02759.68] 主要是之前直前直前
[02759.68-02760.92] 第二个你看
[02760.92-02762.84] 音形继可以被保安抓过
[02762.84-02765.48] 同时想被保安抓是自动的
[02765.48-02767.24] 还是被主动的
[02767.24-02768.12] 是被动的
[02768.12-02769.96] 是意志以外的
[02769.96-02770.84] 你看
[02770.84-02772.20] 在主要之前
[02772.20-02773.48] 意志以外的因素
[02773.48-02774.84] 你没能实行犯罪
[02774.84-02776.12] 他属于犯罪什么階段
[02777.08-02778.12] 犯罪愚备階段
[02778.12-02778.52] 对吧
[02778.52-02779.80] 所以第一体选择的是
[02779.80-02780.84] 也训相
[02780.84-02781.88] 第二体来看一下
[02781.88-02783.08] 假裏了谋杀意
[02783.08-02784.52] 在以犯罪中偷读
[02784.52-02789.00] 同時來看一下頭獨有沒有對法義產生現實緊迫直接的危險
[02789.56-02792.56] 有是為已經產生了現實緊迫直接危險
[02792.56-02796.60] 因為我單反吃上一口我就隨時都瀕了
[02796.60-02801.32] 對吧所以在這時候他已經對法義產生現實緊迫直接的危險了
[02801.32-02804.24] 那這種情況之下他屬於左手牽來做的時候
[02804.24-02807.16] 他屬於左手之後
[02807.64-02809.48] 如果說什麼叫做左手牽
[02809.48-02811.32] 你在去買獨要的路上的
[02811.32-02812.96] 你這個時候才叫做左手牽
[02812.96-02825.46] 对吧,你一都已经投赌了,我随时吃随时都能打了,是不是对我的法御造成了现实警破直接为现,所以他属于在桌手之后,桌后是以言,也有事未吃到,未吃到是
[02826.26-02842.36] 我们所说的讲,自动放弃的还是假意志以外的因素,假意志以外的因素,那既然是假意志以外的因素,我来问一下大家,他属于什么,犯罪,你看,桌手之后意志以外的因素就叫做犯罪
[02842.36-02846.52] 所以照体宣则是随选项
[02847.52-02849.00] 来看一下第三体
[02849.00-02852.60] 这三体说下列数以犯罪预备的情形的事
[02852.60-02855.16] 放在预备的条件主手之前
[02855.16-02858.08] 第二个意志以外那早一下班
[02858.08-02858.76] 看一下
[02858.76-02859.52] A-Shan
[02859.52-02862.08] 说假在小项内蓝柱意
[02862.08-02863.60] 预实行强节
[02863.60-02864.32] 你看
[02864.32-02866.20] 已经在小项之内蓝柱
[02866.20-02867.76] 你小要实行强节了
[02867.76-02869.44] 是不是准备行为
[02869.44-02874.34] 蓝注意疫事情抢减已经到了小小里了
[02874.34-02877.34] 他现在如果在网前一步是不是就已经开始抢握了
[02877.34-02881.24] 这个时候你看他这个时候是在我们所说的什么
[02881.24-02883.24] 卓手以后了吧
[02883.24-02887.26] 卓手以后进入到实际上期待却被以制服没想到以
[02887.26-02889.92] 对吧黑代什么台旋到什么巴西融树
[02889.92-02891.44] 程度练过没打过
[02891.44-02894.44] 这就是由于假意志以外的因素
[02894.44-02898.64] 你看这里面卓手以后一直以外属于犯罪的什么
[02898.64-02900.64] 封水
[02900.64-02901.64] 分水的位水
[02901.64-02903.64] 你看 隔著手機後
[02903.64-02904.64] 偷到手機後
[02904.64-02907.64] 因價格上位談妥
[02907.64-02909.64] 維出手邊
[02909.64-02910.64] 抓獲
[02910.64-02911.64] 偷偷鞋
[02911.64-02912.64] 犯什麼罪
[02912.64-02913.64] 到寫罪
[02913.64-02914.64] 偷到手以後
[02914.64-02915.64] 偷到手以後
[02915.64-02916.64] 他就已經怎麼樣
[02916.64-02918.64] 犯罪結果已經
[02918.64-02919.64] 實現了
[02919.64-02920.64] 所以這個手就已經怎麼辦
[02920.64-02921.64] 寄水了
[02921.64-02922.64] 偷到手後
[02922.64-02923.64] 你沒賣出去那是你的事
[02923.64-02924.64] 但是我們說了
[02924.64-02925.64] 你沒賣出去
[02925.64-02926.64] 他不妨愛
[02926.64-02927.64] 我們所說的
[02927.64-02929.18] 中句形態的呈現
[02929.18-02931.48] 翻證的中句形態呈現是什麼
[02931.48-02933.06] 第一個是翻證形為解數
[02933.06-02934.44] 第二是翻譯消除
[02934.44-02936.08] 你的翻譯形為已經解數了
[02936.08-02936.54] 對吧
[02936.54-02937.70] 所以偷到手機之後
[02937.70-02939.42] 你成立的就是寄水
[02939.42-02941.64] 所以第二題不是預備
[02941.64-02943.00] 看一下第三題
[02943.00-02945.46] 說假未隨身業回家的空間
[02945.46-02946.44] 預行不軌
[02947.36-02948.40] 微隨
[02948.40-02949.36] 預行不軌
[02949.36-02952.72] 然後說被小區的保安下退
[02952.72-02954.94] 這個時候你看他未隨這個空間
[02954.94-02957.18] 未隨行為數是為了實施犯罪
[02957.18-02960.00] 他遇行不鬼,是否可能是要抢人家的东西
[02960.00-02963.32] 你看,这时候他有没有开始逐手去抢
[02963.32-02966.66] 有没有开始逐手去使用其他的一些强迫性外
[02966.66-02968.70] 还没有只是跟着他
[02968.70-02971.78] 跟着他的话,一定是有一段距离的
[02971.78-02974.08] 这时候就没有对他产生什么
[02974.08-02976.38] 就没有对他产生现实警迫
[02976.38-02979.70] 直接的为害,无论是对于这个空姐的财山法义
[02979.70-02981.76] 还是对于我们所说的这个空姐的什么
[02981.76-02986.10] 就空姐的其他的一些权益,说都没有产生现实警迫直接的危险
[02986.10-02988.14] 因为他只是委随
[02988.14-02991.30] 那他委随的话 他只是处于什么
[02991.30-02993.50] 为什么是犯罪而准备条件吗
[02993.50-02995.14] 他是为左手实是犯罪
[02995.14-02998.34] 所以在这里面他已经是在左手之前
[02998.34-03000.58] 你委随人家就做准备嘛
[03000.58-03003.18] 但是被保抑下退意志的意外
[03003.18-03004.86] 左手之前意志意外
[03004.86-03006.54] 那他就属于我们所说的什么
[03006.54-03008.30] 预备
[03008.30-03010.54] 所以只要停在选的是谁
[03010.54-03014.02] 看一下地说假摩刀 摩刀 摩刀 摩刀
[03014.02-03016.14] 具備行為 還沒有說是要殺人
[03016.14-03017.82] 對吧 摸到碎是預備行為
[03017.82-03020.26] 那你看在預備行為的話只能是在什麼階段
[03020.26-03021.22] 預備階段白
[03021.22-03023.50] 說假摸到預殺還有雜誌的領域
[03023.50-03024.46] 就分的一言
[03024.46-03026.18] 但是看到以了幽子之後
[03026.18-03027.78] 新軟降高燈掉
[03027.78-03029.78] 也是他想要去殺人家
[03029.78-03031.54] 但是主動放棄了
[03031.54-03032.66] 因為新軟了嗎
[03032.66-03034.18] 自身因素自動放棄
[03034.18-03035.50] 那他成立的是什麼
[03035.50-03036.30] 終止
[03036.30-03037.54] 所以這要體能要問數一
[03037.54-03038.62] 範圍位的事
[03038.62-03040.26] 那這時候就是我們所說的
[03040.26-03041.14] 隨選項
[03041.14-03042.26] 那只要體能要注意
[03042.26-03044.94] 你再去去分他是不是翻这一辨分的终止之后
[03044.94-03046.34] 他其实就是两步走
[03046.34-03047.10] 哪两步呢
[03047.10-03048.30] 第一步判断
[03049.14-03051.86] 就是判罪形态判断的两步走
[03051.86-03053.34] 第一步就是判断
[03053.34-03054.22] 接断
[03054.22-03058.26] 判断是在主手前还是主手后
[03059.70-03061.22] 第二步判断什么
[03061.22-03063.90] 主科主动还是被动
[03063.90-03065.70] 如果是主动终止
[03065.70-03066.58] 如果是被动
[03066.58-03069.30] 那这个时候要么是预备要么是位随
[03069.30-03070.14] 所以你看
[03070.14-03072.50] 就是最多的制在借斷上
[03072.50-03076.62] 同们对于现实检破的直接一定要一个概念
[03076.62-03079.58] 对法艺产生现实检破直接的危险
[03079.58-03082.18] 才是我们左手的认定的表准
[03082.18-03085.26] 如果没有对法艺产生现实检破直接的危险
[03085.26-03087.50] 它就是在左手之前
[03087.50-03088.78] 就是在左手之前
[03088.78-03092.22] 所以很多同学在这一定要注意
[03092.22-03094.22] 那说老师我实在是记不住
[03094.22-03095.78] 它到底是不是左手
[03095.78-03096.78] 我来教大家
[03096.78-03099.22] 比如说我们最常见的几个
[03099.22-03100.30] 我把他寫在哪呢
[03100.50-03101.30] 把他寫在这吧
[03101.30-03101.58] 好吧
[03101.58-03103.42] 我在这里给大家做一个简单的总结吧
[03103.42-03103.90] 好吧
[03104.10-03106.14] 比如说我们最常见的考的这个犯罪
[03106.14-03107.18] 比如说抢节罪
[03107.38-03109.58] 抢节罪他的主手标准是什么
[03109.70-03111.54] 抢节罪的主手标准是已经开始
[03111.54-03112.78] 暴力鞋破
[03112.78-03115.42] 或者是才娶我们所说的什么
[03115.78-03118.02] 才娶我们所说的抢之手段了
[03118.42-03121.62] 这个时候才叫做现实警破
[03121.74-03122.98] 直接的威胁
[03122.98-03124.46] 显示警破直接的威胁
[03124.46-03125.30] 所以在这里面
[03125.30-03126.66] 大家一定要注意一下
[03126.66-03128.30] 这是我们所说的抢节罪
[03128.30-03130.86] 就是他已经开始暴力压制你了
[03130.86-03132.46] 你说他就开始拿到比着你
[03132.46-03135.10] 说你干净的把东西教出来不教出来我的弄死你
[03135.10-03136.62] 那你看这个时候就已经开始了
[03136.62-03137.90] 才去强制手段了
[03137.90-03139.98] 这个时候才被认定叫做桌手
[03139.98-03142.38] 还有一个就是我们常见的强监罪
[03142.38-03144.10] 那你看像刚才那个空姐
[03144.10-03145.98] 他遭了美随人家预行不贵
[03145.98-03149.26] 那对于强监罪来说什么是我们所说的这个桌手呢
[03149.26-03150.94] 是使用暴力协迫
[03150.94-03153.10] 或者是强制手段的时候一样的
[03153.10-03154.98] 当他暴力协迫妇你
[03154.98-03158.10] 或者是一起他手段压制服你反抗的时候
[03158.10-03161.82] 牆之手段壓制副女反抗的時候
[03161.82-03164.62] 他就已經是什麼進入到主手了
[03164.62-03166.62] 而並非實施堅引行為的時候
[03166.62-03168.38] 他才算做主手 明白吧
[03168.38-03170.06] 因為像這種行為
[03170.06-03171.98] 他已經開始我們所說的什麼
[03171.98-03174.66] 已經開始對我的法義產生的叫做
[03174.66-03176.58] 現實緊迫直接的影響
[03176.58-03178.70] 這個才是主手的判斷標準
[03178.70-03180.30] 還有在這大家要注意一下
[03180.30-03183.38] 那還有就是我們所說的道歉罪
[03183.38-03184.98] 那道歉罪不要常靠的
[03184.98-03186.42] 其實就是入戶道歉
[03186.42-03187.46] 入户道歉
[03187.46-03189.50] 什么时候才算做着手呢
[03189.50-03191.98] 开始敲门的时候才算做着手
[03191.98-03193.06] 所以入户道歉
[03193.06-03193.98] 我在这里就不守
[03193.98-03195.18] 不给大家去写了
[03195.18-03195.78] 好吧
[03195.78-03197.42] 在网相的不要长间的
[03197.42-03198.58] 就是炸片罪
[03198.58-03199.74] 相重才算新的分罪
[03199.74-03200.42] 不要长间
[03200.42-03201.70] 你看像这种炸片罪
[03201.70-03203.14] 什么时候算做着手呢
[03203.14-03205.54] 开始像背害人时实是炸片
[03206.66-03208.26] 你开始偏他的时候
[03210.78-03211.82] 时实
[03214.02-03215.34] 炸片的时候
[03215.34-03218.58] 那这种情况之下才算做炸片最个什么
[03218.58-03219.24] 捉售
[03219.24-03220.66] 这几个是比较长见的
[03220.66-03222.30] 当然还有刚才我说的道气最
[03222.30-03223.86] 如果你是入乎道气的话
[03223.86-03225.78] 你开始敲门的时候
[03225.78-03227.34] 他才算做着售
[03227.34-03229.30] 如果说你是普通的道气的话
[03229.30-03230.46] 你这个时候开始怎么样
[03230.46-03232.30] 是手去偷人的东西的时候
[03232.30-03234.30] 你才算做什么才算做着售
[03234.30-03236.34] 所以在这里面你一定要能够分析
[03236.34-03238.02] 就是找到那个感觉
[03238.02-03239.92] 就什么叫现实
[03239.92-03242.02] 紧破直接的危险
[03242.02-03244.62] 就是下一个它马上就要清晃到你的权利了
[03244.62-03247.98] 这种情况这下才叫做现实紧破之间
[03247.98-03249.58] 所以在这里大家明确
[03249.58-03252.46] 我在这里大家总结了几个相对来说不要常见的
[03252.46-03253.82] 这是第三个
[03253.82-03257.18] 所以一个就是假订旅游新闻院和预杀死女有
[03257.18-03259.90] 过某日假借顾来到一家
[03259.90-03261.98] 将一整平安眠草物咖啡当中
[03261.98-03262.94] 让一喝下你看
[03262.94-03264.46] 安眠草物品了
[03264.46-03265.82] 已经入咖啡了
[03265.82-03268.46] 说建议是在床上婚事
[03268.46-03270.06] 认为药物已经发挥作用
[03270.06-03272.06] 随即尋找自杀之处
[03272.06-03284.36] 说呢,假排会有一整天,新生毁疫情到回头,又就发现,以呢,已经被他人送往运墙就并无生命危险,在这里面,他认为假的这个行为,他属于什么。
[03284.36-03301.96] 同时,先来看一下,在这个地方,他说了,我们先来判断,他有没有进行左手来,这是第一步,对不对,因为你只要进行判断,他会进行左手,我们才能过去判断出来,他属于什么形态,说假对,你女友,新生愿很小,杀他,所以你看,
[03301.96-03305.24] 将一整瓶、按面要拆入咖啡让银喝下
[03305.24-03307.36] 按面要已经拆入咖啡了
[03307.36-03310.40] 这个时候一整瓶喝下去随时可能会死
[03310.40-03312.52] 有没有对以的行为产生
[03312.52-03315.68] 现实检破直接的危险对它的法律产生了
[03315.68-03316.12] 对吧
[03316.12-03318.64] 那这个时候就是在着手之后
[03318.64-03319.20] 你看
