[00000.00-00003.14] 好的 那我们了解了什么是形容主体之后呢
[00003.14-00005.80] 来看一下第四个问题就叫做形容行为
[02462.24-02463.32] 在这不一大说了
[02463.32-02466.80] 就是官官民之间最为核心的
[02466.80-02468.64] 就是行政行为了
[02468.64-02472.44] 所以在行政行为当中讲了行政行为的效力靠含意
[02472.44-02475.84] 讲了行政行为的分类重点在于具体行政行为
[02475.84-02478.44] 具体行政行为做理解人题目非常好变息
[02478.44-02480.24] 就看他有没有人民就行了
[02480.24-02480.74] 对吧
[02480.74-02485.24] 但是如果说在这里面没有办法通过他是不是有人民而来进行
[02485.24-02488.04] 相当的这个区分就要再看得详细写
[02488.04-02490.04] 就看他是不是特定的
[02490.04-02493.20] 我们就看具体行政行为有没有什么特定性
[02493.20-02495.64] 除分性外部行合行政行了
[02495.64-02499.12] 这个就是我们所说的行政法的概束
[02499.12-02500.68] 还是一样的同们主意
[02500.68-02502.96] 它的难度没有特别的难
[02502.96-02504.92] 只我特别的肉
[02504.92-02507.72] 可能对于很多同一来生事老师这个讲的很浅
[02507.72-02510.56] 但对一些真的没有什么基础的小伙伴
[02510.56-02512.36] 它联行政机关
[02512.36-02514.36] 什么权力机关都分目清楚的稍微把
[02514.36-02515.80] 它这个地方就会比较难
[02515.80-02517.48] 大致养行政法
[02517.48-02518.84] 它所讲解的那种
[02518.84-02521.24] 一定是行政机关内部的
[02521.24-02523.00] 不然它也不能叫行政法
[02523.00-02525.60] 所以你只考虑政府机器不然就行了
[02525.60-02528.84] 你不要把什么人大 党的机关都给我脚回信来
[02528.84-02531.44] 人大 党的机关全人场
[02531.44-02533.64] 它不是形状法的挑战犯位
[02533.64-02534.44] 明白了
[02534.44-02536.24] 在这里我们只考虑政府
[02536.24-02538.72] 这一个类型的
[02538.72-02539.68] 就开了
[02539.68-02540.92] 其他的你不要脚进来
[02540.92-02541.80] 其他不要脚进来
[02541.80-02543.12] 其他什么人大什么
[02543.12-02545.32] 那不是形状法的挑战犯位了
[02545.84-02549.76] 好 这个就是整个形状法概束的内容
[02549.76-02550.88] 那咱们做的题外
[02550.88-02552.96] 说下令属于抽象形状行为的事
[02552.96-02554.40] 就抽象形状是什么
[02554.40-02558.08] 反覆普遍使用上面沒有人民
[02558.08-02559.52] 這個叫出現行政行為
[02559.52-02563.88] 來看一下說交警對違反交通交通規則的
[02563.88-02566.08] 機動車駕駛人出100元罰款
[02566.08-02568.32] 100元罰款還針對的是什麼
[02568.32-02569.88] 針對的是特定的人
[02569.88-02573.12] 那你看一下處罰罰款屬於行政處罰
[02573.12-02575.76] 我們再後面講到行政處罰的話
[02575.76-02578.08] 他屬於具體行政行為
[02578.08-02580.12] 所以來看一下
[02580.12-02581.36] 英選項正確
[02581.36-02582.08] 閉選項
[02582.08-02584.16] 說視教育局對於中學老師
[02584.16-02586.12] 違反式的行為進行批評
[02586.12-02586.88] 同胞
[02586.88-02589.12] 批評通報也屬於行政處理法
[02589.12-02589.88] 他也沒有問題
[02589.88-02591.44] 而且對違反式的老實
[02591.44-02593.56] 我說的看人民席的
[02593.56-02594.32] 洁人民的
[02594.32-02596.72] 就看他是否針對特定人
[02596.72-02598.12] 所以閉選項政權
[02598.12-02598.88] 來看一下
[02598.88-02599.60] 隨選項
[02599.60-02601.44] 所以像說姆士
[02601.44-02603.04] 健康也會招夢
[02603.04-02604.72] 有沒有人有強制格理
[02604.72-02606.12] 行政強制措施
[02606.12-02606.76] OK
[02606.76-02607.40] 沒有問題
[02607.40-02609.20] 行政強制措施
[02609.20-02610.56] 屬於具體行政行委
[02610.56-02613.24] 所以 ABC都是什么呢?都是继题的
[02614.76-02615.60] 来看一下
[02615.60-02616.60] 第四个选项
[02616.60-02619.40] 说世光安局在道路路口
[02619.40-02621.24] 说这个时候禁止通行
[02621.24-02624.00] 有没有说针对特定的人不让他通行
[02624.00-02624.76] 没有
[02624.76-02626.20] 这里面只是针对的是什么?
[02626.20-02627.80] 只是针对社会普遍的问题
[02627.80-02629.20] 所以他属于什么问题
[02629.20-02631.80] 他属于抽象形狀行为
[02633.04-02634.80] 所以这要停开选择的是啊
[02634.80-02635.64] 死地
[02635.64-02638.36] 越能同学对AB说老实机动车鸡鸡人
[02638.36-02639.52] 没有出现人民哦
[02639.52-02642.48] 对于中学老师也没有出现人民哦
[02642.48-02643.04] 我说了
[02643.04-02645.44] 那你这个时候没有办法通过人民判断的话
[02645.44-02649.36] 就要从他的什么来判断特定性
[02649.36-02652.24] 处分性行政性
[02652.24-02653.96] 对吧等到这些特性来判断
[02653.96-02657.04] 那我再欢一种说法给大家说吧
[02657.04-02659.60] 就是如何判断他是具体形政行为
[02660.72-02663.44] 首先第一种方法就是看人民
[02665.68-02667.92] 所以想有人民的指定是具体的
[02667.92-02671.12] 第二個沒有人沒有辦法判斷的時候看什麼呢?看特性
[02671.12-02672.72] 咱們講了四個特性
[02672.72-02676.72] 你說老師這個特性判斷對我來說難度也很大的時候
[02676.72-02680.32] 那這時候就採取具體形容形為判斷的第三種
[02680.32-02682.92] 就是看一下它是否數獄?
[02684.92-02691.72] 是否是行政處罰?行政許可?行政強制?
[02693.92-02696.12] 行政徵收徵用?
[02697.92-02702.92] 还有行政后面会讲到行政协议
[02702.92-02704.92] 你看他是不是这几个方面的问题
[02704.92-02707.92] 因为这几个内容都是我们后面要给大家去讲的什么
[02707.92-02708.92] 具体行政行为
[02708.92-02711.92] 所以在这里你看触发和通貌批评
[02711.92-02712.92] 它主义行政触发
[02712.92-02714.92] 行政触发是具体行政行为
[02714.92-02716.92] 那 AB就是 AB就是
[02716.92-02719.92] 这是针对于具体行政行为的变息
[02719.92-02722.92] 第2看人民没有人民看什么看特性
[02722.92-02723.92] 看特性
[02723.92-02725.92] 你说老师这个特性
[02725.92-02727.80] 特性我就比较难
[02727.80-02729.56] 我就只能记得一个形政性
[02729.56-02731.28] 你就记得什么战争
[02731.28-02732.16] 卖交啊不是
[02732.16-02732.72] 那也行
[02732.72-02734.28] 你就把特性当中
[02734.28-02735.04] 咱们强调的
[02735.04-02736.44] 最后一个形政性记住
[02736.44-02738.40] 最后一个就是去背一些
[02738.40-02740.64] 咱们常见的具体形政性为
[02740.64-02741.68] 形政处发形政处
[02741.68-02742.76] 形政处和形政强制
[02742.76-02743.44] AB
[02743.44-02745.44] 它都属于形政处发的内容
[02745.44-02746.68] 所以在这里面
[02746.68-02747.56] 那就只有地
[02747.56-02749.88] 没有出现特定的人和事
[02749.88-02750.64] 只是说了
[02750.64-02751.60] 8点到
[02751.60-02752.60] 晚上8点
[02752.60-02754.40] 非本是车量进行同行
[02754.40-02757.00] 所以这道体选择的是四弟
[02757.00-02758.08] 那选四弟
[02758.08-02760.04] 所以这是第一体大主意下
[02761.04-02762.08] 第二体来看一下
[02762.08-02764.42] 说居于行政主体地位的是
[02764.42-02767.88] 找行政主体要么是机关要么是受限组织
[02767.88-02768.60] 看一下吧
[02768.60-02771.32] 说某区财政局先把採用局话出来
[02771.32-02772.76] 说为改善办公条件
[02772.76-02775.60] 你再用办公楼上加盖层变将该工程
[02775.60-02778.20] 该工程给建筑公司使用
[02778.20-02781.08] 建筑工程当中说话一下又出现一个主体
[02781.08-02784.66] 說趨勃歸化局 以加代樓層未經批准的有
[02784.66-02787.48] 責令趨勃行政局在現行內拆除
[02787.48-02791.32] 就是告訴你這個趨勃就說了你這屬於為張建築
[02791.32-02793.12] 沒有什麼許可 再給拆了
[02793.12-02797.72] 說在等按行政法律官選中 趨勃行政主體地位的事
[02797.72-02799.52] 那你還誰是行政主體地位
[02799.52-02801.04] 行政主體是什麼
[02801.04-02805.14] 行政主體事實施行政行為的
[02805.14-02812.78] 成正行为的行政机关
[02812.78-02817.54] 合组之班
[02817.54-02818.54] 对吧
[02818.54-02820.38] 那就帮到一下吧
[02820.38-02822.30] 在体验当中出现了几个行政机关
[02822.30-02825.34] 两个一个是区财政局
[02825.34-02827.14] 一个是区域规划局
[02827.14-02828.86] 这里面没有什么授权组之
[02828.86-02829.90] 没有这建筑公司
[02829.90-02831.18] 它就不属于行政主体
[02831.18-02832.78] 所以建筑公司直接排除掉了
[02832.78-02835.34] 那又只有區財政局和區域規劃局
[02835.34-02836.74] 那形容主題是哪個
[02836.74-02838.46] 是實施形容形為的
[02838.46-02840.22] 誰實施形容形為
[02840.22-02841.34] 區財政局嗎
[02841.34-02843.14] 雖然就是說只是我想蓋一套
[02843.14-02844.94] 這屬不屬於形容形為
[02844.94-02845.50] 不是
[02845.50-02846.78] 而區財政局說的什麼
[02846.78-02847.74] 讓它怎麼樣
[02847.74-02848.98] 現期拆除
[02848.98-02850.10] 讓它去拆除
[02850.10-02851.34] 是否給它一定欺限
[02851.34-02853.98] 所以誰才是做出形容形為的主題
[02853.98-02855.82] 形容這個裡面的什麼
[02855.82-02857.78] 區規劃局
[02857.78-02860.46] 這裡面是我們所說的區域規劃局
[02860.46-02861.70] 所以區域形容主題的
[02861.70-02863.24] 这个是規劃局
[02863.24-02865.80] 这个就是形状主体的什么概念
[02865.80-02868.10] 咱们再回头看一下形状主体的概念
[02868.10-02869.90] 形状主体的概念在这了
[02869.90-02874.26] 以最的名义看时师国家形状管理只能的
[02874.26-02877.32] 时师形状只能时师管理的
[02877.32-02880.90] 刚才在这两个局当中谁时师了形状管理
[02882.18-02884.24] 谁形状的谁时师了形状管理
[02885.00-02886.28] 区规划决时时了
[02886.28-02888.08] 那谁时师管理谁是什么
[02888.08-02888.84] 谁是
[02889.60-02890.62] 形状主体外
[02890.62-02892.40] 所以第二题选择的是
[02892.40-02893.94] A选项,这第二题
[02893.94-02895.74] 第三题来看一下说
[02895.74-02897.28] 一经做出后
[02897.28-02898.94] 都被推定为何发有效
[02898.94-02900.86] 一经做出推定何发有效
[02900.86-02901.62] 属于什么列
[02901.62-02903.42] 属于工定力
[02903.42-02905.98] 執行力是可强制執行
[02905.98-02906.74] 对不对
[02906.74-02908.02] 而确定力是什么
[02908.02-02909.06] 是内容确定
[02909.06-02910.34] 内容确定能不能改
[02910.34-02911.34] 不改不撤
[02911.34-02911.86] 对吧
[02911.86-02912.74] 居数力是什么
[02912.74-02913.90] 是必须要挑
[02913.90-02915.70] 是必须要遵守遵循的
[02915.70-02917.50] 所以第三题选择的是
[02917.50-02918.26] 第二个
[02918.26-02920.18] 这个就是整个形容法的
[02920.18-02924.88] 蓋樹,同時在行政把蓋樹當中,先去大家有位形狀法
[02924.88-02931.98] 它的一些基本的概念,充分理解,它的一些藥素之後,後面的內容對你來說就會非常簡單了
[02931.98-02935.58] 所以,功夫下在前,大家不要覺得這個地方,才有點慢
[02935.58-02940.58] 慢慢來,因為它本身就理我們生活,大部分同學的生活就比較遠
[02940.58-02945.18] 因為我們雖然平身遇到,但也不會去思考它,所以慢慢來不著急
[02945.18-02948.18] 好,這個就是行政法的蓋樹
