[00000.00-00004.60] 今天我们要进入到马斯主义哲学当中的微霧论的内容的学习
[02506.26-02507.70] 抽象出來的第一個點
[02507.70-02509.80] 同们在旁边标主一下
[02509.80-02511.60] 这只要从他的含义也好
[02511.60-02513.08] 他的表现形势也好
[02513.08-02514.90] 抽象出两个答体关键刺
[02514.90-02517.08] 就关键刺就是不便
[02517.96-02519.30] 因为我们前面说了
[02519.30-02520.12] 我们说了
[02520.38-02521.58] 运动是变化
[02521.58-02523.36] 而静止就是不便
[02523.36-02524.90] 这个时候有同学用盟了
[02524.90-02526.24] 说老师不对不对
[02526.24-02527.36] 就说等会儿就履一下
[02527.36-02528.30] 我们前面在讲
[02528.30-02529.80] 协尔上学的时候讲到了
[02529.80-02531.70] 孤立、骗面和静止
[02531.70-02533.40] 在那里面也强高的静止
[02533.40-02535.30] 如果是那个静止和这个静止
[02535.30-02536.30] 有啥不一样的呢
[02536.30-02539.18] 搭住一下 邪二上学当中的禁止
[02541.38-02542.66] 他强调的是什么
[02542.66-02545.06] 他强调的是 绝对禁止
[02545.06-02548.82] 所谓的绝对禁止 指的是一遍古典
[02551.34-02552.22] 还记得吗
[02552.22-02554.66] 还记得咱们之前给大家讲的客族球件
[02554.66-02556.38] 我的建调到实力能够实吗
[02556.38-02559.50] 在我的眼里 建的位置永远没有发生变化
[02559.50-02560.46] 这叫一遍古典
[02560.46-02561.98] 这是邪二上学的观点
[02561.98-02564.14] 而马斯主义当中的禁止
[02564.14-02567.14] 强调的是什么呢?强调的是相对精致
[02568.94-02570.62] 它这个相对是啥意思?
[02570.62-02573.14] 就是本身事务是在变化的
[02573.14-02577.94] 只不过它在特定条件之下处在了精致的状态
[02577.94-02579.34] 这个就要相对精致
[02579.34-02583.74] 相对精致我们就认为它是不变而不是一变不变
[02583.74-02584.42] 明白了吧?
[02584.42-02586.22] 所以在这里摆它两区分开
[02586.22-02591.74] 但是那个学生上学和马斯所调调的这个精致的这种关键
[02591.74-02595.70] 同认不用去做那么减格的就是就那个针
[02595.70-02599.02] 说老师我就在那个提干的那我就要看他提到一遍不便
[02599.02-02601.30] 或者就要看他提到什么相对精神
[02601.30-02602.18] 你不要是这个样子
[02602.18-02603.70] 因为他有的时候考试的时候
[02603.70-02605.22] 他不会特别的言解
[02605.22-02607.34] 你只要去看提干意思表述
[02607.34-02607.86] 就OK了
[02607.86-02609.54] 只要能够在感觉上去分
[02609.54-02611.90] 绝对精神和相对精神就行了
[02611.90-02614.78] 所以在这里大家不要把这个地方的扣字
[02614.78-02616.38] 就变成了我们的主要矛盾
[02616.38-02618.02] 那个不是打提的主要矛盾
[02618.02-02619.82] 所以我们从精指的概念当中
[02619.82-02620.70] 抽象出来了
[02620.70-02623.50] 大家注意一下抽象出来的是什么不便
[02623.50-02626.50] 这个点一会会用到大小注意
[02626.50-02628.90] 这个是相对精指的概念
[02628.90-02630.90] 理解了相对精指是什么
[02630.90-02634.70] 我们就来看一下我们所在马斯主义哲学上的提到的精指
[02634.70-02636.10] 它的特点是上
[02636.10-02639.50] 我们来看一下在这里面下面这句话写上缺二
[02639.50-02643.90] 这句话呢它本身是一个医生级的判断体或者是判断显相
[02643.90-02647.30] 它们的精指是运动的一种特殊状态
[02647.30-02648.30] 这个可以理解吧
[02648.30-02651.18] 比如说我们现在所提到的这种静止
[02651.18-02653.90] 它其实是很凉变化的
[02653.90-02657.14] 它可能是出现在这个树变化的某一个阶段
[02657.14-02658.62] 做一个参照标杆
[02658.62-02659.82] 所以我们说了
[02659.82-02661.78] 马斯所强调的相对静止
[02661.78-02665.22] 它是运动的一种特殊状态
[02665.22-02667.22] 是运动的一种特殊状态
[02667.22-02669.34] 所以它如果给到一句话
[02669.34-02672.46] 说马斯所强调的静止
[02673.50-02676.10] 是不显出的运动
[02678.30-02680.50] 这句话对不对呢?
[02680.50-02681.82] 可没想一下
[02681.82-02684.10] 说马斯所强调的相对禁止
[02684.10-02686.10] 是一种不显租的运动
[02686.10-02687.06] 正说话对不对
[02687.06-02688.30] 当然是对了
[02688.30-02690.34] 因为禁止就意味着什么
[02690.34-02690.98] 普遍
[02690.98-02693.22] 它是纯纯的一遍不遍吗?
[02693.22-02693.66] 不是
[02693.66-02696.50] 它是在运动状态下的一种普遍
[02696.50-02697.50] 所以在这里
[02697.50-02699.50] 它是禁止是一种不显租的运动
[02699.50-02701.10] 正说法是对的
[02701.10-02702.94] 而我们所说的这种相对禁止
[02702.94-02704.10] 它和绝对运动不一样
[02704.10-02706.54] 绝对运动它是无条件的用恒的
[02706.54-02709.84] 绝对的而相对性质值在特定条件之下才能有
[02709.84-02712.54] 只有我拿你做参照物的时候
[02712.54-02714.54] 我们才有一个参照的概念
[02714.54-02716.34] 我知道我是否有发生变化
[02716.34-02718.54] 我是否有发生绿值上的变化
[02718.54-02719.84] 做火车的那个例子
[02719.84-02721.54] 只有在特定条件之下
[02721.54-02722.54] 我和我跑了个对话
[02722.54-02723.54] 他才能知道
[02723.54-02725.34] 我相对要于过去来说
[02725.34-02726.34] 有没有发生变化
[02726.34-02726.54] 对吧
[02726.54-02728.04] 所以你看这种性质
[02728.04-02730.14] 它其实都是有比照和参照的
[02730.14-02734.14] 所以我们就认为它其实是相对的有条件的和暂时的
[02734.14-02736.14] 这是一个一魂点 会谁呢
[02736.54-02739.54] 和我们前面所说的绝对运动
[02739.54-02743.54] 绝对运动是无条件的用恒到绝对的
[02743.54-02747.54] 考试的时候,这个地方就考察一个张观理戴
[02749.54-02752.54] 把这两个特性给你搞反了
[02752.54-02755.54] 那一般贵两个特性搞反了,咱们就知道
[02755.54-02756.54] 他就错了
[02756.54-02760.54] 所以这是我们从静止当中所抽象出来的
[02760.54-02762.54] 那种大家要注意
[02762.54-02765.54] 好,这是我们强调的静止的喊异
[02765.54-02768.54] 但是我们的本质上其实想要探讨一下物质
[02768.54-02770.98] 它的静止和运动之间的关系
[02770.98-02772.50] 这句话就有了
[02772.50-02775.54] 我们来看一下运动和静止到底是啥关系呢
[02775.54-02779.10] 它说物质世界是绝对运动和相对精止的同意
[02779.10-02782.94] 这句话同们注意它是一个两星期的理解形的之间
[02782.94-02783.74] 考驗力
[02786.54-02787.54] 经常给你语句话
[02787.54-02791.14] 然后让你去判断它到底有没有体现绝对运动和相对精止
[02791.14-02792.98] 那一般请大家出现这句话以前的时候
[02792.98-02794.14] 我们愿意去对概念
[02794.14-02798.14] 但是我们既然有了打提观点词就不用往里是对概念了
[02798.14-02801.14] 他只要问你是否体现了绝对弄和相对性质
[02801.14-02805.34] 我们说了绝对弄就是变化相对性质就是不变
[02805.34-02807.70] 他要体现他们两个的统业就看
[02807.70-02810.14] 有没有同时发生变化和不变
[02810.14-02813.54] 如果有那就是绝对弄和相对性质了
[02813.54-02816.34] 这个其实可以用很好的一个例子来解释
[02816.34-02819.54] 咱们接下来讲一个小小的案例
[02819.54-02820.34] 这样令是谁呢
[02820.34-02823.86] 这个案例其实就是我们所说的吹户 吹户
[02823.86-02825.90] 提独成南莊道中的吹户
[02825.90-02828.10] 当然大家都知道 吹户当时看着
[02828.10-02830.78] 看好了一个特别美丽的女子
[02830.78-02832.98] 因为当时去找一户人家去
[02832.98-02833.82] 借水喝
[02833.82-02835.54] 然后他去拍人家门的时候
[02835.54-02837.06] 当初下了一个小压款
[02837.06-02837.70] 那压款说说
[02837.70-02839.82] 公粉你好请问你要找谁
[02839.82-02841.06] 然后当初说说
[02841.06-02842.30] 我现在口课
[02842.30-02844.46] 就是私下找了很多地方都没有地方
[02844.46-02846.42] 可以喝水说来讨论水喝
[02846.42-02847.58] 这小压会就说说
[02847.58-02849.18] 那公子您现在在这里等一下
[02849.18-02850.20] 去帮你承税
[02850.20-02852.58] 然后买这个萃物就在那门口之在那等
[02852.58-02855.32] 在等的时候它就帮那个院子里去看了
[02855.32-02857.88] 它就看到那个院子里面有一个假山
[02857.88-02859.42] 假山下面做了一个美女
[02859.42-02860.58] 然后它当时看到那个美女
[02860.58-02861.72] 它眼睛就放光了
[02861.72-02863.26] 那是它的理想形啊
[02863.26-02864.28] 它这就是想象中的
[02864.28-02866.08] 它的老婆就应该长到那个样子
[02866.08-02867.62] 所以就一直丢着人家看
[02867.62-02869.40] 后来的小姑娘端的水过来
[02869.40-02870.68] 这个小姑娘是个压款
[02870.68-02872.48] 端的水过来之后 萃物喝了
[02872.48-02875.68] 喝了之后 然后啥面没说就走了
[02875.68-02877.84] 走了之后 走两部腿绝都不对机人
[02877.84-02907.84] 她说这小文,这个就是院子里面那个假山下面那个名女儿,长得谁的跳卡了,然后就走了,就他又折走了,在人家那个大门上写的两句话,也不知道他当时写的是什么,然后就走了,走了之后呢,回家就越想,就觉得主动才能允许幸福,然后就想回去,再去找那个女孩子,然后就跟人家提前看一看能不能再一起,然后他就一年之后呢又回到了他原本逃选一个地方,但是不兴的是啊,当他回到原本逃选合的那个地方,
[02907.84-02910.84] 那家已经人去楼空了
[02910.84-02912.32] 他四家去打听说
[02912.32-02914.12] 这家的人到底去了哪里
[02914.12-02916.04] 然后当时真的上的人就跟他说
[02916.04-02918.24] 准备一家的小姐特别的彩
[02918.24-02920.92] 说他就是看到门上写了两句话
[02920.92-02922.20] 他也不知道这两句话
[02922.20-02923.48] 当时是谁写的
[02923.48-02925.40] 最后相思成绩而往
[02925.40-02928.04] 当时吹哄也是新下非常地背后
[02928.04-02931.08] 于是写了一首识叫做题诸程南莊
[02931.08-02932.04] 当时咋写的
[02932.04-02936.32] 叫去年今日死门中人面头花相应红
[02936.32-02938.84] 我去年来的时候 哇美女数项
[02938.84-02940.52] 对吧 我心动的女孩
[02940.52-02941.52] 那这是她写的
[02941.52-02943.24] 透明的两句 大家很熟悉
[02943.24-02946.96] 人面不知何出去 头花一九小春风
[02946.96-02948.56] 说今年我又来了
[02948.56-02949.60] 人去哪了
[02949.60-02950.24] 不知道啊
[02950.24-02951.80] 人面不知何出去
[02951.80-02953.56] 头花一九小春风
[02953.56-02955.44] 花还是那个花 人美了
[02955.44-02956.32] 然后她就问
[02956.32-02957.84] 那 透明这半句
[02957.84-02958.68] 有没有体现
[02958.68-02959.92] 绝对那相对性质
[02959.92-02962.24] 你看 人面不知何出去
[02962.24-02964.00] 发表发生变化了
[02964.00-02965.44] OK 绝对运动
[02965.44-02970.12] 逃花一就小春風一就小春風一就變微變
[02970.12-02973.08] 微變 舒的根本性微變還是那個花
[02973.08-02976.36] 有變有無變 就是絕對如何相對性質
[02976.36-02979.12] 所以同時在做這種題目的時候不要犯難
[02979.60-02980.84] 就抓住官建築
[02980.84-02983.76] 就看它有絕對同時體現變化和補變
[02983.76-02985.84] 如果同時體現了 那麼OK
[02985.84-02988.32] 那就是絕對如何相對性質
[02988.32-02989.68] 這個點非常重要
[02989.68-02992.48] 我們在這裡考察的時候經常會考察到
[02992.48-02993.76] 比如說股石詞
[02993.76-02997.80] 比如说我们经常看到叫《五文中有劲》国家发展的总级调文
[02997.80-03001.64] 文强调辩度辩度不辩进辩度辩化
[03001.64-03003.16] 有辩度不辩杀
[03003.16-03004.60] 决定用相对性质同业
[03004.60-03009.72] 所以这个点是我们在今天这些克当中的第二个打提起销
[03009.72-03011.48] 第一个打提起销靠查误值
[03011.48-03012.52] 咱们刚才说了
[03012.52-03014.96] 只要强调客观实际情况起决定作用
[03014.96-03015.96] 那么欧克选误值
[03015.96-03017.72] 第二个打提起销就是在这
[03017.72-03018.40] 明白了吧
[03018.40-03020.08] 这个点非常非常重要
[03020.08-03021.52] 既有可能考案例
[03021.52-03027.04] 比如說是此有可能烤故事有可能烤國家政策在這裡把它去分開
[03027.04-03029.50] 那這個是我們所說的物質
[03029.50-03032.26] 它的本身的運動官所以大家注意一下
[03032.26-03036.32] 但是這是馬斯看到的 馬斯強調兩者的統一
[03036.32-03038.60] 但是總有一些人 他不強調統一
[03038.60-03040.70] 他只看到其中一方
[03040.70-03043.78] 所以就在這個裡面又野生出來了兩種運動官
[03043.78-03045.20] 那兩種運動官呢
[03045.50-03048.78] 來看 如果他只看到精紙呢
[03048.78-03077.98] 在这里,只承认静指而否认相对运动,只看到静指看不到变化,那就只看到不变,只看到不变,那就是什么,孤立片面静指的,信上学,这其实个前面是一样,咱不需要过度强调,第二个点,需要同样稍微注意一下,它们如果只承认觉得运动呢,如果只看到这个世界是处在变化当中的,那这种观点也没有做到变于不变的同样,那它也是一种错误观点,
[03077.98-03080.80] 我们把这种错过观点叫做相对主义
[03080.80-03081.56] 鬼变论
[03081.56-03083.86] 比如说我们经常会看到一句话
[03083.86-03085.78] 叫人一次
[03085.78-03087.20] 也不能
[03088.48-03089.50] 踏劲
[03092.32-03093.60] 同意调合留
[03094.62-03096.92] 问题 现在什么样的 这句话里
[03097.18-03100.00] 人一次也不能踏劲同意调合留就会啥
[03100.00-03102.04] 我第一次踏劲取的时候
[03102.04-03104.10] 这条合就已经不在时这样合了
[03104.10-03105.64] 当我把脚卖进去的时候
[03105.64-03107.94] 他就已經開始發生變化了
[03107.94-03110.84] 那這個叫人一次也不能踏進同校和流
[03110.84-03113.68] 那就強調這個和一直處在什麼當中
[03113.68-03115.62] 一直處在變化當中
[03115.62-03117.52] 所以他就只看到了什麼
[03117.52-03119.12] 他就只看到了運動
[03119.12-03121.54] 而這個只看到運動就叫小小
[03121.54-03123.96] 就叫做相對主義的貴編論
[03123.96-03125.62] 那這個是我們所說的
[03125.62-03127.48] 人一次也不能踏進同校和流
[03127.48-03130.28] 這句話是當時浮行為了一個人提到的
[03130.28-03132.06] 當時他提到這句話的時候
[03132.06-03135.00] 他覺得自己的這個觀點非常非常之政權
[03135.00-03137.82] 所以当时很多人就觉得他认官的补兑
[03137.82-03139.56] 但是又不太好意思朝笑他
[03139.56-03141.28] 后来当时就有一个剧作家
[03141.28-03143.00] 应该叫做剧作家
[03143.00-03144.72] 排了去出系
[03144.72-03146.52] 然后就当时请这个人去看
[03146.52-03147.54] 然后他就跟他说
[03147.54-03149.64] 他说你看你作为古兴阿当中的质人
[03149.64-03150.02] 对吧
[03150.02-03150.96] 你这个想法
[03150.96-03152.16] 这一般人盖子不到
[03152.16-03153.24] 他们都不是你的之间
[03153.24-03154.20] 我能懂你
[03154.20-03156.32] 于是我专门为你边排了一个句
[03156.32-03157.08] 你要不要来看
[03157.08-03158.88] 你当时就有人说你要给我留前排位
[03158.88-03159.56] P我就去
[03159.56-03161.04] 他说别说前排位P了
[03161.04-03162.20] 包场给你看
[03162.20-03165.32] 结果他就排了这个距离让这个哲学家去看
[03165.32-03166.94] 当时那个聚演的故事
[03166.94-03168.08] 其实大家都很熟悉
[03168.08-03169.00] 就是借钱的故事
[03169.00-03170.14] 梁人在台上演
[03170.14-03172.04] 说来我今天有点困难
[03172.04-03172.96] 你就要钱卖
[03172.96-03173.98] 然后那个人就说行啊
[03173.98-03175.08] 进钱没有问题
[03175.08-03177.32] 然后再说但是我把钱借给你之后
[03177.32-03178.96] 你明天记得还我
[03178.96-03180.82] 然后借钱的人就说
[03180.82-03181.48] OK
[03181.48-03182.32] No problem
[03182.32-03182.68] 对吧
[03182.68-03183.36] 没有问题
[03183.36-03185.96] 就是第二天的借主上门淘债的时候说
[03185.96-03187.04] 你昨天问我借了钱
[03187.04-03188.16] 你把钱还给我办
[03188.16-03189.64] 借钱的人载说了
[03189.64-03192.24] 这个战务人他当时他就说
[03192.24-03193.20] 他说你看
[03193.20-03195.92] 我你让我找你还你找我还你钱
[03195.92-03196.96] 你只是找不到的
[03196.96-03197.44] 为什么
[03197.44-03199.08] 因为借钱的是昨天的我
[03199.08-03200.36] 而不是今天的我
[03200.36-03202.12] 你想要找人还钱
[03202.12-03203.72] 你找昨天的我去还钱吧
[03203.72-03205.96] 你看这种观点其实就是在说什么
[03205.96-03207.80] 在胡教门产在鬼变
[03207.80-03209.80] 就是强调昨天的今天不是一个我
[03209.80-03212.60] 只看到运动而看不到禁止
[03212.60-03213.88] 那如果你遇到这种情况
[03213.88-03215.04] 你打扮同学们
[03215.04-03217.40] 一定要记住对付流氓
[03217.40-03218.72] 还要用强斗的方法
[03218.72-03221.28] 当时这些人都出诉的
[03221.28-03223.84] 上去就一圈把这些人给搭到了
[03223.84-03225.52] 当时这些人就说你搭我
[03225.52-03227.52] 为了抓你言承你
[03227.52-03228.36] 我要去购你
[03228.36-03229.72] 当时这些人咋说的
[03229.72-03230.88] 但是因为报警办
[03230.88-03231.76] 我们怕
[03231.76-03232.96] 他不被想他说
[03232.96-03234.28] 搭你个时刚才的我
[03234.28-03235.64] 而不是现在的我
[03235.64-03236.64] 如果你小抓
[03236.64-03237.92] 抓刚才的我去吧
[03237.92-03238.40] 你看
[03238.40-03239.60] 这不就是一心之道
[03239.60-03240.64] 还是亲自身吧
[03240.64-03241.72] 那他们这一个点
[03241.72-03242.92] 其实就在说明什么
[03242.92-03244.08] 只能看到变化
[03244.08-03244.92] 看不到运动
[03244.92-03246.08] 就是我们现在所说的
[03246.08-03246.92] 胡咬满产
[03246.92-03247.52] 对吧
[03247.52-03248.32] 贵边
[03248.32-03250.60] 所以相对主页鬼辨论
[03250.60-03251.68] 相之五观点
[03251.68-03253.76] 其实在折扰当中
[03253.76-03254.96] 也不要场见
[03254.96-03257.04] 比如说日方中方秘
[03257.04-03258.56] 物方生方子
[03258.56-03260.48] 他刚生起来就落下了
[03260.48-03261.92] 而他刚
[03261.92-03263.84] 那个事故刚出生就死亡了
[03263.84-03265.48] 看不到中间的甜度状态
[03265.48-03267.88] 他也属于相对主页鬼辨论
[03267.88-03269.24] 但是和这句话
[03269.24-03270.92] 有一句很像
[03270.92-03272.04] 但是又不一样的话
[03272.04-03275.28] 叫人不能两次
[03275.28-03278.24] 他进
[03278.24-03281.20] 同一条合流
[03281.20-03286.20] 在这里墙掉人不能一两次弹进同一条合流的话
[03286.20-03287.84] 这里面我们来分析一下
[03287.84-03290.20] 人不能两次弹同一条合流机位置
[03290.20-03291.92] 我第一次弹进去的时候
[03291.92-03293.56] 他也是不是这样合
[03293.56-03294.00] 是
[03294.00-03295.88] 但是我第二次在弹进去的时候
[03295.88-03297.36] 他是不是这样合不施了
[03297.36-03300.64] 这里面其实弹掉不能两次弹进同一条合流
[03300.64-03303.46] 其实第一次他还是他,第一次就是
[03303.46-03306.78] 每一遍,第二次他就去他发生了变化
[03306.78-03310.70] 想到变化强告不变,就是马斯主义哲学的运动官
[03310.70-03313.44] 绝对运动和相对性质的同一
[03313.44-03315.48] 所以在这里面,大家一定要明确
[03315.48-03319.08] 这是运动和静止之间的关系
[03319.08-03323.42] 清除了,在这里面我们已经把两个打提击小给大家讲完了
[03323.42-03326.76] 同时我也把两多一回小关系给大家讲完了
[03326.76-03330.08] 我相遗很多同学听到这,老师我听明白了
[03330.08-03331.88] 但是我还是有点乱
[03331.88-03333.92] 你别乱了,你乱我也乱了
[03333.92-03335.64] 咱们再把它冲透收理一下
[03335.64-03337.00] 好吧,我们来看一下
[03337.00-03338.72] 我们在下面给空白处
[03338.72-03339.76] 在讲一个空白处理答案
[03339.76-03341.16] 留了一个技巧体验
[03341.16-03342.80] 叫做物质运动
[03342.80-03345.16] 运动以静止下的四种运动关
[03345.16-03347.24] 咱们来看一下怎么去分析
[03347.24-03351.16] 我们首先讲了物质运动之间的关系
[03351.16-03352.20] 大家应该还记得
[03352.20-03352.48] 对吧
[03352.48-03353.28] 两句话
[03353.28-03358.48] 物质和运动之间的关系叫做物质是运动的
[03358.48-03362.48] 第二句话,运动是物质的。
[03362.48-03387.48] 来,跟着我的思路啊,你不要觉得,不要向我目的节,同学千万不要向我,就是想让大家在课塔上记住啊,来拿起你的笔,跟着我写,好吧,在这里墙掉物质是运动的,本身在墙掉谁,本身在墙掉运动在墙掉变化,于是我们得出来的角度叫做,运动是无条件的,用很的,对吧,那如果现在不谈运动了呢,
[03387.48-03390.76] 如果不谈运动 事故就会线入到什么当中
[03390.76-03394.64] 进行指当中 如果一旦线入进指就进入到了什么
[03394.64-03396.92] 行而上学当中
[03396.92-03401.52] 对吧 这个是我们所说的第一层叫做物指是运动的
[03401.52-03406.20] 第二层叫做运动是谁在动 运动是物指在动
[03406.20-03408.44] 是不是在这里是在强调物指自身
[03408.44-03411.56] 如果现在这种电话不是物指在边
[03411.56-03414.36] 只剩下另外一个东西就是一时在边
[03414.36-03417.94] 而如果一旦強調意識在便就進入到什麼當中
[03417.94-03420.24] 就進入到了微心主義當中
[03422.68-03425.10] 所以這是在探跑誰和誰之間的關係
[03425.10-03428.70] 這是在探跑物質和運動之間的關係
[03428.70-03430.84] 在這我們說先有了物質和運動
[03430.84-03432.44] 但是我們前面說了
[03432.44-03435.44] 我們在強調運動的時候會出現一個問題
[03435.44-03438.44] 這是運動它本身是一種變化
[03438.44-03441.24] 而這種變化它實施科科都有的話
[03441.24-03444.32] 那我們就沒有辦法去正確的認知這個事務了
[03444.32-03449.64] 所以想要看它的变化程度就必须要一个概念来红凉运动
[03449.64-03451.12] 那这个概念就叫做什么
[03451.12-03457.20] 禁止于是我们要去讲解禁止运动之间的关系
[03457.20-03458.64] 所以从你们看到了没
[03458.64-03460.64] 误止和运动以及运动和禁止
[03460.64-03463.12] 它是几多人关系两多人关系
[03463.12-03464.40] 你不要给我证换了
[03464.40-03466.08] 那在禁止和运动当中
[03466.08-03468.04] 我们坚持的是马斯主义的学说
[03468.04-03471.44] 叫做世界上的事务都是绝对运动运
[03471.44-03473.72] 相对禁止的统一
[03473.72-03475.72] 这是马斯认为最对的
[03475.72-03477.20] 也是我们认为最对的
[03477.20-03479.28] 但是我们在上生活当中会发现
[03479.28-03480.08] 总有人
[03480.08-03481.52] 他只能看到一面
[03481.52-03483.00] 所以在这里我们叫主义
[03483.00-03484.48] 如果只看到运动
[03484.48-03485.88] 而看不到均纸呢
[03486.60-03488.36] 就叫做相对主义
[03488.36-03489.52] 鬼变论
[03489.52-03491.24] 如果在这个地方
[03491.24-03493.68] 只看到了均纸而看不到运动
[03493.68-03494.72] 如果只看到均纸
[03494.72-03496.16] 纯纯的一变不愿
[03496.16-03497.76] 又进入到了什么当中
[03497.76-03499.88] 行而上学当中了
[03499.88-03501.40] 所以我们总结下来
[03501.40-03503.96] 马斯斯总运路关是哪四种呢
[03503.96-03505.40] 第一个就是我们所说的
[03505.40-03506.84] 行人上学第二个
[03506.84-03507.64] 微信主义
[03507.64-03509.80] 第三个运动于物质的
[03509.80-03511.24] 运动已经只有同业
[03511.24-03512.52] 第四一个相对主义
[03512.52-03515.08] 因为这里面的行人上学是重复的
[03515.08-03516.20] 所以在这里面
[03516.20-03518.60] 这是我们所说的四种运动关
[03518.60-03519.80] 我建议同学们
[03519.80-03521.48] 或者是我肯求大家
[03521.48-03522.52] 回去的时候
[03522.52-03523.88] 把这个框架
[03523.88-03525.56] 自己从头到尾
[03525.56-03527.56] 再去旅顺一遍血量
[03527.56-03528.92] 如果你能从头到尾
[03528.92-03530.52] 按照讲一上的字
[03530.52-03531.80] 逐步给他分析出来
[03531.80-03534.62] 那么你相信我这个点他考的在南
[03534.62-03535.90] 他也难不倒你
[03535.90-03536.52] 明白吧
[03536.52-03538.46] 这个就已经是理解上的
[03538.46-03540.52] 这个这一节里面的听话吧
[03542.04-03545.04] 这是我们强调的物质和运动之间的关系
[03545.04-03546.40] 咱们来做几个体外
[03546.40-03547.68] 来看一下他说
[03547.68-03550.24] 下来对运动的理解说法不正确的事
[03550.24-03551.64] 来看一下说
[03551.64-03553.88] A 选项物质和运动是不可分的
[03553.88-03554.98] NAR B 虚对
[03554.98-03555.56] 对吧
[03555.56-03556.32] B 选项
[03556.32-03558.28] 说物质是运动的根本属性
[03558.28-03568.78] 物质是运动的根本属性吗?是否整反了?应该是根本属性是谁?根本属性是运动,所以必须要说法,所以想像
[03568.78-03582.28] 脱离运动的物质是不存在的,正确如果你看一旦脱离运动,脱离运动就是不谈运动,一旦不谈运动就写而上学,静止了
[03582.28-03585.92] 一旦禁止是我还能存在吗?不能吧?
[03585.92-03590.20] 因为我们说了我如果只想保留在我现在最先和的线火的这一刻
[03590.20-03591.68] 那么除非我是怪我
[03591.68-03594.44] 对吧?不然的话我的生命到此就消忘了
[03594.44-03598.20] 所以在这里看脱离运动就是强调不变
[03598.20-03600.96] 那不变的物质还存在吗?不存在啊?
[03600.96-03604.40] 因为运动是物质的存在方式
[03604.40-03607.88] 所以同时你看这样的话他会考语人吗?不考语人吗?
[03607.88-03610.62] 他考的是那个理论被获得理解
[03610.62-03611.46] 所以大家注意一下
[03611.46-03612.68] 所以想说啊正确
[03612.68-03614.60] 避选一下任何形式的运动
[03614.60-03616.00] 都有他的物质在体
[03616.00-03616.96] 必须对
[03616.96-03619.60] 咱们说了物质是主体是承担者
[03619.60-03621.72] 所以第二体说不正确的选
[03622.68-03623.36] 2B
[03623.36-03624.40] 选2B
[03624.40-03625.64] 这是第二个
[03625.64-03627.08] 第三个来看一下
[03627.08-03628.78] 这个体有点难度
[03628.78-03630.08] 他有点有意思
[03630.08-03633.48] 说世界上除了运动者的物质之外
[03633.48-03635.08] 什么都没有
[03635.08-03636.68] 他这种观点属于什么
[03636.68-03638.32] 有同学看到这种梦了
[03638.32-03639.28] 说老师不对
[03639.28-03640.56] 这个世界除了物质
[03640.56-03642.16] 还有意识还有啥的
[03642.16-03642.88] 同们想
[03642.88-03644.84] 意识也原自于物质
[03644.84-03647.32] 所以这个世界的本源就是什么物质
[03647.32-03650.12] 你看把这个定理拿掉
[03650.12-03651.44] 他说运动者的物质
[03651.44-03652.56] 你把运动者的不要
[03652.56-03655.44] 他这一话本人就说世界上除了物质之外
[03655.44-03656.48] 什么都没有
[03656.48-03659.16] 那强调这个世界来自于谁
[03659.16-03662.04] 这个世界来自于物质
[03662.04-03664.60] 是不强调物质的作用
[03664.60-03666.14] 那強調物質的作用
[03666.14-03668.06] 那看一下哪句話比較符合呀
[03668.06-03668.94] A選項
[03668.94-03670.70] 否認人的意識存在到
[03670.70-03671.52] 專為物主義
[03671.52-03673.30] 眾說他本身就是錯誤的
[03673.30-03675.42] 人間沒有否認物質
[03675.42-03677.86] 人家說除了運動這個物質外什麼都沒有
[03677.86-03680.10] 就意味著萬物都來自於物質
[03680.10-03681.44] 包括意識
[03681.44-03685.08] 所以A選項否認人的意識不對
[03685.08-03687.76] 但是A選項是大家錯的最多的選項
[03687.76-03689.68] 我記得在做邪個時候
[03689.68-03691.60] 大部分同學都是上了就把A選了
[03691.60-03695.08] 你就是没有理解物质绝令作用到的是啥意思
[03695.08-03697.00] 所以A选项是法错误
[03697.48-03700.44] B选项说直接主张世界统与物质
[03700.44-03701.80] 这是不是咱们刚才说的
[03701.80-03703.72] 只要强调物质的作用
[03703.72-03706.16] 只要强调客观实际情况起节的作用
[03706.16-03708.32] 是不是可以选物质绝令意识
[03708.32-03710.28] 可以选一切从持一出发
[03710.28-03712.28] 可以選世界物質同一性原理啊
[03713.28-03714.28] 避選要說法正確
[03714.28-03717.28] 所以我想否認時間和空間存在的微信主義
[03717.28-03719.28] 這裡面沒有強調時空
[03719.28-03720.28] 一會我們會講到時空
[03720.28-03722.28] 所以思想說法錯誤
[03722.28-03723.28] 地選項
[03723.28-03725.28] 把人的意識理解成某種
[03725.28-03727.28] 課書的精細物質的機械微物主義
[03727.28-03728.28] 這裡面沒有強調意識
[03728.28-03729.28] 人家強調物質
[03729.28-03732.28] 所以這套題選擇的是第二個選項
[03732.28-03734.28] 這是這套題大家注意一下
[03735.28-03736.28] 第三題來看一下
[03736.28-03737.28] 給了預計師
[03737.28-03739.28] 說博望陳脈不復旋
[03739.28-03742.62] 然后黄格依旧水盲然在这里
[03743.12-03746.44] 分析,老师我读不懂,读不懂这些话可以分析
[03746.44-03751.82] 不忘产来不付选,不付,付是又一次再一次,旧水盲就是和一钱一样
