[00000.00-00004.90] 大家好,我是截出青年的截瑞,欢大家来进行新的本块学习。
[02320.96-02322.76] 我那個老老家裡有一個
[02322.76-02325.06] 就是推大點個木頭盒子的
[02325.06-02326.34] 上面有原盤
[02326.34-02328.34] 上面各种各样的珍
[02328.34-02331.82] 下面是开门的这种开门的这种
[02331.82-02334.46] 在开门这种下面有个大大的中百
[02334.46-02337.28] 然后它就在那边霍昂昂昂昂
[02337.28-02339.70] 霍昂正俩的时候一点帮晓一下
[02339.70-02341.54] 对吧 两点帮帮晓两下
[02341.54-02343.90] 这种跑门还可以上鞋的这种
[02343.90-02347.06] 那像这种表会说这种中百是谁发现的呢
[02347.06-02348.58] 也是家里律发鞋的
[02348.58-02351.06] 家里律是通过他自己的心跳麦博
[02351.06-02355.34] 然后他去到那个宗教的时候发现宗教上面的那个灯
[02355.34-02357.30] 就是左右的经常会摆
[02357.30-02359.38] 然后他发现他摆动了这个情况
[02359.38-02361.90] 和他的心跳具体的数值
[02361.90-02364.06] 有一定关系就是这个宗摆摆过去的
[02364.90-02365.94] 这个次数
[02365.94-02369.42] 然后相同的次数真的他的心跳的时间都差不多
[02369.42-02370.62] 于是他这个时候他说
[02370.62-02372.42] 他这个东西是可以用来计识
[02372.42-02374.02] 于是他就发明了宗摆
[02374.02-02375.86] 这种人要说开吵
[02375.86-02377.22] 开吵非常快
[02377.22-02378.38] 所以在这里大家注意一下
[02378.38-02379.86] 这是他的成就
[02379.86-02382.10] 他的成就一个五个方面
[02382.10-02383.62] 但是我们说了对于人物
[02383.62-02385.78] 他的一个考察除了考具体成就之外
[02385.78-02387.38] 是否还考察一个描述
[02387.38-02389.58] 所以同时在旁边做一个标记
[02389.58-02391.74] 就是把对于加热的描述
[02391.74-02392.66] 给他写在旁边
[02392.66-02394.62] 这个描述来对于他的目指名
[02394.62-02396.02] 外下写一下
[02396.02-02396.82] 他说的是什么呢
[02396.82-02397.98] 说他失名了
[02399.34-02400.78] 为什么说他失名了呢
[02400.78-02402.26] 因为自然界
[02405.14-02406.34] 写在旁边
[02406.34-02407.18] 他失名了
[02407.18-02408.90] 因为自然界已经
[02408.90-02413.66] 没有剩下什么
[02413.66-02417.42] 没有剩下什么
[02417.42-02419.26] 他没看见的东西
[02419.26-02421.90] 就是所有的能见的
[02421.90-02422.78] 他都见了
[02422.78-02423.82] 所以他失眠了
[02423.82-02425.42] 因为自然界已经没有剩下什么
[02425.42-02427.14] 他没看见的东西了
[02427.14-02430.94] 因为到这种情况
[02430.94-02433.74] 这些大家发现都已经看到了地球之外了
[02433.74-02434.30] 对吧
[02434.30-02435.10] 所以在这里
[02435.10-02437.06] 就是对他的一个描述
[02437.06-02441.14] 这个点 大家注意在国好当中考察过这种方式
[02441.14-02444.62] 所以这是第四个人需要我们去掌握的就是家里绿
[02444.62-02445.42] 家里绿
[02445.42-02447.30] 那第五个就是D-Carge
[02447.30-02448.54] 简单的看一下就行了
[02448.54-02449.14] 同们注意一下
[02449.14-02452.54] D-Carge是首次对光的指揮设定率
[02452.54-02453.78] 做出了理论论证
[02453.78-02457.22] 首次对换一下动量手衡定率
[02457.22-02458.54] 而不是能量手衡
[02458.54-02459.82] 你在这里有条注意下
[02459.82-02461.38] 它提出的是动量手衡
[02461.38-02462.70] 能量手衡定率
[02462.70-02464.18] 我们在后面可以革命的时候
[02464.18-02465.34] 会大家提到一个人
[02465.34-02468.42] 那个人是我们所说的那个拉拉席
[02468.42-02470.90] 所以在这里他主义他是动量守恨
[02470.90-02472.58] 记住一下这个小点就行了
[02472.58-02474.50] 所以敌哈尔的无非就两个成就
[02474.50-02476.42] 这样成就有些光的折瘦
[02476.42-02478.26] 一个是动量守恨定律
[02478.26-02481.42] 不要把它和能量守恨定律高回了
[02484.06-02487.42] 能量守恨不是他
[02488.06-02488.66] 不是他
[02488.66-02489.66] 这是敌哈尔
[02489.66-02491.66] 那敌哈尔有一个就是开普乐
[02491.66-02492.78] 开普乐大够知道
[02492.78-02494.58] 开菩勒的主要成就你看
[02494.58-02496.36] 也是16.9年1619年
[02496.36-02496.98] 大一都知道
[02496.98-02499.18] 这是前科学革命时期的人物就行了
[02499.18-02500.58] 不需要记这个时间
[02500.58-02503.58] 开菩勒他的一个主要的成就就来自于开菩勒
[02503.58-02504.78] 三庭律大一都知道
[02504.78-02506.58] 他在三庭律当中就提到了
[02506.58-02506.98] 对吧
[02506.98-02508.98] 全新军型的轨道是特远的
[02508.98-02510.38] 太阳并不是在这个
[02510.38-02511.98] 新新军型轨道的正宗间
[02511.98-02513.58] 而是在任意一个交点上
[02513.58-02515.38] 什么小郭的面积是相当的
[02515.38-02517.38] 这些就是开菩勒的三庭律
[02517.38-02518.78] 开菩勒的三庭律
[02518.78-02521.98] 它其实都是对于天体运行的一个描述
[02521.98-02524.38] 所以根据他的太符了行行定力
[02524.38-02527.10] 太符了就掌握了行行运行的规律
[02527.10-02528.46] 突破了这个规律
[02528.46-02531.26] 所以他被称之为叫做天空立法者
[02531.26-02533.34] 所以在这里把天空立法者画出来
[02533.34-02535.26] 如果问到天空立法者是谁
[02535.26-02536.70] 带着叫注意一下是啊
[02536.70-02537.42] 开拨了
[02537.42-02539.18] 而对于开拨了的这个描述
[02539.18-02540.38] 在他的牧之名当中
[02540.38-02542.30] 就进一步惨述了天空立法者
[02542.30-02543.18] 这样能说法
[02543.18-02543.82] 什么说法呢
[02543.82-02546.46] 写了旁边叫我从赛良天空
[02546.46-02548.22] 现在赛良拥名
[02551.98-02555.38] 我从策量天空
[02556.58-02558.08] 然后现在
[02559.98-02561.08] 策量
[02562.28-02563.38] 优名
[02565.58-02568.18] 以前我研究的是天体军型的规律
[02568.18-02570.88] 现在当我离开这个人士的时候
[02570.88-02574.98] 我叫策量我所处的优名的这样的一个运行
[02574.98-02578.58] 他说灵魂飞向天国肉体安息土中
[02578.58-02581.58] 那这个是对于我们所说的开破的秒数
[02581.58-02583.06] 而对于开普了的描述很少
[02583.06-02584.18] 考到他的成就
[02584.18-02587.18] 然后考到他的这种对这个人的形容
[02587.18-02588.70] 考到会比较多的
[02588.70-02590.38] 开普乐其实也是一个
[02590.38-02591.82] 面很苦的人
[02591.82-02593.46] 开普乐出身是很平衡的
[02593.46-02594.70] 他17岁的时候
[02594.70-02595.86] 他的父亲就去世了
[02595.86-02597.62] 而开普乐他的身体不好
[02597.62-02599.26] 因为开普乐早年的时候
[02599.26-02600.58] 他的母亲生他的时候
[02600.58-02601.74] 他是早产的
[02601.74-02603.42] 然后在他年龄的时候
[02603.42-02605.02] 他得过天花
[02605.02-02606.70] 然后能够从天花里面活出来
[02606.70-02608.90] 大家都知道这是很难的一件事情
[02608.90-02610.18] 尤其是我们手说的
[02610.18-02611.72] 没有那种疫苗的年代
[02611.72-02613.86] 你看像中国古代说黄里德天花了
[02613.86-02614.78] 或是小孩的天花
[02614.78-02615.88] 很多非常了不起
[02615.88-02617.38] 非常不得了的事情
[02617.38-02618.52] 所以这个时候
[02618.52-02619.64] 开不乐德德天花
[02619.64-02621.98] 而且它一直手是残忌的
[02621.98-02623.88] 所以它的生活非常的困苦
[02623.88-02625.68] 开不乐有过两段婚姻
[02625.68-02628.10] 第一个婚姻就是它的气子是一个贵族
[02628.10-02630.38] 但是非常看不上开不乐
[02630.38-02632.58] 所以后来它的第一人气子
[02632.58-02633.22] 就趋势了
[02633.22-02634.56] 后来它的第二人气子
[02634.56-02635.52] 它找了一个
[02635.52-02636.88] 它的第二人的气子
[02636.88-02637.52] 可态一样
[02637.52-02638.98] 出生是比较平衡的
[02638.98-02640.38] 但两人非常的相爱
[02640.38-02641.86] 生了12个孩子
[02641.86-02644.82] 所以当时开部的还是觉得比较幸福
[02644.82-02647.18] 但他的这种好景
[02647.18-02648.54] 实际上其实并不长
[02648.54-02650.18] 到了开部后期的时候
[02650.18-02652.34] 他本来根据他的学史
[02652.34-02654.66] 他可以长期做黄家的数学顾问
[02654.66-02656.54] 但是后来那个时候就打仗了
[02656.54-02656.98] 你知道吧
[02656.98-02658.62] 这是我们所说的
[02658.62-02660.78] 就爆发了我们所说的战争
[02660.78-02662.06] 爆发了战争之后
[02662.06-02663.14] 听得打仗
[02663.14-02664.14] 漂泼舞衣
[02664.14-02666.62] 然后战争打了30多年的时间
[02666.62-02670.82] 這樣打30多年時間,他還是一直在給人家的皇家做顧問
[02670.82-02673.02] 但顧問一直沒給他太公子
[02673.02-02678.02] 回來都跑心,就找我們所說打完仗之後,就跑心,像了他20多年錢
[02678.02-02683.42] 後來的跑心都路上生病了,本來就提入,後來得傷還就驅逝了
[02683.42-02686.42] 所以非常可惜,那這個時候我們所說的這個
[02687.22-02688.42] 開盆了
[02688.42-02693.02] 好,那這個呢,是我們所說的,前科技革命時期的志祺的人物
[02693.02-02696.24] 然后再往下我们来看一下哈维的画的简单了解
[02696.24-02699.88] 几乎没太考察过他知道他提出了续续环说就可以了
[02699.88-02703.48] 那最后一个就是在前科学课名时期当中最重要的一个人物
[02703.48-02705.30] 大舟下1687年
[02705.30-02710.14] 1687年这里面就是扭断发表了战者学的数学原理书
[02710.14-02712.06] 大舟也对于这些人物
[02712.06-02715.02] 我们不需要知道他具体发表著做的时间
[02715.02-02716.86] 你大概知道还是那句话
[02716.86-02719.06] 他是前科学课名时期的人物就行了
[02719.06-02721.64] 不需要记忠子的时间大概的事情
[02721.64-02725.18] 那在前科技革命时期当中最重要的一个人物就是扭顿
[02725.18-02732.28] 扭顿在这里面它提到了首先第1个扭顿它的成就换下就建立了经典力血
[02732.28-02734.70] 同于标志一下就是经典力血的内容
[02734.70-02739.00] 经典力血它研究的是红官世界运行的规律
[02739.00-02742.88] 比如说这是我们现在所能观测到的入演观测到这个世界
[02742.88-02745.56] 与周围运行天体的运行对吧
[02745.56-02749.08] 包括我们在这个世界当中的运行它都是低于光速的
[02749.08-02751.30] 这些都是红官世界它运行规律
[02751.30-02753.50] 只要你的運動速度低於光速
[02753.50-02755.54] 它就適用牛頓的近兩例選
[02755.54-02758.34] 所以我們才提出了牛頓三並綠 對吧
[02758.34-02760.18] 所以這是第一個點 大家要注意
[02760.18-02761.54] 而牛頓的近兩例選
[02761.54-02764.90] 我們會在物理知識當中給大家去做著中的講解
[02764.90-02767.54] 在這就知道它屬於牛頓的成就就可以了
[02767.54-02768.50] 這是第一個點
[02768.50-02769.86] 第二一個大家都知道
[02769.86-02772.74] 牛頓它其實是世紀之交的天才
[02772.74-02774.14] 由於在牛頓之後
[02774.14-02776.34] 根據我們所說的一些
[02776.34-02778.66] 它的這些力學的理論
[02778.66-02780.10] 推動了科技革命的發展
[02780.10-02782.70] 所以他處在世紀之交的天才
[02782.70-02786.66] 所以牛頓的無論是他的從哲學的發展上
[02786.66-02789.14] 還是從我們所說他對於自然規惹的研究上
[02789.14-02790.38] 他的貢獻都特別大
[02790.38-02791.82] 那對於牛頓的描述
[02791.82-02793.30] 或者牛頓的目指名上
[02793.30-02794.30] 也寫過這樣一段話
[02794.30-02795.34] 同於標準一下
[02795.34-02796.74] 叫做自然與自然規律
[02796.74-02798.18] 隱藏在黑暗當中
[02798.18-02800.42] 於是上帝說讓誰出現吧
[02800.42-02802.42] 於是一切被光照亮
[02802.42-02804.34] 那這個就是牛頓
[02804.34-02806.66] 所以在這裡同標準一下就自然
[02808.02-02809.50] 自然和
[02810.10-02812.10] 自然规律
[02814.10-02818.10] 自然和自然规律隐藏在黑暗中
[02825.10-02826.10] 豆好
[02826.10-02828.10] 然后上帝说
[02831.10-02833.10] 让牛顿出生吧
[02833.10-02836.64] 后面
[02836.64-02841.00] 于是一切被光照亮
[02841.00-02848.02] 一切被光照亮
[02848.02-02851.12] 考试的时候它不会把中间这句话给到你
[02851.12-02852.82] 就是它有的时候它显描述的时候
[02852.82-02854.34] 它说把商地说
[02854.34-02857.04] 然后少了好于是一切被光照亮
[02857.04-02857.94] 那这种情况之下
[02857.94-02859.76] 它就会把提示信心拿掉
[02859.76-02861.54] 那你就知道它提示形容的是谁
[02861.54-02862.70] 形容是牛顿
[02862.70-02866.10] 有断他对于我们所说的理论的贡献和研究
[02866.10-02870.14] 这是我们所说的第8个前课一个门时期的抓人物
[02870.14-02871.14] 就是有断
[02871.14-02871.46] 好
[02871.46-02874.42] 我们就把前课一个面时期的内容给大家讲完了
[02874.42-02878.66] 同时一定要知道第一次公平出现的这些人物
[02878.66-02882.06] 以及他的对应以及在对应之下
[02882.06-02884.18] 我们需要掌握的对他的描述
[02884.18-02886.26] 这是前课一个面时期
