[00000.00-00004.34] 好的 那我们就从红官概念上其实是了解了
[00004.34-00006.64] 我们所说的整个迷侍法律员关键
[02479.70-02481.94] 所以他16岁的时候就写了
[02481.94-02483.10] 恩伴小说了
[02483.10-02485.02] 有老帮了对方小说写了
[02485.02-02485.70] 老好了
[02485.70-02487.38] 还写了大林在小说
[02487.38-02490.90] 然后他用他的小说所赚的狗妃
[02493.22-02494.22] 养活自己
[02495.50-02496.70] 不仅养活自己
[02496.70-02498.70] 还养回他的父母
[02498.70-02500.50] 这有时候他都搞费大个多少
[02500.50-02501.50] 比如说10个意外
[02501.50-02502.50] 假设
[02502.50-02504.30] 这个是小业的这样一个情况
[02504.30-02505.70] 小业的基本情况
[02505.70-02509.30] 但是有一天小业因为没有灵感出去玩
[02509.30-02511.70] 因为没有灵感出去玩之后
[02511.70-02514.10] 就跟出去玩的时候碰到了一个人
[02514.10-02515.30] 他听听信心特别不好
[02515.30-02516.50] 就给人打了
[02516.50-02517.70] 给人打了
[02517.70-02518.70] 给人打成什么
[02518.70-02521.50] 打成了我们所说的古责
[02521.50-02523.30] 给人还打古责了
[02523.30-02525.30] 这种情况之下他就会考察
[02525.30-02528.58] 说那对于小A他的亲选的情况
[02528.58-02531.78] 那如果想要就是被打鼓哲的人
[02531.78-02534.50] 他想要去我们所说的起诉的话
[02534.50-02535.90] 他让谁陪呢
[02535.90-02537.46] 他就会考这么几种情况
[02537.46-02539.94] A 说让小A的父母去陪
[02539.94-02541.54] 然后必让小A陪
[02541.54-02543.14] 那这种情况这样让谁来陪
[02543.14-02545.26] 这种情况这下就让小A来陪
[02545.26-02546.50] 而不是让小A的父母来陪
[02546.50-02547.70] 说到身上没上呀
[02547.70-02550.14] 比如说年满18周岁以上的人
[02550.14-02551.86] 他才是完全明日行为能的人
[02551.86-02553.66] 很明显小A不满18周岁
[02553.66-02554.74] 当然咱们说了
[02554.74-02559.48] 年买16周最以上靠自己的劳动收入为做生活来源的示威什么
[02559.48-02560.66] 完全明日行为能力
[02560.66-02564.26] 小业写作写小说不见养活自业养活家人
[02564.26-02568.42] 是不是就是法律上示威完全明日行为能力人的法律你这样
[02568.42-02572.10] 这有时候他做的任何事情的后果都要自己来承担
[02572.10-02574.34] 所以他给人打鼓折了他自己去给人陪
[02574.34-02575.34] 明白这个意思吧
[02575.34-02577.26] 所以这个地方就可以考一个法律你制
[02577.26-02581.70] 而这个法律你制也是在考理解行题目当中经常会摄一刀的点
[02581.70-02583.50] 所以在这里大家注意一下
[02583.50-02585.42] 只第一个完全明是行为能人
[02585.42-02587.82] 大家记住法律你至就可以了
[02587.82-02589.62] 只第一个打注意
[02589.62-02592.50] 第二个就是限制明是行为能力人了
[02592.50-02594.18] 限制明是行为能力人
[02594.18-02595.46] 大家在这里标注一下
[02595.46-02599.50] 是年满八周岁以上的位称年人
[02599.50-02602.18] 是限制明是行为能力人
[02602.18-02606.10] 那限制明是行为能力人就是年龄
[02606.10-02608.62] 大于八周岁小鱼十八周岁
[02608.62-02612.62] 就是在完全民事行为能力人的下面这是第一种情况
[02612.62-02614.02] 当然了大注意
[02614.02-02614.90] 不仅是非常年轻
[02614.90-02619.74] 还有一种是不能完全变人自己行为的成年人
[02619.74-02621.38] 那他其实也属于什么
[02621.38-02622.74] 限制民事行为能力人
[02622.74-02625.38] 所以限制民事行为能力人两种情况
[02625.38-02629.34] 第一个是年龄8岁以上
[02629.34-02630.30] 小于18岁的
[02631.42-02632.42] 非常年人
[02634.14-02635.82] 还有一个就是不能
[02637.02-02637.82] 完全
[02638.62-02640.78] 便任自己行为的就是便任
[02640.78-02643.70] 便任自己行为的承念
[02645.70-02648.86] 那这里面他都属于现职名是行为能联
[02648.86-02650.50] 而现职名是行为能联利
[02650.50-02652.02] 搬在考察的时候不会考察
[02652.02-02653.34] 他的一个界定就是一下数
[02653.34-02654.70] 现职名是行为能联利
[02654.70-02656.02] 这两种情况不会考
[02656.02-02657.30] 而会考什么表多
[02657.30-02661.14] 而会考他实施行为的法律行为的效率
[02661.14-02662.62] 那么来看一下
[02662.62-02664.42] 他的法律行为的效率是什么样子
[02664.42-02665.62] 在这里他说了
[02665.62-02667.82] 说看了说巴州隋以上的
[02667.82-02669.90] 畢常年人是現著民事行為能力人
[02669.90-02673.70] 實施民事法律行為應該有其法定
[02673.70-02676.34] 代人或者是法定代理人
[02676.34-02677.22] 他怎麼樣呢
[02677.94-02678.74] 主義人
[02678.74-02680.66] 但是可以獨立使是
[02680.66-02682.74] 存貨力的民事法律行為
[02682.74-02685.74] 和與其年齡之類相符合的民事法律行為
[02685.74-02686.54] 啥意思呢
[02686.54-02688.78] 他其實是三種情況大助一下
[02688.78-02690.30] 在這裡面如果一個小孩
[02690.30-02691.38] 他今年九歲了
[02692.26-02695.02] 小爺如果小爺他今年是九歲了
[02695.02-02696.42] 小爺能夠做什麼事呢
[02696.42-02703.42] 大家注意一下,小英能够做的事情,你这小英自己去读历史时的这个事情,包括两个,第一个,就是纯货利的行为。
[02703.42-02706.14] 什么叫纯货利呢,就是对这个小孩吹好处的。
[02706.14-02711.42] 小英今年九岁,把学习老好,我一看小英学习这么好,我就想到了我家的那个孽子。
[02711.42-02715.02] 我这个人,没有什么特别的,就是特别的有钱。
[02715.02-02718.82] 对了,我的北京色月,我的梦想当中的色月电团,
[02718.82-02724.62] 然后我一看小英九岁,我的天天,天父经为天人,清清书画样的镜头,学习老好了。
[02724.62-02727.12] 我小到我家那个孽子我就气不来一出来
[02727.12-02728.58] 我就血压就上来了
[02728.58-02730.06] 于是在这种情况之下
[02730.06-02731.46] 我就跟雪儿说我是小爷呀
[02731.46-02732.56] 我就看到你
[02732.56-02733.90] 阿姨特别喜欢
[02733.90-02736.40] 阿姨看到你就想到了当年的自己
[02736.40-02738.00] 我和你一样非常有天赋
[02738.00-02741.00] 所以现在才展下了这个万贯家材
[02741.00-02741.78] 所以
[02741.78-02744.06] 小爷你和阿姨的年轻说特别像
[02744.06-02745.94] 于是我就给小爷干嘛呢
[02745.94-02747.40] 送了一套死和院
[02750.10-02752.52] 我就给小爷送了一套死和院
[02752.52-02754.40] 那我给小爷送了一套死和院
[02754.40-02757.64] 小一说,阿姨真的要把色热热送给我们说是的是的
[02757.64-02764.28] 于是小一说说,好的,谢谢阿姨,于是我把这个粉防产登记的产业的产权说
[02764.28-02766.28] 就给他了,我还给他做了变更多计
[02766.28-02770.64] 那这种情况之下,小A,他从我手里调了一套4和月
[02770.64-02773.52] 我回家之后我就越想,我就觉得越不得见
[02773.52-02776.80] 小A虽然和我很像,但是毕竟不是我家的那个蜜子
[02776.80-02779.04] 于是第二天的时候我就去找到了小A
[02779.04-02782.04] 我跟你说,你看阿姨昨天,有一点生气
[02782.04-02784.04] 是因为被自己家的蜜子气的
[02784.04-02786.24] 所以阿姨就一点不冷静
[02786.24-02786.56] 对吧
[02786.56-02788.24] 所以就送了一号四月
[02788.24-02790.72] 你看你把这套四月还给阿姨呗
[02790.72-02793.04] 小业这个时候要可不可以说
[02793.04-02795.28] 把四月据换我
[02795.28-02795.88] 可以
[02795.88-02796.32] 为什么
[02796.32-02798.88] 因为纯获立的法律行为是有效的
[02798.88-02800.96] 我的终于对他俩是有效的
[02800.96-02802.96] 如果在这过程中我把四核要要的
[02802.96-02803.84] 我就属于什么
[02803.84-02806.12] 我就属于委员这个房子就要回来了
[02806.12-02807.56] 所以你看在这里他说了
[02807.56-02810.44] 纯获立的明是法律行为怎么样有效
[02811.04-02813.20] 纯获立的明是法律行为是有效的
[02813.20-02814.80] 这是第一个带上注意一下
[02814.80-02816.48] 那小A他做什么事
[02816.48-02818.64] 除了存活力的民事法律行为有效之后
[02818.64-02821.56] 小A还做什么事是被法律所任可的呢
[02821.56-02823.04] 在这里面给到的是啥呢
[02823.04-02827.16] 看一下叫与其年龄治理相试应的
[02828.76-02830.04] 双方民事法律行为
[02830.04-02832.84] 那这种情况之下也是什么也是有效的
[02832.84-02835.24] 说老师啥叫与其年龄相试应的
[02835.24-02837.40] 比如说小A今年9岁
[02837.40-02838.64] 怕有一些压碎钱
[02838.64-02842.32] 每年我他的那个家人都会给他50块钱压碎钱
[02842.32-02844.36] 然后他拿着这50块钱压碎钱
[02844.36-02846.36] 去超市买了一个冰击灵
[02846.68-02849.68] 超市买了一只帮我谈吧
[02849.68-02850.96] 冰击灵写写得点飞进
[02850.96-02852.12] 买了一只帮我谈
[02852.12-02853.60] 那买了一只帮我谈之后
[02853.60-02854.88] 帮我谈划了五块钱
[02854.88-02856.80] 然后开月信信回家了
[02856.80-02858.44] 然后父母一看到小鸃
[02858.44-02859.80] 花五块钱买了个帮我谈
[02859.80-02861.28] 说什么帮我谈这么贵
[02861.28-02862.48] 里面果的是金字嘛
[02862.48-02864.24] 然后就要去超市退货
[02864.24-02865.68] 那这种时候去超市退货
[02865.68-02867.84] 他的小鸃的父母能不能一小鸃
[02867.84-02869.52] 他太小了不懂事为有人
[02869.52-02870.64] 超市给他退货呢
[02870.64-02871.24] 不行
[02871.24-02874.12] 因为小也虽然年龄小,但是她能够什么
[02874.12-02875.48] 她花五块钱买帮帮帮同时
[02875.48-02877.60] 不在她的治理认知范围之内的
[02877.60-02879.04] 所以在这种情况之下
[02879.04-02881.84] 与她年龄相信的双方明视法律行为是怎么样
[02881.84-02882.48] 是有效的
[02882.48-02884.64] 她母亲不能说还要太有不懂事人够退货
[02884.64-02885.32] 那不行的
[02885.32-02887.80] 买卖和头成立生效了
[02887.80-02889.16] 而且都已经旅行完了
[02889.16-02890.48] 所以在这里大家注意下
[02890.48-02892.00] 这是小A第二个
[02892.00-02893.32] 这是她能做的
[02893.32-02894.76] 那小A不能做的是啥呢?
[02894.76-02895.48] 你看一下
[02895.48-02896.16] 说
[02896.76-02897.92] 帮她随以上的
[02897.92-02899.04] 未成年人
[02899.04-02901.20] 她实施的明视法律行为怎么样呢
[02901.20-02905.32] 法定带理或者经济法定带理人
[02905.32-02907.76] 人我们所说的同意或者是
[02907.76-02908.32] 主义人
[02908.32-02910.16] 老是啥外人都同意或者是
[02910.16-02911.96] 就是在这里小一座理件事
[02911.96-02912.48] 是干嘛的
[02912.48-02915.08] 适合他的年龄治理不相适应的
[02918.08-02920.76] 他做了一件和他年龄治理不相适应的事
[02920.76-02921.68] 这种情况之下
[02921.68-02922.44] 这件事情
[02922.44-02924.00] 他的父母有全力追回
[02924.00-02924.96] 举个简单例子
[02924.96-02925.96] 小一击净几岁
[02925.96-02927.72] 看到网络上的漂亮姐姐
[02927.72-02929.56] 然后给人漂亮姐姐打上二十万
[02931.20-02933.20] 那同一位来看一下
[02933.20-02935.80] 他也漂亮姐姐打上二十万的这个事
[02935.80-02938.40] 是否超出了他的认知范围和处理能量
[02938.40-02941.30] 那这种情况之下他的这个行为是怎么样
[02941.30-02943.90] 是带定的行为是秀利带定的行为
[02943.90-02946.90] 就是这二十万到底能不能追回来
[02946.90-02948.60] 他父母是同一百之二十万送过去
[02948.60-02949.90] 还是同一百之二十万要回来
[02949.90-02953.20] 要看他父母的态度要经过他父母的追任
[02953.20-02954.60] 如果在这个过程当中
[02954.60-02956.00] 他父母就说
[02956.00-02957.20] 去去二十万而已
[02957.20-02958.60] 对吧打上去打上了外
[02958.60-02960.60] 难得卖孩子高兴
[02960.60-02962.20] 如果在这里,它父母追着了
[02962.20-02964.08] 然后,这个核通就怎么样
[02964.08-02965.84] 就生效就有效了
[02967.32-02968.08] 大注意下
[02968.08-02969.28] 这是这个情况
[02969.28-02971.76] 如果它父母认为,说这20万说
[02971.76-02973.24] 20万干点啥不好
[02973.24-02974.92] 对吧,我们家又不是什么有钱人
[02974.92-02977.40] 这20万,它觉得要从往红那边怎么样
[02977.40-02977.96] 要回来
[02977.96-02979.80] 比如说,在这说父母怎么样
[02979.80-02981.44] 父母要把钱追回来
[02981.44-02983.76] 这种情况之下,这个核通就归于在这
[02983.76-02984.84] 就归于五效了
[02984.84-02986.52] 所以,它超出了自己
[02986.52-02988.68] 这些范围去做的事,到底
[02988.68-02990.04] 具体情况怎么样
[02990.04-02991.60] 要看具体时间
[02991.60-02992.32] 所以在这里
[02992.32-02993.08] 我们都知道
[02993.08-02995.36] 超出它民事法律行为
[02995.36-02997.00] 超出它年龄之里
[02997.00-02997.60] 范雷的
[02997.60-02998.68] 这时候效率
[02998.68-02999.32] 带一听
[02999.32-03000.40] 这时候考试的时候
[03000.40-03001.16] 怎么考呢
[03001.16-03001.88] 给你干利
[03001.88-03002.52] 问
[03002.52-03003.72] 它做的这个事
[03003.72-03004.76] 是有效的
[03004.76-03005.48] 无效的
[03005.48-03006.04] 可撤效的
[03006.04-03006.80] 还是效率的
[03006.80-03007.64] 所以在这里
[03007.64-03008.16] 大家注意一下
[03008.16-03010.16] 这是现政民事行为能力
[03010.16-03011.32] 这里面是未成年人
[03011.32-03012.40] 那成年人也是一样的
[03012.40-03013.76] 成年人咱们就在这
[03013.76-03015.56] 就不给大家过多的追出了
[03015.56-03017.28] 这是现政民事行为能力
[03017.28-03017.84] 还一种人
[03017.84-03018.40] 就是
[03018.40-03019.80] 无名是行为能力人
[03019.80-03021.80] 無名是行為能力人在這裡給到了
[03021.80-03023.60] 說不滿八州歲的未成年人
[03023.60-03025.60] 就是五六歲、一二歲
[03025.60-03026.00] 對吧
[03027.20-03030.40] 或者是不能變人叫做完全不能變人
[03030.40-03032.60] 完全不能變人自己行為的成年人
[03032.60-03035.40] 就是我們所說的全封的這種狀態
[03035.40-03037.20] 那他們實施的任何行為
[03037.20-03038.40] 你看其法
[03038.40-03040.44] 法定代理人代理時實民是法定的
[03040.44-03042.20] 比如說他自己能不能做事
[03042.20-03043.40] 他自己不能做事
[03043.40-03046.00] 比如說意味著無名是行為能力人做的
[03046.00-03047.40] 所有的民事行為
[03047.40-03048.60] 一、六、五、小
[03048.60-03049.60] 你從老實闇意思
[03049.60-03051.52] 比如说还是一样的刚才那个案例
[03051.52-03053.00] 小爷今年七岁
[03054.16-03055.52] 小爷今年七岁
[03055.52-03056.72] 小爷七岁
[03056.72-03057.52] 一样的
[03057.52-03058.36] 非常有天赋
[03058.36-03059.44] 找那个好看
[03059.44-03060.20] 又有天赋
[03060.20-03061.32] 和我小时候一模一样
[03061.32-03062.00] 我一看他
[03062.00-03063.48] 我就想起我家那个秘子
[03063.48-03064.68] 我觉得那个秘子
[03064.68-03066.52] 配不上我都没有秘秀的母亲
[03066.52-03067.88] 于是在这个过程当中
[03067.88-03068.80] 我看到小爷之后
[03068.80-03069.92] 就是小爷太棒了
[03069.92-03070.76] 阿姨特别喜欢你
[03070.76-03072.08] 阿姨送你他四个月吧
[03072.08-03073.40] 我就把这套四个月
[03073.40-03074.88] 送给了这个小爷
[03074.88-03076.60] 小爷拿的这套四个月之后
[03076.60-03077.64] 而我也给他
[03077.64-03079.96] 就把房层热给他了
[03079.96-03081.28] 然后我给他切了一个合同
[03081.28-03082.88] 对不对 总于合同 我给他了
[03082.88-03084.48] 回家之后 我越想越后悔
[03084.48-03085.32] 那这种情况下
[03085.32-03087.12] 我第二天再去找到小一的时候
[03087.12-03089.00] 可为把这条色转要不来呢
[03089.00-03091.60] 他就和刚才小一九岁的情况不一样了
[03091.60-03092.72] 小一九岁的时候
[03092.72-03094.68] 存货力的行为对小一师有效的
[03094.68-03097.80] 我的总于合同是生效成立并且生效的
[03097.80-03100.04] 我这时候房子就要不回来的
[03100.04-03103.40] 但是小一现在七岁上天捐贡
[03103.40-03104.84] 我这时候送给他的色轮要
[03104.84-03106.20] 如果反悔的话可以怎么样
[03106.20-03107.28] 可以要回来
[03107.28-03110.84] 以为五名是行为能力人独立实施的民事法律行为
[03110.84-03112.08] 一律无效
[03112.08-03114.32] 无论是对他好的还是对他不好的
[03114.32-03116.44] 只要是五名都无效
[03116.44-03118.24] 所以这个时候所谓的就可以怎么样
[03118.24-03119.04] 要回来了
[03119.04-03120.52] 所以在这里大家看到了
[03120.52-03122.12] 我们再考虽然的时候
[03122.12-03123.20] 考得两层点
[03123.20-03124.40] 第一层点在什么呢
[03124.40-03125.44] 第一层点是在于
[03125.44-03126.72] 我们要能够判断出来
[03126.72-03129.40] 他属于完全民事行为能力人
[03129.40-03130.80] 还是限民还是五名
[03130.80-03132.60] 这个时候根据基本判断的
[03132.60-03133.84] 这个是不是要简单
[03133.84-03135.04] 而哪一点是什么呢
[03135.04-03138.68] 就是这三种人他实施行为的反率效率到底怎么样
[03138.68-03139.40] 这个点
[03140.24-03144.00] 才是我们要去我们所说的啥 要去考察的
[03144.00-03145.64] 所以我们来做一个总结 好吧
[03145.64-03146.76] 我们刚才讲的这么多
[03146.76-03147.76] 你最起码有一个感觉
[03147.76-03149.76] 你能判断出来它是5名还是线别
[03149.76-03151.36] 在这三个人的判断当中
[03151.36-03152.40] 其实只有一个考点
[03152.40-03155.80] 就是在这就是完全明是行为能力当中的法律你之
[03155.80-03158.28] 16周岁自己的收入 对吧
[03158.28-03159.20] 那这种情况之下
[03159.20-03161.16] 它是为完全明是行为能力人
[03161.16-03162.44] 那第二个层次呢
[03162.44-03164.00] 就是我们需要给大家做总结了
[03164.00-03166.52] 就是无限你是行为能力人
[03166.52-03168.34] 他实施的法律行为怎么样
[03168.34-03170.24] 你说老师这里没什么考虑的是
[03170.24-03173.72] 无名是行为能力人和限制民事行为能力人这两种呢
[03173.72-03176.80] 因为完全民事行为能力人所实施的
[03176.80-03178.32] 一切法律行为都是怎么样
[03178.32-03179.48] 都是有效的
[03179.48-03179.84] 对吧
[03179.84-03182.20] 那是你自己意思真实的一个表示
[03182.20-03184.08] 所以我们这里只考虑是吧
[03184.08-03186.36] 无名是行为能力人
[03186.36-03187.72] 那首先第一个我们来看一下
[03187.72-03189.72] 第一个无名是行为能力人
[03189.72-03190.92] 无名是行为能力人
[03190.92-03192.16] 这刚才小 A7岁
[03192.16-03194.72] 小爷五岁对吧 或者是全风的成立人
[03194.72-03196.96] 他独立时时的民事法律行为怎么样
[03196.96-03200.52] 五销什么五销一六五销在旁边写上
[03201.76-03204.76] 他时时的民事法律行为是一六五销的
[03204.76-03207.28] 这是不管对他好 还是对他害得
[03207.28-03210.28] 他成会一个行为 都不行
[03210.28-03214.36] 我送给小爷一套色月 小爷今年五岁六岁七岁
[03214.36-03217.00] 这个民事法律行为五销明白了吧
[03217.00-03220.32] 所以在这里 五名是否明是行为能力人时时的
[03220.32-03222.56] 民事行为一律无效
[03222.56-03223.00] 一律无效
[03223.00-03224.64] 你只要看到他小于八岁
[03224.64-03225.64] 他是个全风
[03225.64-03226.96] 无论他做什么事
[03226.96-03227.68] 都不算
[03227.68-03228.84] 所以在这里这是
[03228.84-03230.04] 第1个5名
[03230.04-03231.84] 第2个就是现名
[03231.84-03233.88] 说现之民事行为能力人
[03233.88-03234.92] 实施到啥
[03234.92-03236.32] 纯获利的行为
[03236.32-03238.88] 我送给九岁小A的4月
[03239.40-03240.28] 有没有想
[03240.28-03240.92] 有效
[03240.92-03242.32] 纯获利的行为有效
[03242.32-03244.52] 或者与他能力相适应的
[03244.52-03245.80] 他认知相适应的
[03245.80-03246.68] 他去买帮帮帮帮帮
[03246.68-03247.68] 买冰击链
[03247.68-03249.00] 然后他去买完剧
[03249.00-03251.16] 对吧 买什么实块儿是块的玩具
[03251.16-03254.68] 在它行为室用范围内的都怎么样 有效
[03254.68-03257.20] 但是现着明日行为当力的人干嘛呢
[03257.20-03260.76] 做的与它的意思表示
[03260.76-03264.48] 或者它的能力表示不相适用的单方明日范围行为怎么样
[03264.48-03266.88] 无销比如说单方的证语
[03266.88-03268.96] 对吧 如果刚才所说的给主播打上
[03268.96-03270.60] 或者这个小孩是今天多少呢
[03270.60-03271.64] 这今天四五岁
[03271.64-03272.60] 四五岁之后呢
[03272.60-03274.52] 它觉得有一些钱 对吧
[03274.52-03277.64] 比如说有100万 有100元的存款
[03277.64-03280.04] 然后呢他15岁判定性了
[03280.04-03281.76] 觉得生活没有意义
[03281.76-03283.84] 然后呢历下了依主
[03283.84-03285.20] 历下了依主
[03285.20-03287.36] 说想说他在去世之后
[03287.36-03289.04] 他的这100块钱规则
[03289.04-03291.68] 他这一类快行规家里的好朋友
[03291.68-03292.84] 于家里的朋友
[03292.84-03294.24] 他有一个朋友大黄
[03295.24-03297.24] 这给他家的那个狗了
[03297.24-03299.44] 那这里面你看他写依主
[03299.44-03301.04] 15岁写依主
[03301.04-03302.12] 那这种情况之下
[03302.12-03304.84] 他属于什么15岁属于现实民事成为能力人
[03304.84-03305.72] 写依主
[03305.72-03308.54] 是不是在他这个年龄当中应该有的一个认知呢
[03308.54-03310.06] 在法律当中我们不认可的
[03310.06-03311.10] 所以这个就要做什么
[03311.62-03314.36] 他实施的于他之里年龄不相信了
[03314.36-03315.70] 单方面是法律行为
[03315.70-03316.62] 他写移主
[03316.62-03318.46] 他的移主生不生效同于满
[03318.46-03319.80] 他的移主不生效
[03319.80-03321.08] 所以比如说在这里
[03321.08-03323.78] 利移主单方的终于行为
[03323.78-03324.66] 抛弃行为
[03324.66-03325.68] 会这个小孩15岁
[03325.68-03328.50] 他回家的时候他看他父亲有一个
[03328.50-03329.78] 老鼓独
[03329.78-03330.80] 他觉得好久晚
[03330.80-03332.34] 然后他拿出人报拉一统
[03332.34-03334.14] 最后被那个环位公人捡到了
[03334.14-03337.18] 那这种情况之下他单方抛弃的行为有没有效
[03337.18-03337.66] 没有效
[03337.66-03339.94] 那怀异工人捷的这个东西怎么样
[03339.94-03343.14] 怀异工人捷的这个东西要反昣给他的爸爸
[03343.14-03343.42] 对吧
[03343.42-03345.06] 因为他爸爸是所有权人
[03345.06-03346.42] 怀异工人是无权账人
[03346.42-03348.10] 那这个时候他的父亲对于怀异工人
[03348.10-03350.10] 想要反昣怀异异情求权
[03350.10-03352.26] 所以在这里面大家注意一下
[03352.26-03353.86] 所以在这个地方
[03353.86-03356.22] 于他不想适用的单方民伐行为
[03356.22-03358.50] 给他举几个例子比如说董语
[03358.50-03359.62] 单方的董语
[03359.62-03361.78] 给了一个特别贵的打赏
[03361.78-03362.10] 对吧
[03362.10-03364.10] 或者单方的抛弃
[03364.10-03366.68] 或者我们常见的利益主的这种行为
[03366.68-03369.28] 你在体验中看到了一绿怎么样
[03369.68-03371.78] 这几个行为超出它的
[03371.78-03374.00] 任知无效
[03374.00-03377.22] 这是不像是用的单方民事法的行为
[03377.22-03378.64] 如果在这里面
[03378.64-03380.82] 现在明是行为的内人实施的什么呢
[03380.82-03381.64] 实施的
[03381.64-03382.98] 于我们所说的
[03382.98-03384.68] 不像是用的什么呢
[03384.68-03385.94] 双方民事法的行为
[03385.94-03387.56] 这种行为之下就是效力
[03387.56-03389.22] 带定就是效力带定
[03389.22-03390.18] 所以大家注意一下
[03390.18-03392.32] 这是我们所给到的内容
[03392.32-03394.12] 而这个效率带定咱们也给前面
[03394.12-03395.28] 是我给大家就说了
[03395.28-03396.40] 这个效率带定
[03396.40-03398.44] 他就要看他父母师佛
[03398.44-03399.00] 主义认
[03399.00-03400.44] 如果他父母追认认了
[03400.44-03402.44] 他做的这个事就有效
[03402.44-03403.16] 他父母不认
[03403.16-03404.72] 他做的事就无效
[03404.72-03406.08] 所以主要就是看
[03406.08-03407.72] 他能不能认知到
[03408.00-03408.64] 明白了吧
[03408.64-03409.48] 首先第一个
[03409.48-03411.52] 纯获利的和相识用的有效
[03411.52-03412.76] 单方的比如说
[03412.76-03413.80] 单方的抛弃
[03413.80-03415.32] 单方的利益主无效的
[03415.32-03416.64] 不相识用的双方
[03416.64-03417.96] 他花两万块钱
[03417.96-03419.12] 买了一个借着
[03419.12-03420.48] 那这种情况之下
[03420.48-03422.04] 超过了他的认知范围
[03422.04-03424.64] 那他两万块钱每借质的这个事情有没有效呢
[03424.64-03425.88] 看到父母的态度
[03425.88-03428.20] 所以在这里面考理解行的题目
[03428.20-03429.96] 就考案例让你去变弃
[03429.96-03433.52] 他实施的行为到底是有效的还是有效的
[03433.52-03435.36] 那这个是我们所说的有关于
[03435.36-03437.68] 提到的这一个点
[03437.68-03440.72] 就是我们所说的明示行为能力
[03440.72-03441.76] 明示行为能力
[03441.76-03442.80] 好 那到这呢
[03442.80-03444.40] 我就把整个再人当中
[03444.40-03447.04] 他必须具备的两个能力打算了
[03447.04-03448.72] 一个是明示权力能力
[03448.72-03450.16] 一个是明示行为能力
[03450.16-03451.44] 你是全力努力
[03451.44-03452.98] 随于出生中一死亡
[03452.98-03454.76] 生前和死后利于的保护
[03454.76-03455.92] 明是行为努力
[03455.92-03458.36] 我们在这里要给大家去讲的就是
[03459.38-03462.96] 那三种人以及他的明是行为的效应力问题
[03462.96-03465.52] 那在这这是我们所说的关于
[03465.78-03467.30] 提到的他的一个
[03468.08-03469.10] 行为的问题
