[00000.00-00007.80] 我们了解完了整个行政法的基本原则之后,我们来看一下第三个大问题,就叫做行政主体
[02433.34-02433.86] 只能不门
[02434.12-02435.64] 而行政主体是什么
[02435.64-02439.74] 行政主体包括行政机关和各种各样的组织
[02439.74-02442.44] 而行政法主體是什麼呢?來看一下
[02442.44-02445.54] 他說行政法主體,進行政法律關係主體
[02445.54-02450.84] 是行政法調整各行政關係當中的參加人包括機關組織和個人
[02450.84-02453.24] 所以行政主體是行政法主體的一種
[02453.24-02454.44] 你是不是覺得有點肉?
[02454.44-02460.84] 大家注意一下,行政法主體調整的是什麼?調整的是行政法律關係的多方
[02460.84-02464.64] 比如說,在行政法當中,或者行政法律關係當中
[02464.64-02468.20] 有元告 有背高 有第三人 对吧
[02468.20-02471.04] 那元告和背高 元告就是我们所说的什么
[02471.80-02475.40] 行政相对人 背高就是行政机关 对吧
[02475.40-02476.36] 比如说 我
[02477.96-02480.00] 去告 国安局
[02481.52-02483.96] 那我去告国安局 那我去告国安局
[02483.96-02485.80] 那我提起的能是民事诉讼吗
[02485.80-02488.04] 真的不行的 我去告国安局
[02488.20-02491.00] 直接提起的是什么 是行政诉讼
[02491.00-02496.62] 而我和官局之间就是形正法所调整的形正法律关系
[02496.62-02499.12] 我和官局之间就是形正法律关销
[02499.12-02501.24] 那这里面你看我是什么
[02501.24-02502.84] 我是员告
[02507.64-02509.90] 我是形正法当中的员告
[02509.90-02512.80] 我们叫做形正相对人对不对
[02513.48-02515.16] 然后官局是什么
[02515.16-02516.40] 官局是背高
[02516.40-02518.16] 是形正法当中的背高
[02518.16-02521.24] 官局是属于什么 官局是属于行政机关的嘛
[02522.26-02526.60] 这是民高官嘛 那我为什么要去高官局呢 原因很简单
[02526.86-02531.48] 是因为我有一天下班回家的路上 我心情特别的不好 我就在想了
[02531.98-02538.12] 我为什么心情不好呢 我不知道原因 所以我就在想原因的时候我就会越想心情又反造 越想心情又反造
[02538.38-02547.08] 然后我就和一个人擦件而过 当我俩擦件而过的那一瞬间 我就想 老海当中就想起了一首旋律特别的优美
[02547.08-02549.16] 叫确认过眼神
[02549.48-02550.92] 什么你是对的人
[02550.92-02552.96] 我当时我就觉得没错
[02552.96-02553.72] 就是他了
[02553.72-02555.48] 我上去就给他一电炮
[02555.48-02556.96] 把他的门牙给他打掉了
[02556.96-02558.28] 这个人当时就疯了
[02558.28-02559.32] 说你有兵吧
[02559.32-02560.04] 是疯狗吗
[02560.04-02560.92] 你出来到这儿要人
[02560.92-02561.44] 对吧
[02561.44-02562.64] 你既然把我牙过打掉了
[02562.64-02563.20] 你看我
[02563.20-02564.24] 不包裹装你的
[02564.24-02564.52] 很
[02564.52-02566.60] 于是他就拿起他的手机
[02566.60-02567.28] 打了要励
[02567.28-02569.04] 我当时想去区两克牙而已
[02569.04-02570.08] 你能耐我和
[02570.08-02571.08] 结果警察来了
[02571.08-02572.36] 想来了之后能把我抓走了
[02572.36-02572.84] 受了什么
[02572.84-02573.80] 受过一伤害人家
[02573.80-02574.56] 学姓资事人
[02574.56-02575.88] 给我搞形容区留
[02575.88-02576.96] 给我关了三天
[02576.96-02578.64] 关了三天之后内心继续不少
[02578.64-02579.64] 顺平常关我
[02579.64-02582.04] 我们两个当时为什么会发生这么个参
[02582.04-02583.16] 是因为来电了
[02583.16-02584.76] 对于对确任过眼神
[02584.76-02585.92] 你就是对的人
[02585.92-02587.40] 他不看我能打他们
[02587.40-02588.80] 于是我对于关局
[02588.80-02590.16] 即我三天形证
[02590.16-02591.44] 居留这个事不错
[02591.44-02592.52] 我就把关局告了
[02592.52-02593.92] 你看是不是就这么一个案子
[02593.92-02594.72] 所以你看
[02594.72-02595.80] 在这个里面
[02595.80-02596.80] 我们调整的是什么
[02596.80-02599.04] 是我和关局之间
[02599.04-02600.16] 除了我和关局之间
[02600.16-02600.76] 还有一个人
[02600.76-02601.96] 就是被我打的人
[02605.04-02605.96] 被我打的人
[02605.96-02609.44] 对我打的人他不是这个行政诉讼当中的员告被告
[02609.44-02611.44] 也不是相对人和行政机关
[02611.44-02612.64] 对我打的人是什么
[02612.64-02614.60] 对我打的人叫行政相关人
[02614.60-02617.48] 就是关局对我的处理对他的利益会产品下
[02617.48-02619.08] 所以叫行政相关人
[02619.08-02621.56] 所以整个行政法的主体包括那些
[02621.56-02623.48] 机关组之个人等等
[02623.48-02625.52] 行政法的主体就包括我们刚才所说的
[02625.52-02628.76] 可能包括相对人行政机关相关人
[02628.76-02630.00] 这些是不是都有可能
[02630.00-02633.28] 所以行政法主体大主意向
[02633.28-02636.36] 原圈就是行政法主体
[02636.36-02639.44] 行政法主体是一个非常大的红官范围
[02639.44-02641.72] 只要是行政法律关系当中所调政
[02641.72-02643.12] 都属于行政法主体
[02643.12-02645.24] 这里面的我这里面的关局
[02645.24-02646.72] 这里面被我打的人
[02646.72-02649.72] 它其实都属于行政法主体
[02649.72-02653.00] 因为这些人都在行政法律关系的调政范围之内
[02653.00-02653.76] 明白了吧
[02653.76-02655.04] 这个叫行政法主体
[02655.04-02656.92] 而行政法主体当中
[02656.92-02659.84] 大主体行政法主体当中包包困背高
[02659.84-02661.72] 因为行政法主体
[02661.72-02663.96] 我们所说的他一定包括什么
[02663.96-02666.06] 形容法调整形容法理关系
[02666.06-02668.36] 形容法理关系是谁和谁之间的关系
[02668.36-02670.36] 是关民之间的关系
[02670.36-02675.06] 所以这里面的形容法律关系主体当中一定包括关
[02675.06-02676.44] 这个关就是
[02678.12-02679.08] 再打一点
[02680.60-02682.24] 他一定包括关
[02682.24-02683.34] 这个关就是什么
[02683.34-02685.08] 这个关就是形容主体
[02685.08-02687.36] 咱们形容主体不是刚讲完吗
[02688.12-02691.36] 形容主体就是关关民当中的广易的关
[02691.36-02693.54] 所以里面这个圈就相当于什么
[02693.54-02695.70] 就相当于形正主体
[02695.70-02697.90] 但是形正主体有極重形式同意吗
[02698.90-02700.46] 形正主体有極重形式
[02700.46-02701.58] 咱们刚讲完
[02701.58-02704.04] 形正主体有两种形式
[02704.04-02705.24] 第一种形式是啥
[02705.24-02708.56] 第一种形式就是我们刚才所提到的国家形正
[02708.56-02710.60] 机关第二种形式是啥
[02710.60-02712.40] 第二种形式就是社会组织
[02712.40-02716.00] 所以形正主体当中还包括两个
[02716.00-02717.08] 一个就是什么
[02717.08-02719.46] 一个就是形正机关
[02719.46-02725.04] 所以你看这里面的形证机关形证主体和形证法主体是一会事吗?
[02725.04-02726.32] 不是一会事
[02726.32-02730.18] 考试的时候在这就考一个概念上的区分你要知道
[02730.18-02733.42] 他们其实就是大传逃小圈的关系
[02733.42-02735.80] 方本之下不是一会事
[02735.80-02736.62] 大家在这
[02736.62-02737.78] 一定要注意
[02737.78-02741.82] 这是我们所说的叫做形证主体
[02741.82-02744.80] 形证法主体以及形证机关
[02744.80-02746.16] 也就是形证法主体
[02746.16-02748.96] 放在最大 形容法包括形容主体
[02748.96-02750.50] 而形容主体留两个
[02750.50-02752.00] 也是国家形容机关
[02752.00-02754.08] 一个是我们所说的什么
[02754.08-02754.92] 受费组织
[02754.92-02756.44] 形容机关
[02756.44-02758.04] 只我是形容主体当中
[02758.04-02760.04] 一个非常小的一款
[02760.04-02762.56] 所以在这大家不要把它争货了
[02762.56-02764.60] 这个就是我们所提到的
[02764.60-02766.16] 做做形容主体
[02766.16-02768.12] 它的一个基本概念以及在这
[02768.12-02770.68] 有一个一混小的烤点
[02770.68-02771.80] 给它去分清楚
[02771.80-02774.52] 这个点往往就烤差一个变息烤点
[02774.52-02775.88] 这是形容主体
[02775.88-02777.64] 那形容主体咱们刚才说了
[02777.64-02779.10] 它形式很多
[02779.10-02781.48] 所以可以对形容主体进行分类
[02781.48-02782.92] 这个分类同们主意
[02782.92-02784.72] 它考的相对来说比较少
[02784.72-02786.72] 一般请玩一下考实际形的题目
[02786.72-02787.60] 考的是什么呢
[02787.60-02788.60] 考的是对应
[02790.44-02792.52] 在这里一般考的时候是对应
[02792.52-02793.46] 考的是什么呢
[02793.46-02799.60] 考的是标准和类别的对应
[02803.68-02805.80] 考的是标准和类别的对应
[02805.80-02809.72] 你看在这里面他说了刚才咱们所提到那些形容主题
[02809.72-02810.92] 他可以分成两种
[02810.92-02814.00] 就是根据主体资格取得的法律局的不同
[02814.00-02815.32] 可以分成第一个叫做
[02815.32-02816.52] 受权性主体
[02816.52-02817.80] 你把执权画出来
[02817.80-02819.16] 第一个叫执权性主体
[02819.16-02821.00] 第二叫做受权性主体
[02821.00-02822.72] 你把受权画出来
[02822.72-02824.76] 而在这里面什么叫执权性主体
[02824.76-02826.80] 执权性主体概念不用管
[02826.80-02830.64] 方式,机关一法成立时就拥有相的执能
[02830.64-02832.88] 并获得形容主体资格的主体
[02832.88-02834.24] 他就叫做执权性主体
[02834.24-02836.56] 有的是这种是什么 天生立志醒了
[02836.56-02839.84] 从他成立那天开始 他就是醒任机关
[02839.84-02841.20] 他就是醒任主体
[02841.20-02845.08] 这种就是直全醒主体 最长件的就是国家机关
[02845.08-02847.16] 这个国家醒任机关
[02847.16-02849.32] 就包括我们刚才所提到的那些
[02850.80-02853.88] 包括我们所说的政府及些不门 对吧
[02853.88-02856.28] 这个就是国家醒任机关
[02858.52-02861.44] 这就是直全醒了 还一种受全醒了
[02861.44-02862.48] 收钱行的是啥
[02862.48-02863.84] 是你先天没有
[02863.84-02865.80] 后天通过相的法律法规
[02865.80-02866.52] 数据给你的
[02866.52-02866.92] 你看
[02866.92-02867.60] 他说了
[02867.60-02868.60] 数据人主体
[02868.60-02870.00] 又成法律法规
[02870.00-02871.44] 数据的组织
[02871.44-02872.60] 他是巴拉巴拉的
[02872.60-02873.48] 以自己的免疫
[02873.48-02874.24] 从事什么的
[02874.24-02874.96] 社会组织
[02874.96-02876.08] 这里面就知道
[02876.08-02876.96] 数据人主体
[02876.96-02877.60] 其实就是
[02877.60-02878.44] 我们刚才所说的
[02878.44-02879.88] 形容组体里面的什么
[02880.08-02880.88] 我们所说的
[02880.88-02882.40] 社会组织当中的
[02882.40-02883.20] 第一个
[02886.88-02888.80] 只社会组织中的
[02889.92-02891.40] 被数据组织
[02891.44-02898.94] 是社會組織當中的被受限組織
[02898.94-02899.84] 那麼在這兒呢嗎?
[02899.84-02900.54] 我們來看
[02900.54-02902.14] 國亞形容一萬一社會組織
[02902.14-02903.44] 社會組織當中有兩種
[02903.44-02904.94] 第一種叫被受限組織
[02904.94-02906.34] 第二種叫委託組織
[02906.34-02907.94] 能夠成為形容主題的
[02907.94-02909.24] 一定是被受限組織
[02909.24-02910.34] 委託組織不醒
[02910.34-02911.84] 雖然他也是社會組織
[02911.84-02914.64] 但是他是以機關的緬疑去做事
[02914.64-02915.54] 幫機關做事
[02915.54-02916.44] 他就是這個幫手
[02916.44-02917.94] 所以你看這裡的受限形組織
[02917.94-02919.64] 就是被受限組織
[02919.64-02921.64] 搬發畢業證的大學
[02921.64-02925.24] 這個就是行政主體
[02925.24-02927.00] 這是職權行合
[02927.00-02927.96] 受權行的
[02927.96-02929.40] 能夠分清就可以了
[02929.40-02932.44] 讓我們把行政主體做一個簡單的規律
[02932.44-02933.80] 這個規律就在這
[02933.80-02936.36] 行政主體是以自己的免疫時事
[02936.36-02938.36] 我們所說的承難責任的
[02938.36-02940.68] 國家機關合社會組織
[02940.68-02942.36] 這裡面的重點就在於第一個
[02942.36-02943.24] 國家機關
[02943.24-02944.36] 它有哪幾類
[02944.36-02945.00] 咱們剛說了
[02945.00-02946.12] 國外機關有幾類
[02946.12-02948.84] 有一般機關有專門機關
[02948.84-02951.56] 我们还讲了派出机关和派出机关的区别
[02951.56-02953.44] 第二是会组织分两类
[02953.44-02955.76] 第一是被受权的组织
[02955.76-02957.08] 第二是委托组织
[02957.08-02959.76] 哪一个可以直接告被受权的组织
[02959.76-02961.00] 委托组织不行
[02961.00-02963.60] 这是我们在行政主体当中
[02963.60-02964.44] 给大家去讲的
[02964.44-02966.04] 第一个行政主体的概念
[02966.04-02967.00] 第二个我们说了
[02967.00-02968.04] 行政主体
[02968.04-02969.72] 它其实要区分一个点
[02969.72-02972.84] 就是行政机关不等于行政主体
[02972.84-02975.96] 也不等于行政法主体
[02975.96-02980.72] 正面形容法主体最大 形容法主体当中一旦一定涵蓋形正主体
[02980.72-02984.00] 而形正主体有两个机关和组织
[02984.00-02987.04] 所以机关只是形正主体当中的一款
[02987.04-02988.68] 这使它的概念
[02988.68-02992.04] 而形正主体就是可以成为形正诉讼当中的背高
[02992.04-02993.32] 你可以直接去高的这个
[02993.32-02995.68] 根据形正主体取得的
[02995.68-02997.72] 资格的法律记不同包括
[02997.72-03000.20] 直权形的 还包括我们所说的什么
[03000.20-03001.24] 受权形的
[03001.24-03003.08] 这里面的直权形的包括
[03003.08-03006.28] 国家行政机关比如政府 蒙伯伯门
[03006.28-03008.44] 包括我们所说的什么 派出机关
[03008.44-03010.12] 派出机关咱们给大家提到了
[03010.12-03012.52] 叫行政公主驱动物所和机道办处
[03012.52-03014.52] 当然也包括个别的派出机构
[03014.52-03016.40] 但是我们说了派出机构
[03016.40-03017.80] 他和派出机关
[03017.80-03020.20] 第一个区别就在于机关是政府设立的
[03020.20-03022.44] 而机构是什么 是不门设立的
[03022.44-03025.56] 第二个 机关派出机关可以直接告
[03025.56-03028.76] 但是原则上派出机构不能告
[03028.76-03030.68] 能不能直接告派出很少
[03030.68-03032.44] 除非这个派出所是什么
[03032.44-03034.68] 除非派出所子做了两件事
[03035.40-03038.12] 第一個就是警告你可以直接去告派了所
[03038.12-03040.00] 第二,他给你做了500元以下的法款
[03040.00-03041.12] 你可以去告派了所
[03041.12-03043.44] 不然的话,只要是派出所说什么呢
[03043.44-03044.72] 反尼两千块钱
[03044.72-03048.16] 然后,这个时候,你就要说平常是两千
[03048.16-03049.76] 他反尼两千块钱你觉得不合理
[03049.76-03052.40] 那这种情况之下,派出所反尼两千
[03052.40-03054.40] 你这个时候不合理,你想去告他
[03054.40-03055.72] 你就不能告派出所了
[03055.72-03058.48] 而要告派出所背后的什么关局
[03058.48-03059.80] 所以在这里面你看
[03059.80-03062.64] 派出局共原走上不能做形容主体
[03062.64-03063.80] 但是有一个理外
[03063.80-03065.16] 就是派出所基于警告
[03065.16-03067.36] 胡表现于外缘一下的罚款
[03067.36-03069.20] 那搜据组织在这里面
[03069.20-03072.12] 就给到的就是形容组织当中的第二类
[03072.12-03074.20] 所以这里面所给到的概念和分量
[03074.20-03075.92] 它其实是有交差进贺的
[03075.92-03078.68] 你只要能够在这把哪个点把我清楚
[03078.68-03083.16] 把我们刚才讲的概念当中的一整也屁肯定吸收消化掉
[03083.16-03086.08] 这个分类对我们来说就是非常简单的
[03086.08-03088.20] 这是关管民当中的
[03088.20-03091.48] 第一個概念就是官,也就是說我們所說的行政主體
