[00000.00-00003.08] 好了 那我们接着 把下看 俗话说了 好啊
[00003.08-00006.04] 官门能够官门过 同一门坚持了这么久
[00006.04-00010.52] 咱们把刑法说完了 咱们还剩下刑法总论当中的最后一个内容
[00010.52-00013.64] 就叫做亮刑 那什么是亮刑呢
[00013.64-00015.80] 我们之前给大家说过 这是如果
[00015.80-00020.96] 我真的够成了杀人 道歉 抢节等等这些最想
[00020.96-00023.24] 那我要不要考虑一些其他的一些情况
[02271.56-02273.72] 如果是一般立功从前
[02273.72-02275.88] 做哪立功就怎么样面出
[02275.88-02277.42] 最后一个就是环形
[02277.42-02278.28] 还先一掉住一下
[02278.28-02279.46] 环形是用的对象
[02279.46-02280.66] 居一三年雨下
[02280.66-02281.58] 不是用的
[02281.58-02282.28] 就是雷范
[02282.28-02283.80] 旷范的手奮子
[02283.80-02285.36] 环形成功的话
[02285.36-02287.40] 是为原判形法不再执行
[02287.40-02288.94] 而并非执行完毕
[02288.94-02289.68] 所以
[02289.68-02292.52] 环形期满之后不能成立雷范
[02292.52-02293.86] 但是假是不一样
[02293.86-02294.82] 假是是
[02294.82-02296.62] 副条件的提前释放
[02296.62-02298.66] 针对的是有期图形的
[02298.66-02300.00] 无社会危害的
[02300.00-02301.74] 你可以提前释放
[02301.74-02303.02] 天释放它有条件
[02303.02-02304.46] 不能说刚关节中释放
[02304.46-02307.86] 有句徒刑之情二分之一上可以使用假释
[02307.86-02311.06] 无机徒刑的话,执行是三月以上可以使用假释
[02311.06-02313.86] 假释成功是为原判刑化執行完毕
[02313.86-02317.26] 如果执行完毕之后,假释之后再去犯罪的话
[02317.26-02320.26] 那这种情况要符合相和条件,大家就可以怎么样
[02321.46-02325.66] 他就可以我们所说的成立,雷创一定要把它和前面去分开
[02325.66-02330.26] 那说假释,它是提前释放,但是有些人不能提前放了,那些人会人
[02330.26-02335.66] 你看 累饭 所以说了 累饭 既不是用幻形 也不是用假事 第二个
[02335.66-02340.46] 就是我们所说的 这种暴力犯罪时间以上的 不行 主观个形太强了
[02340.46-02342.46] 这个就是我们所说的 良性
[02342.46-02348.06] 我们做了一做的题目来看一下吧 在这里面他给到 说特别累饭 特别累饭
[02348.06-02352.66] 特别累饭是只在前后最性质一只相同出发 同于最名的累饭
[02352.66-02359.26] 所以一下不能够成特别累饭的事 特别累饭 国 孔 国 孔 黑 对吧
[02359.26-02362.58] A,B,C可以構成,那不會構成的就是什麼?
[02362.58-02365.46] 第四個,所以第一題選擇,四弟
[02365.46-02368.78] 第二題來看一下,說蔣英道歉被關機關的答案
[02368.78-02371.94] 已經被抓住了,在新聞區間主動交代
[02371.94-02375.90] 曾經實施過的搶劫罪,你看,這時候已經被答案了
[02375.90-02379.74] 只是被採取了搶這措施了,這是第一個點,第二個
[02379.74-02384.86] 他交代的是什麼?是搶劫罪,是人家上位掌握的,如果
[02384.86-02387.38] 交代的事情要上位掌握的
[02387.38-02388.44] 壁罪的话
[02388.44-02389.46] 他就过程什么
[02389.46-02390.48] 主人自首
[02390.48-02392.42] 所以在这里他成立自首
[02392.42-02395.62] 那如果说他应道替被关键关抓住之后
[02395.62-02397.92] 他共述了自己道替的这个行为
[02397.92-02399.96] 事无继续每一个环节都说了
[02399.96-02401.76] 他如果去共述了
[02401.76-02405.60] 被动规案之后说了人家已经掌握了他是什么
[02405.60-02406.62] 他应该是坦白
[02406.62-02407.38] 明白吧
[02407.38-02408.94] 因为这里是强节罪吗
[02408.94-02409.94] 上位掌握的嘛
[02409.94-02410.72] 所以是自首
[02410.72-02412.50] 如果他共述自己道替罪
[02412.50-02413.78] 那他就属于坦白了
[02413.78-02415.56] 所以照听选择的是
[02415.56-02416.46] A选项
[02416.46-02418.38] 好 那我们再来看一下第三点
[02418.38-02419.92] 说下令可以成为了一番的事
[02419.92-02421.02] 那你就要判断呢
[02421.02-02422.74] 首先第一个它是一般的一番
[02422.74-02424.78] 还是特别了一番 对不对
[02424.78-02426.84] 如果是一般的一番的话几个条件
[02426.84-02428.62] 如果是一般的一番的话
[02428.62-02430.16] 我们说了它就是四个条件
[02430.16-02433.10] 这四条件分别是前后都是故意犯罪
[02433.10-02434.78] 前后必须年码18
[02434.78-02436.06] 而且必须是
[02436.06-02439.58] 刑法之心完毕5年内 对不对
[02439.58-02441.42] 然后再玩下就是我们所说的
[02441.42-02444.50] 前后行都是有期有期徒刑以上
[02444.50-02445.74] 那这是一般的地方
[02445.74-02446.66] 那特别累翻
[02446.66-02448.26] 特别累翻就两个条件
[02448.26-02449.62] 前后最多是故意
[02449.62-02451.86] 且是要国恐
[02451.86-02453.18] 黑 对不对
[02453.18-02455.30] 第二个就是我们所说的年满时
[02455.30-02457.94] 它没有我们所说的时间上的要求
[02457.94-02460.10] 但是累翻还有一个排除限制
[02460.10-02460.38] 对吧
[02460.38-02460.98] 我们说了
[02460.98-02463.62] 如果说是现在处在环形
[02463.62-02465.86] 或者是假视期内的话
[02465.86-02467.02] 我们刚才讲了
[02467.02-02469.02] 如果是环形期内的话
[02469.02-02471.14] 环形期内不成立累翻
[02471.14-02474.10] 幻形欺满如果是成功的幻形
[02474.10-02476.52] 比如说你原判刑发不在职情了
[02476.52-02479.08] 成功的幻形能不能成立雷发也不行
[02479.08-02482.98] 因为成功的幻形是为原判刑发不在职情
[02482.98-02484.08] 而不是职情完毕
[02484.08-02486.60] 而雷犯的成立大条件是刑发
[02486.60-02487.66] 职情完毕
[02487.66-02489.62] 所以幻形之内不行
[02489.62-02491.52] 所以只要看到幻形直接排除掉
[02491.52-02494.86] 假示是副条件的预业提前失报
[02494.86-02496.80] 如果是在假示欺内犯罪的话
[02496.80-02498.10] 成不成雷犯不成立
[02498.10-02499.84] 因为刑发没有职情完毕
[02499.84-02501.76] 如果是假示成功的话
[02501.76-02503.24] 假示成功是为
[02503.24-02504.96] 原行法執行完毕
[02504.96-02506.56] 那他很有可能成立了一份
[02506.56-02506.88] 对吧
[02506.88-02508.20] 我们就按照这个条件来
[02508.20-02509.24] 首先第一个来看
[02509.24-02510.44] 假顾一杀人
[02510.44-02512.20] 顾一杀人只能在一般了解
[02512.20-02514.36] 反当中看他服务活制肆的条件来
[02514.36-02516.40] 被判处四年与同一幻形
[02516.40-02517.80] 看到环形直接怎么样
[02517.80-02519.44] 环形七内犯罪
[02519.44-02520.44] 七内犯罪
[02520.44-02521.92] 看到环形直接排除掉
[02521.92-02524.76] 环形无论是七内还是成功的环形
[02524.76-02526.08] 他都不能成立了一份
[02526.08-02527.72] 所以A選想说法错误
[02527.72-02528.80] 并想来看
[02528.80-02531.94] 过失真死亡,过失之死亡,
[02531.94-02534.18] 这时候你看前最是一般,
[02534.18-02536.48] 这时候他就只能成立一般累翻了。
[02536.48-02539.56] 在行买失贸后,第四年,第四年,五年内,
[02539.56-02542.56] 又因强节被判处。
[02542.56-02544.92] 因强节被判处有进途行死年,
[02544.92-02548.76] 你看前后都是故意犯罪吗?不是吧?
[02548.76-02551.60] 我们说了一般累犯成立条件,前后都是故意犯罪。
[02551.60-02554.04] 这时候过失,形不成,过失也不行。
[02554.04-02556.94] 所以避选上能不能成立累犯呢?也不行,看一下,
[02556.94-02560.28] 一般的条件
[02560.28-02565.12] 一般的条件
[02565.12-02565.38] 一般的条件
[02565.38-02567.02] 一定是要对四个
[02567.02-02568.20] 我们看一下
[02568.20-02570.78] 说他两年
[02570.78-02571.54] 习乏失放后第五年
[02571.54-02574.34] 然后已经23岁的比
[02574.34-02578.30] 又因无法结婚而管卖扶女儿童
[02578.30-02581.24] 这里面来看一下
[02581.24-02582.74] 他属不属于我们所说的什么
[02582.74-02584.84] 属不属于我们所说的
[02584.84-02589.44] 所给到的一般累放的成立场件
[02589.44-02591.44] 这种情况是像不醒吧
[02591.44-02592.28] 因为无说了
[02592.28-02594.48] 它前后都是故意犯罪
[02594.48-02596.48] 前后都必须年板多少18
[02596.48-02598.04] 你看在这个时候他说了
[02598.04-02600.48] 被释放15年才23
[02600.48-02601.36] 那就意味着
[02601.36-02603.28] 他就说被释放
[02603.28-02604.84] 你看这个说你加一下
[02604.84-02605.64] 他原来是多
[02605.64-02606.36] 他现在多少
[02606.36-02608.44] 他现在是23岁
[02608.44-02609.16] 对不对
[02609.16-02610.44] 他现在是23岁
[02610.44-02611.72] 他醒了是15年
[02611.72-02612.48] 减50多
[02612.48-02613.44] 18岁
[02613.44-02615.44] 他这个18还是叛了两年的了
[02615.44-02618.34] 那这个时候他被叛行的时候多少水16岁
[02618.34-02620.94] 钱最不满18呀
[02620.94-02622.54] 那钱最不满18的话
[02622.54-02623.44] 同时来看一下
[02623.44-02625.34] 我们说了一般累犯成立条件
[02625.34-02626.94] 钱后最多要求是18
[02626.94-02628.24] 叛行不行
[02628.24-02629.24] 排除掉
[02629.24-02630.24] 来第四个丁
[02630.24-02631.64] 美海国家全国
[02631.64-02634.24] 看到国务是后一定是什么
[02634.24-02635.64] 一定是特别累犯
[02635.64-02636.44] 国务黑
[02636.44-02637.72] 钱后都是国务黑
[02637.72-02638.54] 任何一类就行了
[02638.54-02639.24] 国
[02639.24-02640.54] 职丁完毕后七年孔
[02640.54-02641.84] 你别执行完毕后七年
[02641.84-02645.38] 你执行完畢后任何时间放过口可以任何一类
[02645.38-02647.68] 且后最的话都成立特别的类伐
[02647.68-02650.22] 所以第三体选择的是4D
[02650.22-02651.66] 这道题非常好
[02651.66-02654.98] 我们可以介绍一下这些要点去把这个类伐的应用
[02654.98-02656.40] 就给它在熟悉一下
[02656.40-02657.54] 第4D来看一下
[02657.54-02659.38] 说下来放这份子不得假事的事
[02660.38-02661.20] 来看一下
[02661.20-02662.58] 在这里想要不得假事
[02662.58-02663.88] 我们说假事是什么
[02663.88-02667.18] 假事是复条件的提前释放
[02667.18-02668.98] 对于那些人不得提前释放
[02668.98-02670.42] 汇人所先第一个
[02670.42-02671.56] 我们所说的
[02671.84-02673.50] 累饭是不能提前示放
[02673.50-02675.68] 那还有就是故意杀人强监
[02675.68-02677.56] 强节绑架放火爆炸
[02677.56-02679.60] 投放危险物质等爆灵性犯罪
[02679.60-02680.10] 对不对
[02680.10-02681.84] 那你看第一个强监
[02681.84-02683.68] 第二个强节
[02683.68-02687.04] 然后绑架爆竊是不是爆灵性犯罪不是
[02687.04-02688.40] 还有就是我们所说的什么
[02688.40-02689.32] 故意杀人
[02689.32-02690.64] 他说了英故意
[02690.64-02691.84] 只能重伤
[02691.84-02692.92] 那故意伤害不行
[02692.92-02694.32] 一定是故意杀人
[02694.32-02696.72] 所以在这里面不得假适的有
[02696.72-02697.36] 哎
[02697.36-02698.48] 还有我们所说的
[02698.48-02698.84] 比
[02698.84-02700.36] 那这个就是我们刚才所说的
[02700.36-02701.80] 不得假适的条件
[02701.80-02702.84] 所以大家注意一下
[02702.84-02703.84] 这是第四题
[02703.84-02704.20] 好
[02704.20-02704.88] 那到这呢
[02704.88-02707.04] 我们就把整个形务法的总论
[02707.04-02709.20] 在这里给大家产出完毕了
