[00000.00-00005.12] 好的,我们接着来学习,第二节的内容,咱们做一个简单的红官回顾
[02256.18-02257.78] 牟融光场和住个见过
[02257.78-02259.50] 他们两个签订了一个什么呢
[02259.50-02263.98] 他们两个分别代表两个 孟仲昌厂自己办了一个我们所说的场子
[02263.98-02266.74] 然后住健国自由有个场子 安排一化飞场吧
[02266.74-02269.74] 所以在这里面他们两个就签订了一个买卖合同
[02269.74-02273.38] 买卖什么呢 买卖一千大人化飞吧
[02275.30-02276.86] 买卖一千大化飞
[02276.86-02280.18] 是谁卖个谁呢 是猪格建股卖给孟仲昌的
[02280.18-02281.78] 所以在这里面我们都知道
[02281.78-02286.30] 那孟仲昌厂 他就是买收人住了健国 他就是出卖人 对吧
[02286.30-02288.34] 那这里面可能会存在一个问题
[02288.34-02289.18] 这个问题就是什么
[02289.18-02290.62] 他们两个人可能不在一个地方
[02290.62-02292.22] 虽然从小在一个村长大的
[02292.22-02293.94] 但是长大的之后
[02293.94-02296.66] 就是个字到个字的城市去打拼了
[02296.66-02297.54] 所以在这里面
[02297.54-02298.90] 我先给大家画个镜头
[02298.90-02300.06] 你就知道谁们给谁的
[02300.06-02302.38] 是住的见国妹给牧荣广场的
[02302.38-02304.14] 那假设现在牧荣广场在哪呢
[02304.14-02305.66] 牧荣广场在大城市
[02305.66-02306.02] 对吧
[02306.02-02307.46] 在牧荣在上海
[02307.46-02308.70] 而住的见国在哪呢
[02308.70-02309.66] 住的见国
[02309.66-02311.10] 也在大城市
[02311.10-02312.38] 假设是在深圳
[02312.38-02312.90] 对吧
[02312.90-02314.22] 那这不得了
[02314.22-02315.58] 那生意做得很大
[02315.58-02317.38] 然后在这里就是1000大画费
[02317.38-02318.40] 但是1000大画费呢
[02318.40-02319.68] 两人不在一个地方
[02320.44-02321.46] 所以这里面呢
[02321.46-02323.94] 牧荣广场也不方便去深圳体货
[02323.94-02324.54] 所以呢
[02324.54-02326.46] 在这里面就出现了第一轮关系
[02326.46-02327.36] 什么关系呢
[02327.36-02329.06] 我在这里用绿色的比赋标准
[02329.06-02330.50] 就是牧荣广场
[02330.50-02332.42] 伟托足个建国
[02332.42-02333.26] 让他嘛
[02333.26-02335.54] 让他给自己办理代本投票
[02335.54-02337.98] 所以在这里面出现了另外一个关系
[02337.98-02338.94] 上面是买卖合同
[02338.94-02341.70] 下面就是他要伟托
[02343.34-02344.78] 我就简单写国了
[02344.78-02348.18] 美托助国俊国给他办理带办托运
[02350.86-02352.98] 他美托助国给他办理带办托运的时候
[02352.98-02353.50] 他在说的
[02353.50-02354.78] 他是建国建国
[02354.78-02355.78] 他说是这样的
[02355.78-02356.78] 我去不了
[02356.98-02357.70] 然后呢
[02357.70-02360.66] 你帮我找一个快定物流公司
[02360.66-02361.62] 把这个东西
[02361.62-02362.90] 给我运到
[02362.90-02363.66] 上海来
[02363.66-02364.78] 这个建国当时你说话
[02364.78-02365.58] 没有问题
[02365.58-02367.18] 说咱俩从来会长大的这
[02367.18-02367.98] 去去
[02367.98-02369.58] 帮你找个物流公司而已
[02369.58-02370.38] 小case
[02370.38-02371.42] 所以在这个时候呢
[02371.42-02372.78] 助国建国就做了一件事
[02372.78-02373.38] 什么事呢
[02373.38-02376.12] 住了见过就找到了他的另外一个朋友
[02376.12-02377.10] 大家应该还记得吧
[02377.10-02378.28] 就是咱们所说的
[02378.28-02378.90] 谁呀
[02378.90-02379.90] 西门富贵
[02382.66-02383.74] 别西门富贵了
[02383.74-02384.86] 咱们连动一下好吧
[02384.86-02386.90] 不知道大家没有看过那个一人之下
[02387.46-02389.06] 在这里面他就找到了谁呢
[02389.06-02390.92] 他就找到了我们所说的
[02390.92-02391.86] 宝儿姐吧
[02391.86-02392.26] 对吧
[02392.26-02393.90] 他然后找到了一个物流公司
[02393.90-02394.90] 哪都通
[02397.46-02400.06] 找到了一个哪都通物流公司
[02400.06-02402.38] 然后哪让这个物流公司
[02402.38-02405.78] 帮助他来运出什么 这一千带画费
[02405.78-02408.50] 所以你看这里面出现了几层关系呢 同什么
[02408.50-02411.14] 这里面出现了三层关系 那三层关系呢
[02411.14-02413.58] 第一层关系 就是在这 全一
[02413.58-02416.54] 这里面有一个一千带画费的满卖和头
[02416.54-02418.00] 第二层关系呢 就是
[02418.00-02421.42] 默容广场 伟拖 住的建国 帮他办理带完头运
[02421.42-02423.34] 所以这里面又出现了一个什么和头
[02423.34-02426.06] 这没有出现了一个 伟拖和头
[02426.06-02426.70] 对不对
[02426.70-02429.22] 然后除了这伟收和同之外呢 这个时候
[02429.22-02431.46] 我们所说的这个助的剑国有找到了那儿
[02431.46-02435.10] 都通务劉公司那在那儿都通务劉公司这一块
[02435.10-02435.90] 他就有干嘛
[02435.90-02438.94] 他就有一个叫做运输合同
[02442.10-02442.98] 运输合同
[02442.98-02444.54] 那这个就叫什么同意吗
[02444.54-02446.62] 这个就叫做代贩脱运
[02446.62-02448.94] 那这个代贩脱运里面就比较复杂了
[02448.94-02450.10] 这个时候你看
[02450.10-02452.66] 是助葛剑国帮他找人帮他运
[02452.66-02454.74] 然后助葛剑国帮孟仲找人运
[02454.74-02455.82] 然后这个时候呢
[02455.82-02459.40] 这个经过又把这个1000带化费给到了那种同公司
[02459.40-02463.94] 这个时候如果那都从在运输的时候突然有人来抢这些东西
[02463.94-02466.26] 突然有人把这些化费都给炸掉了
[02466.26-02468.30] 或者是突然遇到的一些特殊情况
[02468.30-02470.66] 那这个时候化费回损面施了
[02470.66-02474.18] 这个化费回损面施的风险又谁来承担的
[02474.18-02476.30] 大家注意一下 你看输上咋说的
[02476.30-02477.90] 实际上在这 再问推说了
[02477.90-02481.18] 说在代表通运当中说没有约定交付地点
[02481.18-02482.18] 会约定不明的
[02482.18-02485.58] 说自出卖人将标准达交付第一成为人的时候
[02485.58-02487.42] 有买事儿来成长大风险
[02487.42-02488.90] 因为在这里面大家注意一下
[02488.90-02490.10] 他分两种情况
[02490.10-02492.26] 我就把这个考验写在这了
[02492.26-02494.34] 如果说在这里第一种情况
[02494.34-02495.90] 就是他约定了
[02497.18-02498.74] 明确的地点
[02500.18-02502.58] 约定了明确的地点
[02504.58-02506.02] 那这种情况之下
[02506.02-02508.14] 回损面市的风险就有什么
[02508.14-02510.98] 就交付市转一改满售人
[02512.18-02515.18] 我都擦了,不然寫不下了
[02516.18-02519.18] 就是交付时
[02519.18-02521.18] 转一给
[02524.18-02525.18] 每收人
[02525.18-02526.18] 什么意思?
[02526.18-02529.18] 就是如果当时这个木荣广场住的见过说
[02529.18-02530.18] 他说见过见过我
[02530.18-02532.18] 你给我把这一天带话费
[02532.18-02534.18] 帮我找一个公司
[02534.18-02535.18] 帮我运到
[02535.18-02537.18] 上海是徐会区
[02537.18-02539.18] 拿那条街道
[02539.18-02541.18] 哪一个倘窟门口
[02541.18-02543.54] 是不是就制约定了什么 约定了
[02543.54-02546.10] 明确的这样的一个地点
[02546.10-02548.22] 那这个时候什么手风线转眼
[02548.22-02550.58] 当哪都通过司把这个
[02550.58-02552.54] 我们所说的这一天那话询
[02552.54-02554.54] 运输到我们所提到的哪呢
[02554.54-02557.54] 就是运输到这个
[02557.54-02560.50] 行 陌生广场他超恐门口的手风线转眼
[02560.50-02561.18] 那刚才咱们说了
[02561.18-02562.94] 说了说哪儿的通过司在运输的过程当中
[02562.94-02564.10] 徒中出问题了
[02564.10-02565.14] 那徒中出问题了
[02565.14-02567.86] 有没有交付到陌生广场的手脸没有
[02567.86-02569.02] 那如果没有交付到
[02569.02-02569.98] 陌生广场的手脸
[02569.98-02572.24] 那這一千大化肥的損失用時來承擔
[02572.24-02573.32] 豬隔見我來承擔
[02573.32-02574.88] 你待給人再補發一千大
[02574.88-02575.72] 明白這個意思吧
[02575.72-02577.12] 所以你看這水約定了
[02577.12-02578.28] 明確地點的
[02579.00-02580.36] 糾付時轉一風線
[02580.36-02582.32] 那如果沒有約定明確地點呢
[02582.82-02583.86] 就是書上所的
[02583.86-02585.16] 說了沒有約定了
[02585.76-02586.62] 糾付地點
[02586.62-02588.62] 就是無明確約定
[02591.06-02593.58] 那無明確糾付地點的
[02596.48-02597.18] 看一下
[02597.18-02598.64] 無明確糾付地點的
[02598.64-02599.52] 他怎麼說的
[02599.52-02602.72] 说自出卖人将标定物交付第一成月人
[02602.72-02603.88] 第一成月人就是谁
[02603.88-02605.16] 哪都同公司
[02605.16-02608.92] 所以自出卖人交标定物交付给哪都同公司的时候
[02608.92-02610.00] 谁来承担风险
[02610.00-02613.88] 由卖售人也是陌荣广场承担风险
[02613.88-02615.92] 所以叫货交第一成月人
[02618.40-02621.40] 货交第一成月人的时候
[02622.72-02624.80] 这个时候由我们所说的
[02624.80-02626.00] 卖售人承担
[02626.00-02630.00] 美售人承担
[02630.00-02635.00] 说老师怎么可能他还没有约定明确的交付地点呢
[02635.00-02636.00] 当然可能了
[02636.00-02639.00] 因为大家知道假设这里面的木柔广场
[02639.00-02641.00] 他每这天千段话可以干嘛呢
[02641.00-02642.00] 他也想转败
[02642.00-02645.00] 如果他也想转败的话
[02645.00-02646.00] 他就一边让谁呢
[02646.00-02648.00] 一边让柱格尖锅棒他运着这个货
[02648.00-02651.00] 另外一边他就把这个锅要保安配
[02651.00-02653.00] 所以在这里可能会存在这种情况
[02653.00-02655.00] 那如果当时木柔广场跟柱格尖锅
[02655.00-02657.00] 他說見過 這一切的話可以問買了
[02657.00-02657.90] 買了之後呢
[02657.90-02659.74] 說你幫我找一個公司
[02659.74-02663.90] 讓這個公司把這些過給我往上海方向運
[02663.90-02666.80] 那就是說如果是往上海方向去運的話
[02666.80-02668.70] 那這時候可能會出現一個什麼情況
[02668.70-02672.30] 這是人家的耳朵通也不知道你要遇到上海的哪個地方
[02672.30-02674.40] 他就只知道從深圳往上海走
[02674.40-02678.30] 然後共產黨的就在往上海遇的這個過程當中聯繫了其他的買家
[02678.30-02681.54] 然後呢 最後有耳朵的公司在遇到其他買家的
[02681.54-02683.90] 這個時候是不是就沒有明確交付地點了
[02683.90-02686.66] 那如果没有明確教肺底的人说还是要的
[02686.66-02689.86] 哪都红公司在运输的徒中出现了一些意外
[02689.86-02691.22] 这个画费回损面试了
[02691.22-02692.30] 那问一下大家
[02692.30-02694.54] 这个时候画费回损面试的时候
[02694.54-02696.58] 由谁来承担风险呢
[02697.58-02698.78] 这个时候教育有
[02698.78-02700.62] 陆容广场来承招风险了
[02700.62-02702.42] 因为获教第一成人
[02702.42-02706.54] 当助个建国把这些画费交给那都通攻试的时候
[02706.54-02708.34] 那这个时候就出现了什么
[02708.34-02709.58] 获教第一成人
[02709.58-02711.70] 虽于是获得风险就应该有
[02711.70-02712.82] 我们所说的谁
[02712.82-02715.64] 由我们所提到的 陌生广场来承担
[02715.64-02718.30] 所以在这个时候大家要注意到这个点
[02718.30-02720.50] 就是它可能会有一点肉
[02720.50-02724.34] 所以我们需要一点一点的去按照这样的逻辑速度给它说里出来
[02724.34-02725.34] 当然它不难
[02725.34-02727.86] 所以这个地方大家注意叫做代贯园
[02727.86-02729.02] 在代贯园
[02729.02-02731.06] 大家能理解代贯园是什么意思的
[02731.06-02735.10] 你说老师代贯园它和你要讲到的这个有什么不一样的呢
[02735.10-02738.50] 就是在这儿我们是否有讲了一个叫做再途货物的问题
[02738.50-02740.74] 它就是一个按情的元续
[02740.74-02742.22] 什么按情的元续呢
[02742.22-02744.80] 假設就是剛才我們說的第二種情況
[02744.80-02747.12] 這是陌生廣場跟住的電話說
[02747.12-02749.46] 你把這批戶往上海方向運
[02749.46-02751.08] 他在往上海方向運的時候
[02751.08-02753.42] 是不是就在這個裡面就在去找什麼
[02753.42-02754.98] 就在去找這個買家
[02754.98-02755.72] 那他只有時候
[02755.72-02757.34] 他如果找到了買家的時候
[02757.34-02760.12] 他就會在徒中把這批戶就怎麼樣
[02760.12-02760.96] 就賣出去了
[02760.96-02763.06] 也就是在陌生廣場
[02763.06-02765.78] 然後陌生廣場突然就把說
[02765.78-02766.86] 就找到了一個買家
[02766.86-02768.70] 找到了誰找到了這個全支放
[02768.70-02770.46] 然後跟說那個支放的時候
[02770.46-02772.18] 我也知道你們現在在搞
[02772.18-02773.14] 一个什么场子
[02773.14-02775.90] 是我这儿最好从见过那满到那些画费
[02775.90-02776.86] 我也不着急用
[02776.86-02777.98] 说我看你还挺急的
[02777.98-02779.94] 我就把这个画费给你吧
[02779.94-02780.98] 然后全身放就说
[02780.98-02782.58] 说哎也太好了说光场
[02782.58-02784.98] 说你真的是解了我的这个人没知己
[02784.98-02785.94] 然后你看
[02785.94-02787.62] 孟仲光场就把这批货
[02787.62-02788.62] 卖给了谁
[02788.62-02790.06] 卖给了全制风
[02790.06-02791.38] 那这个时候就要什么
[02791.38-02792.42] 就叫他所说的
[02792.42-02793.38] 看一下第二点
[02793.38-02794.58] 说出卖人
[02795.62-02798.74] 出卖就有成运人运输的什么
[02798.74-02800.18] 再图标的物
[02800.18-02802.14] 是不是这一天他画费正在运人呢
[02802.14-02807.44] 而陌生广场是不是卖的就是正在运振的这一千大化飞
[02807.44-02810.34] 这个就要什么 这个就要做在图货物
[02810.34-02814.44] 在图货物大追下连动了 它们两个其实就是一个连动了
[02814.44-02815.94] 这里面它怎么说的
[02815.94-02821.04] 说厨当时6云另外自合同成立时在图风险由谁来成的
[02821.04-02823.34] 由买受人来成买 啥意思呢
[02823.34-02826.84] 就是如果陌生广场给全人放大了电话
[02826.84-02828.54] 全是放一把钱转给它了
[02828.54-02830.54] 买买合同成立
[02830.54-02833.38] 合同成立有效病生效
[02833.38-02835.50] 当合同成立那一刻开始
[02835.50-02837.18] 风险就谁来承担了
[02837.18-02839.10] 风险就有全是从来承担了
[02839.10-02841.90] 如果在他俩的合同成立之后
[02841.90-02843.86] 这个时候哪儿都通公司遇到问题
[02843.86-02845.98] 一千大花肥回损灭失了
[02845.98-02847.62] 这个时候风险就有谁来承担
[02847.62-02848.82] 全是从来承担
[02848.82-02850.78] 他就没有办法要求人家目入广场
[02850.78-02852.18] 再给他補发一千大花肥了
[02852.18-02852.86] 明白了吧
[02852.86-02854.82] 所以这个时候就是导手了一下
[02854.82-02856.06] 这个时候就导手一下
[02856.06-02856.98] 所以在这里面
[02856.98-02858.90] 咱们就可能会出现第四种情况
[02858.90-02860.90] 我真正理解上
[02860.90-02862.58] 圈子
[02862.58-02863.90] 这第四种情况是什么呢
[02863.90-02866.46] 就是他把这个画费卖给了全质贩
[02866.46-02870.30] 让这个画费卖给了全质贩
[02870.30-02871.06] 然后呢
[02871.06-02871.98] 他这个就是我一什么
[02871.98-02873.54] 就是再图
[02873.54-02876.70] 获物
[02876.70-02878.42] 满卖了
[02878.42-02881.10] 那这种时候再图获卖卖
[02881.10-02882.74] 这个时候如果在发现
[02882.74-02883.74] 回損灭事的话
[02883.74-02885.62] 那这个时候就有全质贩来
[02885.62-02886.22] 成呐了
[02886.22-02888.02] 所以这个点就是我们所说的这个
[02888.02-02889.98] 圈色的那个在头破满卖卖
[02889.98-02890.90] 那怎么记呢
[02890.90-02892.38] 你就简单地去记一下就行了
[02892.38-02893.90] 如果它是满卖在头破的
[02893.90-02896.54] 只要转卖出去风险立刻转移
[02897.18-02901.34] 只要卖出去风险立刻转移
[02901.34-02904.42] 只要卖出去风险立刻转移
[02908.26-02910.30] 只要卖出去风险立刻转移
[02910.30-02911.18] 转移到实力
[02911.18-02913.78] 谁手里转移到全知风的手里
[02913.78-02915.34] 所以这个是我们所说的
[02915.34-02917.54] 这个按立它的一个基本情况
[02917.54-02919.10] 所以同時會演這家愛麗
[02919.10-02920.34] 把他數理清楚之後
[02920.34-02921.52] 就會發現他沒有什麼
[02921.52-02922.62] 特別難的地方
[02922.62-02924.98] 敏反對大家說男是什麼呢
[02924.98-02927.22] 就是他你就會感覺他亂
[02927.22-02927.90] 亂的原因呢
[02927.90-02931.10] 就是我沒有把這種關係去的數理清楚
[02931.10-02932.70] 如果他的案情特別的負擺的話
[02932.70-02934.74] 你只要一條一條數理清楚就可以了
[02934.74-02936.26] 如果他考比較簡單的話
[02936.26-02937.86] 那對我們來說太簡單了
[02937.86-02940.58] 這是他如果給到這裡的圈圈圈圈圈
[02940.58-02941.74] 他不連動靠
[02941.74-02943.74] 他只是給你其中的人任何一個圈
[02943.74-02945.70] 你這個時候只要按照咱們一條一條
[02945.70-02947.38] 書裡的這樣一個思路
[02947.38-02948.86] 只能給他達出來就行了
[02948.86-02949.94] 所以民法呢
[02949.94-02951.38] 大家要去實際他
[02951.38-02953.02] 中年就是在於第一個
[02953.02-02954.14] 要有框架
[02954.14-02954.90] 第二個呢
[02954.90-02956.74] 要旅清法律關係
[02956.74-02957.66] 那這時候呢
[02957.66-02958.58] 你把他都一條
[02958.58-02959.30] 他旅設了
[02959.30-02961.06] 比你去單純的被法條
[02961.06-02962.42] 他要清楚很多
[02962.42-02964.14] 所以我建議大家去記憶
[02965.46-02966.14] 民法的時候
[02966.14-02967.74] 咱們在最開始民法給大家講的時候
[02967.74-02968.94] 清楚就已經跟他說了
[02968.94-02970.14] 就盡量地做到什麼
[02970.14-02971.70] 盡量地做到收火化
[02971.70-02972.38] 具體換
[02972.38-02973.02] 你這樣的話呢
[02973.02-02974.82] 相對來說可能會輕鬆一些
[02974.82-02976.90] 因为它就是发生在我们是没有的事情
[02976.90-02981.10] 所以就记按立会对大家来说会比较方便
[02981.10-02984.90] 所以你如果你说老师单纯的去背这些却儿穿穿四
[02984.90-02986.18] 真的是有点麻烦
[02986.18-02989.90] 这个时候能记住就它比较小的
[02989.90-02992.10] 或者是在这场时候当中它做一场时的
[02992.10-02994.54] 那你就去背它的法条里面的细节点
[02994.54-02996.30] 它如果是不要复杂的这一种
[02996.30-02997.90] 这个时候咱们就咋样
[02998.78-03000.38] 记按立 好吧 记按立
[03000.66-03002.26] 你只要能把按立产出清楚
[03002.26-03003.78] 那这要提出没有问题了
[03003.78-03007.26] 好 这个就是我们所说的第一个最常见的满满合同
