[00000.00-00006.94] 我们今天来往下看,我们说具体形狄行为没有给大家讲三大类,刚刚我们讲了形容处伐。
[02347.34-02349.18] 如果行证序可实施之后呢
[02349.18-02351.54] 你就拿到了相应的 自个证书
[02351.54-02354.78] 拿到了相应的 自治 拿到了相应的特区条件
[02354.78-02355.26] 对吧
[02355.26-02357.50] 那这个时候你就有资格去做那些事了
[02357.50-02359.98] 但是你有资格去做这件事不意味着说
[02359.98-02361.98] 你拿到这个证拿到这个资质
[02361.98-02363.46] 你就可以医疗拌料了
[02363.46-02364.70] 在这个时候我们说了
[02364.70-02367.38] 初语对于社会这些的维护
[02367.38-02368.74] 对于人民拳一的维护
[02368.74-02372.26] 他必须要对你获得这个资质进行相门什么
[02372.26-02373.62] 监督和检查
[02373.62-02375.22] 于是我们就有了第四个问题
[02375.22-02377.26] 叫行政许克的监督检查
[02377.26-02379.26] 行政许克的监督检查不考细节
[02379.26-02379.86] 大家注意一下
[02379.86-02381.62] 这里考理解行政题目
[02381.62-02382.86] 给你一个案例问
[02382.86-02386.22] 他属于彻销、寒日属于掉销
[02386.22-02388.54] 还是属于我们所说的什么呢
[02388.54-02390.58] 彻回就会考这个东西
[02390.58-02391.26] 没卖了吧
[02391.26-02392.90] 所以在这里大家要注意一下
[02392.90-02394.30] 我们首先来看一下第一个
[02394.30-02395.30] 叫做彻销
[02395.30-02399.22] 彻销是当时人在获得徐可中存在违反
[02399.22-02400.94] 的行为那这有需要彻销
[02400.94-02403.10] 他给到了可以彻销和阴光彻销
[02403.10-02405.34] 这里可以彻销和阴光彻销不考细节
[02405.34-02407.98] 他只考察你什么情况下叫彻销
[02407.98-02409.58] 大家在旁边标注意一下
[02409.58-02411.26] 我们所谓的彻销
[02411.26-02412.68] 你在旁邊标一下
[02412.68-02413.40] 他是什么
[02413.40-02414.66] 他是你在小话观点
[02414.66-02417.98] 在获得虚可中存在文化情况
[02417.98-02418.86] 那欢迎话说呢
[02418.86-02422.38] 就是你的这个证本身有问题
[02426.30-02427.82] 这个证本来不赶你呢
[02427.82-02429.50] 这个证本身就有问题
[02429.50-02431.98] 那这个时候就可以对你的这个证数干嘛
[02431.98-02433.02] 进行车销
[02433.02-02436.46] 比如说我再去提交相的材料的时候
[02436.46-02440.06] 我想获得司法直接司法证数
[02440.06-02442.88] 那这个时候我就提交了一些虚假材料
[02442.88-02445.10] 然后在那进行选合的时候他没有查出来
[02445.10-02447.22] 那我提交去材料他最后把什么
[02447.22-02449.22] 把这个司法考试证发给我了
[02449.22-02450.90] 法律职业则个正书发给我了
[02450.90-02453.12] 把法律职业则个正书发给我之后
[02453.12-02454.78] 我这个正获的是没有问题
[02454.78-02456.90] 那这个时候我又去做律师
[02456.90-02457.98] 然后我又帮何国人
[02457.98-02459.78] 然后突然有一天冬床实发了
[02459.78-02461.42] 他就可以把这个正给我怎么办
[02461.42-02463.26] 给我要回去
[02463.26-02464.86] 因为我本身不就有这种自治
[02464.86-02466.06] 他把正国要回去
[02466.06-02468.86] 是否回回到原来的这种状态
[02468.86-02471.42] 那这种就要什么就要做彻销
[02471.62-02475.50] 所以彻销它属于一种什么形正徐可的检查坚度
[02475.62-02477.30] 它和调销一遍一样同时们
[02477.30-02479.46] 咱们前面讲过调销是什么
[02479.46-02482.06] 调销是你原本有这个症呢
[02482.06-02482.98] 原本就是你的
[02482.98-02484.42] 你是有这个资格的
[02484.42-02485.38] 只割呢
[02485.38-02487.38] 在这个里面出现了什么问题
[02487.38-02489.46] 如果在这里面我出现拿到症里后
[02489.46-02491.34] 我出现了违法问题
[02491.34-02492.74] 所以在这种情况之下
[02492.74-02494.38] 这个叫做调销
[02494.38-02497.10] 所以调销是正没问题
[02498.86-02500.86] 但是什么有问题?
[02500.86-02502.86] 我事有问题,就是行为有问题
[02504.86-02507.86] 这种就知道了,这种就要掉销
[02507.86-02510.86] 但掉销大住一下,你看你正为问题
[02510.86-02513.86] 说小的这个资格,行为有问题,我把那个镇儿给你拿回来了
[02513.86-02515.86] 你现在不能做这个事了
[02515.86-02517.86] 他对你来说是一种什么销案,负担行为
[02517.86-02519.86] 这个种掉销,他属于什么
[02519.86-02521.86] 他属于行政处伐
[02521.86-02532.50] 而彻销属水形容触发 彻销不属于我们说了 触发是给你增加负担
[02532.50-02536.78] 但是彻销只是回到原来状态 没给你增加新的负担
[02536.78-02540.50] 所以彻销它本身不属于什么 它本身不属于形容触发
[02540.50-02544.26] 所以在这里 考点 两个点 大助一下 第一个考案力
[02544.26-02547.82] 问给你干理 他属于调销还彻销还属于彻会
[02547.82-02551.18] 你要根據我寫的這個到底是什麼有問題去判斷
[02551.38-02554.74] 第二個你要知道這裡的測銷是恢復到原來狀態
[02554.90-02556.66] 那恢復到原來狀態就因為這什麼
[02556.82-02557.54] 就因為這
[02558.14-02560.14] 這裡面正本身有問題
[02560.50-02561.74] 這裡面正本身有問題
[02561.78-02563.66] 恢復到原來狀態沒有增加性的負擔
[02563.66-02564.74] 他不是有形容處法
[02564.94-02565.82] 所以大家注意一下
[02565.94-02568.10] 這是第一個點考理解生題目
[02568.22-02570.18] 下面這一對文字是為了給大家
[02570.30-02573.02] 讓大家知道為什麼會出現測銷的情況
[02573.46-02574.34] 不好這個
[02574.50-02576.14] 大家注意一下這是第一個測銷
[02576.14-02577.94] 第二个叫做彻回
[02577.94-02579.14] 彻回是什么的话
[02579.14-02581.54] 因公共立变化 把公共立变化
[02581.54-02584.74] 因公共立变化 需要怎么样 非指的徐合
[02584.74-02586.34] 这种叫做彻回
[02586.34-02587.54] 这个说就意味了什么
[02587.54-02590.54] 是行为是合法还是无法的
[02590.54-02592.74] 大家注意一下 这里其实就是本质上
[02592.74-02596.54] 也获得正 正没有问题 行为没有问题
[02596.54-02598.74] 而是什么 而是客观情况变化
[02598.74-02602.54] 就是拿到正后 行为没有问题
[02602.54-02603.74] 就是行为合法
[02603.74-02607.74] 但怎么样 但情况变化了
[02611.74-02612.74] 客文情况反正变化
[02612.74-02614.74] 这个时候我们说了
[02614.74-02617.74] 它就可以把这个这种怎么样车回
[02617.74-02618.74] 把这个这种车回
[02618.74-02619.74] 这个车回这个正书
[02619.74-02621.74] 你看书上它有一句话
[02621.74-02624.74] 说是许可所医剧
[02624.74-02626.74] 许可所进行的预剧
[02626.74-02628.74] 改了或者是废止了
[02628.74-02630.74] 或者是客文情况 发生变化了
[02630.74-02633.30] 车轨是车轨之企
[02633.30-02635.22] 这个正式去效力
[02635.22-02636.90] 这个是要大家去注意一下
[02636.90-02638.42] 这个最少做车轨
[02638.42-02639.42] 知道车轨
[02639.42-02641.38] 比如说举个简单例子
[02642.10-02643.54] 原本大概应该知道
[02643.54-02646.26] 这是不能说快点
[02646.26-02648.06] 原本快点它有从叶中
[02648.06-02649.18] 现在不是没有从叶中了
[02649.18-02651.26] 快点它有一个出级中
[02651.26-02653.38] 然后终级再到高级
[02653.38-02653.78] 对吧
[02653.78-02655.18] 以前是有这种从一正书的
[02655.18-02656.54] 我们就是假设
[02656.54-02658.90] 假设现在政府给你发了一个A正
[02658.90-02663.10] 发了一个某正书之后突然出于客观原因这个证
[02663.10-02663.74] 不能用了
[02663.74-02666.82] 因为它原本是针对的某种特殊情况给到的证
[02666.82-02669.10] 但是我现在这个事出了之后
[02669.10-02670.30] 这个情况消失了
[02670.30-02671.46] 这个证也没有啥用了
[02671.46-02674.18] 这时候它就可以把这个证说撤回
[02674.18-02675.66] 那它如果撤回的话
[02675.66-02677.02] 你行为也合法
[02677.02-02678.82] 你的获取证的图结合法
[02678.82-02680.98] 只我是它的特殊情况发生变化了
[02680.98-02682.26] 那你这时候可以撤回
[02682.26-02684.06] 撤回了之后总归事
[02684.06-02685.14] 是不是你的错
[02685.14-02685.98] 不是你的错
[02685.98-02686.82] 谁的错
[02686.82-02690.54] 客官情况 发生变化了 或者是机关的问题
[02690.54-02692.30] 这有时候它要记忆相应的什么
[02692.30-02694.30] 相应的不长 而不是赔常哦
[02694.30-02695.06] 大家注意一下
[02695.06-02696.30] 所以在这里大家注意啊
[02696.30-02698.98] 因为这里面没有人犯错嘛 所以记忆相应的不长
[02698.98-02700.82] 这是第二个叫做车回
[02700.82-02702.66] 第三个叫做助销
[02702.66-02705.66] 助销是许可无法继续的时候
[02705.66-02708.34] 就要助销 所以把无法继续化出来
[02708.34-02710.42] 所以的无法继续就在旁标主一下
[02710.42-02712.38] 就是这儿不能用了
[02712.38-02717.68] 正不能用了叫主席
[02717.68-02720.30] 说什么请问啊正可以不能用了同员
[02720.30-02721.46] 人美了
[02721.46-02723.50] 这时候就可以诸销了
[02723.50-02725.74] 比如说我的法律这些证说
[02725.74-02726.74] 只对我有效
[02726.74-02728.10] 那如果说我没了呢
[02728.10-02729.38] 我受中证起了
[02729.38-02730.82] 这个证书还没有用了
[02730.82-02732.42] 这个证书没有用了
[02732.42-02734.14] 因为他是针对我发的
[02734.14-02735.82] 所以这时候证书就可以怎么样
[02735.82-02737.58] 主席所以你看像这种
[02737.58-02740.54] 自然人死亡或者是喪失行为能力的
[02740.54-02741.26] 或者是什么
[02741.26-02742.22] 或者是
[02742.22-02743.76] 组织依法终止的
[02743.76-02744.90] 那这种的话
[02744.90-02747.34] 比如说我的公司是一个建筑公司
[02747.34-02749.40] 我是小建商人的建筑资质的
[02749.40-02750.74] 后来公司怎么样
[02750.74-02752.06] 这个建筑公司破产了
[02752.06-02754.24] 那这个资质是针对这个公司发了
[02754.24-02755.78] 但是现在公司破产了
[02755.78-02756.68] 破产了之后
[02756.68-02757.94] 这个资质还有用吗
[02757.94-02758.44] 没用了
[02758.44-02759.88] 那这个没用了就可以怎么办
[02759.88-02761.36] 就可以把这个徐可主销掉
[02761.36-02763.98] 就可以把这个公司的建筑资质主销掉
[02763.98-02765.02] 所以大家注意一下
[02765.02-02767.18] 所谓的主销就是正没用了
[02767.18-02768.06] 就要主销
[02768.06-02769.34] 正没用了就要主销
[02769.34-02769.86] 那这个呢
[02769.86-02771.30] 就是我们所说的关于
[02771.30-02773.30] 形容許可他的監督
[02773.30-02775.06] 所以這裡面考理一些形容題目
[02775.06-02777.66] 就會把具體案情給你問
[02777.66-02780.34] 他應該是住消掉消
[02780.34-02782.30] 撤銷撤回還是啥樣
[02782.30-02783.66] 這時候能夠去區分
[02783.66-02784.46] 就OK了
[02784.46-02786.78] 這個就是許可的監督檢查
[02786.78-02788.66] 住銷的市有檢的了解就OK了
[02788.66-02789.74] 住銷的主體
[02789.74-02791.26] 誰發證是住銷
[02791.26-02792.54] 你知道這兒就OK了
[02792.54-02794.78] 所以這是我們所說的形容許可
[02794.78-02797.14] 形容掉銷在這裡不多說了
[02797.14-02798.10] 剛才給大家說了
[02798.10-02800.42] 掉銷它屬於形容處罰
[02800.42-02803.24] 它是正是没问题 行为有问题
[02803.24-02806.02] 到这我们就把行政局可给大家说完了
[02806.02-02807.22] 最快速的书里
[02807.22-02809.06] 我们先讲了行政局可适什么
[02809.06-02810.66] 从概念当中
[02810.66-02812.58] 出现出来它的思格
[02812.58-02814.18] 特征第二个我们体验
[02814.18-02815.94] 去分析了行政局可得种类
[02815.94-02817.58] 特征认可和合选
[02817.58-02819.34] 要细节去记忆
[02819.34-02820.58] 这是它的法定去分类
[02820.58-02821.82] 要问过他们去分
[02821.82-02823.46] 除了法定分类之外
[02823.46-02824.42] 还有一些其他分类
[02824.42-02826.22] 有夫妻线的和不夫妻线的
[02826.22-02828.70] 有数量限制的和没有数量限制的
[02828.70-02829.34] 大致一下
[02829.34-02830.06] 这是虚可
[02830.06-02830.78] 是什么
[02830.78-02832.22] 那知道的许可是什么之后呢
[02832.22-02832.90] 我们来看一下
[02832.90-02834.98] 那这个许可到底是怎么设定的
[02834.98-02836.98] 有的是许可设定的问题
[02836.98-02839.18] 就是从我到有个过程
[02839.18-02840.34] 许可设定呢
[02840.34-02842.10] 并不是说谁都可以搞的
[02842.10-02845.90] 所以经常许可只有法律形容法为和地方性法规可以搞
[02845.90-02846.94] 规章形象
[02846.94-02847.82] 规章不行
[02847.82-02849.86] 因为这里面是权利的线缩了
[02849.86-02852.14] 第二个呢就是非经常性的许可
[02852.14-02853.14] 非经常许可
[02853.14-02854.10] 叫银水许可
[02854.10-02856.54] 我说了针对突发特殊的情况
[02856.54-02858.22] 比如说突然爆发了
[02858.22-02861.58] 以前突然爆發了其中的突然爆發了某種特殊情況
[02861.58-02863.40] 這時候要經常性虛可
[02863.40-02864.88] 那有說了虛可一般情況
[02864.88-02865.98] 最高曾經是法律
[02865.98-02867.66] 說老受農區找法律
[02867.66-02870.18] 找法制定法律的這些權利議官
[02870.18-02870.70] 不行
[02870.70-02872.10] 因為人大會必會
[02872.10-02874.18] 所以如果爆發突發一件事情找誰
[02874.18-02875.46] 人大必會找國務院
[02875.46-02878.82] 所以國務院決定形勢設定全國性的歷史虛可
[02878.82-02880.86] 那地方有問題就找地方省政府
[02880.86-02881.62] 就OK了
[02881.62-02883.78] 這個就是非經常是虛可
[02883.78-02884.80] 這是我們所說的
[02884.80-02886.64] 虛可他從無道有如何去
[02886.64-02889.34] 創立,就是誰可以創立許可的問題
[02889.34-02892.10] 那許可創立出來,許可就要進行實施
[02892.10-02895.04] 所以許可實施的話,在這裡就會睡到兩個問題
[02895.04-02897.64] 有時時的主體,時時的主體
[02897.64-02900.16] 我們說了關管民當中的官
[02900.16-02903.16] 這個官包括行政局官,受見組織
[02903.16-02906.04] 還有衛拖機官,而不是衛拖組織
[02906.04-02908.16] 第二個,就是時時的程序
[02908.16-02911.84] 一般程序的話,就是他的流程,申請受理審查決定
[02911.84-02913.64] 我們剛才也答應回憶過了
[02913.64-02914.88] 那还有就是听证
[02914.88-02916.68] 听证的话就是两个区分
[02916.68-02919.12] 第一个他可以一只全第二个呢
[02919.12-02921.28] 就是让机关办事效率高一点
[02921.28-02923.08] 可以二十人内做这听证
[02923.08-02925.12] 那你拿到这个证不是一秒百料了
[02925.12-02926.44] 所以我们要对证计刑
[02927.32-02928.76] 坚度所以在这里
[02928.76-02930.36] 如果证本身有问题
[02930.36-02931.16] 撤销
[02931.16-02933.20] 如果证没问题行为有问题
[02933.20-02933.92] 掉销
[02933.92-02935.52] 而掉销他说一形认出法
[02935.52-02937.52] 第二 公共利益变化要撤回
[02937.52-02939.24] 撤回要基于你相当不成
[02939.24-02941.40] 第三一个证没用了就得住销
[02941.40-02943.44] 对了所以无法进使用的时候住销
[02943.44-02946.52] 所以比如常见人美组织终止了
[02946.52-02947.12] 对吧
[02947.12-02949.52] 然后那个徐恾道期了还没延期
[02949.52-02951.40] 不可抗力导致的政法实施了
[02951.40-02953.52] 反正正没用了就要主习
[02953.52-02955.32] 那这是行政徐恾
[02955.32-02957.32] 好 咱们做到体来感受一下吧
[02957.32-02960.52] 他说某应级管理公司向假公司方法
[02960.52-02962.12] 发胖了
[02962.12-02966.24] 叫煙花暴族生产安全生产训可政
[02966.24-02967.36] 发现什么
[02967.36-02969.84] 发现假公司所提交材料是北朝的
[02969.84-02970.64] 那就意味着
[02970.64-02972.62] 被遭到拿到的徐賀
[02972.62-02974.12] 就說明這個徐賀什麼
[02974.12-02975.24] 中有問題
[02975.24-02977.12] 那中有問題應該是什麼
[02978.28-02980.04] 中文題應該是徹銷
[02980.04-02981.00] 調校是什麼
[02981.00-02983.72] 調校是中美問題
[02983.72-02985.00] 但是什麼有問題
[02985.00-02986.28] 行為有問題
[02987.44-02989.00] 對吧行為有問題
[02989.00-02990.04] 那這個時候
[02990.04-02991.48] 我們所說的叫調校
[02991.48-02992.64] 徹回是什麼
[02992.64-02993.64] 徹回是
[02993.64-02995.44] 公共情況
[02995.44-02996.72] 叫客觀情況變化
[02996.72-02998.00] 或者公共利益的需要
[02998.00-02999.60] 你就是情況變了
[03000.64-03003.92] 叫车轨
[03003.92-03004.92] 而駐交是什么
[03004.92-03006.20] 是正没用了
[03006.20-03008.28] 用不了了
[03008.28-03008.68] 对吧
[03008.68-03009.60] 就正没用了
[03009.60-03010.40] 用不了了
[03010.40-03012.44] 那这个时候就要主习
[03012.44-03014.52] 所以你看他考理解认题不就在这
[03014.52-03015.36] 书里到这的话
[03015.36-03017.20] 大家应该发现行政许课
[03017.20-03019.68] 他应该比行政出发要简单很多
[03019.68-03022.72] 因为行政出发程序是最全的
[03022.72-03024.20] 内容是最多的
[03024.20-03024.52] 对吧
[03024.52-03026.20] 为什么因为他是最先制定的
[03026.20-03027.64] 而到了行政许课上面
[03027.64-03029.44] 就出于各种各方面的考量
[03029.44-03031.96] 我们在形容虚可这一块就做了全力的线索
[03031.96-03034.62] 它相对来说有了原本形容处罚的比照
[03034.62-03036.48] 在这儿呢就会简单很多
[03036.48-03040.16] 这就是我们所说的叫做形状虚刻
