[00000.00-00004.00] 今天我們再來看一下第三個就是租栗核桶
[02338.78-02340.94] 我们考到第一个就是一房数租
[02340.94-02344.02] 它的多个合同法律效理问题
[02344.02-02345.22] 第二个就是什么
[02345.22-02346.26] 排序问题
[02346.26-02348.26] 这个排序就是先搬进去的
[02348.26-02349.26] 先搬先得
[02349.26-02350.50] 没搬的登记
[02350.50-02352.22] 用没搬用没登记的
[02352.22-02353.38] 看时间
[02353.38-02353.82] 看时间
[02353.82-02357.10] 这个就是一房数租
[02357.10-02360.42] 这个点大家一定要注意一下考案例的情况会比较多一点
[02361.46-02365.04] 那这是防务族令和同当中的第二问题啊这一方数租
[02365.30-02367.60] 防务族令和同当中的第三个问题啊就是
[02367.86-02370.16] 承租人他小有一些特别的权利啊
[02370.42-02371.96] 像是特别的权利呢包括
[02372.20-02373.48] 优先贡买权
[02373.74-02375.28] 以及优先承租权
[02375.54-02378.08] 什么叫优先贡买权呢我们来看一下说
[02378.34-02380.92] 防务承租人的优先贡买权是指
[02381.16-02385.52] 当初都人出卖防务的时候承租人在同本条件之下相优优贡买权
[02385.52-02388.20] 是一法優先與其他貢買者的權利
[02388.20-02390.64] 比如說我從你租了這個房子
[02390.64-02393.52] 我唱租了這個房子之後後來的一個房子你就要賣掉
[02393.52-02395.84] 那你如果想賣掉這個房子的話
[02395.84-02397.16] 誰想有些貢買權呢
[02397.16-02398.00] 就是我
[02398.00-02399.80] 比如說你要把這個房子賣給我
[02399.80-02401.52] 賣個小幣賣個小幣賣個小幣
[02401.52-02403.44] 我們幾個人都去競開這個房子
[02403.44-02405.32] 就應該在銅盪條件之下
[02405.32-02406.76] 我想有有些貢買權
[02406.76-02409.28] 因為要先保護我的居住利益
[02409.28-02409.80] 那賣吧
[02409.80-02410.96] 所以這個叫做什麼
[02410.96-02414.44] 叫做銅盪條件下的優先貢買權
[02415.52-02416.68] 这是第一个点
[02416.68-02418.04] 但是大家注意一下
[02418.04-02420.32] 如果是同能条件下的约线购买钱
[02420.32-02423.32] 它有我们所说的原则就有理外
[02423.32-02426.04] 这是我作为一个成族人
[02426.04-02428.20] 我相对于其他的一些外人
[02428.20-02430.64] 我在同能条件下想要有线购买钱
[02430.64-02434.80] 但是如果是想买你这个房子人
[02434.80-02436.28] 是房屋的共有人
[02436.28-02438.40] 或者是你的什么进亲属
[02438.40-02443.04] 他们的约线购买钱就要大约我的约线购买钱了
[02443.04-02444.40] 所以在这里面大注意下
[02444.40-02446.64] 又先购买嫌咱们就做一个排序好不好
[02446.64-02448.32] 这个又先购买嫌的排序
[02448.32-02449.84] 你可以给它写的旁边
[02451.96-02453.04] 这个排序写旁边
[02453.04-02453.80] 就是什么呢
[02453.80-02455.24] 就是共有人
[02456.24-02458.32] 与于近亲属
[02460.20-02461.96] 共有人与近亲属
[02461.96-02462.92] 大于什么
[02462.92-02464.32] 大于成族人
[02466.12-02468.12] 然后大于其他人
[02469.96-02471.48] 大于成族人大于其他人
[02471.48-02472.84] 举个简单的例子
[02472.84-02476.84] 比如说还是防务咱们两个共同买了一个防务
[02476.84-02477.84] 这个防务太贵了
[02477.84-02479.84] 我只除了20%的钱
[02479.84-02481.84] 你除了80%的钱
[02481.84-02483.84] 这时候我说了
[02483.84-02485.84] 我是不是可以随意除了我自己的份额
[02485.84-02487.84] 如果这个时候我都给你比例了
[02487.84-02490.84] 同时我都把这个比例给你了
[02490.84-02492.84] 它是暗份公务有还是共同公务有
[02492.84-02495.84] 给你比例了比例有比例有
[02495.84-02497.84] 属于暗份公务对不对
[02497.84-02499.84] 那它如果是暗份公务的话
[02499.84-02501.84] 我们在前面讲到暗份公务有
[02501.84-02503.60] 算分工有可以怎么办
[02503.60-02507.00] 可以任意处置我的份额
[02507.00-02507.72] 于是我说了
[02507.72-02510.16] 我想把我这百分之二十的份额卖掉
[02511.16-02512.36] 我卖了就卖了
[02512.36-02514.24] 我续不需要争得你个同业
[02514.24-02515.76] 不需要争得你个同业
[02515.76-02517.60] 在这个时候咱们两个的房子
[02517.60-02520.20] 好像不强是有小A租了
[02521.44-02522.44] 小A租了
[02522.44-02524.36] 我要把这个房子
[02524.36-02526.12] 我要把这个份额卖掉的时候
[02526.12-02526.88] 大家注意一下
[02526.88-02528.76] 首先我们说了
[02528.76-02532.80] 在这个小一桌的房子当中你是什么人
[02532.80-02534.56] 你是共有人
[02534.56-02536.44] 小一是成族人
[02536.44-02538.56] 这时候还有一个小笔
[02538.56-02540.92] 这个小笔他就特别有投资眼光
[02540.92-02543.48] 小笔就想买一下我的这个
[02543.48-02544.32] 本质是分了
[02544.32-02547.44] 因为他觉得房子放在这儿最后一定能长假
[02547.44-02547.72] 对吧
[02547.72-02548.92] 就是想要炒旁
[02548.92-02552.92] 那这个时候我们三个都要去买这个房子的话
[02552.92-02555.08] 谁想有最先的成族
[02555.08-02556.20] 又先关门去
[02556.20-02558.20] 只能是共人
[02558.20-02559.84] 你
[02559.84-02560.52] 对吧
[02560.52-02562.64] 大于神
[02562.64-02563.48] 大于神
[02563.48-02564.16] 小闭
[02564.16-02565.20] 因为共人的
[02565.20-02567.04] 他的权力属于所有权
[02567.04-02568.80] 他可以对抗的
[02568.80-02570.36] 所以在这种情况之下
[02570.36-02571.76] 我们所说的这种
[02571.76-02573.44] 你说老师这段门子太多了
[02573.44-02574.56] 如果你觉得门子太多
[02574.56-02577.04] 你就把这个公事机下来就可以了
[02577.04-02578.72] 原则上
[02578.72-02580.24] 程度人想要有些过美权
[02580.24-02581.28] 但是他有例外
[02581.28-02582.88] 这是共有人和进行所
[02582.88-02584.36] 程度人或者是
[02584.36-02587.64] 成绪人一外的其他人就把这个记住就OK了
[02587.64-02588.72] 这个就叫做什么
[02588.72-02591.72] 这个就叫做優先购买宣
[02591.72-02593.32] 除了有些购买宣之外
[02593.32-02595.20] 它有優先成组宣
[02595.20-02596.00] 成组宣就是
[02596.00-02596.92] 这个房子
[02596.92-02597.44] 到期了
[02597.44-02598.92] 你想要再组给别人的话
[02598.92-02600.92] 这个时候你想要有優先成组的宣例
[02600.92-02601.92] 这个最为点形
[02601.92-02604.32] 就是大家在所在地
[02604.32-02605.08] 不知道大家
[02605.08-02607.92] 你那个地区的房子中这个软件是什么
[02607.92-02608.60] 比如说
[02608.60-02610.68] 我以前在北京的时候
[02610.68-02613.04] 也是也没有说以前了
[02613.04-02614.52] 上半年的事
[02614.52-02615.92] 我还没有离开北京的时候
[02615.92-02617.60] 那个时候我在北京住的房子
[02617.60-02619.32] 是在自如上租的
[02619.32-02620.52] 自如上租的话
[02620.52-02623.32] 在房东家住了四年
[02623.32-02625.36] 这个时候你看每一年的时候
[02625.36-02626.92] 自如都先给我打电话说
[02626.92-02627.76] 你要去租吗
[02627.76-02628.48] 如果去租的话
[02628.48-02629.60] 这边有什么优惠
[02629.60-02630.56] 你看在这里面
[02630.56-02632.08] 我就是同能条件下来什么
[02632.08-02633.16] 优先承租人
[02633.16-02635.04] 因为我本来我就住在这个房子里
[02635.04-02636.16] 他要保护我的
[02636.16-02637.56] 居住了利益的
[02637.56-02638.36] 所以在这里面
[02638.36-02639.00] 我们就要知道
[02639.00-02641.36] 他还有有些承租权
[02641.36-02642.48] 像有些承租权
[02642.48-02645.46] 这个就是我们所说的 祖联合同
[02645.46-02647.30] 所以在祖联合同当中咱们一共讲了
[02647.30-02648.58] 这么几个 这是点
[02648.58-02651.12] 旋第一个我们从祖联合同的含义当中
[02651.12-02653.52] 确定了 祖联合同的双方当时人
[02653.52-02656.36] 一方出租人一方成租人
[02656.36-02659.56] 而出租人和成租人他会想有个字的意误
[02659.56-02662.20] 比如说出租人他想要维修意误
[02663.20-02665.12] 对吧 但是这个维修意误的话
[02665.12-02668.14] 他有例外就是如果成租人玩得太大了
[02668.14-02671.06] 他就是可着你一刻一只要这么好
[02671.06-02675.02] 那这个时候出租人成族人有过错的成族人自己修
[02675.02-02678.54] 而成族人他有一个非常重要的不作为意误
[02678.54-02681.50] 这不作为意误就是两个一个是禁止什么
[02681.50-02682.70] 禁止天赋
[02682.70-02685.18] 你不能给人家墙上早两个眼的
[02685.18-02686.54] 给人家挂上那个亮一枪
[02686.54-02688.22] 你不能给人门上最两个动
[02688.22-02690.10] 然后给人挂上那个锁量都不行
[02690.10-02691.66] 除了禁止天赋之外
[02691.66-02693.66] 还有一个就是禁止转租
[02693.66-02695.70] 但是无论是禁止天赋进入转租
[02695.70-02696.66] 他都有立外
[02696.66-02698.86] 就是如果禁忍出的人同意的话
[02698.86-02700.06] 那么OK你能做
[02700.06-02702.10] 那这个禁止转租是原则上的
[02702.10-02703.10] 但是它有例外
[02703.10-02704.42] 例外就是经同意
[02704.42-02705.94] 它就可以合法转租
[02705.94-02707.70] 如果不同意它就叫什么
[02707.70-02708.58] 非法转租
[02708.58-02711.26] 而考虑你在一个合法转租和非法转租
[02711.26-02712.78] 它整体上的什么
[02712.78-02714.74] 法律效率不一样
[02714.74-02715.78] 所以大家注意一下
[02715.78-02716.98] 注意那两个图
[02716.98-02718.18] 一定要回去换
[02718.18-02721.10] 这是从含义当中我们去拆认出来的
[02721.10-02722.46] 那我说了租练合同样
[02722.46-02723.62] 它一定是有期限的
[02723.62-02724.98] 因为病床东西不是你的
[02724.98-02727.14] 所以租练合同的期限最长是多少年
[02727.14-02729.90] 二十年超过部分五书
[02729.90-02733.06] 那租令期间呢,不说了租令河痛,毕竟是河痛
[02733.06-02735.70] 他呢也需要各种干的形式来表达出来
[02735.70-02738.66] 所以租令河痛的形式怎么表达呢?要看期限
[02738.66-02742.18] 如果是小鱼六月的话,可租面可扣头
[02742.18-02745.20] 如果是大鱼六月的话,我们就阴当怎么样
[02745.20-02747.54] 租面,你说我这个人就一生反股
[02747.54-02750.74] 你让我一生租面租面的租令河痛
[02750.74-02751.98] 我聘别是不听的
[02751.98-02754.80] 所以你阴当租面,而没有租面的话,怎么办?
[02754.80-02758.70] 那就是视为不定期租练,他们不定期租练
[02758.70-02765.10] 这个时候没有期限,没有预期利益,烧方可以随时解除俗令和同
[02765.10-02767.22] 这个是俗令和同的形式
[02767.22-02770.10] 那种说,俗令和同,你能租令的东西特别多
[02770.10-02772.78] 按土地,防务,主保、一会都可以租令
[02772.78-02780.46] 但是租令它的全数变动的时候,我们就说了,原作上叫做买卖不破租令
[02780.46-02781.74] 买卖不破租令
[02781.74-02784.50] 但是这个不破租令它有个例外,有例外
[02784.50-02788.02] 什么例外,就是我们所说的,底压权,这个问题
[02788.02-02790.02] 如果是先壓厚足的話
[02790.02-02791.52] 它可以破住力
[02791.52-02792.62] 這個點大家注意
[02792.62-02794.02] 這個是我們所說的
[02794.02-02796.12] 前面所以大家講到的這幾個點
[02796.12-02798.42] 那這幾個點都是在宏觀上去體
[02798.42-02801.02] 租利和痛整體室用的共性問題
[02801.02-02804.22] 那我說了租利租利能租利的東西裡面好多
[02804.22-02805.68] 那我們最常見的就是什麼
[02805.68-02806.62] 租利房屋
[02806.62-02809.82] 所以我們在這裡有一大家講的叫做房屋租利
[02809.82-02810.42] 對不對
[02810.42-02811.82] 那在房屋租利當中
[02811.82-02814.32] 咱們就講了這麼幾個問題來回歸一下
[02814.32-02815.32] 第一個就是
[02815.32-02817.62] 我們所說的未取的建築資質的
[02817.62-02818.64] 去给人签掉
[02818.64-02820.86] 那这个时候就合伯伐无效了
[02820.86-02821.20] 对吧
[02821.20-02823.32] 所以第一个就是房租里合同
[02823.32-02824.80] 违法无效的情况
[02824.80-02826.12] 这个最为常见的就是什么
[02826.12-02827.80] 这是为张建筑物的出作
[02830.08-02832.86] 为张建筑的出作
[02832.86-02834.94] 这个为张建筑的它的出作
[02834.94-02835.98] 比较常见了
[02835.98-02839.10] 我家一楼养台的外面
[02839.10-02840.42] 搭了一个小膨子
[02840.42-02842.42] 那这个时候就把这个膨子负给你了
[02842.42-02843.26] 那不可能的
[02843.26-02844.18] 这个租里无效
[02844.18-02845.00] 被发无效
[02845.00-02845.82] 又或者是啥
[02845.82-02847.34] 我家是住在定楼的
[02847.34-02849.62] 我在我家那个顶樓上面大了个小房子
[02849.62-02852.38] 房租一年违张建筑没法无效
[02852.38-02853.54] 那是第一种情况
[02853.54-02855.98] 第二个就是一房数租的情况
[02855.98-02859.66] 一房数租就是考核同的效率和它的排序
[02859.66-02862.34] 所以大家注意一下考效率和排序
[02862.34-02864.50] 排序的话就是谁先站
[02864.50-02866.06] 这个房子谁是成租人
[02866.06-02867.34] 如果大家都没站
[02867.34-02869.34] 那你看谁的核通登记谁是成租人
[02869.34-02870.42] 如果都没登记
[02870.42-02872.98] 那这时候就成立核通在先的
[02872.98-02874.86] 那这是一房数租
[02874.86-02876.02] 那除了于房租租之外
[02876.02-02879.10] 我们说了这个城族人还有优先购买权
[02879.10-02880.74] 但这个优先购买权
[02880.74-02881.66] 他有一个排序
[02881.66-02883.26] 而考试的时候就考排序
[02883.26-02884.74] 排在第一位的就什么人
[02884.74-02886.18] 购有人或进行所
[02886.18-02887.90] 然后才是城族人
[02887.90-02889.54] 然后还是其他人
[02889.54-02891.50] 那有优先购买就优先什么
[02891.50-02892.74] 城族的权力
[02892.74-02894.26] 研究是这样自如
[02894.26-02895.82] 像我们所说的
[02895.82-02897.02] 但可爆雷了
[02897.02-02897.98] 但可爆雷之前
[02897.98-02898.74] 它也是这样的
[02898.74-02900.86] 又或者我们所说的模方公寓
[02900.86-02902.06] 等等这系列的
[02902.06-02903.14] 它其实都有这种
[02903.14-02904.54] 只要是有中介的话
[02904.54-02905.78] 这种情况之下
[02905.78-02910.14] 我們經常就能在中介上面看到右線程度的內容
[02910.14-02911.92] 這個是租利河通
[02911.92-02915.16] 他所引藏的這些相對來說比較重要的一些考點
[02915.16-02916.28] 大家去注意一下
[02916.28-02918.32] 只是第三個就做租利河通
