[00000.00-00002.82] 好的 小伙伴们讲完了
[00002.82-00004.34] 新思想的总认之后
[02335.78-02338.66] 但是美国就是觉得说日本风了
[02338.66-02339.06] 对吧
[02339.06-02340.90] 当时日本的经济发展
[02340.90-02344.02] 其实是很多遇托于美国的这样的一个投资的
[02344.02-02344.42] 对吧
[02344.42-02347.70] 因为当时大家都知道从历史的言格来看
[02347.70-02349.70] 美國給了日本不少的福指
[02349.70-02351.50] 然後那個時候日本才怎麼樣
[02351.50-02352.90] 直播經濟發展
[02352.90-02354.90] 問定下來成為世界第二大經體
[02354.90-02356.18] 他成為世界第二大經體
[02356.18-02358.10] 居然要和美國比肩
[02358.10-02360.70] 當時美國指定是嚴厲融入的沙子的
[02360.70-02361.02] 對吧
[02361.02-02362.90] 所以當時美國就說那就搞他
[02362.90-02363.70] 怎麼搞他呢
[02363.70-02366.70] 就當時美國就做了一件事情
[02366.70-02369.10] 這個事情就是讓他自己的這個匯率
[02369.10-02371.34] 大幅度的下降也不能說幅度很大
[02371.34-02372.70] 就讓他的匯率下降
[02372.70-02374.90] 美國的匯率下降給日本造成的錯誤
[02374.90-02377.70] 就是日本的匯率是上升的
[02377.70-02379.26] 那以国家的经济发展
[02379.26-02380.66] 它的匯率上升只有一种
[02380.66-02382.10] 只有这么集中情况
[02382.10-02384.90] 排除我们所说的其他国家匯率而为之之外
[02384.90-02387.06] 那只有以国家经济发展无限好的时候
[02387.06-02388.78] 你的货币才能更值钱
[02388.78-02391.22] 所以你在国际市场当中你的匯率
[02391.22-02392.42] 才会相对来说
[02392.42-02393.34] 变得高一点
[02393.34-02394.82] 就是你对换外匯的比率
[02394.82-02396.26] 就是你的钱才能更值钱
[02396.26-02397.10] 所以你看
[02397.10-02398.18] 美国一架
[02398.18-02400.06] 反称出来就是日本怎么样
[02400.06-02401.78] 就是日本的匯率是上升的
[02401.78-02404.34] 而那个时候日本经济恰恰处在上升起
[02404.34-02406.34] 給日本人造成的假象是什麼
[02406.34-02407.94] 日本經濟沒隨吧
[02408.66-02410.94] 非常繁榮 對吧 那相當之好了
[02410.94-02411.90] 那就吹都不行了
[02411.90-02413.38] 在國內的這個新聞上
[02413.38-02415.10] 報紙上國家的官方媒體上
[02415.10-02417.66] 當時日本打出來這樣的口號好標語
[02417.66-02419.18] 是未來日本經濟
[02419.18-02421.42] 在20年是到40年發展內
[02421.42-02423.02] 都不會出現問題
[02423.02-02426.10] 這是我們的經濟繁榮氣是20年到40年
[02426.10-02428.58] 然後大力去股全讓他們去搞投資
[02428.58-02430.54] 房地產 大量去搞金融
[02430.54-02432.34] 當時美國覺得搞得差不多了
[02432.34-02435.16] 就把所有的在日本的實體全都撤出來了
[02435.42-02438.54] 美國把在日本的實體進去全都撤出來之後
[02438.54-02440.66] 日本根本就沒有實體產有作為支撐啊
[02440.66-02442.94] 美國這一走日本所有的經濟繁榮
[02442.94-02445.02] 都像透霧一樣全都被壓縮了
[02445.02-02447.18] 一下子經濟就快了
[02447.18-02448.42] 你看看的經濟快了之後
[02448.42-02451.70] 2010年中國超過日本成世界第二大經濟體
[02451.70-02455.10] 也就是在那幾年的手日本經濟造出到重窗
[02455.10-02457.62] 你看它的這個重窗到現在有沒有恢復過來
[02457.94-02458.66] 沒有啊
[02458.66-02460.18] 我們說了我們雖然橋上日本
[02460.18-02462.58] 对吧 这是天经第一的 瞧不上他应该的
[02462.58-02465.78] 但是你不得不承认的是 他之前作为一个发展
[02465.78-02469.58] 过程当中的这样子 国家的经济发展实力是不容易兽去的
[02469.58-02472.82] 但是现在看来从2012年往后
[02472.82-02476.78] 这都十多年的时间了 他依旧没有从那种重创当中恢复过来
[02476.78-02479.98] 在加上他的干了不少确认试 天在人会他有一些
[02479.98-02483.58] 所以你看现在日本经济 我们也就说就那样吧
[02483.58-02488.98] 所以我们会发现在整个国际发展的这样的一个背景当中
[02488.98-02490.98] 有很多這樣的一些例子
[02490.98-02493.32] 擺在我們面前 血淚淚的例子
[02493.32-02494.98] 所以就給我們提醒著什麼
[02494.98-02496.98] 就是我們必須在發展經濟的時候
[02496.98-02499.68] 要實現高質量發展必須有一個一脫
[02499.68-02502.08] 你不能說讓經濟拖實相需
[02502.08-02504.38] 你這需你經濟它沒有辦法帶動就業
[02504.38-02505.68] 沒有辦法促進國民
[02505.68-02507.98] 發展沒有辦法 美護社會穩定的
[02507.98-02510.78] 所以你小實現高質量發展經濟發展評問
[02510.78-02513.18] 你必須要把經濟發展的著立點放在什麼上
[02513.18-02514.68] 實體經濟上
[02514.68-02515.68] 所以我們才提到
[02515.68-02517.48] 你看二十大說了推動性行什麼
[02517.48-02518.24] 共一化
[02518.24-02519.52] 所以在这里大家注意下
[02519.52-02520.54] 这是实体经济
[02520.54-02522.96] 所以实体经济大家注意考试的时候考什么
[02522.96-02524.80] 你只要看到主力点放在那
[02524.80-02526.56] 就放在实体经济上就行了
[02526.56-02528.08] 因为实体经济还有一个地位
[02528.08-02531.24] 就是一国经济的 起来旁边
[02531.24-02533.88] 立身之本
[02533.88-02538.60] 财富之源
[02538.60-02540.84] 这是一国经济的立身之本
[02540.84-02541.80] 财富之源
[02541.80-02543.52] 所以在这里面大家要明确
[02543.52-02545.24] 这是整个我们所说的
[02545.24-02548.06] 高质量发展就经济发展当中给大家掌数的
[02548.06-02549.32] 咱们来回顾一下
[02549.32-02550.88] 人第一个我们来看一下
[02550.88-02553.76] 我们说了在经济当中我们特种强调的是什么
[02553.76-02556.92] 高质量发展我们先去聊聊什么是高质量发展
[02556.92-02559.72] 那聊高质量发展我们先要理解什么是发展
[02559.72-02563.16] 发展从来的录,从到平理论发展是用道理
[02563.16-02566.56] 到是第一用物到第一用意再到什么
[02566.56-02569.32] 基础和关键对吧再到基础和关键
[02569.32-02571.20] 所以在这里面我们就知道了
[02571.20-02573.72] 那么说了之前经济发展强调是速度
[02573.72-02576.40] 那我們也給大家說了從高速轉,中高速
[02576.40-02579.42] 但咱們一口速度不足以支撐中國進行發展
[02579.42-02581.58] 所以我們提到了叫做高質量發展
[02581.58-02584.22] 我說在高質量發展那種給大家提到了第一個
[02584.22-02585.62] 它解決什麼問題啊
[02585.62-02587.40] 老百姓沒好生活需要問題
[02587.40-02587.80] 第二個
[02587.80-02589.38] 現在要實現高質量發展
[02589.38-02591.68] 誰推動高質量發展
[02591.68-02592.98] 消費者推動嗎
[02592.98-02594.96] 不是的 是生產者
[02594.96-02599.20] 所以我们提到了小时先高质量提出了共级侧纠线改革
[02599.20-02599.68] 对吧
[02599.68-02602.52] 我们这是在高质的发言能力提到的第二个
[02602.52-02603.96] 那么说了高质量发展
[02603.96-02606.92] 它是不是只是重视我们所说的质量
[02606.92-02608.96] 而不重视发展的速度不是的
[02608.96-02610.44] 我们说了叫重视质
[02610.44-02611.28] 要重视量
[02611.28-02612.92] 它是质量双相的
[02612.92-02613.96] 都要有要求的
[02613.96-02614.92] 所以这第三个
[02614.92-02616.52] 第四个就是高质量发展
[02616.52-02618.64] 在现在的经济发展能力有什么样的地位
[02618.64-02619.28] 我说了
[02619.28-02623.44] 高质量发展是中国经济发展的主题
[02623.44-02626.26] 同时也是现代化国家建设的
[02626.26-02627.78] 说任务放在第一位的
[02627.78-02629.34] 因为经济才是基础了
[02629.34-02630.86] 所以这是我们所提到的
[02630.86-02631.88] 高质发展
[02632.40-02634.70] 给大家去全面产数的他的内容
[02634.96-02636.74] 那知道了高质发展
[02636.74-02637.78] 它的照信
[02637.78-02639.44] 今天我们如何建设高质发展
[02639.44-02641.10] 进入第一个明确中国
[02641.10-02642.38] 经济发展的框架
[02642.38-02645.20] 所以在这里提到了三个基本经质的大助一下
[02645.20-02646.48] 优浅之后三个
[02646.48-02649.80] 具体的内容在10个明确当中给大家讲过
[02649.80-02651.86] 第二个如何推动高质发展
[02651.86-02654.26] 第一個新發展就有心理念
[02654.26-02655.74] 所以叫新發展理念
[02655.74-02657.02] 我們在10個明確當中
[02657.02-02658.78] 詳細講的是哪十個
[02658.78-02659.42] 第二個
[02659.42-02660.46] 我們剛才提到了
[02660.46-02661.70] 詳細的質量發展
[02661.70-02662.34] 誰改
[02662.34-02663.30] 生產者改
[02663.30-02665.02] 於是提到了共幾策結構
[02665.02-02666.10] 先改革
[02666.10-02667.42] 第三一個就是
[02667.42-02669.02] 我們所說的高質的發展
[02669.02-02670.50] 必須有一個抓手放在哪
[02670.50-02671.38] 實體經濟上
[02671.38-02672.94] 所以實體經濟的地位
[02672.94-02674.50] 經濟發展的著力點
[02674.50-02677.58] 一國經濟的利盛資本和財富之員
[02677.58-02680.74] 這個是我們所提到的高質量發展
