[00000.00-00002.82] 放弱犯罪是主观和客观的同意
[02275.00-02276.64] 我说6这个槍的时候
[02276.64-02277.50] 我想怎么样
[02277.50-02280.40] 我想开箱打死我的仇人
[02280.40-02281.44] 意义
[02281.44-02283.12] 我想开箱打死我的仇人意
[02283.12-02285.52] 我这个时候拿起我的槍去描组的时候
[02285.52-02286.88] 我发现这个意义
[02286.88-02288.40] 正在和他的好朋友假
[02288.40-02289.56] 在那里面聊天
[02289.56-02291.88] 两人聊的可坏是了交透街儿的
[02291.88-02292.80] 离的贼劲
[02292.80-02294.90] 然后我当时拿这个描组金描组的
[02294.90-02295.62] 我去想
[02295.62-02297.26] 现在这么个距离
[02297.26-02298.46] 在加上这个封速
[02298.46-02299.82] 在加上现在这个情况
[02299.82-02301.30] 我只要开枪的话
[02301.30-02303.62] 我可能会打中假
[02303.62-02304.26] 那你看
[02304.26-02305.06] 这种情况是想
[02305.06-02306.74] 我明知我开枪的行为
[02306.74-02307.62] 可能会打中假
[02307.62-02308.78] 但是我心参一想
[02308.78-02310.06] 说广告了那么多了
[02310.06-02311.38] 我和以之间的这个
[02311.38-02313.66] 仇恨此事不报更带何时
[02313.66-02314.82] 于是我开枪了
[02314.82-02316.26] 国不起人更多欲想一样
[02316.26-02317.26] 没有打中以
[02317.26-02318.34] 法尔打中的谁
[02318.34-02319.62] 法尔打中的假
[02319.62-02320.82] 那你看我这个时候
[02320.82-02322.58] 对于假的这种死亡
[02322.58-02323.90] 这种态度是什么
[02323.90-02326.38] 我明知自己的开箱行为可
[02326.38-02327.86] 会被害到假
[02327.86-02328.82] 但是我怎么样
[02328.82-02331.66] 我是放任这种结果发生的
[02331.66-02334.66] 这时候我对于假死亡的太读
[02334.66-02335.54] 就属于什么
[02335.54-02337.70] 就属于剑结故意
[02337.70-02339.50] 所以在这里面大家注意一下
[02339.50-02340.34] 我们刚才所说的
[02340.34-02342.66] 直接故意是你积极追求结果的发生
[02342.66-02345.10] 这时候我明知我开箱会打死亡
[02345.10-02346.38] 我一定就要打死他
[02346.38-02347.18] 我开枪了
[02347.18-02348.62] 结果把以打死了
[02348.62-02349.82] 这属于直接故意
[02349.82-02351.54] 但是假和以再交谈
[02351.54-02353.18] 我明知我的开箱行为
[02353.18-02356.22] 可能会打中学 可能会打中教
[02356.22-02358.22] 但是我开箱果然打中的讲
[02358.22-02359.82] 我这时候明知可能
[02359.82-02361.50] 但是我对于这个意义的
[02361.50-02363.62] 这个假的死亡结果才取得什么太多
[02363.62-02365.42] 才取得是放人太多
[02365.42-02367.26] 这种就属于我们所说的什么
[02367.26-02369.62] 就用就属于我们所说的 建结故意
[02369.62-02371.50] 所以在考试的时候你要看一下
[02371.50-02373.62] 他对于这种结果的这种发生
[02373.62-02375.90] 才取得是一种什么样的太多
[02375.90-02378.22] 这我们所说的第一个叫做
[02378.22-02380.02] 犯罪故意 分成两种形式
[02380.02-02382.90] 大家明确 直接故意和建议故意
[02382.90-02385.70] 那第二一個呢就是你對於這種我們所說的
[02386.62-02390.02] 行為所產生結果的心理狀態不是故意而是什麼呢
[02390.02-02391.54] 而是過失
[02391.54-02393.50] 那我們來看一下過失討說什麼
[02393.50-02395.46] 他說過失啊是指行為人
[02395.46-02397.62] 應當預見自己的行為可能發生
[02397.62-02398.62] 危害結果
[02398.62-02400.74] 12輸出大意而沒有預見
[02400.74-02403.14] 或者已經預見或者清晴能夠避免
[02403.14-02404.98] 以至發生危害的心理狀態
[02404.98-02406.58] 那這個就是我們所說的故事
[02406.58-02408.18] 過失的話呢
[02408.18-02408.90] 大家注意一下
[02408.90-02410.34] 他也分成兩種情況
[02410.34-02411.30] 這樣種情況呢
[02411.30-02412.58] 第一種就叫做
[02412.58-02414.06] 舒糊大意的国施
[02414.06-02415.66] 同时把舒糊大意的国施
[02415.66-02416.54] 给他标准出来
[02416.54-02417.66] 舒糊大意的国施
[02417.66-02419.38] 就按照他的表述
[02419.38-02420.66] 去网理和对就行了
[02420.66-02421.42] 带来看
[02421.42-02422.82] 说舒糊大意的国施
[02422.82-02424.14] 是行为人画下
[02424.14-02425.86] 叫阴当玉剑
[02425.86-02426.58] 阴当玉剑
[02426.58-02427.54] 自己的行为可
[02427.54-02429.78] 会发生危害社会的结果
[02429.78-02430.94] 阴舒糊大意
[02430.94-02431.62] 而怎么样
[02431.62-02433.06] 没有玉剑
[02433.06-02434.86] 所以舒糊大意的国施
[02434.86-02436.46] 是阴当玉剑而
[02436.46-02437.22] 没有玉剑
[02437.22-02438.18] 就是他认为
[02438.18-02439.30] 这种情况之下
[02439.62-02440.54] 可以怎么样
[02440.54-02441.78] 可以是被玉剑到了
[02441.78-02443.98] 它是就一定的遇見可能性的
[02443.98-02445.66] 那這種情況是下大注意下
[02445.66-02447.14] 這叫做我們所說的什麼
[02447.14-02449.26] 舒糊大意的過世
[02449.26-02450.46] 就舒服大意的過世
[02450.46-02452.02] 所以在這裡面大家注意下
[02452.02-02453.42] 這是我們所給的
[02453.42-02454.66] 舒糊大意過世叫
[02454.66-02455.62] 英當預見
[02455.62-02456.42] 舒糊大意
[02456.42-02458.78] 沒有意見導致結果發生
[02458.78-02460.98] 那和它相對應的另外一種是什麼呢
[02460.98-02461.98] 另外一種叫
[02461.98-02464.94] 自信的過世或者叫過於自信的過世
[02464.94-02466.30] 過於自信的過世是
[02466.30-02468.98] 已經遇見到自己的結果
[02468.98-02471.30] 自己的行為可能會發生為海結果
[02471.30-02474.78] 但是怎么样 清晰能够避免
[02474.78-02477.46] 这种就属于过于自信的
[02477.46-02479.54] 果实也就是在这里大家注意
[02479.54-02481.30] 若老师我怎么去分
[02481.30-02482.66] 它是舒糊大意
[02482.66-02485.18] 或者是属于过于自信的果实
[02485.18-02488.46] 你就看它有没有采取预防措施
[02488.46-02490.82] 如果它对于它的过实的态度
[02490.82-02492.62] 是已经采取预防措施
[02492.62-02494.18] 但是还是没有怎么办
[02494.18-02495.94] 还是没有避免的了
[02495.94-02497.34] 这种情况之下你看
[02497.34-02499.34] 它已经采取了预防措施
[02499.34-02501.58] 就意味着他能不能遇见这事
[02501.58-02503.66] 他已经遇见到了这个事
[02503.66-02507.38] 但是他因为觉得自己的预防措施能够起效果
[02507.38-02510.46] 清晰能够避免从而导致结果的发生
[02510.46-02512.74] 这种住数月过于自信的国事
[02512.74-02514.14] 最常见的比如说
[02514.14-02518.22] 就是我们在暗见当中经常会提到的一干净
[02518.22-02520.98] 比如说假方这个假照复
[02520.98-02522.14] 这个照复假呢
[02522.14-02524.86] 就和他的妻子以之间的关系不是特别好
[02524.86-02528.02] 所以他就一直想杀死这个妻子的意
[02528.02-02529.48] 但是家里有个小孩
[02529.48-02532.02] 所以他们两个就行丝的两口的日子
[02532.02-02533.50] 就挫挫过也能过
[02533.50-02534.92] 所以在这个时候呢
[02534.92-02537.30] 这个假也就是跟这个他的妻子
[02537.30-02538.46] 就一起过了几年
[02538.46-02539.50] 但是越过这几年
[02539.50-02540.42] 心里就越不爽
[02540.42-02541.94] 越过心里不爽就觉得
[02541.94-02542.70] 平什么呀
[02542.70-02542.94] 对吧
[02542.94-02544.58] 平什么还要这么江浴过呀
[02544.58-02546.02] 于是他就起了杀心
[02546.02-02546.90] 他想干嘛呢
[02546.90-02549.26] 小杀死他的妻子以
[02549.26-02550.42] 然后在这个过程当中
[02550.42-02551.38] 他就觉得怎么杀
[02551.38-02552.30] 比较合理呢
[02552.30-02553.82] 他就给他妻子
[02553.82-02554.62] 做饭
[02554.62-02555.66] 给他妻子做饭
[02555.66-02557.22] 然后在这个饭菜里头堵
[02557.22-02557.98] 就想不说
[02557.98-02560.98] 他妻子下班回来看到坐上有菜一定会先吃
[02560.98-02561.98] 然后吃了之后
[02561.98-02562.98] 他妻子被毒死
[02562.98-02563.98] 这个时候天无奉
[02563.98-02565.98] 他简直莫不就是天才了
[02565.98-02568.98] 当然他又考虑到说家里好像有个小孩儿
[02568.98-02569.98] 用他这个小孩物实了
[02569.98-02571.98] 他下了毒的这个犯财
[02571.98-02573.98] 于是这个丈夫就早早的做犯财之后
[02573.98-02574.98] 在犯财里下了毒
[02574.98-02575.98] 下了毒之后
[02575.98-02577.98] 赶紧去约而远去接孩子
[02577.98-02578.98] 你看这个时候
[02578.98-02580.98] 他是不是已经遇见到了自己
[02580.98-02583.98] 头毒的这个行为可能会危害到自己的孩子
[02583.98-02584.98] 他呢
[02584.98-02585.98] 这种情况
[02585.98-02588.54] 把形色把小孩接到手
[02588.54-02590.54] 把手手小孩出去吃
[02590.54-02591.42] 别的回来说
[02591.42-02592.70] 妻子就已经吃完饭了
[02592.70-02593.70] 妻子就没了
[02593.70-02595.02] 所以等她去游泳源
[02595.02-02596.82] 妻孩子的时候就发现来了
[02596.82-02597.22] 糟了
[02597.22-02598.98] 妻子今天提前下班
[02598.98-02601.02] 已经把孩子接走了
[02601.02-02602.02] 把孩子接走之后
[02602.02-02603.26] 赶紧往家赶
[02603.26-02604.62] 就知道他们两个孩子
[02604.62-02606.78] 妻子的孩子一定会吃饭
[02606.78-02609.02] 结果赶到家的时候发现
[02609.02-02610.26] 妻子和孩子
[02610.26-02612.82] 已经把头落独的犯财吃完了
[02612.82-02614.34] 然后妻子死完了
[02614.34-02615.94] 而是在没了
[02615.94-02618.66] 那你看在这个里面就存在两个情况
[02618.66-02619.58] 拿两个情况呢
[02619.58-02621.06] 第一个情况呢就是
[02621.06-02622.86] 他对于他妻子的死亡
[02622.86-02623.94] 太多是什么
[02623.94-02626.18] 他明知道下了独的犯财
[02626.18-02627.06] 他妻子会吃
[02627.06-02628.70] 他还妻子的追求结果的发生
[02628.70-02630.42] 因为他就想读死他的妻子
[02630.42-02632.46] 所以对于他妻子的死亡太多
[02632.46-02633.46] 他属于什么
[02633.46-02634.86] 他属于直接过一
[02634.86-02636.26] 但对于他儿子
[02636.26-02638.42] 他对于他儿子的死亡太多来看一下
[02638.42-02640.10] 他对于他儿子的死亡太多
[02640.10-02642.18] 是不是妻子的追求啊
[02642.18-02643.78] 是不是放任结果的发生呢
[02643.78-02646.60] 都不是他对于他儿子这个死亡太多是什么
[02646.60-02649.16] 他已经预了到这个犯财
[02649.16-02650.94] 可能被他儿子吃掉
[02650.94-02654.28] 但是他采取了他认为他采取了相的一方措施
[02654.28-02655.56] 就是早早去接他儿子吧
[02655.56-02657.86] 但是他认为他这种措施可以怎么样
[02657.86-02661.70] 可以避免结果发生什么亲信能够避免结果发生
[02661.70-02663.24] 但是最后没有避免
[02663.24-02666.06] 所以他对于他儿子死亡是什么信态
[02666.06-02670.14] 是过于自信的过时是过于自信的过时
[02670.14-02672.44] 所以在这里面当然要能够去启分
[02672.44-02674.54] 我们再去做题的时候怎么办呢
[02674.54-02677.30] 你就去看他对于结果的发生
[02677.30-02678.84] 他持有什么样的态度
[02678.84-02680.58] 如果是积极追求的话
[02680.58-02681.74] 那就是直接故意
[02681.74-02684.30] 如果说他已经预见到了
[02684.30-02684.72] 对吧
[02684.72-02686.14] 他的结果发生
[02686.14-02688.16] 可能会对他人造成有效
[02688.16-02689.96] 但是他放任结果发生
[02689.96-02691.14] 他属于建立故意
[02691.14-02693.04] 如果已经预见到了结果
[02693.04-02693.94] 可能会发生
[02693.94-02695.54] 清晰能够避免
[02695.54-02697.94] 比如说他采取了一定的预防措施
[02697.94-02699.56] 像我刚才说他去接孩子
[02699.56-02700.86] 那这种住属于
[02700.86-02702.24] 过于自信的果实
[02702.24-02705.36] 那还有一种就是说是说大衣的国事
[02705.36-02708.60] 这种舒户大衣的个事就是它应当于点没有意见
[02708.60-02711.52] 在这种情况之下就属于舒户大衣的国事
[02711.52-02713.40] 大家注意一下这是我们所说的
[02714.32-02716.96] 犯罪的主观方面 反正主观方面
[02716.96-02721.88] 而在考试的时候就特别喜欢把这几种混淆在一块来考察
[02721.88-02724.88] 所以大家要注意这是我们所说的主观方面
[02724.88-02729.44] 讲完主观方面我们就把整个犯罪构成就给大家说完了
[02729.44-02731.22] 我們在翻證過程當中給大家講了
[02731.22-02735.14] 翻證的課題 課翻證的課關方面 應不說了
[02735.14-02737.64] 翻證是主觀和課關的統一
[02737.64-02740.02] 所以現在課關層面上講了課題
[02740.02-02741.78] 講了課關方面
[02741.78-02743.98] 然後說了主觀和課關的統一
[02743.98-02747.04] 我們又講了主觀 講了翻證主題
[02747.04-02748.74] 翻證主題當中有責任
[02748.74-02749.54] 有單位
[02749.54-02751.54] 我們在責任當中給大家講了
[02751.54-02755.06] 修飾責任年齡分成三種 對吧
[02755.06-02756.44] 第一個是完全付
[02756.44-02758.36] 我們說了多少歲 十六歲
[02758.36-02761.34] 要把它和民法典当中的十八中岁的
[02761.34-02763.34] 完全民事行为能力人
[02763.34-02765.92] 以及減轻责任年龄当中的什么
[02765.92-02768.26] 十二到十八岁去分开
[02768.26-02769.56] 第二个是相对复
[02769.56-02772.92] 这个也是考察当中相对来说比较集中的
[02772.92-02775.92] 一个只是去相对复行是责任年龄
[02775.92-02776.80] 就是两个阶段
[02776.80-02778.36] 一个是十四到十六
[02778.36-02779.72] 一个是十二到十四
[02779.72-02781.96] 那这个时候十四到十六是什么
[02781.96-02784.76] 是八个行为叫做两顾两项
[02784.76-02786.00] 两顾两报
[02786.00-02786.36] 对吧
[02786.36-02790.96] 那这半行为当中的两顾当中的故意伤害要求是中商
[02790.96-02796.12] 那12到14到中市两顾这两顾是故意杀人和故意伤害
[02796.12-02800.24] 故意伤害是要的一定要怎么是中商或者是残忌
[02800.24-02801.96] 对吧所以清商不负责的
[02801.96-02805.16] 但是12到14多岁毕竟孩子年来还太小了
[02805.16-02808.28] 到底要不要承担凶是责任还要干嘛
[02808.28-02810.32] 至于高渐和渐追速才行
[02810.32-02812.96] 一定是最高渐而不能是什么
[02812.96-02815.16] 而不能是最高反
[02815.16-02817.26] 他考試的時候很容易在這考最高法
[02817.26-02818.24] 大家注意一下
[02818.24-02819.50] 要這是相對付
[02819.50-02820.86] 完全不付的話
[02820.86-02822.30] 就是12一下了
[02822.30-02824.36] 這個就是我們常見的
[02825.00-02827.00] 畫面左日點領的階段
[02827.00-02830.26] 但這裡面我們還提到了有減輕形式左日點
[02830.26-02831.66] 就是你犯罪了
[02831.66-02833.60] 你要重担相當的形式左日
[02833.60-02834.88] 也就是要法尼
[02834.88-02835.20] 對吧
[02835.20-02836.86] 要給你消的形式觸犯
[02836.86-02838.64] 但這裡面我們就會考慮一個問題
[02838.64-02840.54] 就是考慮它年齡的問題
[02840.54-02842.80] 要不要給它從輕輕減輕觸犯
[02842.80-02843.96] 紛年齡來看
[02843.96-02858.28] 如果是12到18的话,英当怎么样,英当从轻和简单注意,这个地方我说了就考什么文字游戏,是英当还是可以,是从轻简单,还是从轻简单和面出,他就喜欢这么靠,大家要注意一下这个点,好吗?
[02858.28-02873.92] 这是责任年龄,当然还要求有责任能力,责任能力的话,大家知道精神病人怎么样,精神状态清醒时,精神正常时,稍微稍微完全喪失变任和控制能力水,这种情况之下你犯罪要重担形成什么事情,
[02873.92-02874.76] 是责任 对吧
[02874.76-02876.32] 他一个就是最久的人
[02876.32-02877.32] 最久分为
[02877.32-02879.16] 商礼性最久和并利性最久
[02879.16-02881.72] 商礼性最有着日常当中说喝多了
[02881.72-02883.56] 他就应该付行事责任
[02883.56-02885.12] 而并利性最久是什么
[02885.12-02886.96] 喝久了之后就久经正读了
[02886.96-02889.12] 先了于陷入了一种精神病状态
[02889.12-02892.04] 你这个说是没有行事责任能力的
[02892.04-02893.92] 那这个说就不复行事责任
[02893.92-02896.56] 考试的时候如果没有特殊强调
[02896.56-02898.20] 是生礼性还并利性最久
[02898.20-02900.88] 我们一般情而默认的是生礼性最久
[02900.88-02901.60] 大家注意一下
[02901.60-02903.52] 这是犯罪主体当中的责任
[02903.52-02905.88] 那当然翻译主体当中还有法
[02905.88-02907.28] 我们所说的单内
[02907.28-02909.12] 那单内主要就是我们强调
[02909.12-02910.84] 是单位意志
[02910.84-02911.84] 我们所说的
[02911.84-02913.72] 为单位理许去进行的犯罪
[02913.72-02916.24] 那这个时候就是我们所说的单位犯罪
[02916.24-02917.44] 单位犯罪我们说了
[02917.44-02918.44] 单位犯罪
[02918.44-02921.48] 他不能去犯纯罪的有自然人共产犯罪
[02921.48-02923.44] 比如说单位不能犯道歉
[02923.44-02924.68] 不能犯强节
[02924.68-02926.24] 不能犯故意杀人
[02926.24-02928.40] 不能犯戴款炸片罪
[02928.40-02930.12] 这都是单位不能犯的
[02930.12-02931.60] 只有自然人才给犯的
[02931.60-02933.48] 这个叫纯正的责任犯罪
[02933.48-02936.40] 但是单位如果一旦开会组织了去实施
[02936.40-02938.84] 有个人犯罪的话怎么办来 咱们说了
[02938.84-02942.20] 这时候就追究主要责任人数就可以了
[02942.20-02944.72] 那如果说单位犯罪要几率他出发的话
[02944.72-02946.76] 我们说什么之刷法制
[02946.76-02950.60] 刷法就是计法单位也法责任对吧
[02950.60-02952.64] 对单位只能出什么咱们说了
[02952.64-02953.68] 只能出发机
[02953.68-02955.56] 那单法的话就是只单处责任
[02955.56-02958.00] 就是直接责任和主管人人就可以了
[02958.00-02959.16] 那这是主体
[02959.16-02962.20] 那说了那主体在进行相反对的时候
[02962.20-02964.24] 他一定有相应的心理状态
[02964.24-02966.52] 我们把这种心理状态成为主观方面
[02966.52-02967.44] 一共两个
[02967.44-02968.92] 一个叫做犯罪故意
[02968.92-02970.28] 一个叫做犯罪过士
[02970.28-02971.48] 那故意的话就是
[02971.48-02972.36] 第一个
[02972.36-02973.12] 直接故意
[02973.12-02975.72] 明知道行为会产生为还结果还
[02975.72-02977.72] 即即追求重结我发生
[02977.72-02979.80] 叫明之家希望我们说了叫做
[02979.80-02980.76] 即即追求
[02980.76-02982.16] 那这个时候我们说
[02982.16-02983.72] 他就数月直接故意
[02983.72-02985.56] 如果明之你的行为
[02985.56-02986.96] 可能会带来相应的
[02986.96-02990.18] 美海结果,你放任这种结果发生
[02990.18-02992.44] 也就是投什么票,汽权票
[02992.44-02995.72] 那这时候你就抱着脚性的心理,就觉得发生了发生吗?
[02995.72-02998.52] 那这种情况之下,你就属于建计的故意
[02998.52-03003.02] 那这里面这种故意,那还有过时,过时的话,第一个就是舒糊大意的过时
[03003.02-03006.86] 你应当于建儿,没有语建,那这里就属于什么?
[03006.86-03011.32] 舒糊大意的过时,那你比如说我们所说的一户人员,
[03011.32-03015.70] 那一户人员他在日常工作当中,他就应该注意到他在手术台上
[03015.70-03017.90] 你不能把那個殺骨辣在人家什麼
[03017.90-03020.46] 辣在人家這個動手數的換者的肚子裂
[03020.46-03022.54] 但是結果你把殺骨牽子啊
[03022.54-03023.74] 什麼其他一些東西
[03023.74-03025.14] 沒有注意到
[03025.14-03027.58] 辣 縫在人家的肚子裂結果人類人家是
[03027.58-03029.22] 你為什麼 感染最後去世了
[03029.22-03030.86] 那這種情況是想你屬於什麼
[03030.86-03032.42] 你是故意想而他死嗎
[03032.42-03036.06] 不是 你是英當預見這種結果的發生
[03036.06-03037.10] 但是你沒有預見
[03037.10-03038.18] 你這時候屬於什麼
[03038.18-03039.26] 屬於過世
[03039.26-03040.90] 那你這時候你的過世犯罪
[03040.90-03042.18] 他是那種過世啊
[03042.18-03043.54] 書戶大一個過世
[03043.54-03045.58] 是英當預見而沒有預見
[03045.58-03048.34] 那还以总的就是过于自信的果实
[03048.34-03050.02] 那过于自信的果实是什么
[03050.02-03052.54] 是已经预见亲信可以避免
[03052.54-03053.62] 那怎么去举分呢
[03053.62-03056.26] 你就看它也没有采取相应的预防措施
[03056.26-03058.30] 比如说刚才接小孩的那个案例
[03058.30-03058.66] 对吧
[03058.66-03060.82] 那它就属于过于自信的果实
[03060.82-03061.98] 那这个就是我们所说的
[03061.98-03064.02] 犯罪过程都全部内容了
[03064.02-03064.78] 那到这呢
[03064.78-03066.30] 我们就把犯罪的过程要借
[03066.30-03067.94] 全部给大家说完了
[03067.94-03069.02] 一共四个方面
[03069.02-03070.66] 叫做客体
[03070.66-03071.70] 客官方面
[03071.70-03073.50] 主体主官方面
[03073.50-03075.86] 这个是非常重要的一个指示点
[03075.86-03077.18] 好 那喜欢的内容呢
[03077.18-03080.22] 咱们来做个题课 摩刀时试一下
[03080.22-03081.98] 说根据我过新华规定
[03081.98-03085.66] 有关精神病人的形式责任能力说法错误的事
[03085.66-03087.06] 那据错的吧 看一下
[03087.06-03087.70] 一选项
[03087.70-03092.02] 精神病人在不能变任和不能控制行为时不复责任
[03092.02-03093.90] 对吧 我们说了之后在什么时候
[03093.90-03097.66] 清醒的时候能够变任和控制自己能力的时候
[03097.66-03099.34] 对吧 精神正常的时候
[03099.34-03100.82] 那财富形式责任
[03100.82-03102.82] 所以一选上正确 避选项
[03102.82-03107.38] 借些性精神病人在精神正常使用病人的父親和責任
[03107.38-03111.38] 当然 宏說了就統一去借精神病人清醒是正常使
[03111.38-03114.34] 藏未完全喪失使都要干净的
[03114.34-03115.14] 所以想
[03115.14-03118.90] 勝未完全喪失被人或控制自己的
[03118.90-03121.62] 行為能力的精神病人應當父親和責任
[03121.62-03122.62] 当然要父
[03122.62-03125.14] 第四個 精神病人在任何時候都不服嗎
[03125.14-03125.90] 不失敗
[03125.90-03126.90] 只有在你
[03126.90-03129.66] 我們所說的沒有辦法被人的時候
[03129.66-03131.06] 才不服
[03131.06-03133.70] 所以在这里面说法错误的是第四个
[03133.70-03137.20] 所以在这里面大家要注意第一体选死地
[03138.10-03140.14] 第二体来看一下完全复
[03140.14-03144.18] 多大完全复形式责任年龄是六岁
[03144.18-03146.42] 很多同学在这里就越来去选十八
[03146.42-03149.10] 因为他把刑法和民法搞混了
[03149.10-03150.90] 咱们前面是复给大家做去分了
[03150.90-03152.78] 所以第二体选耳鼻
[03152.78-03154.62] 第三体来看一下
[03154.62-03156.62] 同们做体的时候又话题的习惯
[03156.62-03157.42] 尤其是法律
[03157.42-03158.50] 你话出核心子
[03158.50-03160.30] 快化出它的法律关销
[03160.30-03162.66] 做起的数字其实是会提升的
[03162.66-03163.86] 看一下下面
[03163.86-03167.86] 说高中生我们所说的某中学数碎
[03167.86-03168.90] 把数碎化出来
[03168.90-03170.74] 数碎处在哪一个年轮端
[03170.74-03173.42] 完全复门不是相对复
[03173.42-03174.86] 形式责任年龄 对不对
[03174.86-03177.22] 相对复形式责任的年龄
[03177.22-03178.58] 我们说了就分成两个
[03178.58-03180.46] 一个是14到16
[03180.46-03182.58] 一个是12到14回忆
[03182.58-03183.78] 14到16
[03183.78-03185.10] 8种行为
[03186.10-03186.82] 对不对
[03186.82-03189.42] 然后加上尤其是这里面的故意是吗
[03189.42-03191.66] 故意伤害要求重伤
[03191.66-03194.62] 而12到14两种行为两顿
[03194.62-03196.54] 对吧 那两顿当中加上了
[03196.54-03199.10] 我们所说的最高借合准败
[03203.22-03205.46] 那加上最高倩合准
[03205.46-03206.78] 那你来分析下边
[03206.78-03211.90] 说15岁的高谋与其同学丁谋素来不合
[03211.90-03213.18] 想四季教育丁谋
[03213.18-03215.84] 一日将丁猛的赌在偏偏有落实
[03215.84-03217.02] 偶达达成什么商
[03217.02-03218.04] 中商
[03218.04-03219.32] 这个时候我们说了
[03219.32-03220.56] 他身上的这个败
[03220.56-03221.68] 说对此
[03221.68-03223.16] 高猛的行为定性为什么
[03223.16-03223.78] 单个单子
[03223.78-03224.58] 当然单子
[03224.58-03226.08] 八重行为两顾
[03226.08-03227.92] 两强两度两报
[03227.92-03228.28] 对吧
[03228.28-03229.74] 都已经给人打成中商了
[03229.74-03231.94] 这个时候英当父行是责任
[03231.94-03233.04] 必须上政权
[03233.04-03234.68] 这种情况之下看一下
[03234.68-03236.18] 他承担的是行政责任
[03236.18-03236.98] 只顶不是的
[03236.98-03239.08] 已经触遮到行法犯罪了
[03239.08-03239.48] 对吧
[03239.48-03240.98] 所以第四给排除了
[03240.98-03244.18] 看一下在这里面它是15岁
[03244.18-03247.38] 15岁是不是处在12到18
[03247.38-03249.98] 这个減轻责人年龄去间
[03249.98-03253.98] 減轻责人年龄是应当从轻火減轻
[03253.98-03255.98] 所以照替选择的是哪个
[03255.98-03258.98] 选择的是必碎两个选项
[03258.98-03260.98] 所以这个点大家要注意考察的
[03260.98-03263.98] 其实就是我们所说的形式责任年龄
[03263.98-03266.98] 所以第三体选必碎
[03266.98-03268.98] 第3体来看一下
[03268.98-03271.82] 说14到16你看又考到他了
[03271.82-03273.90] 14到16发种行为
[03273.90-03276.76] 两顿两折两部两部
[03276.76-03281.02] 两顿跪杀人跪杀人两折强监和强结
[03281.02-03283.70] 两读就是我们所说的
[03283.70-03286.42] 是吗?头方威胁误日最读品的一份罪
[03286.42-03289.40] 对吧?然后两暴放火罪和暴炸罪
[03289.40-03292.52] 所以不能说最八种行为
[03292.52-03293.48] 所以在这里面
[03293.48-03296.18] 这要停在选择的是ABCD
[03296.18-03299.18] 这两顾两项 两部 两部
[03299.18-03300.98] 所以第四体全选
[03301.98-03303.58] 第五体来看一下
[03303.78-03307.26] 说假谋 假谋翻译假验 假车路过一个检察站
[03307.26-03309.54] 检察院朱某正登车检察的时候
[03309.54-03312.74] 假谋突然发动汽车 躲落而逃
[03312.74-03314.78] 朱某抓住车门不方
[03314.78-03317.98] 假谋为了摆脱朱某在急持后
[03317.98-03319.38] 突然紧急撒车
[03319.38-03322.18] 然后朱某被水在地上头部找第四网
[03322.18-03324.82] 这种情况 假谋对于朱某的心态是什么
[03324.82-03331.14] 首先第一個我們來看一下他看到人家這個我們所說的過來檢查他了
[03331.14-03333.58] 他是不是趕緊把車就加速開走了
[03333.58-03335.58] 那他加速開走了這種情況之下
[03335.58-03339.30] 他是明智他的眾行為可能帶來為還後果吧
[03339.30-03341.22] 但是他持一個什麼樣的態度
[03341.22-03344.18] 他是積極追求結果的發生還是說放任呢
[03344.18-03349.70] 在這裡你看他明智他的行為可能會對周末造成一定的傷害
[03349.70-03352.62] 但是還放任這種結果的發生
[03352.62-03354.82] 那明知家放任應該屬於什麼
[03354.82-03355.98] 你要屬於建立故意
[03355.98-03357.54] 屬於第一個他指定不是什麼
[03357.54-03358.94] 他指定不是過失
[03358.94-03359.54] 對吧
[03359.54-03360.82] 指定不是過失
[03360.82-03362.98] 因為在這裡面他指定屬於故意
[03362.98-03364.90] 因為你都看到人家來了
[03364.90-03367.22] 你就幹嘛你就突然開車家輸了
[03367.22-03368.98] 那這種情況才是你指定是故意
[03368.98-03370.98] 那就看你是直接故意還是啊
[03370.98-03371.82] 建立故意
[03371.82-03374.26] 直接故意是積極追求結果的發生
[03374.26-03375.62] 但是在這裡面你看
[03375.62-03377.46] 他是積極追求結果的發生嘛
[03377.46-03379.14] 他說在即時後突然殺車
[03379.14-03380.34] 中國被甩了地上
[03380.34-03381.50] 他的心態是什麼
[03381.50-03383.50] 他的心態是想把人家豬某甩掉
[03383.50-03384.66] 他沒有說
[03384.66-03385.98] 他的心態就一定有時候
[03385.98-03387.58] 積極追求豬某死亡
[03387.58-03389.10] 他想把他甩掉
[03389.10-03392.62] 但他在家豬這鍋是他應當能夠預見什麼
[03392.62-03396.74] 他的家豬可能會死的豬某死亡
[03396.74-03400.78] 但是他預見了這個危險發生的可能性
[03400.78-03403.18] 他放任這個危害結果發生
[03403.18-03404.70] 他只放任太多
[03404.70-03405.82] 他應該就數源
[03405.82-03406.78] 見見不易
[03406.78-03408.54] 所以第五題選擇的是
[03408.54-03409.42] 第2個
[03409.42-03410.62] 第五題選第2個
[03410.62-03412.02] 第六題來看一下
[03412.02-03413.78] 六題能說前某遇還丈夫
[03413.78-03414.82] 順就大先幫忙
[03414.82-03416.42] 然後把人大先寫了幾個字
[03416.42-03417.62] 然後稍指服的時候
[03417.62-03420.18] 希望將丈夫殺死碰巧
[03420.18-03420.98] 小阿勒之後
