[00000.00-00003.58] 大家好 我是杰瑞 今天我们来学为温温当中的最后一个部分
[00003.58-00006.40] 就是物质和意识的变政关系
[02447.60-02450.56] 就是我们所说的客观存在
[02450.56-02452.68] 而在加工厂压工之后
[02452.68-02454.72] 一定会产出一个产品
[02454.72-02457.80] 这个产品我们就完成这位叫做意义是
[02457.80-02458.32] 对吧
[02458.32-02460.68] 所以我们从两个美陆去分析
[02460.68-02463.08] 意识他的原料来自外部世界
[02463.08-02464.40] 所以内容是可观的
[02464.40-02465.84] 但是意识这个东西
[02465.84-02468.48] 每个人产生的想法都不一样
[02468.48-02470.36] 他具有主体差异性
[02470.36-02473.00] 而且意识的表达方式手段也不一样
[02473.00-02474.60] 所以形式就有什么像
[02474.60-02476.04] 科广性 对吧
[02476.04-02477.60] 而从这个具体上我们有说了
[02477.60-02479.36] 那人工智能会有产生意识
[02479.36-02480.16] 他倒是想
[02480.16-02482.00] 但是我们不认他
[02482.00-02482.40] 对吧
[02482.40-02483.16] 所以在这里
[02483.16-02484.72] 我们在作体当中就
[02484.72-02486.60] 把屋住意识为人所特有
[02486.60-02487.36] 就可以了
[02487.36-02488.48] 那这叫意识
[02488.48-02490.20] 能污汁和意识的变成关系
[02490.20-02492.60] 就是刚才咱们所说的这个一个了
[02492.60-02494.28] 物质觉得意识的答题技巧
[02494.28-02497.32] 刚刚说完意识的能动作用会反作用
[02497.32-02499.16] 这里面注重两点
[02499.16-02501.88] 那最后从方法论当中出发
[02501.88-02504.28] 叫充分发揮人的主观能动性
[02504.28-02506.68] 它一个前提在约规律上
[02506.68-02508.00] 规律两个考虑
[02508.00-02509.40] 一定要给它吃透
[02509.40-02511.00] 同时在规律当中
[02511.00-02513.00] 也包含了一个答题技巧
[02513.00-02515.44] 这个就是我们整个维吾论
[02515.44-02517.64] 同时把维吾论的框架
[02517.64-02519.00] 一定要放在心里
[02519.00-02523.20] 有了这个框架同于们你相信我你坐体的时候问题真的就不大了
[02523.20-02524.88] 你一定要把这个框架去吃透
[02524.88-02529.44] 任何朋友觉得说老师哲学很难啊哲学不是男哲学是因为
[02529.44-02532.72] 第一个你理解了但是你没有回够到做体会技巧上
[02532.72-02538.20] 第二个呢你就是把哲学想得太可怕了哲学他必须有一个非常清晰的邏輯框架
[02538.20-02541.40] 非常清晰的理解以及非常清晰的打提技巧
[02541.40-02542.84] 这三个缺一个都不行
[02542.84-02546.20] 如果缺一个的话就会觉得他利用生活太远了
[02546.20-02548.16] 这个就是美无论
[02548.56-02550.80] 那没有论到这咱们最后的通关
[02550.80-02552.12] 就完全都解释了
[02552.12-02553.76] 希望同学们学都会
[02553.76-02555.24] 会做起予有机巧
[02555.24-02556.16] 那我是杰瑞
[02556.16-02557.56] 咱们下期再见
[02557.56-02558.28] 拜拜
