[00000.00-00005.38] 好的,那我们把前面的大概的核通论原理给大家就说完了
[02330.84-02332.08] 维月金的话
[02332.08-02335.72] 我们说不能维月金它可进行司法调整
[02335.72-02337.88] 但是它的线度如果是高的话
[02337.88-02343.00] 它不能过高超过我们所说的这个实际随时的30%是过高的
[02343.00-02343.90] 而定金
[02343.90-02346.50] 定金不能超过组合能标击5%的20%
[02346.50-02349.32] 而维月金和定金不能同时使用之能
[02349.32-02350.00] 怎一
[02350.00-02351.24] 而这里的定力也好
[02351.24-02351.80] 中止也好
[02351.80-02352.44] 维月责任也好
[02352.44-02354.66] 它属于合同通锁的问题
[02356.50-02357.82] 我就把它花在一块了
[02357.82-02360.46] 它是河通边通走的问题
[02360.46-02363.22] 但是在河通分点第三次面当中
[02363.22-02365.46] 我们还讲到了叫做鲲河头
[02367.58-02368.38] 鲲河头
[02368.62-02369.82] 那鲲河头当中
[02369.82-02370.94] 我们讲了两个
[02370.94-02372.62] 就是刚刚所说的那两个
[02372.62-02373.58] 一个是什么
[02373.58-02375.98] 一个是无因管理
[02375.98-02377.62] 所以大家知道无因管理
[02377.62-02379.34] 它的一个構成调假
[02379.34-02381.66] 还有一个是不到得力
[02384.10-02385.02] 不到得力
[02385.02-02387.30] 不斗得力当中我们讲了两个
[02387.30-02388.50] 一个是要借
[02388.50-02390.34] 一个是不斗得力人的反昬
[02390.34-02392.38] 一无在反昬用这个地方
[02392.38-02393.34] 反昬多少
[02393.34-02395.26] 就要去分他的善意和惹意了
[02395.26-02396.78] 所以在这个地方大家知道
[02396.78-02398.58] 这是我们所说的整个
[02398.58-02399.66] 和同基本原理当中
[02399.66-02400.50] 也大去讲的
[02400.50-02401.90] 所以咱们讲的时间
[02401.90-02403.58] 可能会相对来说长一点
[02403.58-02405.54] 因为要给大家去讲一些案例
[02405.54-02406.98] 然后给大家去进行回顾
[02406.98-02408.26] 但实际上大家去
[02408.26-02409.38] 在书里直直点的时候
[02409.38-02410.66] 一定要回头再书里边
[02410.66-02411.38] 就发现直直点
[02411.38-02412.86] 其实卖落清晰的话
[02412.86-02414.14] 它就不是特别多了
[02414.14-02416.96] 这个就是我们所说的有关于
[02418.24-02419.78] 河通记得原理的内容
[02420.04-02421.82] 有了河通记得原理之后
[02422.08-02423.62] 我们接下来看一下题目
[02424.12-02424.90] 看一下这个题
[02425.14-02426.68] 都是假公司与公司的一言
[02426.94-02427.70] 画画问字
[02427.96-02430.78] 便子有件的形式签订了后悟购销和通
[02431.04-02433.34] 然后他说的这个河通他属于什么形式
[02433.60-02434.62] 说面还是考拨
[02435.90-02437.70] 说面有在题可掉去对吧
[02437.94-02439.22] 所以第一题选择2B
[02439.48-02440.76] 第二题来看一下
[02440.76-02445.04] 说假和亚在一份标地隔为10万元的河通当中约定了定金
[02445.04-02448.96] 一看出现了定金出现了组合同的
[02448.96-02451.76] 我们所说的标这个格度
[02451.76-02453.36] 对吧,那就说想考的是什么
[02453.36-02455.36] 就是定金的数据,不能超过什么
[02455.36-02457.76] 不能超过标地隔的20%
[02457.76-02459.76] 那10万元的20%
[02459.76-02462.08] 均仲是多少钱?是两万对吧
[02462.08-02465.32] 所以他说了此数据,不能超过两万元
[02465.32-02467.80] 所以第二期选择的是随选项
[02467.80-02470.16] 所以这个就是要给大家去讲解的
[02470.16-02474.52] 我们所说的有关于合同基本原理的内容
