[00000.00-00006.92] 好,那说完了前科的这个文实机之后,我们就来进入到科技革命的时期的学习。
[02335.44-02337.20] 他發現了千美素
[02337.20-02338.68] 第二注意下他的時間
[02338.68-02339.88] 1928年
[02339.88-02341.96] 大概也知道他12十幾出去行了
[02341.96-02342.24] 好
[02342.24-02344.68] 這個是我們所說的發明成就
[02344.68-02345.76] 除了發明之外
[02345.76-02347.60] 咱們說了還有很多理論成就
[02347.60-02348.56] 這個理論成就
[02348.56-02349.68] 其實電磁學理論
[02349.68-02350.68] 這兩個人物
[02350.68-02351.84] 大家做區分
[02351.84-02354.72] 第一個是Mexway它預演樂電子波
[02354.72-02357.16] 第二是賀子它發現了電子波
[02357.16-02360.60] 這個點咱們在後面再講到物理學支持的時候
[02360.60-02362.48] 還會給大家再去強調一遍
[02362.48-02364.76] 在這裡大家只需要知道一個就OK了
[02364.76-02368.20] 就是誰預演了 誰發現了就行了
[02368.20-02370.96] 所以這是我們所說的這兩個
[02370.96-02372.56] 一個是預演了之後
[02372.56-02374.84] 有賀子證明了電子波的存在
[02374.84-02378.08] 賀子不僅發現了電子波證明了電子波的存在
[02378.08-02380.20] 它還其實搞出了一個光電效用
[02380.20-02381.84] 但是具体的大家不用管
[02381.84-02383.16] 在现有这个阶段
[02383.16-02386.20] 同时只需要把他们两个分别做了什么事
[02386.20-02387.00] 分清楚行了
[02387.00-02388.84] 他们是如何与言
[02388.84-02389.92] 除了电测过之外
[02389.92-02391.08] 赫资还有什么其他的
[02391.08-02392.88] 咱们再后面会详细的讲道
[02393.88-02396.08] 那这是理论成就当中的第一个
[02396.08-02397.56] 理论成就当中的第二个
[02397.56-02398.76] 也是要我们在物理学
[02398.76-02400.40] 支持当中给大家想去去讲的
[02400.40-02401.84] 一个是PlanCle
[02401.84-02403.20] 一个就是Anset
[02403.20-02404.00] 大家注意一下
[02404.00-02407.84] PlanCle是量子物理学的开创者和电机人
[02407.84-02411.80] 但是大助一下他并不是量子力学的
[02415.16-02418.28] 大助一下他并不是量子力学的创建者
[02418.28-02419.04] 明白了吧
[02419.04-02421.16] 这是他提出了量子物理学的概念
[02421.16-02423.24] 但他不是量子力学的创建人
[02423.24-02426.12] 量子力学是有很多的可以加共同创建的
[02426.12-02427.80] 这个点一定要搞清楚
[02427.80-02429.44] 这他是量子物理的领域
[02429.44-02431.76] 量子物理学或者是量子力学
[02431.76-02433.28] 他就是研究微观世界了
[02433.28-02435.16] 他和女巫顿的红官力学
[02435.16-02438.20] 红官的经典用对力学一点都不一样
[02438.20-02439.52] 这个点大要注意
[02439.52-02442.28] 第二个就是IS他的相对论和智能方程
[02442.28-02443.92] 这个相对论和智能方程
[02443.92-02447.04] 我们会在后面在物理学当中的第六个大的办法
[02447.04-02449.88] 就是现在物理学当中给大家做详细的详细
[02449.88-02452.04] 因为在相对论和智能方程里面
[02452.04-02453.72] 考过很多细之的点
[02453.72-02456.36] 比如说智能方程的方程具体是什么
[02456.36-02457.48] 它代表了什么
[02457.48-02460.00] 相对论当中的广易相对论和智能相对论
[02460.00-02460.60] 它有什么用
[02460.60-02462.80] 其实都是在选项当中出现过的
[02462.80-02463.76] 所以这两个点
[02463.76-02466.28] 我们放在第二张去详细的讲解
[02466.28-02470.24] 在这大家只需要知道人物和成就的对应是什么就行了
[02470.24-02471.80] 这里面有请注意下IS他
[02471.80-02474.60] 对吧 这个人非常地调皮也有很聪明
[02474.60-02477.28] 大家看到照片就是IS4坦贵生日的时候
[02477.28-02479.56] 人非要给他拍照 拍照很煩
[02479.56-02482.08] 对吧 然后就做出了这种搞笑的表情
[02482.08-02485.08] 被捕出下来了 一直流到的现在
[02485.08-02486.76] 这个IS他大家注意下
[02486.76-02488.84] 他的牧制名上也写了这样一句话
[02488.84-02490.28] 同时标助一下
[02490.28-02493.80] 它的控制名上寫了一句什么话呢说在每的前眼
[02499.48-02501.28] 接示了一个展新的时间
[02505.40-02507.32] 接示了一个展新的时间
[02507.32-02510.96] 这个展新的时间呢其实就是它相对论当中所提到的
[02511.88-02514.72] 这个也是出现在它的控制名当中
[02514.72-02516.72] 所以在艾斯岁身上击两个点
[02516.72-02518.72] 接着开了一个展现的是
[02518.72-02521.72] 就是它把所有物理学家的理论都反过来去思考了
[02521.72-02524.72] 这个就是我们所说的理论成就
[02524.72-02526.72] 我们所提到的理论成就
[02526.72-02527.72] 所以大家注意一下
[02527.72-02529.72] 这是我们所说的第二次公平革命
[02529.72-02531.72] 除了这两个之外
[02531.72-02533.72] 我们还提到了生物学的发表
[02533.72-02535.72] 发展一个是巴佛洛夫
[02535.72-02536.72] 巴佛洛夫条件反射
[02536.72-02537.72] 这个点了解一下
[02537.72-02540.72] 知道它是第二次公平革命的内容
[02540.72-02542.72] 就行我们会在生物学当中
[02542.72-02544.72] 再去讲条件反射是什么
[02544.72-02548.22] 最后一个就是倫钱发现了X舍线
[02548.22-02551.22] 所以他拍摄了世界上第一张S员线的招片
[02551.22-02552.72] 其实他亲自来看他
[02552.72-02553.72] 其实把手放在那儿
[02553.72-02554.72] 他就发现
[02554.72-02557.72] 怎么就只剩下的那个看到那个骨头
[02557.72-02558.72] 然后他把手拿走又没了
[02558.72-02559.72] 肉放去又有了
[02559.72-02561.72] 所以偶然间发现了X舍线
[02561.72-02564.72] 所以在这里面只要能够把对应上就可以了
[02564.72-02565.72] 好
[02565.72-02566.72] 这时第二次控制革命
[02566.72-02568.72] 一样的第二次控制革命的时间
[02568.72-02571.52] 是有17年代到20世紀初
[02571.52-02573.20] 他的主要動力為動力
[02573.20-02574.72] 他主要動力為電力
[02574.72-02577.72] 他的科技成就發明以及理論成就
[02577.72-02578.96] 大家一定要注意一下
[02579.84-02581.92] 這是我們所說的第二次過一個命
[02581.92-02584.40] 因為第二次過一個命都主要動力是電
[02584.40-02585.24] 所以在這裡面
[02585.24-02587.92] 我沒把稱為叫做電汽時代
[02587.92-02589.92] 在理論成就當中的最後一個
[02589.92-02590.56] 大家注意一下
[02590.56-02592.28] 電汽時代理論成最後一個
[02592.28-02593.24] 文結裂夫
[02593.24-02594.00] 大家注意一下
[02594.00-02594.80] 壞一下他
[02594.80-02597.36] 文結裂夫發現了元素週期中
[02597.36-02600.56] 一说到元素卓去了今天想到了被换学支配的恐惧
[02600.56-02601.06] 对吧
[02601.06-02602.60] 大家注意这个门结练书
[02602.60-02603.56] 它是有乐思人
[02603.56-02604.86] 你听命是就知道
[02604.86-02608.36] 在前面的主要的成就都来自于德国和美国
[02608.36-02608.86] 好
[02608.86-02613.16] 所以在这里面大家知道这是第二次工业革命
[02613.16-02615.16] 那第二次工业革命结束了之后
[02615.16-02617.16] 又隔了40年在这里
[02617.16-02619.36] 大家注意一下24G40年代
[02619.36-02623.36] 也就是1947年到5级年的时候
[02625.36-02627.26] 1947年到5级年的时候
[02627.26-02629.50] 在这里面就爆发了第二次公平
[02629.50-02630.84] 所以第二次公平有个名的
[02630.84-02635.58] 第三次公平的时间大距下是20世纪45世年代
[02635.58-02638.26] 比如老实现在是处在第三次公平的
[02638.26-02640.66] 第三次公平目前还没有解释
[02640.66-02643.46] 第四次公平的具体到来节点我没没说
[02643.46-02645.02] 我们经常说工业420
[02645.02-02646.82] 但是在用事的角度来看
[02646.82-02649.30] 第四次公平还没有开启
[02649.30-02651.30] 所以在这里面带着要注意一下
[02651.30-02652.90] 这是第1个它的时间
[02652.90-02654.86] 叫20世纪45世年代
[02654.86-02657.90] 这三个的时间开端的节点一定要注意
[02657.90-02659.42] 好吧一定要注意
[02659.42-02660.58] 那这里大家注意一下
[02660.58-02662.68] 那你就想这二十四季对于数十年的
[02662.68-02663.70] 对于了中国是什么
[02663.70-02665.10] 这是世界已经完开始的
[02665.10-02666.42] 第三次是科技革命
[02666.42-02668.78] 中国那个时候才从平苦
[02668.78-02670.42] 从我们所说的水深活着的
[02670.42-02671.46] 经历当中走出来
[02671.46-02674.22] 所以能够看到我们和世界的差距是多少时间
[02674.22-02675.46] 那是几百年的差距
[02675.46-02677.70] 从1840年到我们所说的
[02677.70-02679.50] 二十十季数十年代
[02679.50-02680.94] 这一百多年的时间
[02680.94-02683.30] 世界先后完成了两次工业个名
[02683.30-02684.82] 我们国家才刚刚起步
[02684.82-02687.64] 同时想象的一个苦难深重的国家
[02687.64-02690.96] 在被世界元月甩甩掉了世界
[02690.96-02693.26] 就是被世界甩了一百年的这样的国家
[02693.26-02696.34] 在短短的改革太放的45年的时间里面
[02696.34-02697.62] 追抄
[02697.62-02698.40] 干美
[02698.40-02698.90] 对吧
[02698.90-02701.46] 在这个过程当中我们很多技术遥有的领寻
[02701.46-02704.28] 对于中国来说这是非常的不可思议的一件事情
[02704.28-02706.32] 所以我们应该使客位国家的发展
[02706.32-02707.34] 感到骄傲
[02707.34-02711.44] 使客位前人在科技发展过程当中做出的共享
[02711.44-02713.18] 只感到感激
[02713.18-02714.98] 所以在这里面大家要注意一下
[02714.98-02716.62] 我们说老师我这个时间
[02716.62-02717.54] 如果对了不好的话
[02717.54-02718.44] 就知道这个时候
[02718.44-02721.44] 轻松过才刚刚从苦难深重当中走出
[02721.44-02723.82] 但世界已经开始第三次工与革命
[02723.82-02725.06] 那第三次工与革命
[02725.06-02726.50] 它的产生都标志有说了
[02726.50-02727.82] 每一次工与革命
[02727.82-02729.98] 它都必须办水这一次能源革命
[02729.98-02732.14] 所以第三次工与革命的主要能源
[02732.14-02732.98] 就是合能
[02732.98-02734.64] 就是它所说的原子能
[02734.64-02735.70] 除了合能之外
[02735.70-02737.10] 大家注意考试的时候
[02737.10-02737.74] 一定要注意
[02737.74-02739.30] 它也会考后面这几个
[02739.30-02740.98] 第三次工業革命的標誌
[02740.98-02741.94] 除了和能之外
[02741.94-02743.34] 還有一些新的技術
[02743.34-02745.70] 計算機空間技術已經升工程
[02745.70-02747.86] 這些就是現在目前我們
[02747.86-02749.46] 正在研究的高興技術
[02749.46-02751.14] 也是我們要在第三張
[02751.14-02753.54] 給大家左種去詳細講解的那種
[02753.54-02756.66] 這是我們所說的有關於三次工業革命
[02756.66-02758.50] 這個大家一定要注意一下
[02758.50-02761.30] 就是一定要知道每次革命半歲正能源
[02761.30-02762.58] 第一次爭氣動力
[02762.58-02763.54] 第二次電力
[02763.54-02764.66] 第三次原子
[02764.66-02766.58] 除了原子能之外還有一些其他的
[02766.58-02768.10] 所以這裡面後面這個電
[02768.10-02768.98] 不要呼吸了
[02768.98-02769.70] 就OK了
[02769.70-02771.02] 那这是我们所说的
[02771.02-02772.10] 第三次工业革命
[02772.10-02773.86] 它的一个基本情况
[02773.86-02776.02] 那知道第三次工业革命的基本情况之后
[02776.02-02776.78] 我们就来看一下
[02776.78-02779.02] 它主要是集中在原子能的应用
[02779.02-02780.74] 以及航空航舰技术上
[02780.74-02781.82] 那我们首先来看一下
[02781.82-02783.90] 第一个就是第三次工业革命
[02783.90-02785.78] 它的一个第一个主要成就
[02785.78-02787.34] 就是合反对
[02787.34-02788.82] 合反对大家注意一下
[02788.82-02791.06] 世界上的第一个合反对
[02791.06-02792.10] 就是在这里
[02792.10-02792.78] 它给到的
[02792.78-02794.54] 说在一大历科学家废米
[02794.54-02796.22] 废米这个人很了不起
[02796.62-02798.54] 废米提出了非常有名的
[02798.54-02799.82] 费你被论了
[02800.08-02800.78] 说他说
[02800.84-02804.94] 你说他有一天在和同事吃饭的时候他说说他说你说你和
[02805.46-02810.06] 这个宇宙当中那么多的我们所说的星期和球体他一定会有更新的人说
[02810.06-02811.08] 拜求人都跟哪人了
[02811.08-02812.10] 然后你看他聊
[02812.10-02814.66] 说如果真的外星期存在我们为什么看不见他呢
[02814.66-02819.02] 对吧于是他有提出了我们所说的费米猜想或者费你被论啊这个人也是很有意思
[02819.28-02822.86] 他说在伊拉里克余加费米的领导下设计后见到了坏下
[02823.12-02826.96] 叫低作和反应对低作和反应对在美国的之家哥
[02826.96-02828.56] 所以同们在旁标主一下
[02828.56-02830.04] 它就是我们所说的就
[02830.04-02830.96] 全程圈一
[02830.96-02832.76] 叫芝加哥一号对
[02836.16-02838.16] 叫芝加哥一号对
[02841.16-02842.88] 这是成功运行
[02842.88-02844.96] 那它的运行其实就是意味着什么
[02844.96-02846.24] 它的运行就意味着
[02846.24-02848.80] 原子能时代已经开始了
[02848.80-02849.88] 有些在这种情况
[02849.88-02852.16] 这下合反对正成功反应
[02852.16-02853.72] 就是做这种合列变
[02853.72-02854.12] 对吧
[02854.12-02855.88] 合反对成功反应之后
[02855.88-02862.48] 就意味着,我们可以利用原子,或者是我们所说的中子,
[02862.48-02866.68] 由和打散之后,使放这个能量是可以被人类所利用的。
[02866.68-02870.68] 所以它开起了原子能时代,所以它说原子能时代的,开始。
[02870.68-02874.68] 而且它也是什么?是人类,开起原子能时代的开端了。
[02874.68-02876.28] 这就是我们所说的,它的意,
[02876.28-02881.88] 而在这里面所给到土石,就是我们所说的,之家割一号对。
[02881.88-02884.28] 所以這是第一個我們所說的合反對
[02884.28-02885.94] 而這個合反對大家注意一下
[02885.94-02889.08] 它是美國漫哈頓計劃當中的一環
[02889.08-02890.76] 美國漫哈頓計劃當中一環
[02890.76-02892.68] 一有3年合反對結束
[02892.68-02894.22] 就是試驗成功之後
[02894.22-02894.94] 大家都知道
[02894.94-02896.22] 1945年
[02896.22-02899.96] 是不是美國就成功試報了低科原子彈
[02899.96-02901.18] 所以在這裡看
[02901.18-02903.40] 這就是我們所說的漫哈頓計劃當中
[02903.40-02905.24] 一個我們所說的這幾個
[02905.24-02907.22] 一有3年合反對成功之後
[02907.22-02908.34] 到了1945年
[02908.34-02909.90] 美國在新墨西哥州
[02909.90-02911.90] 就失暴了世界上第一颗原子弹
[02911.90-02913.12] 1915年的时候
[02913.12-02914.02] 大家注意
[02914.02-02916.46] 这个就是我们所说的原子弹的发明
[02916.46-02917.86] 而这个原子弹的发明
[02917.86-02919.86] 在最近上演了一部电影
[02919.86-02921.90] 这部电影不知道现在没有下线
[02921.90-02923.70] 如果它已经下到了远线的话
[02923.70-02925.34] 我还是建议同一们去看一看
[02925.34-02927.82] 这个电影就是这段时间所说的
[02927.82-02929.10] 奥格海莫
[02929.10-02930.22] 奥格海莫
[02930.22-02932.86] 这部电影它是若南所拍的电影
[02932.86-02935.22] 若南它是根据一部转济
[02935.22-02936.82] 就是美国的普洛米修斯
[02936.82-02940.18] 澳门海末的生律悲伤拍的电影
[02940.18-02941.72] 老门海末这个人
[02941.72-02944.38] 他非常了不起
[02944.38-02948.22] 他其实是生在美国的女的舞台人
[02948.22-02950.52] 大家都说说这个人身上霸佛丁满了
[02950.52-02951.92] 他的学习能力很强
[02951.92-02953.72] 他这个人他会六种语言
[02953.72-02954.86] 其中是什么
[02954.86-02956.82] 英语法语德语和拉语
[02956.82-02960.42] 还会繁御印度的那种语言
[02960.42-02961.82] 他会印度的古语言
[02961.82-02962.82] 就是繁御
[02962.82-02964.22] 他这个人虽然很聪明
[02964.22-02964.82] 是个天才
[02964.82-02966.96] 但是他运动天赋一般
[02966.96-02969.66] 他17岁的时候他就考入到了哈佛
[02969.66-02972.46] 我们所说的哈佛大学当中的化学系
[02972.46-02975.90] 但是他运动了一般他身体也不是特别好
[02975.90-02977.74] 所以他考入哈佛大学之后
[02977.74-02980.58] 然后他就放假的时候和他的父母出友儿
[02980.58-02983.38] 最佔之后感染上了长夜眼生病了
[02983.38-02986.90] 修学了一年18岁的时候才进入哈佛读书
[02986.90-02989.78] 但是进入哈佛读书的那一段时间他也是
[02989.78-02991.78] 他就不停在哈佛里面跳起
[02991.78-02995.00] 他三年就完成了他所学专业的所有那种
[02995.00-02996.16] 然后他就设立毕业了
[02996.16-02997.88] 他毕业了之后他就觉得
[02997.88-02999.28] 化学这个东西太简单了
[02999.28-03000.52] 这个不喜欢化学
[03000.52-03002.42] 他喜欢啥他喜欢物理
[03002.42-03004.92] 所以他又进入到了进条大学学物理
[03004.92-03006.80] 那时候就认识了谁认识了
[03006.80-03008.60] 我们所说的这个BOR
[03008.60-03010.04] BOR也是个超级FORD
[03010.04-03012.10] 也是非常有名的物理学家
[03012.10-03016.92] 后来的时候他就又在BOR的这个影龄之下
[03016.92-03019.28] 他就又去到了我们所说的去那个
[03019.28-03021.68] 叫什么什么跟着
[03021.68-03023.16] 我忘了他就去到了
[03023.48-03025.00] 具体大学忘了去到了欧洲
[03025.00-03026.24] 另一个非常有名的大学
[03026.44-03027.84] 去学理论物的学
[03027.96-03029.44] 他在建小大学学的物理学
[03029.44-03030.52] 是实验物理
[03030.52-03032.04] 就是要做各种人的实验
[03032.04-03033.60] 但是奥伯海莫就人了
[03033.60-03034.72] 他不上场做实验
[03034.72-03035.84] 那实验的时候就总打
[03035.84-03037.12] 所以各种各样的气材
[03037.24-03038.64] 然后他应认识不耳了之后
[03038.64-03040.88] 他说其实也可以做实验
[03040.88-03041.68] 就学物理
[03041.68-03043.28] 这里面他就去学了什么
[03043.28-03044.16] 理论物理学
[03044.16-03045.76] 他理论物理学学完从大学
[03045.76-03047.52] 毕业的时候才24岁
[03047.52-03049.24] 就非常非常年轻
[03049.24-03055.04] 而就是在他我们所说的进行从大学理录里学学完了之后
[03055.04-03056.08] 10年之后
[03056.08-03057.92] 也就是在他35岁的时候
[03057.92-03060.92] 1939年的时候第二次是要大战爆发了
[03060.92-03062.84] 第二次是要大战爆发之前
[03062.84-03067.20] 大知道二战是在1939年的9月1号爆发的
[03067.20-03067.64] 对了
[03067.64-03069.84] 1939年9月1号爆发之前
[03069.84-03072.24] 那年奥巴海洛三十五岁
[03072.24-03073.88] 对外已经从就要10年了
[03073.88-03076.08] 但在第二次是要大战爆发之前
[03076.08-03080.52] 就是在1938年的時候世界上發生了一件令人振救的事情
[03080.52-03085.20] 什麼振救事情呢 就是在化學界發現了和裂變現象
[03085.20-03089.00] 於是他找一個中子去打這個由235的這個合爾
[03089.00-03092.84] 結果說發現可以這個中子和這個由235的這個內合
[03092.84-03095.20] 可以被打碎從一個變成多個
[03095.20-03098.44] 就是於是化學家就發現了這種和裂變的現象
[03098.44-03101.64] 而他們也不知道這種裂變現象是怎麼產生的
[03101.64-03102.56] 也不知道是怎麼用
[03102.56-03103.84] 因為他們是化學家嘛
[03103.84-03108.40] 后来物理学家就根据这些化学家研究的现象之后就得出来了一个结论
[03108.40-03109.24] 什么结论呢
[03109.24-03112.60] 就是这个核裂变现象不仅仅仅仅是有现象
[03112.60-03115.56] 它这个过程当中会释放大量的能量
[03115.56-03118.00] 于是就意味着这种核能
[03118.00-03119.92] 它可以释放出极大的能量
[03119.92-03120.80] 然后大家就说
[03120.80-03122.80] 那它其实可以用于做什么
[03122.80-03123.80] 军事武器
[03123.80-03126.92] 就可以用于做我们所说的这种原子弹
[03126.92-03131.88] 所以当时世界翻译当中所有的国家都在去紧急的要去搞什么
[03131.88-03133.16] 原子弹的发明
[03133.16-03134.44] 包括第二次世界大战的
[03134.44-03136.76] 我们所说的首要的挑说人
[03136.76-03138.04] 有时候当时都得过
[03138.04-03140.60] 它就是搞了很多的物理学家说
[03140.60-03142.12] 你们赶紧地去把这个
[03142.12-03144.44] 我们所说的原子弹去给它搞出来
[03144.44-03145.88] 然后后来就是美国
[03145.88-03147.76] 最开始加点研究去搞研子弹的说
[03147.76-03149.04] 安斯弹发现了这个事
[03149.04-03151.08] 安斯弹于是就给美国写现
[03151.08-03154.16] 说德国已经开始研究了
[03154.16-03155.68] 说你们抓紧赶紧搞吧
[03155.68-03157.36] 你们看一看现在应该怎么办
[03157.36-03158.24] 抓紧时间了
[03158.24-03160.24] 不然的话这个战争可能没有办法结束了
[03160.24-03161.60] 如果德国那脆德国
[03161.60-03163.24] 当时掌握了这相机服的话
[03163.24-03165.24] 你就知道这是多可怕的打击
[03165.24-03166.56] 于是1942年的时候
[03166.56-03168.80] 美国就开写了漫哈顿计划
[03168.80-03172.32] 就开了去研究这个我们所说的原子弹的这个问题
[03172.32-03174.80] 而这个漫哈顿计划的主要的组织人
[03174.80-03176.32] 就把这个任务交给了谁呢
[03176.32-03177.92] 就交给了奥文寒末
[03177.92-03179.20] 为什么交给奥文寒末呢
[03179.20-03180.32] 第一个他是一个全彩
[03180.32-03180.80] 对吧
[03180.80-03182.88] 他机会物理又会化学
[03182.88-03185.12] 而且他与研添服特别高
[03185.12-03187.44] 他用这是美国当时开写漫哈顿计划
[03187.44-03190.60] 他要把各国家的顶监的人才都冷过来
[03190.60-03192.14] 这个时候他又会六种语员
[03192.14-03194.84] 而且他可以用自身的语员学习天赋
[03194.84-03197.08] 在半年时间之内吸动一门新的语员
[03197.08-03198.28] 所以他的语言
[03198.54-03201.44] 很多语员而且他的组织溝通能力特别的想
[03201.44-03203.54] 他就好像一个高级相争领人一样
[03203.54-03204.70] 做的非常非常好
[03204.70-03206.74] 然后就把所有的科学家团结在了一块
[03206.74-03209.30] 后来的时候就搞出来了无所说的
[03209.30-03210.30] 原子的试报
[03210.30-03211.78] 当时原子在试报的时候
[03211.78-03214.62] 也就是在我们所说的1945年的时候
[03214.62-03216.40] 原子弹试报成功了
[03216.40-03218.26] 当时的澳门喊默
[03218.26-03220.66] 看着原子在施报成功的现场
[03220.66-03222.50] 他就开始产生了怀疑
[03222.50-03224.06] 于是他就说了一句话
[03224.06-03226.42] 就是在电影当中让我非常正经的一句话
[03226.42-03227.98] 在电影当中是这么说的
[03227.98-03229.10] 他说
[03229.10-03229.86] 他说
[03229.86-03233.62] 我现在成为了死神世界的毁灭者
[03233.62-03235.98] 这句话其实是在印度史诗
[03235.98-03237.62] 国家反歌当中的一句话
[03237.62-03240.02] 当时说的是世界的毁灭者
[03240.02-03241.10] 就是那个师婆
[03241.10-03242.46] 他张开了四之手
[03242.46-03243.86] 所以我现在成为了死神
[03243.86-03245.66] 我要成为了世界的毁灭者
[03245.66-03247.14] 当时要澳门海末
[03247.14-03248.22] 他就是在想
[03248.22-03252.58] 他把原子弹戴两大家研究失暴成功之后
[03252.58-03256.14] 对于我们所说的人类来说到底是一家好事还是一件坏事
[03256.14-03259.30] 原子弹可以阻止战争的这样的一个爆发
[03259.30-03260.82] 对吧的确实是加速了
[03260.82-03263.78] 我们所说的这个二战的进程的结束
[03263.78-03266.98] 但是原子弹他也随时可能毁灭人来
[03266.98-03270.26] 所以当时当偶外还没看到原子弹爆炸之后
[03270.26-03272.98] 整个人就是处在一个非常矛盾的状态
[03272.98-03274.58] 尤其是在后面的时候
[03274.58-03276.10] 当时的陆军
[03276.10-03277.50] 我们所说的中教
[03277.50-03279.28] 他們看到原南是要成功之後
[03279.28-03283.12] 然後最後說要像日本的廣告和長期投放原子彈的時候
[03283.12-03284.12] 他們說是什麼呢
[03284.12-03285.18] 就是一顆原子彈
[03285.18-03287.08] 其實就足以能夠
[03287.08-03288.20] 就是讓日本
[03288.20-03290.56] 我所說的這個投降
[03290.56-03293.62] 但是當時美國沒有投放一顆
[03293.62-03294.78] 他投放了幾顆呢
[03294.78-03295.98] 他投放了兩顆
[03295.98-03298.62] 當時在電影當中說他為什麼要投放兩顆呢
[03298.62-03303.10] 他注意一下在美國像日本零土投放原子彈之前
[03303.10-03304.62] 德國就已經投降了
[03304.62-03306.82] 就因為這個二十年其實馬上就要結束了
[03306.82-03308.82] 但是他依舊會投這個原子蛋
[03308.82-03309.82] 當時的原因
[03309.82-03311.22] 他在這個電源方面就說了
[03311.22-03313.86] 他說我們準備投放兩顆原子蛋
[03313.86-03316.82] 說一顆是用於正式
[03316.82-03319.46] 另外一顆就是告訴日本和全世界
[03319.46-03322.90] 他們可以持續的製造這種恐慌
[03322.90-03323.70] 所以在這個裡面
[03323.70-03325.90] 我們還沒對於我們所說的這個
[03325.90-03329.62] 事情一直處在深深的這種自責和內容當中
[03329.62-03330.82] 一直遇到後面的時候
[03330.82-03333.14] 他六十多歲的時候就已經去世了
[03333.14-03334.70] 所以在我們所說的整個
[03334.70-03337.30] 然后把海洋这电脑把他在走过程当中
[03337.30-03340.08] 他的整体上他的心态活动
[03340.08-03341.10] 或心态活动
[03341.10-03342.50] 就已经展现的连理简直了
[03342.50-03345.06] 所以这个电影拍了还真的是挺不错的
[03345.06-03347.14] 所以建议同一们可以去电视日看一看
[03347.14-03349.70] 包括海洋这个人是一个非常有国举
[03349.70-03351.34] 在我感觉他是有
[03351.34-03353.38] 就是那种
[03353.38-03354.86] 背面心的这样的一个人
[03354.86-03357.18] 就是他的整体的态度特别的开放
[03357.18-03360.54] 因为我把海洋它其实是一个监定的共产主义者
[03360.54-03362.14] 海洋从今说过这样的句话
[03362.14-03365.86] 他说他觉得人不应该因为信仰而成为敌人
[03365.86-03367.38] 所以这就是这样的一个人
[03367.38-03368.26] 大家注意一下
[03368.26-03370.26] 这是我们所说的原子弹
[03370.26-03371.58] 就和他有关的
[03371.58-03373.26] 这是第二个
[03373.26-03375.54] 第三个就是我们所说的
[03375.54-03376.26] 这个原子的
[03376.26-03379.98] 这个和能他除了可以用于我们所说的合列列之外
[03379.98-03381.06] 他还可以干嘛呢
[03381.06-03382.38] 他还可以用于
[03382.38-03383.82] 除了他爆炸之外
[03383.82-03384.98] 还可以借合定战
[03384.98-03386.34] 所以在这里面大住一下
[03386.34-03389.50] 叫世界上第一座合定战是苏联建造的
[03389.50-03390.30] 标注一下
[03390.30-03392.10] 苏联建造的合定战叫做什么呢
[03392.10-03394.98] 叫做奥部寧斯课和电端
[03394.98-03396.26] 谁在旁边
[03397.46-03399.86] 叫做奥部寧斯课
[03403.22-03405.22] 奥部寧斯课和电端
[03405.22-03407.86] 所以在这里面同样给它标助一下
[03407.86-03409.70] 就是世界上第一个和电端
[03409.70-03410.98] 这个和电端的建立
[03410.98-03411.94] 它就标志着
[03411.94-03413.22] 我们所说的这个和能
[03413.22-03414.50] 它不仅可以用于打仗
[03414.50-03417.70] 在这个里面它其实可以被和平的开发利用
[03417.70-03420.82] 所以它说人类和平利用和能的开始
[03420.82-03424.30] 所以在这里面就是合电站的内容
[03424.30-03425.94] 好 这是我们所说的
[03425.94-03426.54] 这个
[03426.54-03427.78] 那造像的就是我们说了
[03427.78-03431.14] 除了河能的原则能的用用之外还有航空航天
[03431.14-03433.42] 航空航天的航空只要去分两个就行了
[03433.42-03436.50] 就是第一次人类首次再人航天室
[03436.50-03438.94] 苏联 就是第一次飞天室苏联
[03438.94-03440.54] 而第一次登上月球
[03441.82-03443.22] 美国暗斯套拉
[03443.22-03444.98] 这个点这两个能够去分就行了
[03444.98-03447.02] 就是暗斯套拉是登月球的
[03447.02-03450.10] 而苏联的加加莲林是登太空的
[03450.10-03451.02] 都是第一次
[03451.02-03454.78] 当时考试的时候就特别容易把他们两个混小
[03454.78-03456.14] 这是我们所说的
[03456.14-03459.14] 有关于第三次科技革命所有的内容
[03459.14-03463.10] 我们就把三次科技革命的内容全部都给大家讲完了
[03463.10-03465.82] 在这里面同学们一定要把这三次科技革命
[03465.82-03468.02] 它的一个大概的时间
[03468.02-03470.46] 还有一个它的动力
[03470.46-03473.30] 它的技术成就以及它的理论成就
[03473.30-03475.46] 格格这个时期对应上
[03475.46-03477.06] 这是我们所说的
[03477.06-03480.96] 第三次科丽革命 暗示整个三次科丽革命的全部内容
