[00000.00-00005.76] 好了,我们终于走到了整个迷法当中的最后一篇就是青权责任
[02289.72-02291.48] 这里面只有这一个点是不一样的
[02291.48-02293.92] 维约责任只是用于有合同关系的时候
[02293.92-02295.92] 所以这个 大家要明确
[02295.92-02296.96] 所以这个点呢
[02296.96-02299.00] 原刑比法条给出来用多
[02299.00-02301.88] 所以我们把他去分析好
[02301.88-02302.60] 就不开了
[02302.60-02303.40] 好
[02303.40-02305.48] 这个就是我们所说的这个叫做
[02305.48-02306.68] 产品侵状
[02306.68-02307.40] 产品侵状
[02307.40-02309.16] 产品侵状说了之后
[02309.16-02311.60] 接下来我们来看一下最后一个
[02311.60-02312.80] 就是我们所说的
[02312.80-02314.80] 思仰动物侵状
[02314.80-02316.04] 这个思仰动物侵状
[02316.04-02317.84] 它其实也是当下
[02317.84-02321.68] 我们在看到的一个热点相关
[02321.68-02323.08] 所以它这点相关
[02323.08-02324.44] 所以在考试当中
[02324.44-02325.60] 同时买要格外注意一下
[02325.60-02330.28] 就是咱们之前看到的那个狗把那个小孩给有伤的这个思想
[02330.28-02336.12] 而这个事情呢 现在目前讨论的争议呢 就是在于对于小狗的这个对待的太多什么
[02336.64-02340.52] 那这个呢 咱们先顾起不讨论啊 咱们就看一下如果从法律层面
[02340.52-02343.28] 而且是从民法层面上 咱们不从形怀来看啊
[02343.48-02346.04] 从现在来看的话呢 它确实是对人造成了什么
[02346.04-02349.16] 对那个小女孩造成的故事生害 企业 它属于什么
[02349.16-02354.04] 它属于东户的管理人 它就有先行作为的
[02354.04-02355.32] 它就有些情绪为
[02355.32-02356.86] 些人行为就导致它有作为一种
[02356.86-02358.34] 如果它没有去及时
[02358.34-02360.14] 这只能够对小孩进行
[02360.14-02360.74] 切害的话
[02360.74-02362.68] 其实在行法上是过程犯罪的
[02362.68-02364.68] 所以我们从行法的层面上看到了
[02364.68-02365.80] 它其实被带走了
[02365.80-02367.14] 但是它从迷法的角度
[02367.14-02369.70] 确实于对人家小孩子过程侵权了
[02369.70-02371.44] 可是小孩了都那么简处
[02371.44-02373.08] 这个时候我们就来看一下
[02373.08-02374.84] 如果从迷法的层面上来看
[02374.84-02375.88] 四样动物
[02375.88-02379.12] 只能損害的时候应该承担什么样的责任
[02379.12-02380.72] 那针对于四样动物
[02380.72-02382.64] 我们所说的这个損害责任的话
[02382.64-02383.92] 它其实是分情况
[02383.92-02385.12] 分成什么情况呢
[02385.12-02387.62] 一般情况 四恶度就分成这样的一个情况
[02387.62-02389.28] 第一种情况就是一般的情况
[02389.28-02390.80] 这个小动物就是咱家一样的
[02391.82-02394.42] 对吧 那这个就叫做一般动物清血
[02394.42-02396.02] 那还有一些小动物是啥呢
[02396.02-02398.52] 还有一些小动物就是它是被移器的
[02398.52-02400.48] 或者这些小动物呢 它跑了
[02400.48-02402.04] 我养了个小搞养的小猫
[02402.04-02403.40] 我没看着它跑了
[02403.40-02406.20] 它在被移积或者是淘移期间
[02406.20-02407.84] 只能損害的 这种总办
[02407.84-02410.04] 那这个时候动物就可能是被移积淘移
[02410.04-02413.24] 那还有一些就是四恶什么 维归四恶动物
[02413.24-02414.28] 违贵四行动物呢
[02414.28-02415.64] 就是违反规定
[02415.64-02416.92] 我不让你养烈性权
[02416.92-02417.68] 你费带养
[02417.68-02418.44] 我不让你养
[02418.44-02419.40] 其他的一些
[02419.40-02420.36] 攻击性比较强动
[02420.36-02421.16] 你费带去养
[02421.16-02422.52] 或者是养了之后呢
[02422.52-02423.24] 我告诉你
[02423.24-02424.52] 你要看完好
[02424.52-02425.96] 你出门烈要三个时
[02425.96-02427.16] 又或者我跟你说了
[02427.16-02428.52] 我说你一定要
[02428.52-02429.96] 给他提过一个什么样的环境
[02429.96-02430.76] 反正就是
[02430.76-02432.20] 给你有一系列的四行规定
[02432.20-02433.56] 但是你违反了规定
[02433.56-02435.16] 那违贵四行动物
[02435.16-02436.36] 造成他是損害的
[02436.36-02438.44] 那这个时候也是四行动物的用情况
[02438.44-02439.64] 还有一种比较强健的
[02439.64-02441.80] 四行情况就是动员里的动物
[02443.24-02445.24] 他就損失了害者,正前往应该怎么办
[02445.24-02447.80] 所以我们只是单纯的看到了
[02448.44-02450.60] 说四洋动物所害者人
[02450.60-02454.72] 但是这个被四洋的动物分成的情况还是特别多的
[02454.72-02457.32] 那这里面我们要给大家讲两种情况
[02457.32-02458.32] 哪两种情况呢?
[02458.32-02460.60] 第一个就是一般情况之下
[02460.60-02463.68] 我们所说的四洋的动物对他人造成侵权的
[02463.68-02464.48] 应该怎么办?
[02464.48-02466.84] 第二种情况就是动物园安
[02466.84-02467.88] 他四洋的动物
[02467.88-02470.24] 如果对他人造成四洋害了,应该怎么办
[02470.24-02474.72] 那我们就先来看一下第一个就是对于一般主体思想的动物真搓害的
[02474.72-02476.44] 在这个里面大家要注意一下
[02476.44-02478.72] 一般情况之下它的责任人是谁
[02478.72-02483.36] 是思想人或者是管理人同时把这个责任主体话出来
[02484.72-02486.00] 思想人或者是管理人
[02486.00-02491.24] 比如说我们看到的热点新闻当中对小女孩造成亲爱的
[02491.24-02498.04] 对小女孩治療肺用以及其他的后续肺炎成男民事责任就是那个狗的主人
[02498.04-02500.88] 因为它是动物的4人或者是管理人
[02500.88-02503.76] 所以第一个责任主体是4人或管理人
[02503.76-02504.70] 要承担
[02504.70-02505.60] 清全责任
[02505.60-02508.16] 第二个大助一下对于动物清全的话
[02508.16-02509.28] 在一般情况下
[02509.28-02510.76] 这个地方是个难点
[02510.76-02513.16] 因为我说了4样的动物分情况
[02513.16-02516.68] 所以规则原则也是分情况的
[02516.68-02518.28] 规则原则也是分情况的
[02518.28-02520.24] 所以在这里面大助一下
[02520.80-02521.76] 所以第一个
[02521.76-02523.68] 它是在这第二个点
[02523.68-02526.20] 它是要无过错责任原则
[02526.20-02527.36] 无过错责任则
[02527.36-02529.92] 也是只要你的隊伍動物
[02529.92-02531.28] 他對人侵犯了
[02531.28-02533.28] 除非你有免責是有
[02533.28-02535.04] 不然你一定要承擔
[02535.04-02535.76] 侵犯責人
[02535.76-02537.52] 就是我不問你是不是故意的
[02537.52-02539.52] 那出去六狗
[02539.52-02540.56] 或者出去六動物
[02540.56-02542.00] 咱誰也不想說
[02542.00-02542.72] 讓這個小狗
[02542.72-02544.64] 或者是小動物去傷害別人對吧
[02544.64-02546.48] 你主觀上只能是大部分人
[02546.48-02547.60] 是沒有什麼惡意的
[02547.60-02549.52] 但是如果你沒有免責的
[02549.52-02550.80] 法定的免責是有的話
[02550.80-02551.60] 不問過錯
[02551.60-02553.60] 你只要造成侵害的話
[02553.60-02555.04] 那這時候就要承擔什麼
[02555.04-02556.40] 就要承擔責任
[02556.40-02558.60] 但是問題就在於重無過錯責任的話
[02558.60-02561.16] 一般情況之下無說的是出面責收之外的
[02561.16-02563.80] 也就是說思想動物是不是動物次眼人
[02563.80-02566.04] 他就百分之百要承擔責任不施的
[02566.04-02568.76] 他這裡面是存在一定的面責是有的
[02571.16-02572.72] 就是在什麼情況之下
[02572.72-02575.48] 動物侵權主人不用承擔責任
[02575.48-02576.68] 在這裡面大家注意一下
[02576.68-02578.80] 第一個就是受害人故意的
[02582.88-02585.16] 那受害人如果是故意的話
[02585.16-02587.90] 那这时候青天责任人可以怎么样在旁边写上
[02587.90-02590.30] 他可以完全面责
[02591.36-02593.30] 动4人他就可以完全面责
[02596.40-02597.96] 那动4人可以完全面责
[02597.96-02598.96] 几个简单历史
[02598.96-02601.56] 比如说养了一个特别大的这样的一个狗狗
[02601.56-02602.96] 然后养了特别大的狗狗那
[02602.96-02604.72] 然后我就带这个狗狗出去6-2
[02604.72-02606.00] 我带狗出去6-2的时候
[02606.00-02608.32] 我完全着要求去做的
[02608.32-02609.84] 我给狗狗带上嘴套
[02609.84-02612.56] 然后给狗狗篡上特别坚持的省字
[02612.56-02615.12] 然后我就要令他勴度去6-3
[02615.16-02618.80] 然后我尽量在六国的时候选择没有人的地方
[02618.80-02621.00] 但这时候突然就一个人跑过来
[02621.00-02622.08] 他看了新闻了
[02622.08-02623.04] 他就想过了俄罗
[02623.04-02624.24] 然后他就突然跑过来
[02624.24-02627.00] 然后在我这个狗国面前就开始干嘛呢
[02627.00-02628.24] 就开始跳舞
[02628.24-02629.80] 然后不仅跳舞
[02629.80-02631.88] 然后还跟这个狗大声说话
[02631.88-02634.12] 然后我家狗的本来就皮肌肉大头人性
[02634.12-02636.04] 然后这个狗就实在没有人住
[02636.04-02638.60] 上去就正脱了我的这个手子
[02638.60-02640.68] 然后就把这个人一项就破到在地
[02640.68-02641.52] 然后破到在地
[02641.52-02642.96] 因为带着水他们有到他
[02642.96-02644.52] 但是由于狗狗特别大
[02644.52-02645.80] 老板这个人一破药
[02645.80-02646.92] 破到在地址和这个人
[02646.92-02647.92] 就不想去摔到了
[02647.92-02648.76] 摔到了之后
[02648.76-02649.72] 腿摔舌了
[02649.72-02651.32] 腿摔舌这种情况之下
[02651.32-02651.88] 只有他说
[02651.88-02652.64] 你看见过
[02652.64-02653.52] 对我当时損害了
[02653.52-02654.52] 女朋友一女朋友一女朋友
[02654.52-02655.56] 这种时候抱紧了
[02655.56-02656.52] 抱紧来了之后
[02656.52-02657.72] 最后像法院起诉
[02657.72-02658.76] 他让我陪他20万
[02658.76-02659.64] 我能问问陪
[02659.64-02660.20] 不能陪
[02660.20-02660.84] 因为是什么
[02660.84-02662.76] 因为是受害人故意而被制的
[02662.76-02663.92] 虽然故意而被制的
[02663.92-02664.52] 那
[02664.68-02665.72] 四样人怎么样
[02665.72-02666.48] 面子
[02666.48-02667.48] 你这种时候你
[02667.48-02668.08] 就出来
[02668.08-02669.24] 你就就要什么
[02669.24-02669.80] 你都没了
[02669.80-02670.48] 都没话来说
[02670.48-02671.64] 你这儿聊闲
[02671.64-02672.12] 对吧
[02672.12-02674.64] 这个时候你被这个小狗狗扑到了
[02674.64-02675.48] 就是活该
[02675.48-02676.64] 所以在这里说
[02676.64-02678.04] 如果是受害人故意而为
[02678.04-02678.44] 这的话
[02678.44-02680.32] 竟然人是完全面责的
[02680.32-02681.20] 大家注意一下
[02681.20-02682.44] 如果这个时候呢
[02682.44-02683.08] 我们要注意
[02683.08-02685.16] 如果受害人存在重大故事呢
[02688.76-02690.48] 受害人存在重大故事
[02690.48-02691.96] 也就是他不是故意的
[02691.96-02692.28] 对吧
[02692.28-02694.76] 他也知道这个狗狗可能给他带来侵害
[02694.76-02696.12] 但是他存在重大故事
[02696.12-02697.68] 他应当于假认语的
[02697.68-02698.52] 那这个时候
[02698.52-02699.08] 我们说了
[02699.08-02702.36] 他需要人他可以減轻责人的
[02705.36-02707.72] 可以減轻轻责人的
[02707.72-02710.08] 如果说这个狗给他捕到了
[02710.08-02711.56] 赵村他这个退
[02711.56-02713.08] 就是谁乱了
[02713.08-02715.56] 他原因是第三人造成的
[02719.24-02720.56] 如果是第三人造成的
[02720.56-02722.36] 这个时候大家注意一下在旁边写上
[02722.36-02723.12] 他属于什么
[02723.12-02725.04] 他属于不真正连带
[02729.08-02733.42] 他属于不真正年代走然出老师
[02733.42-02734.96] 这还能存在这种情况呢
[02734.96-02738.30] 比如说刚才这个人就还是那个案情没有变
[02738.30-02741.38] 就是我们给狗狗穿了衣服穿了嘴套
[02741.38-02743.68] 几个很后的省子我们在无人的地方六
[02743.68-02745.46] 我还一边走一边举着牌子
[02745.46-02747.52] 我说不要过来哦不要过来哦
[02747.52-02749.82] 不要过来哦然后结果确实有一个人过来
[02749.82-02752.12] 这个人过来之后就开始向刚才一样
[02752.12-02754.16] 在狗文面前狂物、狂费
[02754.16-02756.72] 然后跟这个狗自家里嘴和这狗炒价
[02756.72-02758.88] 然后这个狗被激怒了
[02758.88-02760.00] 被激怒了之后
[02760.00-02762.84] 然后他就整脱了我的这个千人
[02762.84-02765.00] 就是我没追入他们的指定被我的
[02765.00-02766.44] 然后没追入他之后
[02766.44-02769.04] 他就要把这个斗他的这个人碰到
[02769.04-02770.72] 结果要碰到这个人的时候
[02770.72-02771.96] 这个人跑得很快
[02771.96-02773.00] 一个闪现
[02773.00-02774.28] 然后就闪到旁边去了
[02774.28-02776.48] 正好这个时候有一个人错过身边路过
[02776.48-02780.32] 不小心就把从我身边路过的这个人碰到了
[02780.32-02781.36] 那就说你看
[02781.36-02784.16] 这个被青权人是不是由于第三人人
[02784.16-02785.32] 在这里面造成的清权
[02785.32-02786.72] 那这个时候就要怎么办
[02786.72-02788.64] 就要啟动我们所说的这个
[02788.64-02791.48] 第三人原因造成清权道要形成什么
[02791.48-02793.36] 不真正连代子人
[02793.36-02795.12] 要形成这个不真正连代子人
[02795.12-02796.72] 所以大家在这里面大家注意一下
[02796.72-02797.92] 这是我们所说的
[02797.92-02799.12] 一般情况之下
[02799.12-02800.28] 动物清权
[02800.28-02801.52] 那长见的就是
[02802.52-02804.92] 我们所说的这种加理养的这个
[02804.92-02806.96] 那有同学就问说老师
[02806.96-02809.40] 那什么叫做不真正连代子人
[02809.40-02811.00] 就是不真正连代子人
[02811.00-02811.80] 就是说
[02812.16-02813.88] 如果说因为第三人的原因
[02813.88-02815.92] 你做成了刚才那个路人损伤的话
[02815.92-02816.96] 那这个路人
[02816.96-02818.36] 他想要请求赔仓的话
[02818.36-02820.24] 他可以赵卢
[02820.24-02821.48] 你就是四样人
[02821.48-02823.52] 这是我本来就应该成单的责任
[02823.52-02825.40] 我因为他说无过错责任演责
[02825.40-02827.36] 那除了赵卢之外他也可以赵卢
[02827.36-02829.32] 他就看到了那个刚才那个人
[02829.32-02830.96] 只在那了解了那个狗
[02830.96-02833.08] 他也可以直接向第三人赔仓
[02833.08-02833.80] 明白了吧
[02833.80-02835.00] 他如果真的找我赔仓
[02835.00-02836.08] 是不是第三个有过错
[02836.08-02839.16] 那我可以向刚才了小狗的那个人怎么样
[02839.16-02839.88] 注意场
[02839.88-02841.48] 所以在这里不真让连赵占
[02841.48-02842.68] 同时在旁边标主一下
[02842.68-02844.96] 他的意思就是可找四样人
[02845.96-02848.40] 这是可找第三人
[02851.08-02853.44] 可找主人 咱们一些主人
[02853.44-02854.72] 好吧 可找主人
[02854.72-02856.44] 如果主人陪了之后可以像是吗
[02856.44-02857.92] 可以像第三人追尝的
[02857.92-02859.84] 就刚才聊显的人可以像他追尝
[02860.28-02862.00] 所以在这里面大家要注意一下
[02862.00-02863.12] 这是我们所说的
[02864.04-02865.08] 一般的动物
[02865.08-02865.88] 一般动物
[02865.88-02867.80] 但还有一个必要常见的是动物圆
[02867.80-02868.68] 四样的动物
[02868.68-02869.88] 动物圆四样的动物
[02869.88-02871.76] 就是如果造成派人死害的话
[02871.76-02872.56] 大家注意一下
[02872.56-02874.56] 英当是由谁来承擔责任呢
[02874.56-02875.16] 同标主一下
[02875.16-02878.36] 应该是由动员来承擔责任的
[02878.36-02880.36] 只过他在这里面他使用的是什么
[02880.36-02882.80] 他使用的是过错推定责任
[02882.80-02885.56] 也就是过错责任原则的一种
[02885.56-02886.88] 就是过错责任原则的一种
[02886.88-02889.16] 所以在这里面大家注意的是过错责任
[02889.16-02889.76] 那是过错责任
[02889.76-02890.96] 就是只有说害任故意
[02890.96-02893.16] 或中大过事的时候才能面则
[02893.16-02894.96] 不然的话就推定是谁有过错
[02894.96-02897.16] 不然就推定是动员有过错
[02897.16-02898.04] 那么大的动员
[02898.04-02899.36] 你咬了很多的动物
[02899.36-02901.36] 你不应该就把龙子加固吗
[02901.36-02902.52] 你不应该就是
[02902.52-02905.80] 在这个里面给大家进到相当的提示意误
[02905.80-02906.04] 对吧
[02906.04-02907.24] 所以在这里面大家注意一下
[02907.24-02908.40] 所有的播出推定
[02908.40-02910.32] 就是如果没有办法正式
[02910.32-02912.64] 受害人士故意或者送大过士的话
[02912.64-02914.88] 这个损害责任就是动员的配上
[02915.56-02916.44] 老大家
[02916.64-02918.00] 有没有建访
[02918.00-02920.24] 我想一下那个那个熊猫叫什么名字
[02920.24-02921.04] 我给忘了
[02921.24-02923.84] 这当时北京那个是叫古古吧
[02924.16-02925.00] 还是叫什么
[02925.00-02927.52] 我忘了就是北京动员有一个熊猫
[02927.52-02928.72] 然后这个熊猫呢
[02928.88-02931.40] 就是大家都觉得这个熊猫就是换代口去嘛
[02931.40-02931.92] 很可爱
[02931.92-02933.08] 但大部分的巡猛呢
[02933.08-02934.76] 它的性行还是比较稳定的
[02934.76-02936.40] 但是那个巡猛应该是叫虎武
[02936.40-02937.48] 但我记不得了
[02937.48-02938.40] 然后那个巡猛呢
[02938.40-02939.84] 它的这种领第一是啊
[02939.84-02940.72] 就特意强
[02940.72-02941.84] 好像说这个巡猛呢
[02941.84-02943.96] 它是最开始从野外救过来
[02943.96-02945.68] 然后后来又到那个北京动员的
[02945.68-02947.28] 所以它的领第一是啊
[02947.28-02948.24] 就特别的强
[02948.24-02949.60] 领第一是特别强之后呢
[02949.60-02950.68] 然后就总有那些人啊
[02950.68-02951.52] 它就怎么办呢
[02951.52-02952.76] 它就不知死活呀
[02952.76-02953.92] 这最开始的时候
[02953.92-02954.64] 哪些现在呢
[02954.64-02955.08] 现在呢
[02955.08-02956.20] 去观看它去猫的时候
[02956.20-02956.64] 要注意啊
[02956.64-02957.76] 巡猛打得可小
[02957.76-02958.80] 你这下来一跳
[02958.80-02960.88] 他就很容易有一些其他那种反应
[02960.88-02962.38] 所以我们尽量的进动员
[02962.38-02963.98] 就不要大什么宣传
[02963.98-02967.44] 但是当时北京动员大型就是那个鼓鼓
[02967.44-02968.68] 他的领域是很强
[02968.68-02971.24] 而且那个时候是最开始早在多少年前
[02971.24-02973.12] 然后就有一个男子
[02973.12-02976.60] 他就是动员关门了
[02977.10-02978.76] 就动员关门了之后
[02978.76-02980.52] 你看这个门路关上
[02980.52-02981.96] 有刻应该是动一流
[02981.96-02983.38] 书塞了就是有刻该走
[02983.38-02984.40] 都已经散差不多了
[02984.40-02985.92] 那个满了他就
[02985.92-02986.56] 他就干嘛呢
[02986.56-02988.40] 这当时有一个有刻就不要有意思
[02988.40-02989.94] 他就躲起来了
[02989.94-02991.88] 他躲起来藏的可言是
[02991.88-02994.06] 当时我们所说的宝案
[02994.06-02996.56] 管理人员和宝案去许员的时候
[02996.56-02998.38] 官员的办法就是都在看大总
[02998.38-02999.68] 就没有找到他在那
[02999.68-03000.38] 然后呢
[03000.38-03001.88] 他当时什么心理了
[03001.88-03003.32] 这个人他当时有些意思
[03003.32-03005.02] 我也没有摩摩摩
[03005.02-03007.12] 我也很好奇迫想知道大群貌是什么手感
[03007.12-03008.00] 而且那么可爱
[03008.00-03010.60] 他就觉得大群貌所有的性情都特别稳定
[03010.60-03011.40] 然后呢
[03011.40-03014.52] 他就藏起来等到那个管理人都走的时候
[03014.52-03017.04] 你不可能说宝案就天天在人自己旋满
[03017.04-03018.20] 然后这个时候呢
[03018.20-03019.74] 他就敲摸摸的
[03019.74-03021.28] 就翻过那个炸了
[03021.28-03023.84] 就进入到了那个大熊猫的那个
[03023.84-03026.14] 就是大熊猫溜的那个地方
[03026.14-03027.94] 那就是大家都知道那个北东
[03027.94-03028.94] 就是北京东圆
[03028.94-03030.34] 他北京东圆
[03030.34-03032.28] 他有一个专门的这个熊猫馆
[03032.28-03034.08] 可便宜了那个熊猫馆的票价
[03034.08-03035.28] 就五块钱还十块钱
[03035.28-03036.12] 忘了
[03036.12-03036.88] 我当然去看的时候
[03036.88-03037.66] 说啊
[03037.66-03039.44] 但是他那个票价是另外的
[03039.44-03041.50] 然后他那个熊猫的场地
[03041.50-03043.92] 虽然没有像四川重庆了那么大
[03043.92-03045.84] 也没有像我们所说的那个新宝
[03045.84-03047.40] 他那个大山里那么大
[03047.40-03048.68] 但是也足夠大了
[03048.68-03049.76] 但是不知道怎麼回事
[03049.76-03051.44] 有客翻進去之後
[03051.96-03053.16] 然後這個群貌
[03053.16-03055.08] 我不是說他領利一聲強
[03055.32-03057.16] 然後他一下子就跑出來了
[03057.16-03058.28] 跑出來之後
[03058.28-03060.84] 就把這個有客就可以咬了
[03060.84-03062.36] 把他的腿給咬穿了
[03062.36-03063.80] 就咬咬過了就一下子
[03063.80-03065.16] 把腿給咬傷了
[03065.16-03066.12] 咬傷了之後
[03066.12-03067.72] 當使這個人打生忽舊
[03067.72-03069.80] 後來就被這個管理人員就聽到了
[03069.80-03071.40] 趕緊過來就把它就休息來了
[03071.40-03072.76] 那這個時候就屬於什麼
[03072.76-03075.08] 屬於動員四樣的動爭損害
[03075.08-03078.16] 那对动物最似损害的话原则上一网谁
[03078.16-03080.52] 应当有动员去承担者人
[03080.52-03082.44] 但是他有没有面则是有呢
[03082.44-03084.28] 大助一下他有面则是有的
[03084.28-03087.12] 这个里面的面则是有比刚才的一般动器
[03087.12-03088.08] 确实少了两个
[03088.08-03089.56] 这里面的面则是有只有什么
[03089.56-03091.28] 只有因受害人故意
[03092.48-03094.28] 只有因受害人故意
[03094.28-03095.56] 或者是什么
[03095.56-03098.40] 或者是重大故事的时候
[03098.40-03101.40] 才有可能面则或者是减清则人
[03101.40-03104.28] 如果不是你看刚才那个有个特术署一下
[03104.28-03105.76] 刚才那有个特术语
[03105.76-03106.44] 故意了
[03106.44-03107.04] 连卖了
[03107.04-03109.12] 那这个时候动员没有办法陪他了
[03109.12-03111.16] 所以在这里还有个属于故意
[03111.16-03113.28] 那如果除了故意和中达过世之外
[03113.28-03115.84] 那如果在我们再去看动物的时候
[03115.84-03117.76] 由于第三人的原因
[03117.76-03119.56] 然后造成了动物对我的侵权
[03119.56-03124.44] 又或者说是由于我自己的一帮过世造成了动物对的确实的话
[03124.44-03126.20] 对动物对我的侵权的话
[03126.20-03128.40] 那这个时候是用过错推定原则
[03128.40-03131.12] 应当是有什么动员承担则任的
[03131.12-03131.80] 明白了吧
[03131.80-03133.92] 所以在这里一般动侵权
[03133.92-03135.88] 和动物圆色样的动物侵权
[03135.88-03140.72] 有一些差别的差别就在一面则使用上和归子和上
[03140.72-03142.92] 一个一般动物是无过错责任
[03142.92-03144.36] 动物圆色样的动物是什么
[03144.36-03145.40] 是过错推定责任
[03145.40-03146.52] 而过错推定和什么
[03146.52-03147.84] 和面责是有有关
[03147.84-03150.12] 所以在这里面大家一定要注意
[03150.12-03152.56] 这是我们所说的动物圆的
[03152.56-03154.80] 这是色样的动物真損害的
[03154.80-03156.36] 所以在整个我们所说的
[03156.36-03157.28] 侵权责任当作
[03157.28-03158.00] 我要给大家说的
[03158.00-03160.04] 其实中中之重会是难点的
[03160.04-03162.28] 这是在一个是色样动物損害
[03162.28-03164.88] 一个是环境污染,一个是产品责任
[03164.88-03167.40] 当然,还有一个就是,包空,抛务
[03167.40-03169.96] 高空抛务呢,太市层与几书人道质
[03169.96-03172.52] 高空抛务呢,在感动上,生活当中不要常见
[03172.52-03174.52] 就比如说我在最开始的手里大说了
[03174.52-03176.04] 那个楼上钓花盘
[03176.04-03178.60] 楼上钓花盘的这个事,原则上
[03178.60-03181.60] 因为是由谁家钓花盘,谁家承担责任
[03181.60-03183.40] 但我一给大说了,如果
[03183.40-03185.16] 他没有办法钓插清楚
[03185.16-03188.04] 或者你没有办法证明钓花盘这件事情和你无关
[03188.04-03190.68] 那就只有公平责任原则,大家都陪
[03190.68-03192.48] 这个就是高空追务
[03192.48-03196.06] 那周年其实就是在于思想动物侵权
[03196.56-03197.60] 产品责任性权
[03197.60-03200.16] 产品责任性权去去分
[03200.16-03202.96] 它到底是针对的是我们所说的这个
[03203.48-03205.80] 消费者还针对第三人呢
[03205.80-03208.60] 对吧这个地方它不一样还有就是环境污染侵权
[03208.60-03210.40] 好 那这个呢就是我们所说的
[03210.40-03211.16] 侵权责任
[03211.16-03213.48] 那到这呢我们就把整个
[03214.48-03215.52] 我们所说的
[03215.52-03217.24] 这个第三人过错的就不说了吧
[03217.24-03217.76] 好吧
[03217.76-03220.12] 因为我在这里面给大家已经说了第三人原因
[03220.12-03221.32] 所以後面那裡就不說了
[03221.32-03222.48] 我會給他放在一塊
[03222.48-03223.36] 那到這呢
[03223.36-03225.52] 我們就把整個敏法給他講完了
[03225.52-03227.16] 有時候同學們非常期待
[03227.16-03228.76] 我們中間的更新
[03228.76-03230.56] 有一段時間會慢一些
[03230.56-03233.20] 主要還是因為要在講界的內容上
[03233.20-03235.20] 給大家做一個相應的調整
[03235.20-03236.16] 所以在這裡面
[03236.16-03237.36] 我們就算是把敏法
[03237.36-03238.48] 全部講完了
[03238.48-03239.52] 敏法講完了
[03239.52-03240.84] 我就要給他在多落
[03240.84-03241.40] 所以一句
[03241.40-03243.68] 就是還是對敏法的學習
[03243.68-03246.16] 我們現階段沒有辦法把整個敏法
[03246.16-03247.92] 全部給大家去講解清楚
[03247.92-03250.00] 因為如果把整個敏法講解清楚的話
[03250.00-03253.52] 他没有我们所说的二三十个小时就是很难的
[03253.52-03255.12] 他是计量压缩的话
[03255.12-03257.12] 他也是实常相当时不要长的
[03257.12-03260.96] 所以出于大家的夫妻的这种性价比的这种时间考量
[03260.96-03264.28] 我没有办法把整个迷发点的那种全部给大家覆盖到
[03264.28-03266.92] 但是计量的已经给大家相对的时候比较全的
[03266.92-03268.36] 把这支点都覆盖到了
[03268.36-03270.44] 同于我们再去学习这一桶内容的时候
[03270.44-03271.36] 那我建议大家
[03271.36-03272.96] 如果你学得比较累了
[03272.96-03274.92] 或者是人你觉得这个知识点比较灭的
[03274.92-03276.76] 你可以试到的赞停一下
[03276.76-03282.90] 然后暂停之后呢,你就可以把我们所说的,你暂停以前的内容自己在本身上换一换
[03283.16-03289.56] 因为我这一次在迷法的设置上的没有给大家,我自己去整理就宽价然后给大家去带着大家去看
[03289.82-03294.94] 我就想看一下或者是我想鼓励一下大家就是自己尽量的去输理一下这个宽价
[03295.20-03299.80] 因为我给大家说了整个迷法,你要学学好他,你就要从这么几个方面下手
[03300.06-03305.70] 第一个迷法不能抽象,一定要按立话,具体话,对吧,你一定要通过按立去实际制裁
[03305.70-03308.92] 第二个就是你必须要一个全面系统的逻辑
[03308.92-03310.48] 因为迷侶法他在学习的时候
[03310.48-03311.96] 他的框架也很重要
[03311.96-03313.82] 框架就是支持的所有
[03313.82-03317.94] 你有了框架才能在体肝当中定位到知识点才能把它剪错出来
[03317.94-03320.04] 所以迷侶的内容像在数比较多
[03320.04-03321.50] 咱们也是讲了
[03321.50-03323.46] 十多个小时的哦
[03323.46-03325.34] 所以回去的时候头去没一定
[03325.34-03327.66] 要把先把体温的内容吃透
[03327.66-03328.70] 然后再去做体
[03328.70-03330.40] 做体你会做错很正常
[03330.40-03332.54] 因为他是一个熟能生小的一个过程
[03332.54-03335.90] 但是同一们一定要理论结合作体
[03335.90-03337.90] 不断的就可以自己去做一个提升
[03337.90-03338.34] 好
[03338.34-03340.10] 这个就是我们所说的这个
[03340.10-03341.06] 迷法的内容
[03341.06-03341.82] 这个时候
[03341.82-03343.26] 迷法到这里就结束了
[03343.26-03344.90] 我们下一个坑牟再见
[03344.90-03345.54] 拜拜
