[00000.00-00002.82] 我们刚刚讲了刑法该数
[02291.14-02293.94] 我们在行法上称为叫做非害行为
[02293.94-02294.98] 所以我们就要判断
[02294.98-02296.54] 什么是非害行为呢
[02296.54-02297.94] 三个特征去判断
[02297.94-02300.38] 有体性有意性有害性
[02300.38-02303.58] 那说老师他没有很明确地想考察这几个特性
[02303.58-02305.06] 那这种情况之下就看
[02305.06-02309.02] 这个行为它是不是遵摄了法律所不允许的危险
[02309.02-02311.02] 如果遵摄了就属于微害行为
[02311.02-02314.02] 如果没遵摄不属于无微害行为
[02314.02-02315.42] 怎么不能够成犯罪
[02315.42-02319.18] 这是我们判断它是否入罪的第一层
[02319.18-02319.98] 没卖了吧
[02319.98-02320.98] 这是第一个点
[02320.98-02321.82] 那犯罪行为
[02321.82-02322.82] 和微害行为我们说了
[02322.82-02324.06] 可以分为作为和不作为
[02324.06-02325.70] 而我们要考察的经常会考察的
[02325.70-02328.58] 就是不作为犯罪理解一下这个模型
[02328.58-02330.66] 它如果问它是否够成不作为的
[02330.66-02331.30] 什么罪
[02331.30-02332.50] 那就看它服务服务和
[02332.50-02334.34] 因为能为不为的这样一个
[02334.34-02335.54] 莫行了要求 好吧
[02336.54-02339.46] 这个就是我们所说的这个危害行为
[02339.46-02340.26] 这是第一个
[02340.26-02340.98] 那么说了
[02340.98-02342.50] 有危害行为还不行
[02342.50-02345.42] 那有危害行为还要造成相的危害结果
[02345.42-02346.70] 可是危害结果是什么呢
[02346.70-02347.70] 他说是指
[02347.70-02349.58] 危害行为对翻最课题
[02349.58-02351.82] 也计刑法所保护的社会关系
[02351.82-02354.02] 造成了实际的損害
[02354.02-02355.54] 或者是现实的危险
[02355.54-02358.42] 这种情况之下才叫做发生了危害结果
[02358.42-02360.18] 也就是我们所说的
[02360.18-02361.98] 这个危害结果一定是对什么
[02361.98-02363.66] 一定是对法意
[02364.34-02368.02] 我先在这吧 就是看一下你的这个行为
[02368.02-02371.66] 甚至对法义造成了实际搓害或者是现实危险
[02371.66-02375.18] 如果你的行为都没有对法义造成实际上的危险
[02375.18-02378.10] 能不能算做犯罪 服服犯罪的过程到家
[02378.10-02379.18] 只能不符合
[02379.18-02380.98] 所以在这个地方大家一定要注意一下
[02380.98-02385.98] 就是你这个行为它一定是要对法义造成实际搓害或者现实危险的
[02385.98-02387.66] 这个就叫做北海结果
[02387.66-02389.94] 而北海结果大家要注意一下
[02389.94-02391.98] 这个行为和结果之间还要有什么
[02391.98-02393.86] 还有有英国关系
[02393.86-02396.14] 这种情况之下才能在我们所说的
[02396.14-02398.78] 客观层面上够乏罪
[02398.78-02399.90] 所以在这个地方
[02399.90-02401.26] 英国关系就是
[02401.26-02402.26] 微还行为雨
[02402.26-02404.14] 微还结果之间的引起和
[02404.14-02405.10] 兵起关系
[02405.10-02408.14] 这个就叫做我们所说的叫做英国关系
[02408.14-02410.86] 所以这个就是基定在客观这个层面上
[02410.86-02414.06] 我们所说的翻罪打个注意
[02414.06-02416.18] 所以在这里面咱们来简单的回顾一下
[02416.18-02417.70] 我们说了在客观层面
[02418.90-02420.06] 在客观层面上
[02420.06-02421.34] 不能叫做客观方便
[02421.34-02422.36] 小说的客观层面
[02422.36-02424.92] 客观层面上我们首先第一个就明确了
[02424.92-02428.04] 法律它所保护的核心就是法意
[02428.04-02430.56] 所以就提到了叫做犯罪客体
[02430.56-02431.84] 所以如果
[02431.84-02433.88] 这个带就知道法意
[02433.88-02436.44] 那说了犯罪犯罪
[02436.44-02437.84] 它是什么
[02437.84-02439.44] 它是亲害法意的行为
[02439.44-02441.04] 所以你一定还有一个亲害行为
[02441.04-02442.24] 我就把这个亲害行为
[02442.24-02446.04] 就规达到了叫做犯罪的客观方面
[02448.04-02450.54] 那这个犯罪的客观方面的首先第一个
[02450.54-02451.98] 要有危害法律的行为
[02451.98-02453.82] 是不是首先带有一个危害行为
[02453.82-02455.22] 这个危害行为
[02455.22-02457.82] 我们就要去判断什么是危害行为
[02457.82-02459.06] 因为无危害行为
[02459.06-02460.38] 就无算罪罪罪罪
[02460.38-02461.54] 就无行为罪
[02461.54-02463.06] 无犯罪这是第1个
[02463.06-02463.58] 第2个
[02463.58-02465.18] 你的危害行为一定要
[02465.18-02467.18] 对法意造成不好的影响
[02467.18-02468.30] 这个就叫做什么
[02468.30-02470.70] 就叫做危害结果
[02470.70-02471.18] 对不对
[02471.18-02471.86] 危害结果
[02471.86-02473.70] 这个结果可能是实际損失
[02473.70-02475.18] 比如说故意伤害罪
[02475.18-02476.30] 那我故意伤害我
[02476.30-02477.62] 真的把人打成中伤了
[02477.62-02479.26] 那这个要重伤的结果
[02479.26-02482.46] 那有一些犯罪如果等他出现实害结果
[02482.46-02483.94] 只等他出现实际损失
[02483.94-02485.26] 说这就已经太晚了
[02485.26-02488.98] 你比如说像我们所说的犯案什么假要罪
[02488.98-02492.10] 对吧 销售销售假要罪
[02492.10-02493.86] 你真的等的这个假要或者是
[02493.86-02495.26] 略要给人吃坏了
[02495.26-02496.90] 你再去计较
[02496.90-02498.46] 他是他要入行
[02498.46-02500.74] 你再去计算这个損害结果
[02500.74-02501.82] 说就有点太晚了
[02501.82-02503.42] 所以这个时候我们就说了
[02503.42-02504.34] 这个危害结果
[02504.34-02505.78] 他可能是实际损失
[02505.78-02507.82] 也可能是一种现实的危险
[02507.82-02509.06] 这个叫危害结果
[02509.06-02511.10] 而行为结果之间必须要有什么关系
[02511.10-02512.90] 必须要有英国关系
[02512.90-02515.18] 这个其实就是我们所说的叫做
[02515.18-02517.18] 在客观层面上的犯罪
[02517.18-02518.66] 因为我们前面讲到了犯罪
[02518.66-02524.10] 它是行事与实质主观与客观的统业
[02524.10-02525.46] 我们现在只是在讲
[02525.46-02528.26] 仅仅是在客观层面上構成的犯罪
[02528.26-02529.66] 这个点单较明确
[02529.66-02531.46] 这是我们所说的叫做客观
[02531.46-02533.54] 但犯罪是主观和客观的统业
[02533.54-02535.54] 有客观还有主观
[02535.54-02537.22] 所以在这里面大家要明确
[02537.22-02540.30] 这个就是犯罪他的客观层面的内容
[02540.30-02543.70] 在这里犯罪客体犯罪的客观方面
[02543.70-02545.42] 犯罪客体是法议
[02545.94-02547.58] 咱们刚才已经给大家说了
[02547.58-02547.98] 对吧
[02547.98-02550.38] 而切害法议必须再有一个
[02550.38-02552.22] 切害法议的行为
[02552.22-02553.30] 这种叫微害行为
[02553.30-02555.86] 大家能判断出来什么是微害行为
[02555.86-02556.10] 对吧
[02556.10-02558.58] 所以叫做有体性有意性有害性
[02558.58-02561.02] 有害性其实就是体现了实质
[02561.02-02563.26] 创设了法律所不引袭的微显
[02563.26-02564.38] 如果是生活行为
[02564.38-02566.18] 比如说追感正常加势
[02566.18-02567.58] 不算做 微还行为
[02567.58-02569.36] 如果是降低微显的行为
[02569.36-02571.10] 也不捐做 微还行为
[02571.10-02573.58] 这个无行为则无反罪
[02573.58-02575.34] 它的分类重点就在于什么
[02575.34-02576.16] 不做微上
[02576.16-02578.88] 不做微 犯因为能为不为
[02578.88-02580.06] 导致经过发生
[02580.06-02581.30] 这种情况之下
[02581.30-02583.02] 它就够吵不做于反罪
[02583.02-02584.10] 所以在这里面
[02584.10-02586.18] 这是客观层面上的反罪
