[00000.00-00005.00] 大家好,欢迎来学习经济学的最后一个板块儿,就是附陆的内容。
[02291.90-02303.66] 就是下期选择的问题,下期选择的问题,选择就会要付出代价,而付出的代价其实就是机会成本,你可以选择再加睡觉,
[02303.66-02309.14] 那你这个时候你就选择再加睡一天,那这个时候你就要放弃其他,你也可以选择听课,
[02309.14-02318.46] 那你就选择听课,你就要放弃这一天,你能做了其他的时所代来的最大价值,选择就要付出代价,这个就是机会成本,所以大家一定要注意一下,
[02318.46-02323.58] 所以经济成本身上三从靠电靠概念靠李箭云帕队
[02324.08-02325.18] 机会成本是多少
[02325.18-02327.10] 第三个就是靠查机会成本
[02327.10-02328.54] 它的一个形成原因
[02328.70-02330.18] 以及对于它的理解
[02330.18-02332.34] 可能会结合一些生活安力来靠查
[02332.54-02333.46] 所以注意一下
[02333.62-02334.86] 这是机会成本
[02334.98-02337.18] 这是这个电 两星级的支电 标注
[02337.46-02338.86] 除了机会成本之外
[02338.86-02341.10] 还有一个叫成本成末成本
[02341.38-02343.10] 成末成末就是成末
[02343.10-02344.50] 成了就意味着打打
[02344.62-02345.50] 说不回来了
[02345.50-02348.90] 所以承莫成本指的是付出且不可回收的承莫
[02348.90-02350.30] 这是东西一段付出了
[02350.30-02350.98] 要回来了
[02350.98-02352.34] 比如说你去电人看电影
[02352.34-02354.02] 你电影看电影有票价180
[02354.02-02355.22] 什么票价这么贵呢
[02355.22-02356.34] 你一进去之后呢
[02356.34-02357.34] 然后就说
[02357.34-02358.82] 它能有超大安娜娜的
[02358.82-02360.06] 也超大的屏幕
[02360.06-02361.38] 还给你提供灵石
[02361.38-02362.66] 你想想180纸了
[02362.66-02364.22] 然后就去买那张电影票
[02364.22-02366.38] 当你做的地方的时候你发现
[02366.38-02367.50] 哪有超大安娜娜摩眼
[02367.50-02368.26] 哪有灵石
[02368.26-02369.90] 哪有MX这样的一个大屏
[02369.90-02370.34] 对吧
[02370.34-02370.78] 那个电影
[02370.78-02372.10] 它的跟狗使样
[02372.10-02372.94] 太难看了
[02372.94-02375.46] 所以在这里面就觉得这一百八花的值不值
[02375.46-02376.86] 不止
[02376.86-02378.28] 一百八十块钱
[02378.28-02379.68] 能不能退退不了
[02379.68-02382.78] 原因就是已经付出不可回收的成本
[02382.78-02383.98] 所以这个就要什么
[02383.98-02385.90] 这个就叫做成末成本
[02385.90-02387.80] 所以在这里面大家一定要注意一下
[02387.80-02391.86] 所以成末成本只得是付出起不可收回的成本
[02391.86-02392.98] 这个叫成末成本
[02392.98-02395.34] 这个点其实考理解行题目的话
[02395.34-02396.78] 也是基于基本概念的考察
[02396.78-02399.10] 所以大家知道成末成本是什么就行了
[02399.10-02401.10] 重点放在机会成本上了
[02401.10-02403.10] 好,这是我们所说的这几个
[02403.10-02405.40] 然后坚军名词后面还给到了
[02405.92-02406.68] 3个啊
[02406.68-02408.48] 第一个呢就是我们所说的外部性
[02408.48-02409.76] 同样把外部性
[02409.76-02412.70] 把逆上选择和到的风险给他们花给一起
[02412.70-02415.14] 他们统称的叫做市场失联
[02418.72-02420.26] 他们统称为叫做市场失联
[02420.26-02422.04] 老是什么叫市场失联呢
[02422.04-02425.38] 市场失联啊就是市场在資源配置要素的过程当中
[02425.38-02427.42] 不能充分的发挥众了
[02427.42-02431.00] 这是不能配置资源或者是资源配置效率地下
[02431.00-02433.08] 因为我们之前在讲到市场经济的时候
[02433.08-02434.88] 我们给大家说了市场经济的一个好处
[02434.88-02436.64] 就是政府不过多的干预它
[02436.64-02437.16] 对吧
[02437.16-02438.72] 政府不过多的干预它
[02438.72-02441.24] 它就可以想怎么去配置
[02441.24-02442.40] 就怎么去配置
[02442.40-02444.12] 这种是我们最理想的状态
[02444.12-02445.48] 但是市场自然配置
[02445.48-02447.12] 它毕竟存在一定的什么
[02447.12-02447.92] 缺陷
[02447.92-02449.08] 所以这种情况之下
[02449.08-02451.40] 市场自发了去配置自然的时候
[02451.40-02454.80] 不一定每时每刻都会出现自然利用的最大化
[02454.80-02457.52] 有市场没有办法使得这些自然
[02457.52-02459.36] 流入到它最该流入的领域
[02459.36-02462.76] 没有办法在最终配置当中发挥用的效用
[02462.76-02465.76] 这种情况之前就叫做市场失灵了
[02465.76-02469.20] 市场失灵的情况包括书上所给到的
[02469.20-02472.88] 这里叫做外部星还有下面所给到的
[02472.88-02475.04] 你把逆向选择和道的风险化一块
[02475.04-02477.76] 他们两个是由于什么是信息部队秤
[02480.64-02482.96] 是信息部队秤所导致的
[02482.96-02485.96] 眼睛就包括湾佈性了
[02486.08-02487.36] 信息部队趁
[02487.46-02490.16] 我们所说的市场tal 有发的原因
[02490.26-02493.86] 包括湾佈性 und富囋
[02493.96-02494.40] 还有
[02494.48-02495.96] 铺果是武端这些
[02496.06-02498.40] 我告诉你是告诉
[02498.50-02500.46] 他非常常毫地理解行了挺没的
[02500.56-02502.28] 其实在外部性和信息部队趁这一块
[02502.66-02503.08] 过久了
[02503.12-02503.44] 插信息筵
[02503.54-02504.92] 一会被我们们承认幡
[02505.00-02506.16] 他们是队国外布性的
[02506.26-02506.52] 她对的是什么弯种
[02506.60-02508.88] 结极冰冰冰月
[02508.98-02510.08] 他对止是啰擾
[02510.20-02510.62] 随 angles
[02510.62-02516.42] 某种经济活动给参与这项活动 画下无关的第三方所带来的影响
[02516.42-02522.22] 首先第一个大家知道外部行外部行是一定要在参与经济活动当中才能产生外部行
[02522.22-02527.62] 而在我们所说的经济学当中我们所说的这种经济活动 王王指的是什么呢
[02527.62-02531.62] 要么是一个生产活动 要么是一个消费活动
[02531.62-02537.42] 所以只有生产活动消费活动这种类似经济活动的这种才有可能产生外部行
[02537.42-02539.72] 如果是你到底想解釋是啥呢?比如说
[02539.72-02541.52] 我举个咱们先把这个概念
[02541.52-02543.96] 说清楚咱们就是拆解啊,首先同学先把
[02543.96-02546.62] 经济活动标注出来是生产和消费
[02546.62-02549.96] 第二个是生产和消费活动给什么呢?无关的第三方
[02549.96-02552.78] 同学第二次在于什么?无关的第三方
[02552.78-02556.24] 就是给交易以外的人带去的影响
[02556.24-02560.20] 这个影响呢?大家注意一下可以是好的,也可以是坏的
[02560.20-02562.76] 如果你别人带去的是好的影响
[02562.76-02565.32] 你这个就叫做下面所说的,正确不行
[02565.32-02567.72] 如果你給別人帶去的影響是壞的影響
[02567.72-02569.66] 那這個就叫做富愛不幸
[02569.66-02572.06] 這個地方在考察的時候考察過什麼呢?
[02572.06-02572.82] 大家注意一下
[02572.82-02575.36] 萬一不幸在考察的時候考察過兩點
[02575.36-02579.00] 第一個考察一個綜合性的實際和理解
[02580.00-02582.46] 他就考的時候考過基本概念
[02582.46-02584.18] 比如說他說一下官員外部的情況
[02584.18-02584.78] 正確的事
[02584.78-02589.52] 說外部的情況是某種經濟活動給他人帶去的影響
[02589.52-02591.94] 大家注意一下這裡的他人其實只得就是什麼?
[02591.94-02593.64] 無關的第三方
[02593.64-02594.80] 那5关的第三方
[02594.80-02596.52] 然后在这里面带着要知道
[02596.52-02597.96] 其实他考过基本概念
[02597.96-02599.48] 不能说是综合吧
[02599.48-02602.48] 我就写的稍微的千戏鞋
[02602.48-02604.24] 就是他在这里面考过基本概念
[02604.24-02606.84] 让我们去把这里面的一些词
[02608.20-02609.52] 去给他拆解出来
[02609.52-02610.88] 所以在外部行当中
[02610.88-02612.12] 一共有三个词
[02612.12-02614.68] 第一个必须是经济活动所带来的影响
[02614.68-02615.88] 第二个带去的影响
[02615.88-02617.64] 必须是给5关的第三方
[02617.84-02620.88] 第三个一定要产生影响的结果
[02620.88-02623.48] 那这个就叫做外部行靠基本概念
[02623.48-02624.76] 那第二个会考察什么呢
[02624.76-02626.16] 第二会考察安力
[02626.16-02628.08] 让我们判断他属于正外无心
[02628.08-02629.28] 还是负外不行啊
[02629.28-02630.84] 他属于生产的正外无心
[02630.84-02632.68] 还是生产的负外无心的
[02632.68-02634.08] 首先咱们来看一下
[02634.08-02636.08] 我们就举个简单的例子来看
[02636.08-02638.32] 比如说我们日常生活当中都有什么呢
[02638.32-02639.60] 都听歌的习惯
[02639.60-02639.96] 对吧
[02639.96-02641.60] 或者是有很多男同学的
[02641.60-02642.96] 他有欺骗的习惯
[02642.96-02645.56] 比如说你看我在听歌的过程当中
[02645.56-02646.44] 我听歌
[02646.44-02648.52] 爱我今天我去快回乐乐买了一个手机
[02648.52-02649.24] 买了手机之后呢
[02649.24-02650.48] 因为我特别喜欢周深的
[02650.48-02652.60] 所以我现在我就打开我的手机
[02652.60-02653.32] 音乐
[02653.32-02656.00] 然后我就开始大声地去放什么的放入梦
[02656.00-02657.32] 去放蓝停续
[02657.32-02659.76] 然后当然这个蓝停是它翻唱的
[02659.76-02662.12] 然后我再去放什么人士
[02662.12-02665.28] 对吧就是那个流浪地球二的那个主席继续就在那放
[02665.28-02666.68] 然后发现我旁边那个人啊
[02666.68-02668.36] 他呢原本心情特别跑
[02668.36-02670.28] 但我放歌的时候他心情一下好了
[02670.28-02671.64] 他就有说有笑了
[02671.64-02672.76] 那同一边来看一下
[02672.76-02674.92] 我每手机放歌的这个行为
[02674.92-02675.72] 他属于什么
[02675.72-02676.76] 他属于监制活动
[02676.76-02677.88] 属于我的消费活动
[02677.88-02680.24] 我的这种消费活动给无关的第三方
[02680.24-02682.24] 就是我旁邊偷聽我哥的這個人
[02682.24-02684.08] 咱們高低也是8%的IP
[02684.08-02684.40] 對吧
[02684.40-02687.88] 那咱們就是往一音樂的中生會員
[02687.88-02688.16] 對吧
[02688.16-02689.40] 所以你還在這個裡面
[02689.40-02692.08] 我放這種會員才能全聽了哥
[02692.08-02693.20] 對它有沒有傳言想
[02693.20-02694.04] 產生一下
[02694.04-02694.64] 那你看
[02694.64-02697.12] 我手機的經濟活動的雙方是誰
[02697.12-02698.60] 是我和電章
[02698.60-02698.96] 對吧
[02698.96-02700.64] 我和電章之前有這個關係
[02700.64-02703.24] 我放往一輪音樂當中的會員樂
[02703.24-02705.00] 那我這個關係
[02705.00-02706.08] 經濟活動的關係是嗎
[02706.08-02708.08] 經濟活動的關係是我父親給網易
[02708.08-02709.44] 然後往一輪放哥
[02709.44-02710.98] 我的对立面是谁
[02710.98-02713.28] 和我有关的教育方式网易 对吧
[02713.28-02715.18] 所以在这里面听我哥的那个人
[02715.18-02717.12] 他就是我经济活动当中的什么
[02717.12-02718.28] 无关的第三方
[02718.28-02720.46] 但是我通过对我放哥
[02720.46-02721.72] 给他带了好的心情
[02721.72-02722.92] 因为给他带了影响
[02722.92-02723.78] 有给他带了影响
[02723.78-02725.06] 那这种影响是好的
[02725.06-02727.10] 我们就定位叫做正无外不行
[02727.10-02728.90] 那如果在这上活动当中说
[02728.90-02731.20] 我说我买了这个会员的这个音乐
[02731.20-02733.26] 然后我放哥让我自己心情好
[02733.26-02734.00] 那你看
[02734.00-02735.96] 我买音乐是消费醒来
[02735.96-02737.34] 让我自己心情好
[02737.34-02738.70] 给我带了一些好的影响
[02738.70-02739.98] 他属不属于外不项
[02739.98-02741.58] 不属于外不外不
[02741.58-02743.94] 一定是对外产生的影响
[02743.94-02746.14] 我对我最产生的影响不能算出外不行
[02746.14-02748.54] 有在这里面我想要扣住这个案例
[02748.54-02749.46] 大家一定要知道
[02749.46-02751.74] 他必须是这三要素起权的
[02754.46-02756.10] 必须是这三要素起权的
[02756.10-02757.82] 如果不是这三要素起权的话
[02757.82-02758.90] 他就不能叫外不行
[02758.90-02761.42] 第一个他必须是经济活动
[02761.42-02762.34] 生两个小的活动
[02762.34-02763.90] 第二个是给无关的第三方
[02763.90-02764.50] 第三个是
[02764.50-02765.58] 带来了影响
[02765.58-02767.38] 那这个就是我们所说的什么
[02767.38-02768.22] 外不幸
[02768.22-02768.94] 大家注意
[02768.94-02770.70] 认说老师这个经济活动怎么判断
[02770.70-02771.58] 其实很好判断
[02771.58-02773.50] 你比如说我们经常会看到
[02773.50-02775.10] 你就知道他在考试当中
[02775.10-02776.62] 他只要不是自然活动
[02776.62-02778.54] 在这里面他都属于经济活动
[02778.54-02779.42] 你就这么去判断
[02779.42-02780.62] 只要不是自然活动
[02780.62-02781.58] 就叫经济活动
[02781.58-02782.94] 比如说你看他考卫干案例
[02782.94-02784.30] 他考的这件案例是什么呢
[02784.30-02785.66] 考这案例就是有一个人
[02785.66-02787.42] 他开车的时候打手机
[02787.42-02788.86] 然后他没有注意到路
[02788.86-02790.46] 然后不小心给路人垂蹭了
[02790.46-02792.38] 然后开车的时候打手机
[02792.38-02793.66] 最后垂蹭了路人
[02793.66-02797.58] 然后问他属于哪一种外部影响
[02797.58-02798.86] 他当时就考的是这个
[02798.86-02801.42] 你说老师他开车打手机
[02801.42-02802.94] 他怎么能算出外比影响呢
[02802.94-02803.98] 我们刚才说了
[02803.98-02805.26] 他必须是经济活动
[02805.26-02806.78] 而和经济活动对立的是什么
[02806.78-02807.82] 是自然活动
[02807.82-02809.98] 但是如果在那个提干当中
[02809.98-02811.82] 没有说是自然活动的话
[02811.82-02814.54] 那我们都把他规违经济活动
[02814.54-02815.58] 而经济活动当中
[02815.58-02816.38] 我们刚才说了
[02816.38-02818.78] 你看你开车打手机
[02818.78-02820.38] 他只能不是生产活动吗
[02820.38-02821.90] 那如果不是生产活动
[02821.90-02823.42] 就全部规娜到什么
[02823.42-02825.42] 全部规娜到消费活动当中
[02825.42-02826.54] 所以你看刚才那个人
[02826.54-02829.94] 他开车打手机造成路人的管策
[02829.94-02831.30] 那首先不是自然活动
[02831.30-02832.54] 阿曼的就是经济活动
[02832.54-02833.58] 他不是生感性的
[02833.58-02834.94] 那就换进他是消费性的
[02834.94-02836.34] 他这个消费性的
[02836.34-02837.58] 比如说他打手机
[02837.58-02838.54] 他那个手机
[02838.54-02840.90] 去适合他对立面的有关的那个人
[02840.90-02841.42] 对吧
[02841.42-02844.62] 或者是他这个手机的买卖式合手机场
[02844.62-02845.78] 他们是双方
[02845.78-02847.26] 而路人是无关的什么
[02847.26-02848.74] 路人是无关的第三方
[02848.74-02850.06] 所以你看他的这个行为
[02850.06-02851.42] 给无关的第三方的路人
[02851.42-02852.26] 代了的不好的影响
[02852.26-02853.10] 给人管冲倒了
[02853.10-02853.90] 人人受伤了
[02853.90-02854.82] 他特别疲儿
[02854.82-02855.22] 对吧
[02855.22-02857.78] 那个博德哥卡马路牙子上卡通路皮了
[02857.78-02859.32] 那你看在这个里面
[02859.32-02860.48] 它其实强调就是嘛
[02860.48-02861.88] 给无关的第三方带来了
[02861.88-02862.90] 不好的影响
[02862.90-02864.76] 带来不好的影响就叫做什么
[02864.76-02865.72] 富外不信
[02865.72-02867.64] 只会这个富外不信和什么有关
[02867.64-02868.92] 和消费行为有关
[02868.92-02870.32] 所以就叫做消费的
[02870.32-02871.22] 富外不信
[02871.22-02873.42] 所以在这里面我们就能判断出来说
[02873.42-02874.78] 这就是经济活动
[02874.78-02876.62] 那他如果考自然活动他怎么考
[02876.62-02879.32] 他在经济活动当中考察自然活动的话
[02879.32-02880.32] 他会这么考
[02880.82-02881.54] 比如说
[02881.54-02883.38] 某某地下大宝宇
[02883.38-02885.68] 蒙古地下大高雨由雨
[02885.68-02887.02] 这个暴雨下得特别的大
[02887.02-02889.02] 所以导致濼连的这个粮食
[02889.02-02890.42] 就是那个我们所说的
[02890.42-02892.34] 地灵的光米都不做什么的
[02892.34-02894.78] 然后都被红水充毁了装甲
[02894.78-02897.72] 说那你看红水充毁了濼连的装甲
[02897.72-02900.02] 红水它属不属于经济活动
[02900.02-02901.12] 它不属于经济活动
[02901.12-02903.34] 那怕濼连是和红水无关的第三方
[02903.34-02904.74] 也给它带去了坏的影响
[02904.74-02906.10] 但它也不属于什么
[02906.10-02907.90] 但它也不属于经济活动
[02907.90-02909.50] 所以它能不能称为外的行
[02909.50-02910.26] 不能
[02910.26-02912.90] 所以同样注意它如果考得比较大的话
[02912.90-02914.50] 他就问是不是属于外部性
[02914.50-02916.74] 就看他是不是属于这第三方
[02916.74-02918.46] 但如果他考得比较细的话
[02918.46-02920.34] 这个外部性还能在进一步分类
[02920.34-02924.34] 用了外部性分成生产活动和消费活动嘛
[02924.34-02927.54] 生产活动可以产生重外部性
[02927.54-02929.54] 消费活动也可以产生重外部性
[02929.54-02931.70] 所以就分为生产的重外部性
[02936.26-02938.74] 和生产的副外部性
[02942.90-02945.52] 那消費行為產生的結會一樣呢
[02945.52-02947.42] 叫做消費的政外不行
[02947.42-02948.38] 我就不顯了啊
[02948.38-02951.74] 以及我們所說的什麼消費的腹外不行
[02951.74-02954.90] 也就是你的消費行為給別人帶去了不好的影響
[02954.90-02957.14] 你的消費行為給別人帶去了好的影響
[02957.14-02960.34] 你的生產行為給別人帶去了好的影響
[02960.34-02962.46] 你的生產行為給別人帶去了不好的影響
[02962.46-02963.66] 也就是這幾個概念
[02963.66-02965.76] 你就看是什麼行為帶過去的
[02965.76-02967.02] 產生的結果是什麼
[02967.02-02969.10] 就是恰住一頭和一位就行了
[02969.10-02970.94] 比如說生產行為的政外不行
[02970.94-02971.86] 那很多呀
[02971.86-02976.20] 因为你的企业要进行相当的我们所说的产品运说
[02976.20-02978.40] 然后你们工厂门前的那条路
[02978.40-02979.84] 不太好走 坑坑挙挙的
[02979.84-02982.36] 然后你们生产这个东西不能受顶播
[02982.36-02986.70] 于是你们自逃要外边你们工厂门前的马路给它修善好了
[02986.70-02989.26] 你看这是你出于自己生产的这个需要办
[02989.26-02992.34] 但是你修马路的行为造为造福 它人造福了
[02992.34-02995.30] 那你生产行为带来的影响就叫做什么
[02995.30-02996.82] 就叫做生产的政卫不行
[02996.82-02998.50] 明白了吧 那生产的富卫不行什么
[02998.50-02999.86] 你是一个造质场
[02999.86-03002.68] 你做一个造职场你在上有框框排舞水
[03002.68-03004.90] 下有了居民生活可遭了样了
[03004.90-03008.70] 你看你的生展性会给无关第三方的居民带去了不好的影响
[03008.70-03010.98] 至少什么 修生产的副外不行
[03010.98-03013.94] 所以你只要在这里能够具体再去判论
[03013.94-03016.98] 它属于生产性会很消费性命就能够判论出来
[03016.98-03019.86] 它在考试的时候考了可大可小
[03019.86-03020.98] 大家一定要注意
[03020.98-03022.26] 这是我们所说的
[03022.26-03025.78] 这个它的一个考察的方式
[03025.78-03027.14] 那这里大家注意一下
[03027.14-03028.34] 正在不幸和父外不幸
[03028.34-03029.66] 他有其他的名字
[03029.66-03031.90] 就是正在不幸也叫做外部經濟
[03032.94-03034.62] 但這個名字了解一下就行了
[03034.62-03035.90] 就是你不陌生就OK
[03035.90-03036.82] 不需要特殊被
[03036.82-03038.34] 而父外的先叫做什麼
[03038.34-03039.86] 做做外部不經濟
[03042.86-03044.30] 叫做外部不經濟
[03044.30-03046.34] 那這個就是我們所說的關於
[03046.34-03048.30] 外部性全部考察方式
[03048.30-03049.34] 好 那在這呢
[03049.34-03050.06] 我們要注意
[03050.06-03050.82] 那我們剛才說了
[03050.82-03052.94] 說外部性它容易導致的結果就要什麼
[03052.94-03054.38] 就要做市場失靈嘛
[03054.38-03055.98] 就市場不能自發的去
[03055.98-03056.94] 配置資源了
[03056.94-03059.54] 市场就是没有实现等加交换
[03059.54-03062.02] 这就我们所说的外部行
[03062.02-03063.86] 外部行应该产生了怎么办
[03063.86-03065.70] 市场10了
[03065.70-03068.90] 那就要由国家去进行宏观条控就可以了
[03068.90-03069.74] 所以在这里面
[03069.74-03070.70] 大家要注意一下
[03070.70-03073.06] 这是我们所说的叫做外部行
[03073.06-03074.10] 叫做外部行
[03074.10-03074.70] 好
[03074.70-03077.66] 到这我们就把第一个市场10个给大家说完了
[03077.66-03079.50] 第二是市场10个就在这里面
[03079.50-03081.66] 叫做由于细形不对称做导致的
[03081.66-03083.30] 些不对称做导致的第一个
[03083.30-03085.22] 就是可能会出现逆向选择
[03085.22-03087.70] 你想選擇考慮鏈題目考得比較多
[03087.70-03090.02] 你你想選擇他說的是啥呢?
[03090.02-03092.78] 說在雙方買賣信息不對稱的情況之下
[03092.78-03096.30] 差了商品總是將好的商品驅逐出市場把這句話出來
[03096.30-03098.70] 你想選擇代表就是UTAI列車
[03098.70-03104.22] 這讓情況之下市場它的運行叫UTAI而逆向選擇正好反過來
[03104.22-03106.22] 原因就是因為信息不對稱
[03106.22-03107.62] 你在驅逐選擇的時候
[03107.62-03109.42] 你沒有辦法做出最優判斷
[03109.42-03112.86] 所以在這種情況之下好的東西往往會被驅逐出市場
[03112.86-03114.86] 最常见的就是二手车市场
[03116.14-03117.14] 二手车
[03117.14-03118.78] 其实比较常见的是二手市场了
[03118.78-03120.90] 比如说你现在去一家二手车车店
[03120.90-03123.42] 车车店你现在想去二手车的买
[03123.42-03125.58] 车店里去买一两二手车
[03125.58-03127.50] 你对于二手车
[03127.50-03128.78] 你心里只有一个
[03128.78-03129.78] 你的一项价位
[03129.78-03131.78] 你就比如说我现在你说我想买二手车
[03131.78-03133.14] 然后他们你一项买多少钱呢
[03133.14-03135.42] 我说就买二十三十万的二手车就行了
[03135.42-03137.50] 当然我们这边有机款推荐给你
[03137.50-03139.06] 你看你心里只有一个价位
[03139.06-03140.42] 你了解车型吗
[03140.42-03141.58] 了解车晃吗
[03141.58-03146.14] 了解车的性能吗 了解车的理程书吗 了解车有没有照过事吗
[03146.14-03147.26] 你都不了解
[03147.26-03150.58] 这种情况之下谁对于这些车的信息掌握的很全呢
[03150.58-03152.94] 就是我们所说的给你推荐车的经理
[03152.94-03155.38] 那这种情况之下他跟你说的真话还是讲话
[03155.38-03158.30] 你不一定能够判断的清楚吧
[03158.30-03160.46] 那对于二手电的经理 他想做的是什么
[03160.46-03162.54] 他想做的就是把他跌里的车都卖出去
[03162.54-03165.54] 那他想的就是好的车卖出去当然好卖
[03165.54-03167.90] 但是呢 坏的车是我不太好卖
[03167.90-03170.06] 那他在硬介绍的时候 他就会有所保留
[03170.06-03172.80] 那這種情況之下在這種信息不對撤的情況之下
[03172.80-03176.70] 你原本23萬能買一台相當不錯的這樣一個
[03176.70-03179.10] 二手車你說老師誰有錢買二手車呢 對吧
[03179.10-03180.14] 你我就想買
[03180.14-03181.18] 你別管我
[03181.18-03182.40] 那你看我在這裡
[03182.40-03185.68] 我23萬本來是可以買一個很不錯的這個二手車的
[03185.68-03187.18] 但是由於信息不對撤
[03187.18-03189.58] 他可能把他的壞車推薦給我了
[03189.58-03190.70] 但是我不知道
[03190.70-03193.18] 於是我就把壞車買了開走了
[03193.18-03194.70] 那你看我把壞車開走了
[03194.70-03196.22] 但把好的車留在了什麼
[03196.22-03197.30] 市場當中去
[03197.30-03198.30] 所以在這裡面
[03198.30-03200.00] 你还逆相选择就是有一信息不对
[03200.00-03201.88] 正在二手射到最为长线
[03201.88-03203.06] 它可能会造成
[03203.06-03204.78] U-Ty 列胜 对吧
[03204.78-03206.64] 把坏的相述到市场了
[03206.64-03207.80] 但是好的怎么样
[03207.80-03208.74] 好的留下了
[03208.74-03210.44] 所以在这里你只要看到
[03210.44-03213.40] U-Ty 列胜或者它还有另外一种
[03213.40-03215.64] 具体表现就要列幣去出两遍
[03220.04-03221.30] 列幣去出两遍
[03221.30-03222.72] 这种现象都是什么
[03222.72-03224.88] 都是逆相选择
[03224.88-03226.72] 都是逆相选择的结果
[03226.72-03227.88] 所以大家一定要注意
[03227.88-03229.60] 那他考虑一些形的題目呢
[03229.60-03232.48] 他不單跟指線遙守車施常的考察
[03232.48-03234.68] 他會考察生活當中的現象
[03234.68-03235.68] 是我當中的現象
[03235.68-03236.84] 他往往考的時候啥呢
[03236.84-03238.32] 說等工作車車車車
[03238.32-03239.72] 說等工作車車車車車
[03239.72-03241.76] 說當大家都排隊的時候呢
[03241.76-03243.48] 原方形秩序是競難的
[03243.48-03244.52] 突然之間
[03244.52-03247.08] 如果在排隊當中出現了一個人
[03247.08-03249.12] 不尊手排隊的這樣的一個情況
[03249.12-03251.36] 可能大部分的隊伍都會怎麼樣
[03251.36-03252.64] 進入到混亂狀態裡面
[03252.64-03253.32] 你看
[03253.32-03255.32] 一個人不排隊就會有越來越多的人
[03255.32-03258.14] 效果它最后整个对伍就进入到了无需的状态
[03258.14-03259.80] 这种情况之下就属于什么
[03259.80-03261.60] 就属于优态列盛
[03261.60-03263.84] 就属于列笔去出两笔的情况
[03263.84-03265.04] 所以在这里大家评讯一下
[03265.04-03267.28] 虽然它是兼计学鞋想考设的时候
[03267.28-03269.00] 它设兼计学暗论很常见
[03269.00-03270.80] 但如果它不是兼计学暗计
[03270.80-03272.24] 它就就自然来考察
[03272.24-03272.96] 也要知道
[03272.96-03274.52] 只要是列笔去出两笔
[03274.52-03275.92] 只要是不好的赢了
[03275.92-03277.24] 它都是于逆相选择
[03277.24-03277.88] 明白了吧
[03277.88-03279.04] 所以在这里考设的时候
[03279.04-03280.24] 可不能只线于说
[03280.24-03281.84] 老师他就在兼议当中有用
[03281.84-03283.24] 他在生活当中也有用
[03285.32-03287.88] 所以掌握什么叫逆香炫子的
[03287.88-03288.64] 啊 直递个
[03288.64-03290.44] 那第二个呢 吃到的风险了
[03290.44-03292.76] 到的风险呢 也是有一信息不对劝所导致的
[03292.76-03294.80] 说是在最大线度的
[03294.80-03296.96] 增进自身效能同时做出
[03296.96-03298.44] 不利于他人的行动
[03298.44-03300.68] 最为典型的在旁边形上两个字就行了
[03300.68-03301.64] 就是保险行业
[03302.84-03304.80] 再去买车闲的时候也是样的
[03304.80-03306.64] 人生保险的时候也是样的 对吧
[03306.64-03308.88] 这种情况之下有一些头网人呢
[03308.88-03311.44] 他其实就会出于对自身力的这种考量
[03311.44-03313.44] 他就会觉得比如说给车伤的保险
[03313.44-03314.60] 也车上了保险之后
[03314.60-03316.40] 他出门来开吃还会小心一吗
[03316.40-03317.76] 他只能不会小心一了
[03317.76-03319.64] 他出门来开车的时候就想那想了
[03319.64-03322.20] 有保险公司我就只要不知道是特别严重
[03322.20-03324.20] 那都有保险公司来买的
[03324.20-03325.40] 所以你看他这种主义
[03325.40-03328.56] 增进自身效能同时做出不利于他人的行动
[03328.56-03329.64] 那这有就叫个什么
[03329.64-03331.20] 就叫做到这个风险
[03331.20-03332.08] 然后就要到的风险
[03332.08-03334.76] 所以到的风险考几分概念考得比较多
[03334.76-03337.76] 而立下选择考理一些题目考的是很多的
[03337.76-03338.28] 好
[03338.28-03340.52] 这个就是我们所说的精学名字语
[03340.52-03341.36] 兼续效应
[03341.36-03343.86] 与举说他是属于一个副录的内容
[03343.86-03347.64] 到不如说他其实是咱们前面之前内容的一个延伸
[03347.64-03348.92] 编辑效应的一眼维率
[03348.92-03352.44] 他其实是应该放在消费者形狠论当中讲的
[03352.44-03354.60] 他其实是原本是西方进行学当中
[03354.60-03358.28] 微观进学里面的内容是消费者形狠论
[03358.28-03360.76] 因为我们在消费者一方面讲消费的需求
[03360.76-03362.28] 那他需求都一满足的时候
[03362.28-03363.56] 就要看一下他的买一程度
[03363.56-03365.24] 其实就摄一道了效应
[03365.24-03367.56] 而在成本的那种是在供级里面
[03367.56-03368.52] 应该去摄级的
[03368.52-03369.72] 这两个概念
[03369.72-03372.24] 其实都应该出现在微关键学
[03372.24-03375.40] 而外部性它是在市场里面后面去讲的
[03375.40-03378.56] 市场里面我们说了市场在最安配上起到决定性作用
[03378.56-03382.84] 市场并不是美食美科美分都能发挥完全的作用
[03382.84-03384.96] 这个时候就可能会产生市场失灵
[03384.96-03387.64] 有些有了外部性和信息不对称
[03387.64-03389.64] 这两个点大家一定要注意
[03389.64-03392.28] 它其实是一个非常重要的一个支持点
[03392.28-03396.08] 所以外部性和印象选择两星期的支持点
[03396.60-03397.60] 好 那到这呢
[03397.60-03399.60] 就把副路全部给大家讲清楚了
[03399.60-03403.28] 同时没因为把副路的重点是放在经济学名词上
[03403.28-03406.04] 具体两星期的考点也同时收理清楚了
