[00000.00-00002.82] 咱们就正式进入了我们第三节内容的学习
[02273.44-02275.28] 他写谁再跟他说话呢
[02275.28-02276.92] 他就到出去听这个声音
[02276.92-02277.72] 说谁呀
[02277.72-02279.36] 他說是誰在跟我說話
[02279.36-02280.80] 這個人就又說了說拿吧
[02280.80-02281.92] 說你再不拿的話
[02281.92-02282.68] 你就沒命地拿了
[02282.68-02284.20] 反正你活不了幾條了
[02284.20-02285.64] 然後留幫就後期
[02285.64-02286.68] 說誰在跟他說話
[02286.68-02288.20] 結果他在找一找的方式
[02288.20-02289.52] 休合這個拿說話
[02289.52-02291.00] 他說你沒啥跟我這麼說
[02291.00-02292.76] 他說你看你現在拿這個東西
[02292.76-02294.28] 相於只能不會放過你的
[02294.28-02294.60] 對吧
[02294.60-02296.24] 因為相於也想做觀眾王
[02296.24-02298.00] 然後你也在這個地方
[02298.00-02299.48] 到處去拿這麼個東西
[02299.48-02300.72] 你覺得他會放過你嗎
[02300.72-02301.60] 你等他來吧
[02301.60-02302.80] 那他來之後你就知道
[02302.80-02303.76] 沒兩天活透了
[02303.76-02304.84] 說你現在趕緊的
[02304.84-02305.12] 對吧
[02305.12-02306.44] 能拿的就多拿一拿
[02306.44-02308.68] 到时候你拿不走的话我没有办法
[02309.40-02311.36] 后来流帮听到这个话的话
[02311.60-02313.16] 以下就冷静下来了
[02313.16-02314.32] 然后他就跟萧毁说
[02314.32-02316.40] 他说咱们说你帮帮我帮
[02316.40-02317.92] 对吧 我也不是这个意思对吧
[02317.92-02318.80] 我就是没见过
[02318.80-02320.76] 我就后期我就多拿了两下
[02320.76-02322.96] 所以能不能帮帮我说咱们接下应该怎么办
[02322.96-02324.36] 他说你想活命
[02324.36-02325.56] 你就要听我的
[02325.56-02328.20] 后来就把东西归原类
[02328.20-02329.76] 归原原类之后怎么样呢
[02329.76-02331.52] 从工店当中退出来
[02331.52-02333.12] 然后就有了红文院当中
[02333.12-02334.96] 叫配宫军霸上
[02334.96-02336.92] 从先生刚说退出来了
[02336.92-02339.70] 而且在我们所说的当地干嘛呢
[02339.70-02340.60] 约法三章
[02340.60-02342.16] 所以就有了我们所说的
[02342.80-02344.36] 有关于相应的历史点贡
[02344.36-02346.84] 首先在这里第一个约法三章
[02346.84-02348.56] 第二三章就是我们所说的
[02348.56-02350.28] 在整个行人成内
[02350.28-02351.92] 这些杀人折死了
[02351.92-02355.44] 然后商人和道歉要抵罪
[02355.44-02357.36] 就是你不能干对不起老百姓的事
[02357.36-02359.28] 这个叫约法三章
[02359.28-02360.00] 约法三章
[02360.00-02362.04] 后来呢我们所说的这个相与来了
[02362.04-02363.44] 就摆了我们所说的什么
[02363.44-02364.08] 红门验
[02364.08-02367.56] 来了红面验之后就有了大家所熟悉的叫向装武件
[02367.56-02369.20] 一在配宫
[02369.20-02373.00] 当时就是一直在想杀了我们所说的这个刘帮
[02373.00-02375.00] 但总有人一直在替他党
[02375.00-02377.20] 所以叫向装武件一在配宫
[02377.20-02379.44] 然后后来到了后面的时候大家都知道
[02379.44-02381.20] 我们所说的刘帮说
[02381.20-02382.16] 还不想了合不动了
[02382.16-02383.16] 对吧 要去上词所
[02383.16-02384.88] 然后上词所就跑了
[02384.88-02386.44] 当时人家跟他说的是
[02386.44-02388.72] 说人为刀主我为娱肉
[02388.72-02389.56] 就有情况下
[02389.56-02390.84] 你说你赶紧能走就走
[02390.84-02392.12] 就要合此为呀
[02392.12-02394.12] 对吧 不去洗澡节嘛 承达市场
[02394.12-02397.12] 所以就有了我们所说的叫人民刀主委与肉
[02397.12-02399.62] 就是在这个红的院当中 相得点顾
[02399.62-02404.12] 而这点顾大家都知道 都和刘邦有关系
[02404.12-02405.12] 有关有关系
[02405.12-02407.12] 那刘邦跑了之后呢 那大家都知道
[02407.12-02410.62] 当时有个人是压肤 犯增了 非常生气
[02410.62-02411.12] 对吧
[02411.12-02413.62] 然后当时就说你咱们就跟像有说生
[02413.62-02414.62] 咱们杀了他
[02414.62-02417.62] 然后像就说 我看他也没有造反那个意思
[02417.62-02418.12] 对吧
[02418.12-02420.12] 所以当时那个压肤就说
[02420.12-02422.08] 说说数字不足于某
[02422.08-02422.36] 对吧
[02422.36-02424.20] 这是我们所说整个红面银的故事
[02424.20-02426.08] 红面银的后续是什么呢
[02426.08-02427.48] 红面银的后续就是
[02427.48-02429.48] 这红面银之后就相与
[02429.48-02430.72] 它在争越的时候
[02430.72-02432.32] 就自立为西处罢王了
[02432.32-02433.72] 自立为西处罢王之后
[02433.72-02435.60] 就是把他的都成
[02435.60-02436.92] 定在了彭成
[02436.92-02437.88] 定在了彭成
[02437.88-02440.20] 也是我们所说的现在的江苏的徐州
[02440.20-02442.44] 那相与成为西处罢王之后
[02442.44-02444.16] 就看着去分封其他的人
[02444.16-02446.24] 只能当时就分封了两个
[02446.24-02448.28] 一个就是分封分刘邦
[02448.28-02449.56] 封刘邦为什么呢
[02449.56-02451.56] 风流帮为汉王
[02452.56-02455.44] 是风流帮为汉王
[02455.44-02457.76] 然后他都读成的就定在汉中
[02457.76-02461.56] 然后把我们所说的八鼠和汉中分点了流帮
[02461.56-02464.04] 除了风流帮为汉王之外
[02464.04-02465.96] 还风了一个三琴
[02465.96-02467.60] 这个三琴就是
[02467.60-02470.04] 琴国投降相语的三个名叫
[02470.04-02471.00] 就是三琴
[02471.00-02472.88] 把这三琴就分到了关中
[02472.88-02474.76] 那这三琴的分别是我们所说的
[02474.76-02476.08] 这个点同样注意
[02476.08-02478.96] 是张韩、张韩、志、闲央、以习
[02478.96-02481.00] 然后司马新志陷阳移东
[02481.00-02483.22] 还有一个董意制的是我们所说的
[02483.22-02484.04] 沙災
[02484.04-02485.06] 这个是我们三辈
[02485.06-02487.04] 所以这是在相与充半
[02487.04-02488.16] 西处八文之后
[02488.16-02490.52] 分封的两个风的两个
[02490.52-02491.44] 一个是流汪
[02491.44-02492.00] 封为汉王
[02492.00-02493.20] 一个封的就是我们所说
[02493.20-02493.96] 三请
[02493.96-02494.68] 三请
[02494.68-02495.32] 这三请
[02495.32-02496.88] 同时们最起码要知道
[02496.88-02498.16] 这三请是哪三请
[02498.16-02499.80] 或者是头想的三个
[02499.80-02501.64] 名叫是哪三个想像
[02501.64-02502.56] 这个点要注意
[02502.56-02504.24] 你说老师我记不住他治的呢
[02504.24-02505.20] 那这个都没有关系
[02505.20-02506.40] 最起码要把人物
[02506.40-02507.32] 要给我记住
[02507.32-02508.60] 把人物要给我记住
[02508.60-02510.14] 所以在这里大家要知道
[02510.14-02511.54] 这是我们所说的它的分封
[02511.54-02513.48] 因为当时相远虽然说一句说话
[02513.48-02517.32] 它虽然没有杀了这个流汪还是有一点记彈它的
[02517.32-02518.84] 而当时的这个流汪呢
[02518.84-02521.30] 就是封完了封为汉王之后
[02521.30-02525.16] 它就要去到我们所说的这个看中
[02525.16-02526.42] 去到汉中之后呢
[02526.42-02529.34] 然后它就听信了韩信给它的建议
[02529.34-02530.62] 就是我们所说的啥呢
[02530.62-02532.72] 就要明修战斗暗度沉操嘛
[02532.72-02534.76] 因为我们会讲到这个点顾 对吧
[02534.76-02538.00] 然后在这个过程当中就去习近一了我们所说的谁呢
[02538.00-02538.92] 就是习近了
[02538.92-02541.36] 我们所说的拥往就是张喊
[02541.36-02543.32] 然后后面的就平定了三情
[02543.32-02544.72] 平定了三情之后
[02544.72-02545.52] 那我们就说了
[02545.52-02547.60] 它其实这个势力就进一步快大了
[02547.60-02550.40] 而在这个过程当中又发生了另外一件事
[02550.40-02552.36] 又发生了另外一件事是啥呢
[02552.36-02555.80] 就是一方面流帮它在明休站到暗度层上
[02555.80-02557.20] 去攻击拥往张喊
[02557.20-02558.32] 平定三情的时候呢
[02558.32-02560.40] 像与这个时候也做了一件事
[02560.40-02562.36] 其实像与做的一件错事
[02562.36-02563.64] 就是它把谁杀了呢
[02563.64-02565.92] 像与要就秘密把处怀往杀死了
[02565.92-02567.80] 传闹当时被称的被叫做异地
[02567.80-02570.08] 就是大家都是豬虎亡
[02570.08-02571.20] 黄力之后一个
[02571.20-02572.64] 就是我们所说的这个厨怀王
[02572.64-02574.60] 但是它只是名艺上的黄底
[02574.60-02575.68] 实际控权呢呢
[02575.68-02576.72] 其实是相与
[02576.72-02578.84] 相与的秘密的把这个人杀死了
[02578.84-02581.12] 把这个厨怀王杀死之后
[02581.12-02583.08] 落了大家的口实了
[02583.08-02586.32] 所以当时刘邦就以为厨怀王
[02586.32-02587.96] 也是被未意地
[02587.96-02588.48] 就是意地
[02588.48-02589.88] 名艺就是这个意地
[02590.60-02591.60] 就是厨怀王
[02591.60-02593.28] 就是为它发酵为有啊
[02593.28-02594.80] 对相与宣战
[02594.80-02596.76] 而刘邦一对相与宣战之后
[02596.76-02598.76] 其他的出口也都想运了
[02598.76-02600.76] 就是觉得像与这个是做得不好
[02600.76-02602.36] 于是大家就开始
[02602.36-02605.76] 东争 法处 东争 法处就是什么呢
[02605.76-02606.76] 就是我们所说的
[02606.76-02608.76] 厨汉之争的开始
[02608.76-02609.76] 厨汉之争的开始
[02609.76-02611.76] 而厨汉之争的为此了四年
[02611.76-02613.76] 在厨汉之争这四年当中
[02613.76-02615.76] 其实就发生了这些战亿
[02615.76-02616.76] 发生这战亿
[02616.76-02617.76] 大家来看一下
[02617.76-02619.76] 这些战亿就比较常见的
[02619.76-02620.76] 第一个是蓬承之战
[02620.76-02622.76] 蓬承之战是我们所说的
[02622.76-02623.76] 流光和像与
[02624.76-02625.76] 是流光和我们所说的
[02625.76-02628.80] 和我们所说的相语之间的战争
[02628.80-02629.64] 蓬成之战
[02629.64-02632.40] 是我们所说的流帮和相语之间的战争
[02632.40-02634.20] 而在这里面大家注意一下
[02634.20-02638.44] 当时这个流帮它其实手里的军队是比较多的
[02638.44-02639.84] 是比较多的
[02639.84-02642.52] 然后他们这些猪猴
[02642.52-02644.12] 不是说一曲要去讨法
[02644.12-02645.48] 无所说的相语
[02645.48-02648.72] 结果他们在公打一路走到蓬成的地方
[02648.72-02649.56] 相对来说
[02649.56-02650.84] 没花动二十件
[02650.84-02652.56] 整体上还多
[02652.56-02654.88] 时间很顺利就达到了蓬成
[02654.88-02657.18] 然后他们就战领了捧成结果没有想到
[02657.18-02661.28] 像远了后来帅领了3人回到这个捧成突襲
[02661.28-02667.42] 然后当时流帮就没有注意到这个事结果汉军死伤20万
[02667.42-02672.28] 所以这个我们所说的捧成之战也是点形的一少盛多的
[02672.28-02674.84] 这样的一个战衣也是一少盛多的战衣
[02674.84-02678.18] 而这一行战衣之后很明显 流帮
[02678.18-02680.22] 没停出嘛 对吧 所以流帮输了
[02680.22-02684.32] 流帮输了之后没有办法 输了之后不能硬捧硬 走外
[02684.32-02685.54] 于是他就开始干嘛呢
[02685.54-02688.04] 他就开始往回退到哪呢
[02688.04-02689.92] 就退到了我们所说的行养
[02689.92-02691.12] 退到了行养
[02691.12-02692.00] 这个行养
[02692.00-02695.72] 就是我们所说的出核汉劫的那个分界线
[02695.72-02698.52] 所以我们也把他称之为叫做红勾
[02698.52-02700.96] 也就是我们现在所说的出核汉劫
[02700.96-02702.64] 也是我们现在所出核汉劫
[02702.64-02705.44] 所以说汉劫咱们经常会在旗盘上看见他
[02705.44-02706.04] 对吧
[02706.04-02707.68] 那能够在旗盘上看到他
[02707.68-02709.24] 其实就是我们所说的这个
[02709.24-02711.32] 就是问说出核汉劫在哪
[02711.32-02712.88] 要知道是在行养
[02712.88-02715.68] 又或者说除和汉接被称着为什么
[02715.68-02718.00] 那你要知道是被称着为红勾
[02718.00-02719.36] 被称着为红勾的
[02719.36-02722.80] 这个就是我们所说的 蓬成之战
[02722.80-02724.40] 而在蓬成之战之后呢
[02724.40-02727.04] 我们所说的流帮和相语之间的这个增度
[02727.04-02728.40] 也并没有结束
[02728.40-02730.00] 而是到了我们所说的后面
[02731.04-02732.48] 到了我们所说的
[02733.76-02735.28] 最后我们所说有了
[02735.28-02736.24] 该下之为
[02736.24-02738.16] 对吧那这种情况之下就有了
[02738.16-02739.28] 我们所说的死
[02739.28-02743.38] 以我们相应的一些点过比如说像我们常见的思面楚歌
[02743.38-02746.20] 这个是汉酱那边主要是汉性
[02746.20-02750.22] 在学和我们所说的相与对战的过程当中
[02750.22-02754.64] 然后就是在周围都开始唱他加相的一些歌曲对吧
[02754.64-02756.28] 就是动摇军心
[02756.28-02759.62] 同时还有我们所说的他们的作战策略实面买负
[02759.62-02760.90] 在这过程当中
[02760.90-02762.74] 把我们别急大家都很熟悉
[02762.74-02765.90] 最后就是最后打败了是不是在巫江资本
[02765.90-02767.76] 在这里面有一个小的
[02767.76-02771.10] 我们在考试过程当中经常会考到的点
[02771.10-02772.10] 这个点是什么呢?
[02772.84-02775.70] 就是我们所说的这个巫江资文当中的巫江
[02775.96-02777.86] 那这个巫江到底是在哪呢?
[02777.86-02779.28] 大家注意一下,这个巫江呢
[02779.28-02783.76] 其实在国考常试当中考察过,大家注意,这巫江其实是在安徽
[02785.92-02786.72] 安徽
[02786.72-02789.96] 是在这里面有一个我们所说的核线
[02789.96-02792.48] 核线上面有个巫江阵,是在这个地方
[02792.48-02794.12] 所以它说巫江大概在呢?
[02794.12-02796.56] 朋友要知道我们所说的这个巫江
[02796.56-02798.36] 就是在我们所说的安徽
[02798.36-02799.96] 那无疆资本之后呢
[02799.96-02800.76] 我们就知道
[02800.76-02802.76] 那处汉之争结束
[02802.76-02804.12] 穿之争结束之后
[02804.12-02805.76] 那到了后面
[02805.76-02807.00] 就是我们所说的
[02807.00-02809.40] 流汪他就开始陆建立自己的
[02809.40-02810.32] 我们所说的
[02810.32-02810.76] 朝代
[02810.76-02811.56] 就是我们所说的
[02811.56-02813.12] 就到了汉朝时期
[02813.12-02815.44] 那这个就是我们要给同你们去讲的
[02815.44-02817.24] 我们所说的这个历史点顾
[02817.24-02818.76] 所以在整个情朝
[02818.76-02819.60] 我们会发现
[02819.60-02821.80] 他虽然看起来时间表短
[02821.80-02823.32] 调服的内容里不是特别多
[02823.32-02825.24] 但是像外服势的细节点
[02825.24-02826.32] 还是特别多的
[02826.32-02829.40] 所以同學一定要把這些細節去給它實際清楚
[02829.40-02831.32] 那我們來看一道題目
[02831.32-02832.96] 看到題目在這裡他給到說
[02832.96-02836.40] 下列於處和相互關係的事
[02836.40-02838.08] 它沒有關係是哪些
[02838.08-02839.20] 首先第一個
[02839.20-02840.92] 期盼上的圖和漢件
[02841.24-02842.24] 準備問題
[02842.24-02843.84] 第二個這個是有關的
[02843.84-02845.24] 因為我們剛才說的是在形樣
[02845.24-02845.52] 對吧
[02845.52-02847.84] 第二個是面埋伏也是正確的
[02847.84-02849.96] 霸王別機也正確
[02849.96-02851.12] 草木節兵是什麼
[02851.12-02853.64] 草木節兵是非水之戰
[02853.64-02855.36] 我們在後面會有大家講到
[02855.36-02856.12] 不是在这
[02856.12-02858.48] 所以大家注意一下照体选择的是啊
[02858.48-02860.12] 死定啊 照体选的死定
[02860.12-02862.20] 好 那这个呢就是我们所说的
[02862.20-02865.72] 有关于秦朝的从他的建立到他的灭冷
[02865.72-02867.76] 以及他中间的这样的一个过程
