[00000.00-00005.00] 好,我们接着来往后来看,咱们在前面的其实是给大家去
[02303.84-02306.92] 因為代理人他有即使通知的義務
[02306.92-02308.16] 所以A選上正確
[02308.16-02308.92] 必選項
[02308.92-02313.04] 說即使將過貨的過程報告給孫猛
[02313.04-02313.96] 這個沒有問題吧
[02313.96-02316.72] 因為被代理人要有一定的知情權
[02316.72-02317.84] 看一下最選項
[02317.84-02319.96] 說經孫猛的統一
[02319.96-02323.04] 另行委託領猛把另行委託出來
[02323.04-02325.60] 另行委託領猛把李購買事業
[02325.60-02326.56] 這個說法也正確
[02326.56-02328.36] 朋友把C選出來
[02328.36-02330.76] 一和必你从长时的角度能够判断出来
[02330.76-02331.88] 所以想给个话出来
[02331.88-02332.84] 所以想叫什么
[02332.84-02334.16] 所以想叫做转代理
[02335.28-02336.56] 也叫做复代理
[02338.68-02339.56] 其他方面
[02339.56-02341.08] 他叫做复代理
[02342.28-02343.88] 或者是转代理
[02346.16-02347.00] 啥意思呢
[02347.00-02347.72] 就是在这
[02347.72-02348.36] 你看哦
[02348.36-02349.36] 孙某
[02349.36-02350.16] 他
[02350.16-02351.16] 伟脱
[02351.16-02352.00] 五某
[02353.52-02354.12] 对吧
[02354.12-02355.68] 伟脱五某去放他过火
[02355.68-02358.16] 那这有时候孙某是本人
[02358.16-02359.92] 無某是代理人
[02359.92-02361.24] 但是現在無某咋的
[02361.24-02363.56] 無某有事或者說無某生病了
[02363.56-02365.80] 他沒有辦法去實施代理行為去幫
[02365.80-02367.64] 我們所說的這個順某買東西
[02367.64-02369.24] 你看在這裡他有說什麼了
[02369.24-02371.28] 他在這個過程當中
[02371.28-02374.80] 他有把他的這個委託交給了誰交給了林某
[02374.80-02376.52] 那這個時候我們所說的
[02376.52-02378.44] 思想像當中的林某就屬於什麼
[02378.44-02380.80] 林某他就屬於父代理人
[02380.80-02382.52] 或者叫做轉代理人
[02383.36-02386.28] 然後再由林某去找人買貨
[02386.28-02387.84] 比如說現在去找什麼呢
[02387.84-02388.88] 去找离某吧
[02390.08-02391.32] 去找离某买获
[02392.32-02394.32] 那在这里面就会设议到离某
[02394.32-02396.60] 它是由于复待的人或者是转代的人
[02396.60-02398.56] 那这个复待的人或者转代的人
[02398.56-02400.76] 它这个里面的转位脱脱转代理
[02400.76-02402.92] 它比如说离某最终拍定了
[02402.92-02404.56] 说要像离某去买东西
[02404.56-02405.88] 然后没有给离某钱
[02405.88-02407.16] 那最终离某去要钱
[02407.16-02408.48] 它到底找谁要的问题
[02408.48-02408.80] 对吧
[02408.80-02411.36] 所以在这里面就会出现一个复待理的情况
[02411.36-02413.04] 复待理或者是转代理
[02413.04-02413.88] 大家注意一下
[02413.88-02415.48] 复待理或者是转代理
[02415.48-02417.98] 他在这个地方有一个点 消耽就注意
[02417.98-02420.74] 比如说林某时时的法律行为
[02420.74-02423.38] 高底对孙某发发生法律效果呢
[02423.38-02426.58] 那在这个地方就会涉一到这么净个问题
[02426.58-02429.16] 第一个问题就是在这种情况之下
[02429.16-02432.08] 附代理 他是以代理人自己的名义选任的
[02432.08-02435.88] 第二个附代人 他是被被代理人的代理人
[02435.88-02437.88] 我们所说的 选定了这样一个人
[02437.88-02439.48] 就是无某选定的人 对吧
[02439.48-02442.18] 那他选定 林某去帮谁做事
[02442.18-02445.98] 他選定聯盟順幫孫某左射
[02445.98-02448.18] 那這種情況下既然是幫孫某左射的
[02448.18-02449.38] 那法律效果
[02450.78-02451.38] 那注意一下
[02452.10-02453.30] 他的法律效果
[02454.42-02455.94] 當然就歸數約
[02456.38-02458.18] 被人或者是代理人了
[02460.42-02461.58] 那他的法律效果
[02461.78-02463.54] 當然歸數約被人或者是代理人
[02463.54-02467.26] 就是對這裡的孫某發生法律效果
[02467.26-02468.46] 孫某發生法律效果
[02468.46-02470.38] 所以在這個地方大家要注意一下
[02470.38-02471.92] 但是对孙母方法的效率
[02471.92-02473.36] 它有一个前体
[02473.36-02474.48] 就是它一定要经过
[02474.48-02475.76] 是它一定要经过
[02475.76-02477.02] 本人的受型活同意
[02480.92-02485.02] 有的是在孙母同意的情况之下
[02485.02-02487.30] 林老的代理型为对他有效果
[02487.30-02487.96] 明白了吧
[02487.96-02489.58] 所以在这里面大家注意一下
[02489.58-02490.54] 这是转代理
[02490.54-02491.94] 所以转代理副代理第一个
[02491.94-02494.70] 你就知道转代理或者是转理脱
[02494.70-02495.74] 或者副代理
[02495.74-02497.20] 它都有好几个名字
[02497.20-02498.04] 那就是第一个点
[02498.04-02499.70] 就是你不得随随便便就把你的
[02499.70-02500.74] 被通常轉移出去
[02500.74-02502.26] 因為基於人生性關係
[02502.26-02503.86] 是孫某更信任無某
[02503.86-02505.30] 那就是你要轉出去的話
[02505.30-02506.86] 你必須要經得孫某的統一
[02506.86-02508.22] 所以第一個經本人統一
[02508.22-02509.78] 第二經本人統一之後
[02509.78-02510.58] 那我們就說了
[02510.58-02512.38] 它的法律效果一定是歸約
[02512.38-02513.78] 本人的歸約被帶領人
[02513.78-02514.58] 所以C選項
[02514.58-02516.10] 他就是考的這個點
[02516.10-02517.62] 那第四個選項看一下
[02517.62-02520.54] 說語言、路某、惡意、串通
[02520.54-02522.22] 惡意、串通的法律效果
[02522.22-02524.22] 五校、強公主、一弱
[02524.22-02525.54] 所以在這裡他說
[02525.54-02526.70] 違反歸定的
[02526.70-02528.10] 那就是第四個
[02528.10-02529.10] 那是第四個
[02529.10-02531.50] 好 那这个就是我们所说的这个
[02531.50-02533.86] 代理的内容 就是这个代理内容
[02533.86-02536.62] 好 那代理到这就给大家讲这么多
