[00000.00-00003.70] 那么了解了什么是形容处罚之后呢
[02295.30-02296.94] 我说1月7号那条说
[02296.94-02298.56] 他告诉我还可以听证啊
[02298.56-02300.34] 1月7号我在去申请听证
[02300.34-02301.68] 管管我啦 不管我
[02301.68-02303.28] 所以第一个呢就是要求
[02303.28-02305.60] 在告知五日内提出
[02305.60-02306.88] 那我提出了之后
[02306.88-02309.18] 他那边是我叫去安排要去准备
[02309.18-02310.38] 所以第二个呢你看
[02310.38-02312.18] 他就给到了告知的期限
[02313.52-02315.26] 我给他标的再细点啊
[02315.26-02316.74] 这个是申请期限
[02319.02-02319.94] 那申请期限
[02319.94-02320.88] 这是第一个要求
[02320.88-02322.28] 第二个要求呢就是你看
[02322.28-02326.62] 停滥机关应当在听证七日之前告知我
[02326.62-02328.02] 居心听证的时间地点
[02328.02-02332.46] 所以第二个给到的是什么是告知我们所说的告知期限
[02332.46-02333.80] 因为我身体听证的时候
[02333.80-02335.66] 他就必须要取动听证程序
[02335.66-02337.50] 那这个时候听证谁拉恩排呢
[02337.50-02339.26] 那就有行证机关来恩排
[02339.26-02341.46] 他要听过程序身边
[02341.46-02343.46] 因为我要对大众去诚说
[02343.46-02346.08] 我说我没有什么别张价事
[02346.08-02347.50] 我师傅有应叹了吧
[02347.50-02348.94] 他如果都不通知我
[02348.94-02350.34] 那这个听证会给谁开呢
[02350.34-02350.74] 对吧
[02350.74-02357.22] 所以在这里面你看他应该听着亲日前告知当时听着相当的时间地点
[02357.22-02359.10] 所以第二个是什么是告知期限
[02359.10-02362.02] 这里面有个时间就是5,7
[02362.02-02363.74] 第二,这个就是5,7
[02363.74-02365.34] 所以大家注意一下这两个时间
[02365.34-02365.82] OK吧
[02365.82-02368.38] 这个就是我们所说的听着程序
[02368.38-02371.90] 到这我们就把整个形容处罚的程序就给大家说完了
[02371.90-02375.94] 我说的形容处罚的决定程序包括一总三程序
[02375.94-02377.22] 那这里面的一总
[02377.22-02379.02] 这是我们所说的一般规定
[02379.02-02380.22] 就是总体上的要求
[02380.22-02380.98] 我们有两个
[02380.98-02382.98] 第一个是在人数上
[02382.98-02385.42] 人数上我们刚才给大家说了
[02385.42-02387.90] 说必须是具有执法行政资格的人
[02387.90-02388.66] 您是公布性
[02388.66-02389.74] 第二个不得少云
[02389.74-02390.38] 两人
[02390.38-02390.86] 第二个呢
[02390.86-02392.58] 这是我们必须要有相的
[02392.58-02393.50] 毁毁之度
[02393.50-02395.98] 但是毁毁是由我来提出申请的
[02395.98-02397.70] 因为我把人打了嘛
[02397.70-02398.02] 对吧
[02398.02-02399.78] 这个时候把人后曹鸡给人打掉了
[02399.78-02402.14] 那这个时候我要去提出相的申请
[02402.14-02403.78] 但是我提出相的申请
[02403.78-02405.38] 毁毁申请之后
[02405.38-02406.86] 人家机关又去调查的
[02406.86-02410.42] 那机关在调查期间在回避申请
[02410.42-02412.58] 就是这个回避绝定做出之前
[02412.58-02415.70] 那我说找的像他大哥的那个人
[02415.70-02417.30] 要不要停下来工作不要
[02417.30-02419.14] 所以绝定天不停止止行
[02419.14-02421.78] 那这是我们所说的第一个叫做总
[02421.78-02423.46] 而我们说了叫一种三成续
[02423.46-02427.50] 那这三个分约是要剪一成续普通成续和停证成续
[02427.50-02430.02] 但要找过的就是剪一成续当中
[02430.50-02432.90] 使用的范围这个店中点
[02432.90-02436.54] 公民20000A下的法款 反主的3000A的法款以及警告
[02436.54-02438.28] 那这个时候他竟然就兼益
[02438.28-02440.94] 那就意味着他切剔審刃很多的环节
[02440.94-02444.54] 那这个时候他的建议就停在当场决定当场交付
[02444.54-02448.22] 那和剪一程序相对应的就是最完整的处罢程序
[02448.22-02450.56] 这个最完整的处罢程序主普通程序
[02450.56-02454.86] 包括我们所说的立案 调查 审核 决定和送打
[02454.86-02456.40] 你大概有个印象就像
[02456.40-02457.74] 你就知道从情力上
[02457.74-02460.02] 如果让你去做这个事 你分析不
[02460.02-02462.22] 所以大家的不用死因被他的程序
[02462.22-02464.90] 但这个普通程序当中有几个细节大家注意一下
[02464.90-02467.30] 比如说调查里面要听取程序身变
[02467.30-02468.86] 不听取不出发
[02471.14-02472.26] 不听取不出发
[02472.26-02473.90] 如果他在上门调查当中
[02473.90-02474.90] 他说你说怎么样了
[02474.90-02475.58] 我说是
[02475.58-02476.42] 他说好的
[02476.42-02477.34] 然后他转身走
[02477.34-02478.10] 我说你不行
[02478.10-02479.02] 我说你不在听我说
[02479.02-02480.58] 我都看这个人
[02480.58-02481.90] 你就像能做什么这种事了
[02481.90-02484.58] 那这个时候他都没有听我是程序身变
[02484.58-02486.50] 你给我最后给我开出发决定说
[02486.50-02487.78] 我这数月威法的
[02487.78-02488.38] 明白吧
[02488.38-02489.78] 所以在这里大家注意
[02489.78-02490.94] 那决定我们说了
[02490.94-02493.36] 決定要在戀愛之日九十內做出
[02493.36-02495.00] 那決定做出處法決定之後
[02495.00-02496.68] 要送達處法決定說
[02496.68-02497.68] 怎麼送達呢
[02497.68-02499.28] 宣告後當場交付
[02499.28-02500.94] 如果不在現場的
[02500.94-02502.14] 其實內送達就可以了
[02502.14-02503.48] 這是普通程序
[02503.48-02504.32] 那麼說了
[02504.32-02505.16] 那無論是
[02505.16-02506.42] 在普通程序當中
[02506.42-02507.40] 和檢疫程序當中
[02507.40-02509.18] 我們一般情愛都會提到
[02509.18-02511.78] 那我們都要聽取當事人的程序身變
[02511.78-02512.16] 對不對
[02512.16-02514.06] 那在聽取當事人程序身變當中
[02514.06-02515.42] 可能就會適合到另外一個程序
[02515.42-02516.40] 叫聽證程序
[02516.40-02519.22] 所以聽證程序的受案犯為大助一下
[02519.22-02520.46] 在這裡面大家明確
[02520.46-02521.86] 第一個他的生產委
[02521.86-02525.84] 一定要知道是沒有贊口虛可證和限制生產經用
[02525.84-02527.42] 其他的都要有
[02527.42-02528.38] 所以在這裡面
[02528.38-02529.82] 他容易考察一個反向
[02529.82-02531.26] 我們就反向去繼續可以了
[02531.26-02532.46] 只是第一個細節
[02532.46-02533.62] 第二個就是
[02533.62-02534.86] 我們說了聽論程序
[02534.86-02536.10] 是不是一定啟動呢
[02536.10-02536.70] 不一定
[02536.70-02538.78] 所以聽論程序的啟動條件是
[02538.78-02539.82] 告知
[02540.62-02542.30] 你帶先告訴我我有這個權力
[02542.30-02543.98] 然後看當時人生不生請
[02543.98-02546.70] 如果我覺得你反得點錢對我來說猛猛語
[02546.70-02547.66] 我不生請
[02547.66-02549.26] 聽論程序不不要啟動
[02549.26-02551.06] 那听证程序他有自己的要求
[02551.06-02554.38] 就是第一个就是我们所说的申请了时间
[02554.38-02555.66] 就是告知我
[02555.66-02556.94] 想有听证权力无人内
[02556.94-02559.26] 第二个就是听证的告知期限
[02559.26-02561.10] 你要举行听证会听我身边
[02561.10-02562.74] 结果你没有通知我
[02562.74-02563.98] 那只举行啥这样的
[02563.98-02565.50] 所以在听证之前
[02565.50-02567.26] 七日告知我
[02567.26-02568.78] 听证的时间低点
[02568.78-02571.50] 这个就叫做行证处罚
[02571.50-02572.82] 他在这个处罚当中
[02572.82-02573.70] 大家注意一下
[02573.70-02574.86] 那这是我们所说的
[02574.86-02575.98] 有关于行证处罚
[02575.98-02577.62] 也就是这个行证处罚决定
[02577.62-02580.42] 他是如何一步一步搞出来的
[02580.42-02581.82] 那这个叫形容处法
[02581.82-02582.82] 那处了形容处法
[02582.82-02585.74] 这代的还有一个行政处法的执行
[02585.74-02586.94] 比如说你最终的
[02586.94-02588.38] 真的给我下达了形容处法
[02588.38-02589.14] 决定说
[02589.14-02590.74] 告诉我刚才发款
[02590.74-02593.10] 那你如果真的给我下达了
[02593.10-02593.94] 形容处法决定
[02593.94-02595.50] 说让我交付法款的话
[02595.50-02597.02] 这个法款怎么交呢
[02597.02-02598.02] 分凉中情况
[02598.02-02599.82] 第一种情况就是法角分理
[02599.82-02602.02] 法角分理也是最练场件的情况了
[02602.02-02603.90] 他说是做处处法决定
[02603.90-02609.14] 于收法款的几个不是从一个几个
[02609.14-02610.42] 这个大家应该都知道
[02610.42-02610.98] 对吧
[02610.98-02612.66] 这个叫做法角分裂
[02612.66-02614.90] 就是做法床的
[02614.90-02616.82] 决定的几个几个
[02616.82-02618.26] 和收钱的这个几个
[02618.26-02618.98] 不是一个
[02618.98-02620.62] 所以在这里叫做法角分裂
[02620.62-02622.38] 比如说法角分裂的话
[02622.38-02623.38] 交给谁呢
[02623.38-02624.06] 后面有句话
[02624.06-02626.42] 说当时人应当自己收到形容出发
[02626.42-02628.98] 决定收之前15日内
[02628.98-02629.86] 交到哪儿
[02629.86-02631.14] 交到哪是一个考点
[02631.14-02632.90] 一个医星级的实际形容点
[02632.90-02635.72] 收交道指定也好或通过电子支付系统
[02635.98-02639.82] 一般请爱都是交道指定也好这是第一个叫法角分离
[02640.06-02641.42] 第二个就是当场收角
[02641.62-02643.66] 当场收角是用在什么情况之下呢
[02643.90-02645.96] 是用在条件 剪医程序
[02646.20-02648.78] 就是你要当场收角的话他一定是相对来说什么
[02649.02-02650.30] 俄度比较小的
[02650.82-02652.36] 个人200块剪下 对吧
[02652.62-02654.14] 是用剪医程序做出的
[02654.40-02656.20] 拿种情况可以当的收角呢
[02656.46-02658.76] 剪医程序做出的第一个100元以下的法款
[02659.02-02661.82] 第二个不当场收角之后以后拿一执行的
[02661.82-02663.82] 首先第一個額度一定要小吧
[02664.54-02665.74] 一百分之一
[02665.74-02667.30] 第二個不當場收腳
[02667.30-02668.14] 以後那一隻行蹈
[02668.14-02668.94] 就是現在不交易
[02668.94-02670.14] 或找不找你的這種
[02670.14-02672.70] 這個就叫做不當場收腳以後那一隻行蹈
[02672.70-02674.22] 這個就能夠可以當他怎麼樣
[02674.22-02675.14] 先場交
[02675.14-02677.34] 然後你在入庫就可以了
[02677.34-02678.78] 這個就是我們所說的
[02678.78-02680.90] 有關於行蹈出發的執行程序
[02680.90-02683.10] 這是腳納髮款的兩種情況
[02683.10-02684.62] 一般請問一下
[02684.62-02685.98] 我們知道法久分離
[02685.98-02687.78] 如果說是一百月以下的
[02687.78-02689.58] 不當上收腳之後那一隻行蹈
[02689.58-02691.38] 那这里面我们就可以怎么办
[02691.38-02694.46] 我们就可以当场受教最后在入窟就可以了
[02694.46-02697.14] 所以这个值行程序就会比较简单
[02697.14-02699.30] 这个就是我们所说的形容触法
[02699.30-02700.90] 所以在整个形容触法当中
[02700.90-02702.46] 咱们来快速回顾一下
[02702.46-02706.10] 我还是那句话就是你要通过框架把执着点相换
[02706.10-02708.46] 形容触法当中我们先讲的形容触法是什么
[02708.46-02711.22] 我们讲了概束基本原则以及它的主类
[02711.22-02714.02] 所以在概束当中我们讲到了形容触法的四个特征
[02714.02-02715.54] 不一大去回顾了
[02715.54-02718.06] 第二个就是基本原则当中的一事不再法
[02718.06-02720.06] 大距離下是同一個行為不能法款
[02720.06-02720.58] 兩次
[02720.58-02722.66] 不是不能兩次處罰
[02722.66-02724.06] 只是不能法兩次款
[02724.06-02725.38] 如果都法錢的話
[02725.38-02726.98] 一定按至高的來處理
[02726.98-02728.62] 這是他的基本原則
[02728.62-02729.46] 那了解了
[02729.46-02730.98] 行中處罰是什麼
[02730.98-02731.90] 以及行中處罰
[02731.90-02732.94] 遵循基本原則之外
[02732.94-02733.98] 我們來看一下行中處罰
[02733.98-02735.86] 哪些種類及他的設定
[02735.86-02737.46] 行中處罰的種類
[02737.46-02739.06] 就是具體用哪些內容
[02739.06-02739.90] 大家要被過
[02739.90-02741.30] 為大家有一個順口流
[02741.30-02741.70] 對吧
[02741.70-02743.10] 那處罰的種類這麼多
[02743.10-02743.50] 我們說了
[02743.50-02745.66] 處罰畢竟是損害當時的權益
[02745.66-02746.74] 所以不能說你
[02746.74-02747.86] 上嘴是碰下給鋡
[02747.86-02748.90] 你就给我处罚了
[02748.90-02752.10] 处罚他一定要相应的法律一句的
[02752.10-02753.74] 所以在这里面我们就说了
[02753.74-02755.74] 到底这些形容处罚的总练
[02755.74-02758.46] 有哪些规范性法律界来设定考语对应吧
[02758.46-02760.18] 所以法律可以设定全部
[02760.18-02762.22] 限制人生自由的只能是法律
[02762.22-02766.22] 形容法规是限制人生自由一外的
[02766.22-02768.86] 比如说法款摩使偶
[02768.86-02771.42] 然后通什么警告通报批评
[02771.42-02772.50] 调销销学生发了办法了
[02772.50-02775.50] 只要不是形容具体的形容法规动能规定
[02775.50-02777.82] 还有就是地方性法规可以规定
[02777.82-02780.90] 限制自由和调销营业指照之外的
[02780.90-02782.10] 而不是调销续可振
[02782.10-02783.66] 级限于调销于指照
[02783.66-02785.18] 为大家说了防止什么
[02785.18-02786.14] 地方性保护
[02786.14-02787.54] 最后有关键规章
[02787.54-02788.78] 规章可以规定警告
[02788.78-02791.02] 通报扑行和一定数个的法款
[02791.02-02792.34] 这是我们到这
[02792.34-02793.82] 知道的形容处发是什么
[02793.82-02794.58] 有哪些
[02794.58-02796.10] 知道的形容处发是什么
[02796.10-02796.58] 有哪些
[02796.58-02798.70] 谁可以做形容处发的
[02798.70-02799.58] 关管你
[02799.58-02801.30] 所以关可以做形容处发
[02801.30-02802.66] 关可以做形容处发
[02802.66-02804.34] 我们就按具体形容前面来记
[02804.34-02805.90] 只过这里面有一个细节
[02805.90-02809.38] 就是这里面的官可能会有一种叫做中和执法机关
[02809.38-02812.58] 就是它有集中处法权的比如说像成管
[02812.58-02814.98] 对于像成管这一类的就要限制
[02815.98-02817.10] 首先第一个就是
[02818.22-02822.82] 并不是说任何一个政府都可以决定哪个不能消耗有
[02822.82-02824.66] 相应的集中处法权的
[02824.66-02827.26] 只有谁国务院和省政府可以决定
[02827.26-02829.06] 第二个你看像成管
[02829.06-02830.22] 它就是哪怕在你用
[02830.22-02830.46] 对吧
[02830.46-02831.66] 它也有一些事不能做
[02831.66-02833.78] 什么限制有只能公安来订
[02833.78-02834.58] 它不行
[02834.58-02838.12] 那这是我们所说的关关可以去管理
[02838.12-02840.16] 那那关可以去管呢
[02840.16-02842.14] 就是老百姓真的做了事实上
[02842.14-02844.10] 至于真的乱了那的关可以管呢
[02844.10-02845.98] 那这个时候就是睡到什么问题
[02845.98-02846.62] 管一下
[02846.62-02848.06] 哪个关可以管呢两个
[02848.06-02849.62] 第一个什么级别先进以上
[02849.62-02852.34] 第二个哪里没法行为发生地可以管一下
[02852.34-02853.86] 那如果两个地区都能管
[02853.86-02854.86] 这些电的管
[02854.86-02856.66] 如果就说产生争议
[02856.66-02858.58] 先写上商量不行找大哥
[02858.58-02860.42] 那这是管想的问题
[02860.42-02861.42] 那我都管一下之后
[02861.42-02862.10] 我们就来看一下
[02862.10-02864.46] 形容处发他做出的一个社区
[02864.46-02866.44] 形容處法如何一步一步做出
[02866.44-02868.54] 這個時候就形容處法決定的程序
[02868.54-02870.78] 我們叫一種三程序
[02870.78-02872.14] 剛剛給大家付稀完
[02872.14-02873.68] 這裡不做過多這說了
[02873.68-02876.08] 第二個就是設一道我們所說的直行
[02876.08-02877.72] 直行尤其是法款
[02877.72-02880.00] 我們強調法角分離
[02880.00-02881.98] 你就知道直行程序主要是法款
[02881.98-02883.28] 才有設一道這個問題
[02883.28-02884.92] 那法角分離這是原則
[02884.92-02886.08] 叫到那直點也好
[02886.08-02887.72] 直點不是交到交警手裡
[02887.72-02889.02] 對吧
[02889.02-02890.86] 第二個就是當場收腳
[02890.86-02892.24] 當時候叫是用條件
[02892.24-02893.40] 一百回線一下的法款
[02893.40-02895.32] 或者是现在不收以后找你了
[02895.32-02897.20] 这个时候可以当场收掉
[02897.20-02898.56] 然后入库就可以了
[02898.56-02900.52] 这个呢就是形容出发的内容
[02900.52-02901.44] 所以形容出发呢
[02901.44-02903.32] 它内容相对来说是最多的
[02903.32-02905.00] 同时在形容出发里面
[02905.00-02906.04] 大家要明确
[02906.04-02908.96] 它的程序相对来说是最复杂的
[02908.96-02911.08] 所以我们在这里才会讲的相对来说
[02911.08-02912.12] 会比较多一些
[02912.12-02913.88] 同学们只有通过这种
[02913.88-02915.40] 框架的回顾出点
[02915.40-02917.48] 你才能够对它相对来说
[02917.48-02919.28] 会得性应受一些
[02919.28-02921.20] 形容出发形容出发
[02921.20-02923.44] 形政法对大部分同学说
[02923.44-02924.76] 他是一个难题
[02924.76-02926.76] 原因就是因为他离生活远
[02926.76-02928.56] 但他绝对不是一个
[02928.56-02930.72] 技术层面或理解层面上的难题
[02930.72-02933.32] 所以这里面希望同学们能够渡渡的去
[02933.32-02935.12] 进行相当的恐怖记忆
[02935.12-02936.64] 若大家有任何学生的问题
[02936.64-02937.40] 还是老规矩
[02937.40-02940.44] 大家可以在群内随时私信我
[02940.44-02940.92] 好吧
[02940.92-02943.60] 这是我们所说的第一个叫做形装处发
