[00000.00-00003.58] 接着来看一下第七个明确
[02400.50-02401.70] 所以這是貨幣資本
[02401.70-02403.10] 當然還有食物資本
[02403.10-02407.58] 食物資本最為點型的就是土地、廠房、汽車、叫車
[02407.58-02409.70] 這時候你拿到的這個租金
[02409.70-02411.86] 他就屬於我們所說的食物資本
[02411.86-02412.82] 那這種情況之下
[02412.82-02414.54] 他也屬於資本要素
[02414.54-02415.54] 大家要注意一下
[02415.54-02416.38] 只是資本要素
[02416.38-02417.26] 那管理的話
[02417.26-02419.10] 一般請問他就是他會給你提示詞
[02419.10-02420.82] 誰誰什麼目前的高管
[02422.10-02423.78] 或者是他聽說說誰誰
[02423.78-02425.78] 什么管理人员之类的
[02425.78-02428.34] 那他如果出现这种很明显的管理贼儿
[02428.34-02429.18] 你不用管了
[02429.18-02430.42] 很明显的这种管理贼儿
[02430.42-02432.18] 他就属于管理要素
[02432.18-02434.30] 最后一个的支持产钱要素了
[02434.30-02436.06] 比如说你开发了一个专利
[02436.06-02437.62] 你设了一个新型全力外观
[02437.62-02438.38] 等等这些的
[02438.38-02439.74] 他其实都可以什么
[02439.74-02441.70] 他其实都可以入到
[02441.70-02443.50] 对过这企业当中去做供线
[02443.50-02445.34] 那就按照你所参与的
[02445.34-02446.50] 你所提供的事实上也要素
[02446.50-02447.94] 进行分配就OK了
[02447.94-02449.38] 这个就是我们所说的
[02449.38-02450.62] 按声台要素分配
[02450.62-02450.90] 好
[02450.90-02452.22] 那么做到铁来感受一下
[02452.22-02453.86] 比如说当年考证一道题
[02453.86-02455.26] 大概的按例模形势这样
[02455.26-02456.86] 但具体的数值我忘了
[02456.86-02458.58] 人家当时考的那个说
[02458.58-02460.26] 随于谁一家三口人
[02461.22-02462.46] 说这三口人呢
[02462.46-02463.62] 然后他的父亲
[02464.82-02466.34] 是大学的教授
[02468.38-02470.66] 然后一个月大概正
[02470.66-02471.70] 一万块钱
[02471.70-02472.74] 一万元一个月
[02472.74-02475.74] 然后他的母亲是逃跑电的电主
[02475.74-02476.86] 然后自己开逃跑电
[02476.86-02479.22] 一个月卖服装了卖五万元
[02479.22-02482.18] 然后他是某某企业的
[02482.18-02483.20] 管理人員
[02483.46-02486.02] 你看人非常明確說是管理人員
[02486.28-02489.08] 然後呢 以餘工資大概1.2元左右
[02489.34-02494.48] 然後說以下關於他家的收入的組成說法正求和錯誤的事
[02494.72-02497.80] 父親是大學的教授大學教授他屬於什麼
[02498.06-02500.88] 公有之經紀 那父親這個錢就是以按老分配
[02501.12-02504.98] 媽媽是個體工商戶 那這個時候自己開了討我電視書院按
[02505.22-02509.06] 老動要素分配 那如果說這時候只是他自己幹沒有不用的話
[02509.06-02510.86] 他有个体勞动者勞动成果
[02510.86-02512.14] 你选他也OK
[02512.14-02513.66] 那他是管理人员
[02513.66-02514.66] 都给你关键死了
[02514.66-02515.46] 那管理人员
[02515.46-02516.86] 他拿到的钱主属于什么
[02516.86-02517.66] 管理要素
[02517.66-02519.46] 所以在这个地方大家要注意一下
[02519.46-02521.46] 这是我们所说的阿老分配
[02521.46-02522.26] 所以阿老分配
[02522.26-02523.38] 他一般情况之下
[02523.38-02525.06] 在考理疫情的题目的时候
[02525.06-02526.98] 就是以这种案例的形式来出现
[02526.98-02528.86] 只过现在对于阿老分配
[02528.86-02531.34] 他的考察的角度更多元了
[02531.34-02533.86] 以前只考国起农村集体是一单位
[02533.86-02535.34] 现在就结合实正
[02535.34-02537.26] 就比如说考虑之前我们所说的什么
[02537.26-02538.28] 以工代车
[02538.28-02539.56] 所以在这里你要知道
[02539.56-02541.60] 按老分配只存在于什么下
[02541.60-02543.40] 只存在于工有之条件之下
[02543.40-02544.94] 所以做体的时候怎么办
[02544.94-02547.24] 先判断是不是工有之
[02547.24-02549.94] 然后再去判断他具体属于什么
[02549.94-02551.72] 如果他连锅有之都不是
[02551.72-02553.48] 你后面在分析的你在感觉
[02553.48-02555.32] 老师我感觉分析老队了
[02555.32-02556.98] 那么用前提都错了
[02556.98-02558.24] 你只要提出搜不对了
[02558.24-02560.04] 所以这是我们所说的有关于
[02560.04-02561.32] 按老分配
[02561.32-02562.34] 这是第二种
[02562.34-02565.80] 我们说了整个社会主义
[02565.80-02569.20] 基本经济制度除了跟我之前除了阿老三片之外
[02569.20-02572.28] 还有一个叫收贵主义市场经济体制
[02572.28-02576.16] 收贵主义市场经济体制其实就是在处理谁有谁之间的关系
[02576.16-02579.48] 就在处理政府和市场之前的关系
[02579.48-02581.68] 所以在这同时能够去明确
[02581.68-02585.76] 收贵主义市场经济体制首次体出是在14大的时候
[02587.12-02588.20] 你说老师不对呀
[02588.44-02593.24] 我记得到《平同知》好像是有一个有关于收贵主义市场经济的论端
[02593.24-02598.84] 但是到平同這個論的叫社會主義市場經濟理論
[02598.84-02600.44] 那個傳題論在理論層面
[02600.44-02603.64] 而到了14大的時候建立社會主義市場經濟體制
[02603.64-02605.64] 它就是一個什麼十糞層面了
[02605.64-02608.14] 所以十糞層面什麼時候體出來的
[02608.14-02610.24] 大家知道14大體出來的
[02610.24-02613.04] 而到了18屆三中全會的時候就說了
[02613.04-02614.64] 那社會主義市場經濟體制
[02614.64-02615.84] 你看本質上是什麼
[02615.84-02619.04] 一方面是社會主義代表的社會家的橫溫條控
[02619.04-02624.22] 一方面是市场经济代表的是市场在自然配置当中要起到相当作用
[02624.22-02627.24] 比如说不用政府去管那个地方赚钱我就去到呢
[02627.24-02628.78] 这个就叫做市场配置
[02628.78-02631.66] 咱们在经济那个模块当中是为大家讲过
[02631.66-02635.54] 那你看收费主持上经济这本身就是在平和省日之间外险
[02635.54-02638.24] 就是在平和政府和市场之间的关系
[02638.24-02640.24] 所以18.3 龙全会就提到了
[02640.24-02643.08] 说收费主义市场经济体制的核心问题
[02643.08-02648.08] 是處理誰有誰之間的關係呢?
[02648.08-02651.08] 是處理政府和市場之間的關係
[02652.08-02659.08] 是處理政府和市場之間的關係
[02660.08-02663.08] 那這裡面處理政府和市場之間的關係怎麼處理
[02663.08-02667.08] 一方面讓市場在資源配置當中起到決定的作用
[02667.08-02670.08] 就是整體的最安的流向你市場的主導
[02670.08-02672.08] 就是要发挥政府的作用
[02672.08-02679.68] 我们才说了要把有为政府和有效市场结合起来
[02679.68-02681.48] 有的是市场在增配这当中
[02681.48-02683.48] 它就能够实现效率的最大化
[02683.48-02683.96] 对吧
[02683.96-02685.68] 那这个时候它如果不出问题的话
[02685.68-02687.68] 就政府就不要多深守去管我
[02687.68-02692.28] 所以在这里才提到要把有为政府和有效市场怎么样
[02692.28-02692.88] 结合起来
[02692.88-02694.68] 其实就在这儿我们经常能看到这一话
[02694.68-02695.88] 它其实也都回微到了
[02695.88-02698.28] 我们刚才在讲一当中所给到的你看
[02698.28-02700.08] 叫使市場在最安配日當中
[02700.08-02702.76] 起到決定性的作用更好的發揮使得作用
[02702.76-02703.64] 政府的作用
[02703.64-02704.60] 等制在這
[02704.60-02705.84] 所以大家來看
[02705.84-02707.64] 所謂的社會主義基本經濟制度
[02707.64-02709.96] 我們在使革命卻當中可能只是一句話
[02709.96-02712.24] 但是我們能夠拖展也是出來的考點
[02712.24-02713.00] 就是這麼多
[02713.00-02715.00] 我們要從公有制從愛勞分配
[02715.00-02716.64] 一直到社會主義事項經濟體制
[02716.64-02719.80] 從紅官到微官去全面掌握它
[02719.80-02721.08] 這個就是
[02721.08-02722.36] 我們所提到的
[02722.36-02724.12] 使革命卻當中的
[02724.12-02725.60] 第一個部分
[02725.60-02726.32] 第一個部分
[02726.32-02729.14] 就是我们所说的有关于收主业
[02729.14-02730.66] 基本经济制度当中的内容
[02730.66-02732.46] 当然了我们还要进行
[02732.72-02734.26] 10个明确当中的
[02734.52-02735.28] 10个明确
[02735.54-02738.10] 第7个明确当中的第二部分的讲解
[02738.10-02740.14] 就在这里我们提到了一个三星
[02740.14-02742.70] 这个三星就要新发展阶段
[02742.70-02745.26] 新发展里面已经新发展格局
[02745.26-02748.34] 它被臭面现代化国家的战略导向
