[00000.00-00003.40] 我们讲完了生物的基本支持之后
[02311.18-02313.22] 他们其实本身是免疫系统
[02313.22-02314.30] 非常地脆弱
[02314.30-02315.46] 脆弱的就是
[02315.46-02318.12] 如果一旦外界在有其他的这种病毒
[02318.12-02318.90] 或习近的亲生
[02318.90-02321.26] 他自身的免疫系统其实没有办法
[02321.26-02323.90] 他去抗外界的这个问题
[02323.90-02325.90] 也就是说免疫系统一旦被激穿了
[02325.90-02328.06] 他其实就是各种问题都会找来的
[02328.06-02329.22] 所以大家注意一下
[02329.22-02331.46] 这是我们所说的免疫的问题
[02331.46-02334.30] 白系包它其实住起到了非常重要的免疫功
[02334.30-02336.18] 比3一个就是续小板
[02336.18-02338.06] 需要版主要功能就是直血
[02338.06-02339.22] 就是我前面也来说的
[02339.22-02341.22] 我的手不小心滑了一个口子
[02341.22-02343.30] 这种情况之下我就给它
[02343.30-02344.82] 消毒一下天静创帖
[02344.82-02347.06] 跪毁火到我发现它周围就不在留血了
[02347.06-02348.74] 不留血的原因就是因为什么
[02348.74-02349.98] 就是因为续小板
[02349.98-02353.06] 它相对来说在这个过程中起到了作用
[02353.06-02354.26] 起到了直血的作用
[02354.26-02357.38] 有很多人它这个需要版相对来说好像比较低
[02357.38-02359.58] 所以在这里面就身上就很容易
[02359.58-02360.98] 身上就很容易轻子
[02360.98-02362.46] 不知道大家也没有见过
[02362.46-02364.18] 因为我的老老他需要本
[02364.18-02365.78] 就是相对来说的 还量出很低
[02365.78-02367.14] 他的身上就很容易
[02367.14-02368.14] 就碰一块
[02368.14-02369.42] 就不小心碰了一下
[02369.42-02370.58] 就是轻一块子
[02370.58-02371.74] 一块的就是这种
[02371.74-02373.14] 然后又是因为他
[02373.14-02374.78] 还有一些白内障啊
[02374.78-02376.58] 因为年龄比较大了8%多岁了
[02376.58-02377.98] 所以他有一些白内障
[02377.98-02379.78] 然后也没有办法去做手术
[02379.78-02382.98] 原就是医生不敢去给他做白内障手术
[02382.98-02384.10] 就是因为他需要本
[02384.10-02384.78] 太低了
[02384.78-02386.58] 他现在还要吃生血要本的药
[02386.58-02388.82] 需要把太低的话在手术过程当中
[02388.82-02391.22] 就很容易出现不可预测的风险
[02391.22-02392.38] 这种情况之下
[02392.38-02394.62] 你看它就没有办法迅速的直血
[02394.62-02396.42] 就会很危险 对吧
[02396.42-02398.18] 所以从这里就能看得出来
[02398.18-02400.02] 需要把本身的功能组织
[02400.02-02400.70] 直血
[02400.70-02403.30] 这是我们所说的西宝购成
[02403.30-02404.90] 这是第三个打招注意下
[02404.90-02407.54] 这个点同一们可以做一个重点去掌握
[02407.54-02408.66] 就是学西宝
[02408.66-02410.42] 那么除了了解学业了解
[02410.42-02411.66] 它的组成成之外
[02411.66-02412.82] 我们还要来看一下
[02412.82-02415.02] 学行这个学行这个点
[02415.02-02419.18] 大家注意一下,考过国生考是神考,哪个地区我给忘了
[02419.18-02421.54] 当时其实考虑到相对来说有一点
[02422.82-02428.26] 就是不是说难了,这是考虑有一点,结合生活场是考虑到总合性的题目
[02428.26-02431.14] 当时就把这里面的点都给到我们了
[02431.14-02437.54] 实际上第一个就是大家注意,根据红西报表面抗援物质不同,大家注意一下,圈一,就是血型
[02437.54-02441.34] 它可以分行 A型 B型和 AB型和 O型
[02441.34-02443.14] 基本主要的血型
[02443.84-02445.54] 主要是这四种
[02445.54-02446.30] 大家注意一下
[02446.30-02448.34] 这是我们所说的这个血型问题
[02448.34-02449.58] 在这血型问题当中
[02449.58-02451.22] 同学没有掌握这么几个点
[02451.22-02453.54] 第一个就是我们所说的 AB型的血
[02453.54-02455.74] AB型的这个血的话
[02455.74-02459.34] 就是我们会发现它其实是谁的血
[02460.34-02461.34] 它都能用
[02461.34-02463.54] 比如说 AB型的血液的人
[02463.54-02464.74] 它在这种情况之下
[02464.74-02465.94] 它失血过多
[02465.94-02468.18] 那如果要给它输血的话
[02468.18-02470.78] 你看它这里面它有A有B
[02470.78-02473.78] 那是不是A型血和B型血都能给AB型一些
[02473.78-02476.02] 而O型血因为表面没有抗原
[02476.02-02478.46] 所以它不太会产生太大的排一反
[02478.46-02483.02] 所以O型血是不是也能给AB型的人输点血
[02483.02-02486.46] 所以AB型血的人被称为叫做万能受血者
[02486.46-02490.86] 就是谁的血它都能接收叫做万能受血者
[02494.58-02495.58] 这是AB型
[02495.58-02497.06] 那和大相反的证什么
[02497.06-02498.58] 就是欧行欧行的话
[02498.58-02499.82] 因为它没有抗元
[02499.82-02501.94] 所以谁都能给一点
[02501.94-02503.82] 所以欧行雪也被称率叫做
[02503.82-02504.52] 万能
[02505.62-02506.62] 书雪者
[02512.38-02513.94] 大家注意一下这是欧行
[02513.94-02515.50] 那还有一个就是在这里面
[02515.50-02516.50] 考卫一个点
[02516.50-02517.94] 即使是一单位好的
[02517.94-02522.78] 也是我们所说的其他的考试当中也会涉及到
[02522.78-02523.90] 然后在这里面
[02523.90-02526.98] 这里面还会提到A型血
[02528.26-02529.78] B型血
[02530.56-02532.26] 比如说父母是A型
[02532.26-02534.24] 然后父姐是A型母型是B型
[02534.24-02536.40] A型血比型血的人结合的话
[02536.40-02538.74] 他们的孩子可能是欧行血
[02542.08-02545.08] 那可能有欧行血的孩子
[02549.76-02551.12] 这个标准在旁边
[02551.12-02552.32] 就通行这说老师
[02552.32-02554.32] 你了天安了吧,这还能有
[02554.32-02555.90] 可能是欧行学的孩子
[02555.90-02557.96] 这要是父亲谁以前母亲是闭情
[02557.96-02559.24] 这有了欧行学的孩子
[02559.24-02561.22] 这可能会引发一段故事
[02561.22-02563.72] 但其实在现实生活当中也有这样的案例
[02563.72-02565.22] 当时就是说的是
[02565.22-02567.52] 有一个父亲,他的学行学是闭情
[02567.52-02568.82] 妈妈的学行是闭情
[02568.82-02570.82] 后来孩子生命重要数据
[02570.82-02572.12] 孩子是欧行学
[02572.12-02573.92] 后来她的父亲就感觉
[02573.92-02576.32] 头上好像是有情形草原
[02576.32-02577.92] 是不敢相信
[02577.92-02578.92] 就觉得这孩子不是她的
[02578.92-02581.72] 但后来做亲子监定就是孩子做着她的
[02581.72-02583.86] 那这种情况是怎么个三日呢
[02583.86-02584.70] 它其实是这样的
[02584.70-02586.46] 我们说的A型选合B型选
[02586.46-02588.52] 它其实是会存在两种情况的
[02588.52-02590.92] 就是A型它其实是显性
[02590.92-02593.70] 当然A型选的人它可能是AA
[02593.70-02595.20] 也可能是AO型的选
[02595.20-02597.56] 如果是AO型O型应该是演性
[02597.56-02600.08] 所以它的表象上它还是A型选
[02600.08-02601.72] 那B型选也是一样的
[02601.72-02603.92] 如果这个人的学行呈现B型的话
[02603.92-02605.16] 它可能是BB
[02605.16-02606.56] 也可能是BO
[02606.56-02607.92] 因为O它是演性
[02607.92-02610.44] 所以对外呈现出来的它就是B型选
[02610.44-02613.72] 如果现在父亲是 A-9,母亲是欧行
[02613.72-02615.14] 很有可能就是什么
[02615.14-02617.16] A-0和B-0结合的情况
[02617.16-02620.42] 你看,如果是A-0和B-0相结合的话
[02620.42-02621.52] 那可能会出现什么呢
[02621.52-02623.82] 就是父亲给A,也可能给O
[02623.82-02625.56] 母亲给B也可能给O
[02625.56-02627.34] 那出现的排列组合情况就是
[02627.34-02629.14] 孩子可能是A-B-0
[02629.14-02630.14] 或者是什么
[02630.14-02632.70] A-0如果是A-0的话就是成A-0
[02632.70-02634.76] 或者是我们所说的B-0
[02634.76-02637.36] 若B-0成B-0也可能是两个欧姐和
[02637.36-02638.86] 就是欧行学
[02638.86-02641.68] 所以在这里,A型血和必行血的孩子
[02641.68-02643.06] 它可能是欧行血
[02643.06-02644.70] 这个点,大家要注意一下
[02644.70-02648.06] 所以这是在血型当中,小同们掌握的三个内容
[02648.06-02650.70] 是吧,有点有意思,这不可思议的一件事
[02650.70-02653.20] 大家注意一下,这个排列组合也考过
[02653.20-02655.24] 这个排列组合也考过
[02655.24-02657.00] 所以大家把这个排列组合
[02657.00-02658.56] 如果你记不住的话
[02658.56-02662.22] 就可以给它写在旁边,这个排列组合确实考过的
[02662.22-02663.44] 所以大家注意一下
[02663.44-02666.12] 这是我们所说的,第一个点在现状这块
[02666.12-02667.98] 第二,在血型这块
[02667.98-02670.50] 第二个就是我们所说的线血的问题
[02670.50-02672.58] 这个线血的问题就是那一年省口考的
[02672.58-02675.02] 所以下观一线血说话正确和错误的事
[02675.02-02676.18] 大家注意一下
[02676.18-02680.62] 首先第一个就是线血一次线血的最大量是400毫升
[02680.62-02681.70] 就是1.2版
[02681.70-02684.62] 我们所说的400毫升的这个血量
[02684.62-02685.58] 大家要注意
[02685.58-02687.70] 但是线血的话他坚格的时间
[02687.70-02690.82] 一般情况是半年这个点一定要注意
[02690.82-02694.06] 就是一次线血量是400毫升
[02694.06-02696.10] 大家应该有线血经历的话都知道
[02696.10-02697.64] 是拿管子
[02697.64-02700.70] 然后在你的这个这个割部剥这个地方
[02700.70-02700.96] 对吧
[02700.96-02701.86] 然后给你扎进去
[02701.86-02703.02] 然后你的手不停的
[02703.02-02704.68] 我全放松
[02704.68-02705.30] 我全放松
[02705.30-02707.04] 然后去把这个血脱这个装满
[02707.04-02707.30] 对吧
[02707.30-02710.18] 所以一次性的鲜血的标准量是200到400号生
[02710.18-02712.22] 最多一次性的鲜血是400号生
[02712.22-02713.00] 至低过
[02713.00-02714.02] 那鲜血钱
[02714.02-02714.82] 我们也经常说了
[02714.82-02716.02] 鲜血钱要干嘛
[02716.02-02717.62] 鲜血之前
[02717.62-02719.66] 一定要注意休息和银时
[02719.66-02721.42] 这个应该没有问题
[02721.42-02723.06] 就是以前大家应该
[02723.06-02725.30] 在血效率鲜血会是现在在什么
[02725.30-02727.22] 那些血车小屋子 爱心
[02727.22-02728.48] 些血屋线血的时候
[02728.48-02730.66] 一定要再血血血 注意
[02730.66-02731.90] 休息和业势
[02734.30-02736.42] 休息 业势
[02736.42-02737.70] 只是第二个点
[02737.70-02739.42] 那第三个点就是有很多人
[02739.42-02740.86] 他说谢血了之后
[02740.86-02741.26] 哎
[02741.26-02742.66] 我今天去线血了
[02742.66-02744.22] 我如果感觉身体很虚弱
[02744.22-02746.50] 所以他就会进行特殊营养
[02746.50-02747.82] 的这样的一个涉入
[02747.82-02749.86] 大鱼大肉大补
[02749.86-02751.50] 这种情况下有没有必要
[02751.50-02752.22] 没有必要
[02752.22-02753.66] 就是在线血之后
[02753.66-02755.06] 正常演實機可
[02757.50-02759.06] 正常演實機可
[02759.06-02761.02] 這不需要你補的太厲害
[02761.02-02763.34] 回家頓什麼當威人身
[02763.34-02764.38] 龍雞湯
[02764.38-02765.22] 對吧
[02765.22-02765.82] 或者是
[02765.82-02767.94] 搞一個什麼
[02767.94-02768.78] 狗企
[02768.78-02769.74] 然後人身什麼
[02769.74-02770.22] 各自堂
[02770.22-02771.10] 就是大可不必
[02771.10-02772.22] 只有在過於補了
[02772.22-02773.10] 所以在這裡面
[02773.10-02773.82] 過於補的話
[02773.82-02774.70] 特實際法而不好
[02774.70-02775.98] 所以正常演實就像
[02775.98-02777.50] 當年那一道神靠體
[02777.50-02778.46] 忘了是在青海
[02778.46-02779.42] 還在新疆考慮
[02779.42-02780.70] 這樣一道神靠體目
[02780.70-02782.30] 還是國靠體目的
[02782.30-02783.94] 他当时就考卫了一道体
[02783.94-02785.70] 都是关于线血说法证设的时候
[02785.70-02786.66] 就是这几个全项
[02786.66-02787.54] 他都设计到了
[02787.54-02789.54] 就是注意一些个眼神
[02789.54-02791.50] 然后还有一个就是线血之后
[02791.50-02792.78] 线血之后正常眼神
[02792.78-02794.30] 他当时那个错误选项就是
[02794.30-02796.94] 线血之后要进行相的影响的补充
[02796.94-02798.66] 一条结身体健康
[02798.66-02800.94] 当时很多同月一抗了天
[02800.94-02802.94] 线血之后特殊影响的补充
[02802.94-02804.02] 让身体更健康
[02804.02-02804.94] 你感觉是对了
[02804.94-02805.10] 对不对
[02805.10-02806.10] 但其实没有必要
[02806.10-02808.22] 就是他当时给到那个错误选项就是这个
[02808.22-02809.34] 所以大家就知道
[02809.34-02812.02] 线血之后正常也是注意休息就OK了
[02812.02-02814.26] 那这是第二个点 校大二注意的
[02814.26-02818.14] 那第三个点就是我们所捐现了这些设议
[02818.14-02822.34] 它最后给换者书的时候 是不是书权选的
[02822.34-02826.66] 不书权选 在这里只给换者书入所需要的设计程分
[02826.66-02828.62] 这个书就要做成分书许
[02828.62-02830.34] 大家注意一下这个点就行了
[02830.34-02833.38] 所以这是我们所说的关于设计的那种
[02833.38-02834.50] 关于设计的那种
[02834.50-02837.02] 那这是我们所说的第二个大点
[02837.02-02838.26] 第二个大点 设计
[02838.26-02840.06] 那第三个我们来看一下
[02840.06-02843.54] 在这里面再来看中一提到的武藏六府的问题
[02843.54-02846.42] 这个点的语曲说它是在生物学当中的考点
[02846.42-02848.18] 它其实更愿意考什么呢
[02848.18-02850.02] 更愿意考中一长时
[02850.02-02852.74] 就是它是和文学长时结合在块的
[02852.74-02854.02] 我们先简单了解一下
[02854.02-02855.78] 后面我们再给大家讲文学
[02855.78-02858.14] 讲到我脆讲到中一的时候
[02858.14-02860.14] 我们会大家去讲这个武藏
[02860.14-02863.14] 武行武四、武生还有武方
[02863.14-02864.10] 它的一个对应
[02864.70-02867.58] 那个地方就是我们比较长考的这么一个点
[02867.58-02870.50] 所以武藏的就做乾心皮肺身
[02870.50-02872.06] 或者是叫心乾皮肺身
[02872.06-02873.90] 武藏就是我們所說的
[02873.90-02877.02] 他說了叫化生和處藏經氣
[02877.02-02878.18] 所以偶業的時候
[02878.18-02879.58] 比如說你扮演了
[02879.58-02882.38] 然後12.1.都沒有事叫
[02882.38-02883.18] 那正如就會怎麼樣
[02883.18-02883.78] 生乾
[02883.78-02885.18] 其實我們在中一當中
[02885.18-02886.58] 提到武藏六腐武藏的
[02886.58-02887.98] 就是乾心皮肺身
[02887.98-02889.50] 武藏吃茶補茶
[02889.50-02891.34] 所以我們所說的武藏的
[02891.34-02892.10] 這樣的一個
[02892.10-02894.26] 條理或者是保養的話
[02894.26-02895.82] 它除了和射休息有關
[02895.82-02897.02] 它和眼石有關血
[02897.02-02899.06] 所以武藏对应的是武色
[02899.06-02901.38] 比如说黑色、红色、黄色
[02901.38-02903.66] 它是哪个颜色对哪个脏气比较好
[02903.66-02905.14] 对吧 这是武藏对武色
[02905.14-02907.26] 而武藏还对应武行
[02907.26-02908.66] 就是新岸匹围圣
[02908.66-02911.10] 它也是和武行进幕社会徒相对应的
[02911.10-02912.66] 而武行对应武方
[02912.66-02913.90] 也就是我们所说的
[02913.90-02915.50] 这个都是相对的
[02915.50-02917.94] 所以在这里我们先简单地去掌握
[02917.94-02920.02] 武藏它的一个基本情况就可以了
[02920.02-02921.02] 这是第一个
[02921.02-02923.06] 第二个在这里提到了六府
[02923.06-02924.38] 六府也了解一下就行了
[02924.38-02928.14] 就做胆胃大厂小厂旁观和三胶
[02928.14-02929.82] 所以在这里面搭住一下
[02929.82-02933.14] 就是腐鼠水果分清密捉
[02933.14-02935.38] 然后还有我们所说的传话遭破
[02935.38-02936.74] 这起到一定的什么功能
[02936.74-02938.18] 消化功能的这些
[02938.94-02940.18] 好,这是武藏六府
[02940.18-02941.50] 在这里了解机客
[02941.50-02942.82] 后面我们会大家去讲
[02942.82-02944.90] 我们学常时的时候会摄一道弹
[02944.90-02947.46] 好,这是我们所说的武藏六府
[02947.46-02951.06] 其实讲人体当中我们讲到了循环系头
[02951.06-02953.14] 讲到了血液讲到了武藏六府
[02953.14-02956.22] 其实这些呢,它其实都是在讲人身体的循环
[02956.22-02958.38] 而周深的循环呢,它除了循环养
[02958.38-02960.70] 其实这边还要循环一些营养物质
[02960.70-02962.50] 所以我们来看一下第四个点啊
[02962.50-02963.78] 就是营养物质
[02963.78-02966.66] 人体大家注意下,人体需要六大营养物质
[02966.66-02968.34] 第一个点就需要同一们去掌握
[02968.34-02970.22] 这六大营物质分别是什么?
[02970.22-02971.34] 标注一下圈一
[02971.34-02974.70] 人第一个呢就是唐蕾,就是我们常说的探水,化合物
[02974.70-02975.34] 对不对
[02975.34-02978.22] 葡萄唐唐等等,单唐啊
[02978.22-02981.18] 果唐啊,这是我们日常生活当中所涉一道的
[02981.18-02984.98] 跑累,跑不是跑,跑是跑累,比如吃的满透
[02984.98-02987.18] 电子还可能转发成跑到跑
[02987.18-02989.58] 这一类,它都属于探拾化了物
[02989.58-02991.98] 第二类就需要我们所说的相达
[02991.98-02994.78] 执房,老师执房有用
[02994.78-02997.18] 最近在皮下执房,它有保温功能
[02997.18-02999.38] 所以在这里,大家注意一下执房
[02999.38-03002.38] 第三个,但白质人体不可缺少
[03002.38-03005.58] 比如说,你建设你想电机肉,没有单白质练成
[03005.58-03008.18] 但白质他对于生命的修复
[03008.18-03010.18] 也会起到会在非常大的作用
[03010.18-03013.00] 微生素不用说了多吃水果和蔬菜
[03013.00-03016.00] 如果不想的话就要多补充一些
[03016.00-03018.94] 什么养生糖,什么A到自己
[03018.94-03021.30] 什么天然的意义,没C,就是那些这种
[03021.30-03022.80] 对吧,它是补充微生素的
[03022.80-03025.10] 而还有就是无机眼,比如说点
[03025.10-03026.82] 还要不盖,还要不新
[03026.82-03028.98] 我们三经浮浩浩,我们三心口飞眼
[03028.98-03030.98] 你看那个心其实就属于无机眼
[03030.98-03033.46] 最后一个是人体工程程序最多的
[03033.46-03034.82] 就是水
[03034.82-03038.22] 所以六大一样,物质需要同样找物质,就是六大一样物质有那些
[03038.22-03041.02] 这个点这是最起码的点 同名调记住
[03041.82-03046.02] 这是第一个 那中点在那呢 大家注意一下 第二个呢 就是要知道
[03046.02-03050.02] 这六大样物之当中 唐类之防淡白智也就是前三个
[03050.02-03054.22] 他是为人体提供能量的 也就是人体在就消耗的时候
[03054.22-03057.62] 你发现你健身的国际上有个先消耗什么 他只换物
[03057.62-03061.82] 他只换回消耗完了之后 会消耗 只防最后才消耗淡白智
[03061.82-03065.42] 所以他们都是被生命的机能运行提供能量
[03065.42-03068.24] 所以唐之旁大圍制在旁标注出来
[03068.24-03071.22] 也被充位人体的三大能量元
[03074.32-03077.42] 也被充位叫人体的三大能量元
[03084.62-03085.92] 人体的三大能量元
[03085.92-03088.62] 大家知道就是唐之旁和大圍制
[03088.62-03091.22] 就是为人体提供永远不断的能量
[03091.22-03092.30] 支持前三个
[03092.30-03095.02] 那一说老师无键水和微生素
[03095.02-03096.78] 他们不提供任何的能量
[03096.78-03098.66] 他有啥用呢一会咱们再说
[03098.66-03100.62] 所以在营养物质的概数当中
[03100.62-03102.22] 小达掌握的这两类
[03102.22-03103.82] 这是第一个和第二个点
[03103.82-03107.66] 那接下来就主意来看一下这几类一样物质
[03107.66-03109.42] 首先第一个就是唐类
[03109.42-03110.38] 唐类这个地方
[03110.38-03111.78] 他确实考不不要难的
[03111.78-03113.62] 比如说干唐原基唐原这些
[03113.62-03114.86] 但是只考过那一次
[03114.86-03117.14] 而如果一旦出现这样的题目
[03117.14-03119.94] 就是我也想给同学们说一说
[03119.94-03123.22] 就大家如果在提案当中看到那种特别难的体
[03123.22-03125.58] 换就用东美话来说就特别感固的体
[03125.58-03126.86] 就是这种体一看
[03126.86-03130.54] 我们就不可能会除非它就是这个专业的学生
[03130.54-03132.26] 或者是就是学这个专业的
[03132.26-03134.02] 那不然的话大家都不会
[03134.02-03135.90] 那如果一旦遇到这样的体目的话
[03135.90-03137.62] 同时不要有过多的心理压力
[03137.62-03139.86] 因为像科技长时也好
[03139.86-03141.06] 或文史长时也好
[03141.06-03143.86] 它就主大了一个就是初体面非常非常地过
[03143.86-03145.70] 那如果说它的初体面这么广的话
[03145.70-03147.54] 我们没有办法做到面面去到
[03147.54-03149.66] 因为每个地区考情不一样
[03149.66-03151.06] 然后每个地区出体人
[03151.06-03151.94] 他的想法不一样
[03151.94-03153.06] 我们能够把握住
[03153.06-03153.90] 他大概的方向
[03153.90-03154.78] 但是不能经轮到
[03154.78-03156.46] 他每一道提到怎么去出
[03156.46-03157.86] 那我们要做的是什么呢
[03157.86-03159.90] 同每一道清晰的认识到一个问题
[03159.90-03161.70] 说至于对于考试来说
[03161.70-03162.74] 最重要的是想的
[03162.74-03163.42] 第一个就是
[03163.42-03164.66] 大家考试的名字
[03164.66-03165.74] 可能每个地区
[03165.74-03167.90] 他的分数都是都不一样
[03167.90-03169.10] 你说有同学就问出
[03169.10-03170.90] 老师的这个世界单位考断而分算
[03170.90-03172.66] 那就看你是在哪个地区了
[03172.66-03173.10] 对吧
[03173.10-03174.14] 你如果说想在
[03174.14-03175.30] 几天这些地区的话
[03175.30-03177.62] 他考的这些题目都是数本上有的
[03177.62-03179.26] 那考78-18-19时
[03179.26-03180.50] 不能是七八十有点低
[03180.50-03182.46] 他考八九十分的人比比结实
[03182.46-03183.30] 那这种情况之下
[03183.30-03184.50] 分数不能一概而乐
[03184.50-03185.74] 所以考试当最重要的
[03185.74-03188.38] 其实你的名字有很多的稿位
[03188.38-03189.38] 他六十多分
[03189.38-03191.14] 或者是七十出点头
[03191.14-03192.82] 那他就可能是比试低
[03192.82-03195.34] 也就是我带着合伪的小户班门
[03195.34-03195.82] 对吧
[03195.82-03197.02] 那一块像在这种情况之下
[03197.02-03198.26] 名字很重要
[03198.26-03199.22] 第二个是什么呢
[03199.22-03201.46] 第二个就是基础支持很重要
[03201.46-03203.98] 这考试他有很大一部分程度呢
[03203.98-03206.26] 这是我们为什么没有成功上案
[03206.26-03208.38] 他有一个原因就是不在于说
[03208.38-03210.94] 老師,我是應該把那些特別偏特別難的
[03210.94-03213.50] 我,然後這些點,做一重點去足夠公破
[03213.50-03220.42] 如果說你的基礎特別的好,就是你說,老師,我這些數本上的課本,只是都已經滾完萬數的話
[03220.42-03222.46] 那麼,我可以去做一些偏提的貴鐵
[03222.46-03226.54] 但是如果同學們咱們的基礎相對來說會不會弱一些,或者基礎
[03226.54-03230.46] 沒有這麼扎實的話,是同學們一定要把基礎知識先喊的時候
[03230.46-03232.70] 就往往拉開考是區分度的
[03232.70-03235.90] 不是說,它在偏提貴鐵上有多高的造業
[03235.90-03238.50] 而是在于他应该掌握的只是没有掌握到
[03238.50-03240.30] 原来是像科技文史长时的话
[03240.30-03242.10] 我们就以书本为蓝本
[03242.10-03243.30] 如果以书本为蓝本
[03243.30-03245.30] 你已经听得很全面很仔细了
[03245.30-03248.50] 你正请问这下你说老师他考虑到特别偏特别怪的体
[03248.50-03250.10] 我不会做 那么你放心
[03250.10-03252.50] 你不会做其他人也不会做
[03252.50-03254.70] 这个就是考试我们所见的一般情况
[03254.70-03256.50] 而网网网大部分同学是什么呢
[03256.50-03257.50] 这个点我听了
[03258.30-03259.30] 老师我也记了
[03259.30-03260.50] 而是我听了也不止一遍
[03260.50-03261.90] 我甚至在听课的时候
[03261.90-03264.30] 咱们都知道在网声很多优秀的老师
[03264.30-03264.70] 对啊
[03264.70-03267.06] 我甚至把每一个老师的课程我都听了一遍
[03267.06-03269.26] 但是问题是在于你听了这些之后
[03269.26-03270.94] 你记住了多少
[03270.94-03272.94] 你反色多少回忆了多少呢
[03272.94-03275.06] 这是你自己疏里了多少内容
[03275.06-03276.54] 这个其实非常重要的
[03276.54-03277.86] 所以在考试当中
[03277.86-03278.94] 偏挺难体
[03278.94-03280.82] 它确实是我们所说的
[03280.82-03282.02] 不太好搞的一个
[03282.02-03283.50] 但是问题就是在于
[03283.50-03285.06] 偏挺难体我们不会做
[03285.06-03286.06] 别人也不会做
[03286.06-03287.78] 一定要把基础知识掌握好
[03287.78-03289.58] 就是现在给大家讲的
[03289.58-03291.22] 这些位就是近可能的
[03291.22-03293.82] 把他的点全面的疏里给大家了
[03293.82-03297.04] 当然这样的话就要求同学们能够在扣副席的时候
[03297.04-03298.38] 就是像我一样
[03298.38-03300.36] 我不是给大家整理的思维导图
[03300.36-03303.84] 这里面大家就要严重思维导图把执展过一遍
[03303.84-03306.16] 对尽可能都做到细指
[03306.16-03307.78] 如果说真的出现的种
[03307.78-03308.74] 我们没有见过的
[03308.74-03310.98] 他就不是拉开去分度的地方
[03310.98-03313.48] 他只是在这个地方不想让你拿百分而已
[03313.48-03315.88] 所以基础对我们来说很重要
[03315.88-03316.36] 好吧
[03316.36-03318.06] 所以你看像唐类这个地方
[03318.06-03319.66] 我就想给大家说的就是
[03319.66-03321.12] 大家知道的考唐的时候
[03321.12-03323.56] 他当时就考了什么干唐圆机唐圆这些
[03323.56-03325.56] 那说正东西出来实际上打得对嘛
[03325.56-03327.56] 所以像这样的一些题目
[03327.56-03330.82] 我们就不需要把它掌握得特别的透澈
[03330.82-03333.30] 说老是我们去讲干堂园基堂园讲他
[03333.30-03335.10] 是先消耗哪个后消耗哪个
[03335.10-03336.48] 那就性价比就不高了
[03336.48-03337.32] 其实没有必要
[03337.32-03338.80] 所以看到这样的支持呢
[03338.80-03340.80] 我们其实可以用排除法就做出来了
[03340.80-03342.30] 但排除法的前提
[03342.30-03344.28] 他也是大家的基础支持
[03344.28-03344.80] 好吧
[03344.80-03348.64] 所以在这里给大家去就正一个学习上了一个认知
[03349.64-03351.32] 好 那这是我们所说的第一个
[03351.32-03352.48] 叫做唐类
[03352.48-03355.04] 我们就把唐蕾讲到这
[03355.04-03357.12] 大家就知道唐蕾是最新小号的物质
[03357.12-03360.08] 也是人体最重要的功能物质就行了
[03360.08-03361.24] 这是第一个唐
[03361.24-03363.08] 第二个就是我们所说的执房
[03363.08-03364.64] 执房没事好说的
[03364.64-03367.52] 我们在考试当中也没有考过执房
[03367.52-03370.84] 所以我们唐执房第三大的内员就是单白质
[03370.84-03372.76] 单白质的地方大要注意一下
[03372.76-03376.04] 我们经常看到有什么有卖什么单白粉的
[03376.04-03380.52] 而且我们经常在比如说人的免疫力系统比较弱的时候
[03380.52-03383.08] 一生也总会跟你说说你多补充点蛋白
[03383.08-03384.52] 多吃点牛腰肉对吧
[03384.52-03387.56] 这个就是蛋白制之一身体的重要的作用
[03387.56-03388.96] 那蛋白制它能干嘛呢
[03388.96-03393.64] 首先第一个大主意想说蛋白制是生命活动的主要承担者
[03393.64-03394.16] 对吧
[03394.16-03397.08] 然后后面说参与損伤吸包的修复
[03397.08-03398.96] 所以你还想数后的一些人
[03398.96-03401.32] 它经常就可以喝很多的蛋白粉
[03401.32-03403.72] 那它是生命物质的基础
[03403.72-03405.60] 所以这是蛋白制的一个基本功能
[03405.60-03407.28] 而过程蛋白制的基本蛋白内
[03407.28-03409.08] 就是我们所说的暗击酸
[03409.08-03412.66] 所以在这里面 只是蛋白质 大家了解一下就行了
[03412.66-03415.56] 第3个点就是我们所说的微生素
[03415.56-03419.58] 到了微生素其实就进入到了我们所说的这个
[03419.58-03421.38] 所提到的
[03421.38-03424.70] 不给人体功能的这些内容了
[03424.70-03426.22] 微生素大概来看一下
[03426.22-03427.78] 微生素咱们刚才说了
[03427.78-03429.24] 它不能给人体体功能量
[03429.24-03430.74] 但它存在的必要在什么呢
[03430.74-03432.88] 就一句话 同时把最后一句话话出来
[03432.88-03435.08] 所以微生素它不提功能量
[03435.08-03438.00] 但是它可以出现人体的新成代性
[03438.00-03441.54] 所以第一個點大家知道微生素的功能只是第一個
[03441.54-03444.00] 第二個點是在考試當中不要常見的
[03444.00-03446.90] 大家注意一下把這個表格做一個重點掌握
[03446.90-03449.20] 所以在這裡我們要知道微生素
[03449.20-03450.72] 台灣往在考察的時候就說
[03450.72-03453.46] 缺什麼微生素容易得什麼變
[03453.46-03455.60] 這個點是我們需要重點掌握的
[03455.60-03457.40] 我們來看一下在微生素當中
[03457.40-03459.42] 首先第一個叫做微生素A
[03459.42-03461.44] 微生素A大家要注意一下
[03461.44-03463.44] 它是一種指容性的微生素
[03463.44-03464.72] 什麼叫指容性呢
[03464.72-03466.92] 就是它不容易水
